gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.80715013579454e-28	0.548562249162804	3.45798178484284e-24	0.548562249162804
NLGN4Y	2.19082049608995e-25	0.539246629375117	1.85576922646161e-21	0.539246629375117
USP9Y	2.90948924974384e-25	0.560902860760948	1.85576922646161e-21	0.560902860760948
UTY	1.21073031531681e-19	0.455343925471384	5.79183114589681e-16	0.455343925471384
LINC01515	1.58308721688818e-07	-0.94419250928987	0.000605847477903107	-0.94419250928987
PCDH11Y	1.53337618440845e-05	0.146461692249435	0.0489019221477595	0.146461692249435
KISS1R	3.34916247420128e-05	-0.278012280050748	0.0900138219891782	-0.278012280050748
LINC00622	3.76331630997348e-05	0.265056357735013	0.0900138219891782	0.265056357735013
KDM5D	6.63262076001522e-05	0.166749540587514	0.141016886936546	0.166749540587514
TTTY10	9.80187906542668e-05	0.156078591107958	0.183162282196344	0.156078591107958
AC018541.1	0.000110776123940363	0.45240118496168	0.183162282196344	0.45240118496168
AC114763.1	0.000120418204691164	0.203861793771332	0.183162282196344	0.203861793771332
SACS	0.000124437401021817	-0.0538680456964972	0.183162282196344	-0.0538680456964972
TMEM200A	0.000246955295369421	0.120051812542416	0.322856894595938	0.120051812542416
GOLGA6L4	0.000253088759808679	0.126702391388177	0.322856894595938	0.126702391388177
ENPP1	0.000305144620575381	-0.154293563111284	0.364933894669369	-0.154293563111284
ERICH1	0.000398605315099286	-0.0697006919220661	0.448665453201461	-0.0697006919220661
AC073571.1	0.000470162059399384	-0.307343735430477	0.483258171571917	-0.307343735430477
C4orf48	0.000479848720139348	0.19287542023538	0.483258171571917	0.19287542023538
AC114811.2	0.000546865258042976	-0.254491996637759	0.499405695723596	-0.254491996637759
THSD4-AS1	0.000548080460423074	-0.184220608508812	0.499405695723596	-0.184220608508812
LINC00486	0.00061168289790573	0.210233458394333	0.524956392937458	0.210233458394333
AC007406.5	0.000638705236096437	0.148088429208899	0.524956392937458	0.148088429208899
TNKS	0.000658424532558087	-0.0346428429135081	0.524956392937458	-0.0346428429135081
AC009501.3	0.000800474546662581	-0.239035251695617	0.612683218015539	-0.239035251695617
CYB5R4	0.00104523311418031	-0.0557301781509563	0.72512929517055	-0.0557301781509563
FMO5	0.00105497162019674	-0.190157042484477	0.72512929517055	-0.190157042484477
FAM135B	0.00106532651211861	-0.049152558117075	0.72512929517055	-0.049152558117075
PAPPA-AS1	0.00112236539851629	0.175468269727773	0.72512929517055	0.175468269727773
POU3F1	0.00115208852169195	-0.164552044524149	0.72512929517055	-0.164552044524149
OPRL1	0.00123842708647645	-0.175639115043484	0.72512929517055	-0.175639115043484
AC004951.1	0.00124205014128898	0.0935587230923773	0.72512929517055	0.0935587230923773
DYNC1LI2	0.00127415388447723	-0.0448086018530044	0.72512929517055	-0.0448086018530044
FHL1	0.00129553159492533	-0.0484339439417226	0.72512929517055	-0.0484339439417226
MAP2K4	0.00132634049286487	-0.0374180403893276	0.72512929517055	-0.0374180403893276
RGS7BP	0.00143403551051443	0.0385434927948336	0.755434343612439	0.0385434927948336
SLC2A12	0.00146073011307344	0.203639576455502	0.755434343612439	0.203639576455502
FAM89B	0.00155433255259983	-0.0963984338619529	0.768106040059726	-0.0963984338619529
AC007368.1	0.00156551531551238	-0.0898735811265137	0.768106040059726	-0.0898735811265137
MRPL48	0.00168695253220126	0.0721654409633789	0.806995917591777	0.0721654409633789
AC096996.3	0.00178310989526548	-0.40018729209259	0.812880975657415	-0.40018729209259
EXOC7	0.0017842174537555	-0.050048426628482	0.812880975657415	-0.050048426628482
AC011374.3	0.00187641116167104	0.237326593769098	0.815678536739318	0.237326593769098
TAS2R5	0.00189876335380696	0.349795508466942	0.815678536739318	0.349795508466942
VSIG1	0.00191824061422886	-0.299493355211842	0.815678536739318	-0.299493355211842
AC093787.2	0.00206042141215192	-0.245603740517178	0.83462336999891	-0.245603740517178
ENTR1	0.00223173271538296	-0.0791992893422678	0.83462336999891	-0.0791992893422678
FLVCR1-DT	0.00226966083162655	-0.214552461465726	0.83462336999891	-0.214552461465726
PKDCC	0.00228774007218997	0.118810997659968	0.83462336999891	0.118810997659968
EXOG	0.00236469777706749	-0.0613206237417423	0.83462336999891	-0.0613206237417423
ZBED5-AS1	0.0025150731376304	-0.165385080260202	0.83462336999891	-0.165385080260202
PIGN	0.00259818880293359	-0.0529538656771457	0.83462336999891	-0.0529538656771457
AC007342.1	0.00265323656376704	0.356138311565752	0.83462336999891	0.356138311565752
AC008571.2	0.00266845116184698	0.103411141197119	0.83462336999891	0.103411141197119
VTA1	0.00274495131004926	0.049003026715827	0.83462336999891	0.049003026715827
PLEKHM3	0.00275317713183671	-0.0322578258721464	0.83462336999891	-0.0322578258721464
ACTB	0.00278044003776984	0.0998430838308719	0.83462336999891	0.0998430838308719
AL035587.2	0.00284761949518013	0.223877976374255	0.83462336999891	0.223877976374255
VAMP7	0.00292284837500918	-0.0851148433142978	0.83462336999891	-0.0851148433142978
WNK2	0.0029314098366132	0.0316059345948172	0.83462336999891	0.0316059345948172
RHBDD2	0.00299399623359017	0.091786115793685	0.83462336999891	0.091786115793685
TMEM80	0.00299535271285452	-0.129433151168627	0.83462336999891	-0.129433151168627
AC048341.2	0.00300526080077842	-0.261013239460021	0.83462336999891	-0.261013239460021
AC012076.1	0.00307697426208256	0.247637924410406	0.83462336999891	0.247637924410406
AL589645.1	0.00310154416532413	-0.210358797516993	0.83462336999891	-0.210358797516993
TPRN	0.003110393739712	0.0846364710258035	0.83462336999891	0.0846364710258035
DCAF1	0.0031253399381186	0.0655281616476448	0.83462336999891	0.0655281616476448
RPF2	0.00313519147323183	0.0736085994907648	0.83462336999891	0.0736085994907648
AC092620.1	0.00315449803450826	0.198824620233975	0.83462336999891	0.198824620233975
CREB3L3	0.00316398397637679	0.247834810124573	0.83462336999891	0.247834810124573
GABRB2	0.00316598734224363	-0.0442673953951882	0.83462336999891	-0.0442673953951882
C1orf61	0.00317388670812514	0.0656738967618556	0.83462336999891	0.0656738967618556
SGMS2	0.00318408706610507	-0.0997344327894063	0.83462336999891	-0.0997344327894063
AC009812.1	0.00326457871116726	-0.1693650330917	0.834819064945264	-0.1693650330917
AC231533.1	0.00327208935829082	-0.0923314626908616	0.834819064945264	-0.0923314626908616
AC022126.1	0.00337493191747374	-0.103538935847668	0.849727924221843	-0.103538935847668
MAPK8IP2	0.00343261561371408	0.0565112444783973	0.851279622938319	0.0565112444783973
PTGS1	0.00350019994609116	-0.329669864810462	0.851279622938319	-0.329669864810462
IL17RA	0.00365331051417027	0.114957579421633	0.851279622938319	0.114957579421633
ST8SIA6	0.00366155398628136	0.123292666163453	0.851279622938319	0.123292666163453
RPS4Y1	0.00367569244407769	0.141796628119597	0.851279622938319	0.141796628119597
TXNIP	0.00369868545252855	0.235929366129042	0.851279622938319	0.235929366129042
AP000676.5	0.00371739478031529	-0.27053295792796	0.851279622938319	-0.27053295792796
CACNA1I	0.00373699965125784	0.114827312456117	0.851279622938319	0.114827312456117
AC069133.1	0.00381879208570128	0.102751517319764	0.85967748893993	0.102751517319764
C12orf54	0.00393782958965559	0.277592374759237	0.862442211708368	0.277592374759237
P3H2	0.00399252701545506	-0.0425962982083506	0.862442211708368	-0.0425962982083506
ANKRD6	0.00402325098589512	0.0476195351563394	0.862442211708368	0.0476195351563394
HSPA2	0.00408848185111487	0.296562174439843	0.862442211708368	0.296562174439843
ADCY8	0.00412939316411425	-0.03136311475419	0.862442211708368	-0.03136311475419
CORO1C	0.00422827817695093	-0.0425061600961941	0.862442211708368	-0.0425061600961941
LINC02319	0.00424836264912195	-0.42800807771897	0.862442211708368	-0.42800807771897
REPS2	0.00433751725521512	-0.0364034498706614	0.862442211708368	-0.0364034498706614
AC139491.1	0.0043504627494957	-0.20148619982137	0.862442211708368	-0.20148619982137
DNAH8	0.00442016923067166	0.31122186097688	0.862442211708368	0.31122186097688
SIAH2	0.00452068707447239	0.0755431856273798	0.862442211708368	0.0755431856273798
FADS1	0.00467381062310257	-0.058645905964266	0.862442211708368	-0.058645905964266
AC016168.4	0.00469528532101589	0.189858336541078	0.862442211708368	0.189858336541078
ORMDL1	0.00484908658909911	-0.0595298178601531	0.862442211708368	-0.0595298178601531
AC090376.1	0.00488108711399449	0.371947712531346	0.862442211708368	0.371947712531346
CCDC77	0.00488408532349017	0.0965050207849992	0.862442211708368	0.0965050207849992
RRN3	0.00488881229717915	-0.0712048654913965	0.862442211708368	-0.0712048654913965
AC027097.2	0.00505471416025602	0.147297636852975	0.862442211708368	0.147297636852975
