gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	2.78210488324329e-13	0.326027845207097	5.39895273642193e-09	0.326027845207097
USP9Y	1.42562970052265e-08	0.23638999886005	0.000138328849841713	0.23638999886005
NLGN4Y	8.84059523671914e-08	0.236150930720969	0.000571868637212572	0.236150930720969
BCL7A	1.83993770464129e-05	0.107464056977148	0.0892645777406721	0.107464056977148
AP000708.1	3.35463791152459e-05	0.391725321244292	0.123880153180501	0.391725321244292
LINC01515	3.83016035804908e-05	-0.640784540282846	0.123880153180501	-0.640784540282846
F11R	7.2843738721277e-05	-0.913314945712941	0.201943656232157	-0.913314945712941
GPR78	0.000207262247229038	0.568969513083968	0.455811880931809	0.568969513083968
ZNF578	0.000233052870749222	0.209615880332491	0.455811880931809	0.209615880332491
ENTPD1	0.000241259592062583	0.334291867903782	0.455811880931809	0.334291867903782
UTY	0.0002583701272931	0.134711836710428	0.455811880931809	0.134711836710428
AL023284.4	0.000281904326183256	-0.173388559814351	0.455886279492688	-0.173388559814351
AC013470.2	0.000308445871939126	0.59346190240192	0.456283422551502	0.59346190240192
AC020661.2	0.000344373723988406	0.493614637224655	0.456283422551502	0.493614637224655
SUN1	0.000376244088702107	-0.0630252688262311	0.456283422551502	-0.0630252688262311
NHLRC2	0.000391793995313743	0.0851641626582616	0.456283422551502	0.0851641626582616
SERPINE1	0.000399712366452414	-1.51881782431956	0.456283422551502	-1.51881782431956
PCDH11Y	0.000468288311188511	0.202144327040212	0.504866831495791	0.202144327040212
SEPSECS-AS1	0.000614349617385465	-0.266184492558861	0.605184035079961	-0.266184492558861
LAMTOR5-AS1	0.000623708167659446	0.10220592356826	0.605184035079961	0.10220592356826
DLG3	0.000740613265615516	0.0953187294955078	0.65508103714222	0.0953187294955078
AC073534.2	0.000742645718701888	0.45655842710987	0.65508103714222	0.45655842710987
SYS1	0.00077658066596694	0.15992549379778	0.65523149581541	0.15992549379778
ZZEF1	0.000903924562570517	-0.0578454225590989	0.698758838842794	-0.0578454225590989
FAM163B	0.000932913969876201	0.325648003228374	0.698758838842794	0.325648003228374
PLAC8L1	0.000962137450963919	0.15757192960669	0.698758838842794	0.15757192960669
MTMR9	0.000972198734863209	0.0789191024871591	0.698758838842794	0.0789191024871591
SIN3B	0.00112163856646438	0.074489113339883	0.764389650449428	0.074489113339883
PRR7-AS1	0.00114229103694906	-0.523785739355292	0.764389650449428	-0.523785739355292
EGLN2	0.0012392470035946	0.126461304333216	0.778492263309736	0.126461304333216
ZNF625	0.00131513209701984	-0.148465015204185	0.778492263309736	-0.148465015204185
ATP1A2	0.00135654119791564	0.480990209114679	0.778492263309736	0.480990209114679
RNFT1	0.00148234859754704	-0.13367801634716	0.778492263309736	-0.13367801634716
AC006305.1	0.00157489505901966	0.418775474326811	0.778492263309736	0.418775474326811
TMEM250	0.00160534918126884	-0.19924558713798	0.778492263309736	-0.19924558713798
FP236383.3	0.00161330609895406	0.473015803828749	0.778492263309736	0.473015803828749
CENPJ	0.0016374661831379	0.0947930910727477	0.778492263309736	0.0947930910727477
AC069277.1	0.00165447557198304	-1.04025032017213	0.778492263309736	-1.04025032017213
RMC1	0.0016720996618871	-0.127396984753508	0.778492263309736	-0.127396984753508
SBNO1-AS1	0.00175104674216905	-0.344256020643732	0.778492263309736	-0.344256020643732
ABHD1	0.00177730842442094	-0.513695458236689	0.778492263309736	-0.513695458236689
CHL1-AS1	0.00179117238551571	0.506737587663188	0.778492263309736	0.506737587663188
SH3BP5	0.00180507933714047	-0.0820485826486564	0.778492263309736	-0.0820485826486564
TMEM17	0.00185637448432585	0.227401603758503	0.778492263309736	0.227401603758503
CCNL2	0.00187817751885134	0.059141613534227	0.778492263309736	0.059141613534227
SCML1	0.00187936441272766	-0.103417746586312	0.778492263309736	-0.103417746586312
RHOF	0.00196030032201731	0.172000640506248	0.778492263309736	0.172000640506248
TOM1	0.00196814059235575	-0.0800923194178535	0.778492263309736	-0.0800923194178535
ABRACL	0.00202230432905667	0.214652809388307	0.778492263309736	0.214652809388307
AP001972.3	0.00203659643410732	-0.197020221714104	0.778492263309736	-0.197020221714104
OLFM2	0.00204591906775206	0.0649292867189132	0.778492263309736	0.0649292867189132
AMIGO1	0.00209140904946857	0.113082588990786	0.78049776949975	0.113082588990786
PRLHR	0.00221507108773488	-0.147078915729073	0.780645270110076	-0.147078915729073
PPM1K-DT	0.00224094235226935	-0.191115670470551	0.780645270110076	-0.191115670470551
NUBPL	0.00228119378755437	-0.0532036027553744	0.780645270110076	-0.0532036027553744
