gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	2.16202741456313e-28	0.563559066760574	4.09012346287053e-24	0.563559066760574
USP9Y	7.63357294704927e-27	0.597084537663847	7.22059665061391e-23	0.597084537663847
NLGN4Y	3.22257472670065e-23	0.553218644288301	2.03215562265743e-19	0.553218644288301
UTY	6.6017981302674e-20	0.448964209229099	3.12232042570997e-16	0.448964209229099
PCDH11Y	2.2348847911179e-12	0.268932400834041	8.4559100956737e-09	0.268932400834041
LINC01515	1.2258389477644e-06	-0.855276645744123	0.00386507020230114	-0.855276645744123
LINC01578	6.30874366059032e-06	-0.070157569109915	0.0170498303672925	-0.070157569109915
TTTY10	2.36420297254981e-05	0.170536409299924	0.0559074897933717	0.170536409299924
AL358394.1	5.60359330966833e-05	0.418428597989517	0.117787531369228	0.418428597989517
AC004908.3	0.000145963119842106	0.288990977850587	0.25462860687807	0.288990977850587
TIMP1	0.000148055538410972	-0.62609706797503	0.25462860687807	-0.62609706797503
MIR222HG	0.000222971468017185	-0.509929024791512	0.340755569948863	-0.509929024791512
HTR5A-AS1	0.000242349681329953	-0.293611975245549	0.340755569948863	-0.293611975245549
AC069155.1	0.000252171370085849	-0.313778912291981	0.340755569948863	-0.313778912291981
AL390816.2	0.000324852124111705	0.352261296595725	0.387256501964642	0.352261296595725
C4orf48	0.000344347977706812	0.182978663126132	0.387256501964642	0.182978663126132
LRIG2-DT	0.0003600438509352	-0.121673204904777	0.387256501964642	-0.121673204904777
MYOCD	0.000368464797302229	0.413675729566292	0.387256501964642	0.413675729566292
GAB2	0.000436396477191873	-0.050343840636946	0.4187181227785	-0.050343840636946
AC233723.1	0.000442666373589703	0.339062221371394	0.4187181227785	0.339062221371394
LINC00486	0.000511620490350415	0.20615256204495	0.460896973164246	0.20615256204495
TRIM68	0.000658668316328274	0.180097538985992	0.566394873104467	0.180097538985992
TMEM140	0.000772071187485111	-0.380312099064662	0.635045335862754	-0.380312099064662
IGFBP2	0.000872525575693464	0.361151145166365	0.687768285040373	0.361151145166365
EGFLAM	0.000985761598700374	-0.4188251363624	0.745945516968547	-0.4188251363624
MTHFSD	0.00119766862203505	-0.104162985928295	0.870756017488938	-0.104162985928295
AC011700.1	0.00131027501294222	0.260922181654091	0.870756017488938	0.260922181654091
ZNF695	0.00139897495010999	0.211587955494266	0.870756017488938	0.211587955494266
AC104002.3	0.00154336599052685	-0.2716345230544	0.870756017488938	-0.2716345230544
UFL1-AS1	0.00159917268808787	-0.0930595160704898	0.870756017488938	-0.0930595160704898
AL662884.3	0.00161599709844284	-0.199821781680619	0.870756017488938	-0.199821781680619
LINC02112	0.00161851945930082	0.123038527223994	0.870756017488938	0.123038527223994
AC092652.1	0.00172901719415523	0.245135845916402	0.870756017488938	0.245135845916402
SLC3A1	0.00176037685863935	-0.157346199986821	0.870756017488938	-0.157346199986821
TONSL	0.00176383401894085	0.170362472114718	0.870756017488938	0.170362472114718
SCUBE3	0.00177816736286753	-0.238034029174579	0.870756017488938	-0.238034029174579
RPS19BP1	0.00181320288205815	0.138557199692484	0.870756017488938	0.138557199692484
AL109615.3	0.0018320764135618	-0.173495682766046	0.870756017488938	-0.173495682766046
C2orf76	0.00187596276835089	-0.0819692716727048	0.870756017488938	-0.0819692716727048
TRAPPC5	0.00192723974728434	0.115084616224937	0.870756017488938	0.115084616224937
KLK14	0.00195318020262928	0.205183641197489	0.870756017488938	0.205183641197489
AC008026.3	0.00199532679008869	0.220588431684062	0.870756017488938	0.220588431684062
AC002467.1	0.00217050855008633	-0.391929690966283	0.870756017488938	-0.391929690966283
YIPF7	0.00217327953234567	0.0939821000741638	0.870756017488938	0.0939821000741638
AC092745.4	0.0022278744455142	-0.164336860103096	0.870756017488938	-0.164336860103096
TRMT13	0.00227516716592402	-0.0540421974445281	0.870756017488938	-0.0540421974445281
XRRA1	0.00232063754372796	-0.0711847886293662	0.870756017488938	-0.0711847886293662
PHYH	0.00235695626377426	-0.117784324918543	0.870756017488938	-0.117784324918543
AC023282.1	0.00237244110750114	-0.205600079085375	0.870756017488938	-0.205600079085375
ZNF581	0.00237780635833095	0.171528898920249	0.870756017488938	0.171528898920249
NDUFB7	0.00242324232310636	0.131930738909494	0.870756017488938	0.131930738909494
ZNF669	0.00250436453990319	-0.156646910520588	0.870756017488938	-0.156646910520588
KCNK15-AS1	0.00252287243109372	0.0933170169383691	0.870756017488938	0.0933170169383691
DCAF17	0.00272180605659262	0.0486513624110007	0.870756017488938	0.0486513624110007
F8	0.00273179307232758	-0.12938029213676	0.870756017488938	-0.12938029213676
AL139424.2	0.00276902603133671	0.11842483868675	0.870756017488938	0.11842483868675
XIAP	0.00282518512345427	0.0426570340019758	0.870756017488938	0.0426570340019758
AC015802.4	0.00283038744192563	0.294377950288362	0.870756017488938	0.294377950288362
STK17A	0.00299290142650854	-0.136712763837494	0.870756017488938	-0.136712763837494
AC244517.11	0.00300679766734169	-0.219026855190958	0.870756017488938	-0.219026855190958
AC005280.2	0.00304477597608201	0.181825101942284	0.870756017488938	0.181825101942284
NDUFA4	0.00309395734989264	0.129741914003904	0.870756017488938	0.129741914003904
MAP4	0.00309634256961349	0.031679856231312	0.870756017488938	0.031679856231312
RORA-AS1	0.00315090084489315	-0.120073836481091	0.870756017488938	-0.120073836481091
AC097716.1	0.00322894135977243	-0.223029893674485	0.870756017488938	-0.223029893674485
