logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.8852112132379	0.608095264657167	5.37349425137528	-0.00350120306418807	-0.219990764250515	0.0195183047418672	-3.86664632451365e-06	-1.05948658892808e-05	0.0704209425247423	0.0549572383681852	0.157896952597049	0.00807470290863014	0.176091920593481	0.117114863488401	6.13970528844167e-06	2.37480391985504e-05	0	1.85710638551593e-28	7.58351845201129e-254	0.664577865932445	0.211557178772911	0.867637973074163	0.528840373534224	0.655498685050674	36501	NLGN4Y	2.98139859130728e-24	0.608095264657167	0.473667402201656	0.195471126233901	1	NBGMM (LN)
-10.668801239493	0.517639761115836	5.28392170565738	-0.000505628418809138	-0.0557586470795928	-0.0225682166764694	1.08542591997618e-05	-1.25937752047781e-05	0.06207262413593	0.0491093499058754	0.135935111825689	0.00703258027580352	0.162400621679537	0.105827679045844	6.00004758514169e-06	2.32156997532895e-05	0	5.6166964529472e-26	0	0.94268308598551	0.731342610318875	0.831128550152563	0.0704465209954222	0.587496116758629	36514	TTTY14	4.50852224278072e-22	0.517639761115836	0.404288517424782	0.232160248751222	1	NBGMM (LN)
-10.895036456059	0.564979792586747	5.26570743584624	0.00313566323434616	-0.101356654370151	0.064029190152999	-1.26121691107286e-05	3.94095916442257e-05	0.0694232972361227	0.0548737310645738	0.156541410839768	0.00697663462115881	0.180666181723723	0.121925394558762	5.10578056267397e-06	2.07183782903804e-05	0	7.34543440973828e-25	4.70323396981853e-248	0.653105538898223	0.574786494935122	0.59947852554385	0.0135047145779957	0.0571507375076789	36493	USP9Y	3.93078680046461e-21	0.564979792586747	0.508088641390401	0.0629123715365194	-10	NBGMM (LN)
-11.1459063269287	0.408946901404728	4.68819860379075	-0.0058635726175653	-0.16685201875494	0.0269197467591589	-9.34040081781027e-07	-2.50192558544819e-06	0.0649875431298134	0.0482026172152162	0.138816365763526	0.00799773800726061	0.159743697081498	0.103142198119936	6.4028156503673e-06	2.63098597155823e-05	0	2.17741073261847e-17	4.97043842009217e-250	0.463464583552725	0.296254909029731	0.794095250842111	0.88401644897987	0.92423968722348	36496	UTY	8.73903797536424e-14	0.408946901404728	0.363440915752118	0.101749664270913	1	NBGMM (LN)
-8.98930390556335	0.204184558736373	3.54822334010316	-0.00180904449993647	-0.0342405721200095	0.00765070314874381	-3.59010808181277e-06	-3.54569766745374e-06	0.0301198665120712	0.0272970080069271	0.061239748550484	0.00477748024662602	0.0929821503023667	0.0643450358131375	5.35627350726118e-06	1.97685456884397e-05	0	7.42617485048699e-14	0	0.704939765187103	0.712687670854879	0.905353616558876	0.502690609493443	0.857654588091105	36460	PCDH11Y	2.38439622099436e-10	0.204184558736373	0.198025182613632	0.312620213764321	1	NBGMM (LN)
-11.8162925716976	-0.163373633680611	0.182101381319017	0.000364445006710512	-0.196515981733649	0.027354834727563	-6.32568523966398e-05	0.000251287046248489	0.0526137816860831	0.040659700680944	0.0809136235560473	0.00891921403209679	0.136841280398022	0.0881038738631987	1.84443397446784e-05	7.59818057971298e-05	0	5.86760933217126e-05	0.0244130927960551	0.967406976910387	0.150977591174082	0.75619299774971	0.000604454155443978	0.000942335063684296	23256	DHRS12	0.148893706155209	-0.163373633680611	0.078802695986037	0.539648922956846	1	NBGMM (LN+HL)
-11.9551943308394	0.188409943056384	4.26870632848714	-0.0160353842146104	-0.239883827068863	0.0207925639602914	-5.37593735102202e-06	5.09751734308145e-05	0.0797437619970068	0.0471712642566567	0.161523532395109	0.00953485284770004	0.154370494971253	0.0909375334785556	8.38342105912535e-06	3.673040350354e-05	0	6.49218850807565e-05	6.57338318634262e-154	0.0926143689884941	0.120196658335102	0.819143549974867	0.521354953578347	0.165191988810991	36517	KDM5D	0.148893706155209	0.188409943056384	0.220077059815242	0.0784068452045028	1	NBGMM (LN)
-12.9278723351574	0.226344121316795	-0.0594095630200597	-0.0106951984780563	0.137125200811627	-0.0546721812690525	-5.79656375811366e-05	0.000278953016476397	0.0882002867592159	0.0587058617576786	0.131382636391982	0.0161474994835008	0.209495108905024	0.14558301778884	2.83879168276387e-05	0.000120561692890732	0	0.000115463807715202	0.651134037857603	0.507750820642249	0.512756980105813	0.707259236998955	0.0411602278286728	0.0206798918997639	11501	BTN3A2	0.231706996132481	0.226344121316795	0.179692310371594	1.68183304479883	1	NBGMM (LN+HL)
-13.9595421188744	-0.472809916326783	0.316456766223422	0.0437361650972914	-0.337712985330498	-0.201237115955145	5.5153337653637e-05	-0.000221292526983833	0.139835888412697	0.124185628733408	0.225053121044478	0.0177350905918603	0.342751944650785	0.238953284245798	4.38558058197815e-05	0.000191502782271863	0	0.000140501550912795	0.159681803883209	0.0136600544321211	0.324477457285913	0.399697889415565	0.20853417413572	0.24786209214196	23837	AC244502.1	0.250623544261558	-0.472809916326783	0.466042064072469	13.0233801240202	1	NBGMM (HL)
-11.2685113392079	-0.1021388216885	0.0773418760117756	-0.00914992596528609	-0.0164814123713923	0.126956804786194	-3.42045626087674e-05	0.000170336608240331	0.0383564388768674	0.0276085370198823	0.0555796575457477	0.00684375986844926	0.0932354045292558	0.0616197306450807	1.15405652929499e-05	5.08477650579035e-05	0	0.000215992612157462	0.164058689357833	0.181231268908873	0.859687454425167	0.0393672749116595	0.00303811366729018	0.000808310975270882	34340	PTTG1IP	0.346754539557589	-0.1021388216885	0.00636577687175994	0.0927870024275086	1	NBGMM (LN+HL)
-9.97767117044902	-0.0722449554435514	-0.0286543004115637	-0.0104917605766467	-0.031728883028791	-0.113346112578713	-9.38672718474918e-06	-1.05126909023802e-05	0.0235011010366907	0.0200435523453452	0.0412128639400748	0.00490733943346378	0.0644346141616393	0.0454079255607747	9.30508285546489e-06	3.72641129162136e-05	0	0.000312876363524811	0.486882576471347	0.0325189120659629	0.622422569686729	0.0125540774718551	0.313082954007514	0.777856860939751	14321	AGBL3	0.456628830911574	-0.0722449554435514	0.0292590854379218	1.27059112960649	1	NBGMM (LN+HL)
-11.9348011159804	0.120777025667531	0.0888233948839512	-0.00773166686786211	0.436800843514791	0.169687362906478	-2.96055996005347e-05	0.000196837440636903	0.0533770826017217	0.0338659261891371	0.0748860815008846	0.00929048997353707	0.117966268079067	0.0863169877671173	1.50872419303718e-05	6.80383746350464e-05	0	0.000362017210285832	0.235577465903374	0.405288706915502	0.000213266153273431	0.0493144509411274	0.0497283017286504	0.00381538037602487	10588	PSD2	0.484318691160729	0.120777025667531	1e-04	0.388075416084963	1	NBGMM (LN+HL)
-11.4246852682528	0.230042868874395	-0.0134115178564574	-1.6471128961538e-05	-0.0315948059466706	-0.0719426872908673	-5.89892725292068e-05	0.000395010939083929	0.0655380216217503	0.0657663013508455	0.125520617269417	0.0122970235884884	0.196232536433541	0.13948634168248	1.30035295587516e-05	5.66509406426624e-05	0	0.000468965709472968	0.914910256203486	0.998931281584268	0.872087911641944	0.606015975020037	5.72213299532037e-06	3.10879077111563e-12	7903	C4orf48	0.579136576913772	0.230042868874395	0.687614014707072	0.299187270673577	1	NBGMM (LN)
-14.1451559502234	-0.432040058852174	-0.20540881971068	-0.0310558912747361	0.828507960677404	0.187633128248445	6.81283544473172e-05	-8.02918025786311e-05	0.15088175101641	0.126718308598194	0.233985661682141	0.0305791108147344	0.318795907906063	0.261021628073218	4.0664374364089e-05	0.000183253574474254	0	0.000650934032770546	0.380014672831515	0.309823856798999	0.00935321787285863	0.472238703340188	0.0938593368483447	0.661280521992156	10732	SH3RF2	0.698520061559748	-0.432040058852174	0.509987571206667	16.5869130227156	1	NBGMM (HL)
-10.6722257317172	0.174871650686718	-0.0884806650459329	-0.00331419912277664	-0.0673856524692115	0.0754256407940726	-6.37407820131209e-05	0.000313872970599755	0.0530314393119698	0.0516208300449105	0.10286759482414	0.0101868178795856	0.15933171159426	0.116249953481092	1.08790615947481e-05	4.57624664533187e-05	0	0.000705023943878236	0.389711166595945	0.744922289990171	0.672348661684411	0.516452804692031	4.65569894871515e-09	6.9469359271577e-12	26144	RPS17	0.698520061559748	0.174871650686718	0.532384218232521	0.228066662542685	1	NBGMM (LN)
-12.3883947160199	0.140547563585321	0.198248821776015	-0.00751601332574027	0.144311263532396	0.17803797371223	-9.60087623432046e-05	0.000495315657577731	0.068258840523934	0.0416184157281801	0.0911370664512007	0.0112161713236225	0.156879985134017	0.102892551420602	2.25984398312323e-05	9.51257267931492e-05	0	0.000732671366518938	0.0296089892453146	0.502790809955239	0.357633796351717	0.0835714970209581	2.15236794566142e-05	1.91961591160062e-07	33503	WFDC2	0.698520061559748	0.140547563585321	0.0117412679727512	1.34317834344036	1	NBGMM (LN+HL)
