gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	1.85710638551593e-28	0.608095264657167	2.98139859130728e-24	0.608095264657167
TTTY14	5.6166964529472e-26	0.517639761115836	4.50852224278072e-22	0.517639761115836
USP9Y	7.34543440973828e-25	0.564979792586747	3.93078680046461e-21	0.564979792586747
UTY	2.17741073261847e-17	0.408946901404728	8.73903797536424e-14	0.408946901404728
PCDH11Y	7.42617485048699e-14	0.204184558736373	2.38439622099436e-10	0.204184558736373
DHRS12	5.86760933217126e-05	-0.163373633680611	0.148893706155209	-0.163373633680611
KDM5D	6.49218850807565e-05	0.188409943056384	0.148893706155209	0.188409943056384
BTN3A2	0.000115463807715202	0.226344121316795	0.231706996132481	0.226344121316795
AC244502.1	0.000140501550912795	-0.472809916326783	0.250623544261558	-0.472809916326783
PTTG1IP	0.000215992612157462	-0.1021388216885	0.346754539557589	-0.1021388216885
AGBL3	0.000312876363524811	-0.0722449554435514	0.456628830911574	-0.0722449554435514
PSD2	0.000362017210285832	0.120777025667531	0.484318691160729	0.120777025667531
C4orf48	0.000468965709472968	0.230042868874395	0.579136576913772	0.230042868874395
SH3RF2	0.000650934032770546	-0.432040058852174	0.698520061559748	-0.432040058852174
RPS17	0.000705023943878236	0.174871650686718	0.698520061559748	0.174871650686718
WFDC2	0.000732671366518938	0.140547563585321	0.698520061559748	0.140547563585321
REEP6	0.000903201792958752	-0.251609426516672	0.698520061559748	-0.251609426516672
GFPT1	0.00106480552829091	0.0405385040408215	0.698520061559748	0.0405385040408215
APOA1-AS	0.00113902223049552	-0.331533058711085	0.698520061559748	-0.331533058711085
SPDYE2	0.00116682162000496	0.297688468504306	0.698520061559748	0.297688468504306
LPXN	0.00123429499430868	-0.100493318151233	0.698520061559748	-0.100493318151233
AC015845.2	0.00124618835345168	0.163867517197947	0.698520061559748	0.163867517197947
AMPD3	0.00127266995255294	-0.201343850554337	0.698520061559748	-0.201343850554337
LINC01033	0.00127332400838878	-0.357337400093022	0.698520061559748	-0.357337400093022
RPL21	0.00134407661814688	0.151531002189507	0.698520061559748	0.151531002189507
ZSCAN26	0.00145169226591089	-0.073932796462632	0.698520061559748	-0.073932796462632
RPL36	0.00146174817384828	0.145923897716735	0.698520061559748	0.145923897716735
RAB17	0.00152769505405262	-0.269525556936276	0.698520061559748	-0.269525556936276
ADGRB1	0.00154778741990755	-0.0628523864049219	0.698520061559748	-0.0628523864049219
AC005908.3	0.00155056350716734	-0.217567268327428	0.698520061559748	-0.217567268327428
NRCAM	0.00155248695690651	-0.0328767424014964	0.698520061559748	-0.0328767424014964
ZFY	0.0015880807206284	0.138381777907574	0.698520061559748	0.138381777907574
CCNY	0.00176174376678563	-0.0407360243853177	0.698520061559748	-0.0407360243853177
AFMID	0.00178390857771846	0.114349944502784	0.698520061559748	0.114349944502784
ZFYVE1	0.0018420721658085	-0.081296300518458	0.698520061559748	-0.081296300518458
LINC00486	0.00186810867608407	0.185029871208189	0.698520061559748	0.185029871208189
ZFPM2-AS1	0.0018729727889235	-0.279201915269218	0.698520061559748	-0.279201915269218
MIR34AHG	0.00190070797107027	-0.14554963976048	0.698520061559748	-0.14554963976048
KIAA1211L	0.00192788002572257	-0.0950045261188506	0.698520061559748	-0.0950045261188506
CYP4Z1	0.0020265105347786	0.131169312227566	0.698520061559748	0.131169312227566
STAB2	0.00212807062386599	0.213690470389566	0.698520061559748	0.213690470389566
UXS1	0.00213540295710619	-0.0539004817378935	0.698520061559748	-0.0539004817378935
UQCRB	0.0021717346305891	0.0981251403825008	0.698520061559748	0.0981251403825008
IVNS1ABP	0.00220047179596887	0.0634034840179308	0.698520061559748	0.0634034840179308
PUM1	0.00248700287984741	0.0281702401838527	0.698520061559748	0.0281702401838527
BLACAT1	0.00258526440500648	-0.249857374441968	0.698520061559748	-0.249857374441968
DENND11	0.00261759781526708	-0.053221698428569	0.698520061559748	-0.053221698428569
PIPOX	0.00265657921345557	-0.122822240335413	0.698520061559748	-0.122822240335413
COA1	0.00265671810496548	-0.0428973216415855	0.698520061559748	-0.0428973216415855
WWC2	0.00271503958803949	-0.0373206762505386	0.698520061559748	-0.0373206762505386
SULT1A1	0.00274704890180888	-0.0556965843898196	0.698520061559748	-0.0556965843898196
