gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.51335855018666e-29	0.612644156816203	2.675466580875e-25	0.612644156816203
USP9Y	1.94514747457865e-27	0.565883645462674	1.71941311015379e-23	0.565883645462674
UTY	3.87253204423253e-24	0.535178016694315	2.28208313366623e-20	0.535178016694315
NLGN4Y	2.3259720748851e-22	0.510288793393337	1.02802150779734e-18	0.510288793393337
PCDH11Y	2.26628903562676e-16	0.383180669278864	8.0131447721691e-13	0.383180669278864
LINC01515	9.87721648356677e-07	-0.875644682411376	0.00291032183688295	-0.875644682411376
TBL1Y	2.69575729645012e-06	0.215316203135197	0.00680832760627738	0.215316203135197
UBE3A	3.14042776230881e-05	-0.0403995932044177	0.0693995280123219	-0.0403995932044177
ZFHX2-AS1	7.79142091046635e-05	-0.0828872790018541	0.153049478084594	-0.0828872790018541
LINC00621	8.92031389881862e-05	-0.129160633004581	0.157702229417214	-0.129160633004581
PCNX4	0.000184967803083329	-0.0412693674258564	0.297276890064561	-0.0412693674258564
AC097639.1	0.00022430871006002	0.295876437299842	0.330462807095925	0.295876437299842
SOCS4	0.000286582217085359	0.0742106390916722	0.378253655051883	0.0742106390916722
C4orf48	0.000308676022740067	0.178416003593596	0.378253655051883	0.178416003593596
BBS7	0.00032356528788053	-0.0478521178490589	0.378253655051883	-0.0478521178490589
SMAP1	0.000342330362624025	-0.0296084280679722	0.378253655051883	-0.0296084280679722
AL133453.1	0.000398555223937082	-0.178658379698872	0.378894496718405	-0.178658379698872
RPL13A	0.00043239920427955	0.156390139906551	0.378894496718405	0.156390139906551
PDZK1	0.000437938099360866	-0.273741583939918	0.378894496718405	-0.273741583939918
TUBE1	0.000445310092088626	-0.0467346899443698	0.378894496718405	-0.0467346899443698
AL157912.1	0.000459027972571109	-0.228936846593065	0.378894496718405	-0.228936846593065
AC002383.1	0.000483477182049882	0.207437466489188	0.378894496718405	0.207437466489188
G0S2	0.000492933617541904	0.249907255161417	0.378894496718405	0.249907255161417
AP001783.1	0.000597091243673449	-0.168857622899749	0.439832337370955	-0.168857622899749
MSC-AS1	0.000762487091112248	-0.386849511854146	0.539200371350937	-0.386849511854146
AC069155.1	0.000886745810156124	-0.232224016556643	0.570701500663316	-0.232224016556643
CHMP6	0.000892326276848222	0.0927721082158115	0.570701500663316	0.0927721082158115
AC018832.1	0.000903877030294295	-0.338348041360743	0.570701500663316	-0.338348041360743
RPL35	0.00106253475997478	0.130916679793458	0.592774072671444	0.130916679793458
CCDC85B	0.00108255822060529	0.150449123100384	0.592774072671444	0.150449123100384
AP000766.1	0.00110982775417707	0.0871023008130286	0.592774072671444	0.0871023008130286
