gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.52500363642713e-09	0.267646639795965	2.76650909684246e-05	0.267646639795965
LINC01515	1.72916637079868e-06	-1.01737414184626	0.0156844035663294	-1.01737414184626
APC	4.53044807141776e-06	-0.0467162509347509	0.0273956194878632	-0.0467162509347509
RPL36	5.54632764693002e-05	0.166036502023095	0.219124528857304	0.166036502023095
AP001172.1	6.03948318332242e-05	-0.332809966835598	0.219124528857304	-0.332809966835598
ANXA5	0.000108835590587674	0.356178070702414	0.278017378552521	0.356178070702414
PIAS1	0.000111162919572517	0.0451206317506074	0.278017378552521	0.0451206317506074
SLC1A3	0.000130187594639007	-0.369393677524358	0.278017378552521	-0.369393677524358
ANTXR2	0.000137928251307684	0.648241852673501	0.278017378552521	0.648241852673501
NLGN4Y	0.000209035803580984	0.11365057095146	0.379211851276264	0.11365057095146
RCC1L	0.000284325631691322	-0.131836187371677	0.468904662228388	-0.131836187371677
PSMD12	0.000370227064267193	-0.0867307939020725	0.541752339463911	-0.0867307939020725
NCOA7-AS1	0.000393944973313088	-0.772019527795902	0.541752339463911	-0.772019527795902
RAG1	0.000418087908742338	-0.358645124098038	0.541752339463911	-0.358645124098038
AC013460.1	0.000479421983696592	-0.242078675253892	0.554702884594852	-0.242078675253892
SERPINE3	0.000534792890805674	-0.578134846291504	0.554702884594852	-0.578134846291504
FUT10	0.000575425563360633	0.122843472341754	0.554702884594852	0.122843472341754
AC010198.2	0.000633393061900725	-0.295233681208197	0.554702884594852	-0.295233681208197
ACADS	0.000671180993998302	0.220869322568902	0.554702884594852	0.220869322568902
CHCHD4	0.000700665832505071	0.275087581547524	0.554702884594852	0.275087581547524
UBN2	0.000709570535975537	0.0479965999663376	0.554702884594852	0.0479965999663376
ADARB2-AS1	0.000818042685094526	-0.162112250783261	0.554702884594852	-0.162112250783261
AC016042.1	0.000877343098649413	-0.347305286838918	0.554702884594852	-0.347305286838918
FSBP	0.00101546472967278	0.278232373188278	0.554702884594852	0.278232373188278
PPIL1	0.00103459055072691	-0.174146679216608	0.554702884594852	-0.174146679216608
TMSB15B-1	0.00106224222714204	0.157477187124091	0.554702884594852	0.157477187124091
LINC02033	0.00109775699921341	-0.76717651959929	0.554702884594852	-0.76717651959929
RESF1	0.00111700826348937	-0.0759634118283845	0.554702884594852	-0.0759634118283845
AL121900.1	0.00113827159888929	-0.714736704827099	0.554702884594852	-0.714736704827099
LITAF	0.001147457277475	0.142776833918851	0.554702884594852	0.142776833918851
FAM160A1	0.00119486253304125	0.351405082488135	0.554702884594852	0.351405082488135
AL020994.2	0.00119819736976338	0.254017667788599	0.554702884594852	0.254017667788599
RFESD	0.00123157454216397	-0.424042963882421	0.554702884594852	-0.424042963882421
AC002094.4	0.00125625660897576	0.291054428455459	0.554702884594852	0.291054428455459
MAP3K13	0.00126207518232204	0.041528838222683	0.554702884594852	0.041528838222683
QRICH2	0.00126573395623713	0.0960255280845783	0.554702884594852	0.0960255280845783
AC109129.1	0.00126678099614265	-0.16597238814288	0.554702884594852	-0.16597238814288
AP001269.4	0.0013037711877251	-0.569124389907264	0.554702884594852	-0.569124389907264
AC024558.2	0.001310358111987	0.130336760649467	0.554702884594852	0.130336760649467
MTMR10	0.00131835167446083	-0.124553143428099	0.554702884594852	-0.124553143428099
TCEAL6	0.00137009702913037	-0.135802331905579	0.554702884594852	-0.135802331905579
AC005355.1	0.00138487254563813	-0.397250070271296	0.554702884594852	-0.397250070271296
AC090772.2	0.00139620394202994	-0.493575896060309	0.554702884594852	-0.493575896060309
LGMN	0.00141581780170589	0.106186957945189	0.554702884594852	0.106186957945189
AL031846.2	0.00147416295755337	-0.382486090704146	0.554702884594852	-0.382486090704146
AC132803.1	0.00148535344065015	0.402319738278422	0.554702884594852	0.402319738278422
DUSP1	0.00149227891578644	0.218724907832995	0.554702884594852	0.218724907832995
LINC01197	0.00151668812840611	-0.0587591493662102	0.554702884594852	-0.0587591493662102
PGGT1B	0.00152192725923608	0.0888223149693285	0.554702884594852	0.0888223149693285
BX664615.2	0.00155519338033018	-0.148193033948546	0.554702884594852	-0.148193033948546
TMEM9B	0.00155944253979039	-0.128927802223135	0.554702884594852	-0.128927802223135
ALOXE3	0.00159629953969738	0.259734167591675	0.556893652877889	0.259734167591675
