logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.2159472512705	0.581455047036762	5.23847026137808	-0.00349724422155298	-0.250256817994899	-0.0110900563603764	5.0894319038039e-06	-0.000102930581138842	0.075716516581268	0.0563811694616223	0.164698558850541	0.00734500622021763	0.17655610966167	0.121210840299735	8.21489619858856e-06	3.27742834135392e-05	0	6.15943633146456e-25	5.27782935936838e-222	0.633975324409004	0.156355771412164	0.927100127706308	0.535562674461137	0.0016860799112195	36501	NLGN4Y	1.02899543353447e-20	0.581455047036762	0.45629426232924	0.206258400305823	1	NBGMM (HL)
-10.418753903841	0.413695338317491	4.70838045093805	0.0030918291864353	-0.112623361045113	0.0511850430232049	5.29785244786722e-07	-3.05736854601073e-05	0.0696987843171918	0.0492652075185869	0.142712575712199	0.00631747984579529	0.153941817699023	0.104382613739675	9.31328171502468e-06	3.81884786070376e-05	0	4.56813514874638e-17	1.05610953964731e-238	0.62455242412222	0.464414623324549	0.623879281121233	0.954636870422029	0.423363410160648	36514	TTTY14	3.81576328974785e-13	0.413695338317491	0.316915384782575	0.22677574234951	1	NBGMM (HL)
-10.6902184523177	0.40218656415095	4.5278105481126	-0.00639018731066849	-0.289239235381678	-0.014894266172959	-1.43659764226904e-05	6.76281556686836e-05	0.0728031087116746	0.0493922438512675	0.146492125100562	0.00797853960522485	0.154608711285351	0.102421111026586	8.92593880437417e-06	3.8149238163028e-05	0	3.86537233370872e-16	9.26311050259684e-210	0.423176845577563	0.0613752665224765	0.884377824029743	0.107514939041868	0.0762740802303178	36493	USP9Y	2.15249700689793e-12	0.40218656415095	0.296269415783234	0.134771277584782	1	NBGMM (HL)
-10.8736313653272	0.293061972504198	4.3184655482166	-0.00872385232292145	-0.113492408033869	0.00587895356090694	-1.17596889553032e-05	2.89542543391067e-05	0.0755267966565497	0.0471767219852905	0.148933890503112	0.0083770499198736	0.146741435952553	0.0937630495074204	1.03982682833711e-05	4.42624873559399e-05	0	5.23131881792988e-10	7.42088145314947e-185	0.29769035587865	0.439275282030513	0.950005309436374	0.258085550847183	0.513015924399456	36496	UTY	2.18486030430841e-06	0.293061972504198	0.221431309672002	0.161860457264072	1	NBGMM (HL)
-12.5141015658256	0.263027490161403	-0.142756048297074	-0.0128493568902797	0.0860903500479287	-0.0673852842374234	-8.17192751410747e-05	0.000566609338783529	0.113371792504953	0.0622812049358476	0.148726069496857	0.0196054558513412	0.222225041250485	0.169479926386822	3.27022919399462e-05	0.000150545079720276	0	2.4083206290664e-05	0.337126210665608	0.512212184429753	0.698458874481286	0.690924775566355	0.0124584643106569	0.000167405157245723	21476	TSPAN11	0.0804668088583665	0.263027490161403	0.0191881568421967	2.13743382330398	1	NBGMM (HL)
-13.2798911571329	-0.651921512111332	-0.0807608023931154	0.0139618363523038	-0.980051404333316	0.0788364822075453	-5.56032711244309e-05	0.000192352931251543	0.160453480583967	0.159800612183374	0.2700701839868	0.0238810837467436	0.444869757619819	0.289883766845908	5.33026399363682e-05	0.000222600846851632	0	4.51145539605388e-05	0.764912309572787	0.558789818427502	0.0275942213334016	0.785653590231809	0.296873420452719	0.387524225009231	18098	LINC01515	0.125613956410794	-0.651921512111332	0.990980743287179	3.81484274548083	1	NBGMM (HL)
-12.831943362401	0.320671868114003	-0.0287275040986215	-0.00951142997438704	0.377368425167012	0.114355055821823	2.16355155228485e-05	-1.95404692460184e-05	0.130736736188897	0.0797161584788301	0.195301930654031	0.0260414552150905	0.293007621419301	0.230121378487744	4.08936882450832e-05	0.000187474147884609	0	5.75418818160817e-05	0.883058787892774	0.714930861250673	0.197776130302466	0.619235843334411	0.596758725578548	0.91698666278094	14924	PDGFRL	0.137327811088494	0.320671868114003	1e-04	2.82107792729758	1	NBGMM (HL)
-9.60454405204256	0.0687450417424198	-0.0290851531008752	-0.00490645400519136	-0.00542741913562395	0.0510083501395984	-1.70205337580957e-05	0.000133224901246492	0.0260611161075256	0.0177923550962393	0.0394976126491045	0.00492872961797836	0.0607174000592773	0.0448598979755759	8.35511711615182e-06	3.78179030281433e-05	0	0.000111663878502603	0.461500996044436	0.319502645317844	0.928773400499769	0.255513627595262	0.0416361286428824	0.000427013783866864	23237	KPNA3	0.23318209428306	0.0687450417424198	1e-04	0.122661944871071	1	NBGMM (HL)
-11.5892326213049	0.198721850349759	0.286929360969239	-0.00128829713953851	0.0699320167573485	0.134894917166348	-3.10979806945496e-06	2.00870894855656e-05	0.0725865646094908	0.0524498175079052	0.119515274367006	0.0140271325162592	0.189808845227077	0.134887885334044	2.94963989153316e-05	0.000125057019143877	0	0.000151376927886366	0.0163603633593972	0.926822597656542	0.712549709556513	0.317285280197689	0.916034807671418	0.872389986651364	15414	AC069133.1	0.246138079883956	0.198721850349759	0.0306556682489061	3.04258520742367	1	NBGMM (HL)
-12.0142696187552	-0.251129364071171	0.283942744507667	-0.0307506730962181	0.145506514338696	0.063788861299997	-4.75835391915422e-05	0.00020301481778752	0.0867798818830307	0.0667465816153022	0.132234720033783	0.0187941167133488	0.192168280396917	0.148879039373611	3.02351462673048e-05	0.000130885713234669	0	0.000168270181817044	0.0317723359258575	0.10180063832373	0.448940360479336	0.668315525579578	0.115537778564073	0.120881404582999	33922	AP001172.1	0.246138079883956	-0.251129364071171	0.00183013567439389	0.959269063682873	1	NBGMM (HL)
-9.9185079950264	0.222941819488785	0.170916433716772	-0.00298242682988456	0.133989647878243	0.269969140373699	-8.04801713208427e-05	0.000448368067825443	0.0601922444890596	0.0592859604036725	0.118508640922233	0.00925341604917866	0.179691662761178	0.134091807259561	1.32045946817391e-05	5.54634655504375e-05	0	0.000169608778493397	0.149238174646303	0.747221271510952	0.455870263735481	0.0440814280621114	1.09532471566271e-09	6.26632395613445e-16	2097	RPS27	0.246138079883956	0.222941819488785	0.631239510658533	0.410617813225984	1	NBGMM (HL)
-12.9261715213523	0.225303286297781	4.23617987143287	-0.00258607563133764	-0.13241105426342	-0.153960161061615	-2.56999279693808e-05	0.000129960226323947	0.199738934952775	0.0600801400449875	0.38606676564104	0.014261227997736	0.221921191458942	0.125593081579871	2.50219233808571e-05	0.000109264996064211	0	0.000176802164408444	5.17270688177504e-28	0.856103762921006	0.550735739121248	0.220249487390112	0.304375063439212	0.234280716955463	36471	PRKY	0.246138079883956	0.225303286297781	0.090534833597153	0.982204471011038	1	NBGMM (HL)
