gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	6.15943633146456e-25	0.581455047036762	1.02899543353447e-20	0.581455047036762
TTTY14	4.56813514874638e-17	0.413695338317491	3.81576328974785e-13	0.413695338317491
USP9Y	3.86537233370872e-16	0.40218656415095	2.15249700689793e-12	0.40218656415095
UTY	5.23131881792988e-10	0.293061972504198	2.18486030430841e-06	0.293061972504198
TSPAN11	2.4083206290664e-05	0.263027490161403	0.0804668088583665	0.263027490161403
LINC01515	4.51145539605388e-05	-0.651921512111332	0.125613956410794	-0.651921512111332
PDGFRL	5.75418818160817e-05	0.320671868114003	0.137327811088494	0.320671868114003
KPNA3	0.000111663878502603	0.0687450417424198	0.23318209428306	0.0687450417424198
AC069133.1	0.000151376927886366	0.198721850349759	0.246138079883956	0.198721850349759
AP001172.1	0.000168270181817044	-0.251129364071171	0.246138079883956	-0.251129364071171
RPS27	0.000169608778493397	0.222941819488785	0.246138079883956	0.222941819488785
PRKY	0.000176802164408444	0.225303286297781	0.246138079883956	0.225303286297781
SYTL5	0.000236258783930446	-0.136803972609547	0.30308117077945	-0.136803972609547
AC010331.1	0.00026376182461032	0.321775446412284	0.30308117077945	0.321775446412284
FAM66E	0.000272130824954612	0.394350840222975	0.30308117077945	0.394350840222975
NDUFS5	0.000430764473647329	0.191427313948113	0.437260099440448	0.191427313948113
ZDHHC3	0.000444955207140406	0.118741170817267	0.437260099440448	0.118741170817267
TET2	0.000485873770368766	-0.0573996325816257	0.4509448448767	-0.0573996325816257
PRSS51	0.000519558704277943	-0.352240212936791	0.456828827035122	-0.352240212936791
AL358394.1	0.000559833096109841	0.390590544605987	0.467628585180551	0.390590544605987
NGDN	0.000631067079750392	0.135509376099093	0.493908166778423	0.135509376099093
AC067956.1	0.000694278217308299	0.379064395113435	0.493908166778423	0.379064395113435
LIMA1	0.000696418263766442	-0.0932422172039227	0.493908166778423	-0.0932422172039227
CPEB2-DT	0.000729294373982924	0.126050329596667	0.493908166778423	0.126050329596667
RPL27	0.000765263398860231	0.17849206989587	0.493908166778423	0.17849206989587
PARD6B	0.000785312996353746	0.14533444438399	0.493908166778423	0.14533444438399
MGAT1	0.00079824736639635	0.125044353670735	0.493908166778423	0.125044353670735
SLC5A8	0.000880892485986601	-0.16862861962791	0.514798530054385	-0.16862861962791
KDM5D	0.00089364045083067	0.152052699703603	0.514798530054385	0.152052699703603
AC005908.3	0.00100347726041587	-0.132165268833939	0.548820199139639	-0.132165268833939
KXD1	0.00103092859648811	0.156133037809787	0.548820199139639	0.156133037809787
GPR89B	0.00105345099222257	0.109136271083063	0.548820199139639	0.109136271083063
AC132938.1	0.00111521713104384	0.192654544042989	0.548820199139639	0.192654544042989
LGR4	0.00112577254178334	0.0837094350638458	0.548820199139639	0.0837094350638458
DYNC1LI2	0.00114980886926178	-0.0593539048435246	0.548820199139639	-0.0593539048435246
PPP4R3B	0.001193348905593	-0.0653201385109797	0.553780189356576	-0.0653201385109797
RPL34	0.00127401302176281	0.149404985173745	0.556714934214384	0.149404985173745
RPL38	0.00130114447046144	0.18465118492761	0.556714934214384	0.18465118492761
WEE1	0.00135895844636334	0.380806124078528	0.556714934214384	0.380806124078528
TIMM9	0.00136050702564988	-0.124672670171021	0.556714934214384	-0.124672670171021
AP003108.1	0.00140468751953686	0.289951890390326	0.556714934214384	0.289951890390326
MRPL45	0.00142329470968003	-0.127022450929299	0.556714934214384	-0.127022450929299
LYG1	0.00145091529577908	-0.278980870126622	0.556714934214384	-0.278980870126622
