gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	6.22672837633421e-23	0.51809752711697	6.74117667368986e-19	0.51809752711697
TTTY14	7.90939419651514e-23	0.492399555931008	6.74117667368986e-19	0.492399555931008
UTY	7.04616201837426e-09	0.259563212710857	3.58266979771223e-05	0.259563212710857
NLGN4Y	8.40706276595619e-09	0.237716575092701	3.58266979771223e-05	0.237716575092701
LINC01515	3.5190688164738e-06	-0.733036999196929	0.0119972094091225	-0.733036999196929
ZNF274	4.5028334951457e-05	0.149299259634159	0.127925499597089	0.149299259634159
NADSYN1	6.065835325708e-05	-0.101620125467533	0.147711755660027	-0.101620125467533
XRRA1	9.79740360922877e-05	-0.110703187001142	0.208758177403642	-0.110703187001142
PLEKHG3	0.000136867562024428	-0.188373782014615	0.239438069157514	-0.188373782014615
PLP1	0.000140465838998894	-0.375636935545187	0.239438069157514	-0.375636935545187
PNPLA2	0.000202868744883696	-0.129077412572103	0.314372784117043	-0.129077412572103
C1QTNF6	0.000353476539019623	0.169265097015903	0.437707161897324	0.169265097015903
CCK	0.00036138844251183	0.180776471466917	0.437707161897324	0.180776471466917
PCSK6	0.000394286256296479	-0.125337706733909	0.437707161897324	-0.125337706733909
PAXIP1-AS1	0.000402839758719336	-0.120822657022809	0.437707161897324	-0.120822657022809
DEPP1	0.000469434444109144	0.12665469406097	0.437707161897324	0.12665469406097
RPS6KC1	0.000481949443543678	-0.0368798280397095	0.437707161897324	-0.0368798280397095
FA2H	0.000485077473543499	-0.408015711813465	0.437707161897324	-0.408015711813465
SLC52A2	0.000487881970905148	-0.228916867579275	0.437707161897324	-0.228916867579275
FAM104B	0.000518321093516214	0.140430879463148	0.441765068003869	0.140430879463148
PAPPA	0.000561871008440179	-0.165834236641558	0.4437349454847	-0.165834236641558
HPCA	0.000574502530846205	0.188432113098619	0.4437349454847	0.188432113098619
STAP2	0.000604410284710058	0.32794873872687	0.4437349454847	0.32794873872687
LRRC38	0.000624758810960507	0.215458190804032	0.4437349454847	0.215458190804032
KCNH1	0.000748302605420684	-0.0406572023067882	0.510222648480039	-0.0406572023067882
AC013643.2	0.000805129522056394	-0.262825402143499	0.527855301268203	-0.262825402143499
CYP2R1	0.000883359533180395	-0.148587156429192	0.536271919486339	-0.148587156429192
SLC35G1	0.000887324022213634	0.127747608330863	0.536271919486339	0.127747608330863
GALM	0.000940098612991422	-0.212145163784539	0.536271919486339	-0.212145163784539
MEF2C	0.000991263611657523	0.0355457389633245	0.536271919486339	0.0355457389633245
LYSMD4	0.00100195929500232	-0.0877050352428022	0.536271919486339	-0.0877050352428022
ANKRD44	0.0010301787797496	-0.0400518354499144	0.536271919486339	-0.0400518354499144
ZNF561-AS1	0.0010595142220252	-0.134209772725382	0.536271919486339	-0.134209772725382
AL121845.1	0.00119637987532807	0.255046891664794	0.536271919486339	0.255046891664794
LINC01266	0.00121897334059906	-0.251621718572306	0.536271919486339	-0.251621718572306
RPUSD1	0.0012444423892195	0.153281128289749	0.536271919486339	0.153281128289749
AL138720.1	0.00124534646573569	0.253251015844121	0.536271919486339	0.253251015844121
FOLH1	0.00126167016562985	-0.567213185681618	0.536271919486339	-0.567213185681618
LINC02197	0.00126643333896807	0.221062702210228	0.536271919486339	0.221062702210228
STX17	0.00130355229709863	-0.0651942453875372	0.536271919486339	-0.0651942453875372
MAP6D1	0.0013131517088006	-0.184897167825539	0.536271919486339	-0.184897167825539
SMYD3	0.00137696012568073	-0.0373421174998573	0.536271919486339	-0.0373421174998573
ZNF605	0.00149310040816336	0.0536181976731941	0.536271919486339	0.0536181976731941
ZNF251	0.00152392656172958	0.0507102019011219	0.536271919486339	0.0507102019011219
PLEKHB1	0.00154717965909301	-0.345383084301202	0.536271919486339	-0.345383084301202
PSMG1	0.00155678547484445	-0.159374204296142	0.536271919486339	-0.159374204296142
ROMO1	0.00156461890031531	0.187776212932539	0.536271919486339	0.187776212932539
RGCC	0.0016012484866052	-0.411257310317675	0.536271919486339	-0.411257310317675
TMEM121	0.00161482667428771	-0.14832375137194	0.536271919486339	-0.14832375137194
PVALB	0.00161897207867238	0.125474417873952	0.536271919486339	0.125474417873952
NXT1	0.00166351457986917	0.193231806208798	0.536271919486339	0.193231806208798
FRYL	0.00167141009470223	-0.0310198342670114	0.536271919486339	-0.0310198342670114
CEND1	0.00168939240550965	0.0873860017568034	0.536271919486339	0.0873860017568034
RPL27A	0.0017021601159692	0.145237381948072	0.536271919486339	0.145237381948072
AC114763.1	0.0017303153567845	0.19413329723983	0.536271919486339	0.19413329723983
BMT2	0.0017698283340642	0.048828195090802	0.538723103258185	0.048828195090802
DOLK	0.0019098618007023	-0.289300959831873	0.549806516156783	-0.289300959831873
AC068286.2	0.00192479351149729	-0.179363811909077	0.549806516156783	-0.179363811909077
DFFA	0.00193504536937652	0.0672650744067456	0.549806516156783	0.0672650744067456
RPS27	0.00195155534196822	0.145928834655981	0.549806516156783	0.145928834655981
MSANTD3	0.00196751129212506	-0.0672354401246801	0.549806516156783	-0.0672354401246801
AL596451.1	0.00200701143927035	0.403343376388042	0.55179866119036	0.403343376388042
SEMA3B	0.00243490538596129	-0.346782010695247	0.637607572745863	-0.346782010695247
TSHR	0.002453300557396	0.167844127565731	0.637607572745863	0.167844127565731
ZC3H4	0.00246427869171991	0.0799012159114385	0.637607572745863	0.0799012159114385
HDX	0.00253575616108314	-0.0516573045044033	0.637607572745863	-0.0516573045044033
ZNF154	0.00255373948912658	0.101510337963671	0.637607572745863	0.101510337963671
CYP4Z1	0.0025563789236295	0.145159056378348	0.637607572745863	0.145159056378348
LRRC56	0.0025809528639836	0.198698996964586	0.637607572745863	0.198698996964586
ADGRG2	0.00275508436990072	0.199170453062059	0.670902402418966	0.199170453062059
ASAH1	0.00280368904227777	-0.0517588237005542	0.673122301615027	-0.0517588237005542
AARSD1	0.00300111459568296	-0.0714425466985765	0.701682235765045	-0.0714425466985765
AC010422.2	0.00302851013175293	-0.195512415321455	0.701682235765045	-0.195512415321455
RTF2	0.00314406398447271	-0.0807906262768322	0.701682235765045	-0.0807906262768322
BRF1	0.00329327022468438	-0.0531436394660015	0.701682235765045	-0.0531436394660015
AC104002.3	0.00331506441100285	-0.209388431219881	0.701682235765045	-0.209388431219881
AL133243.2	0.00331886350867951	0.127589705151857	0.701682235765045	0.127589705151857
AL354949.1	0.00336566217149317	-0.268054299558417	0.701682235765045	-0.268054299558417
AC063960.2	0.00336664467355049	-0.286416952887462	0.701682235765045	-0.286416952887462
ABCA2	0.00337439605682069	-0.0721644939999391	0.701682235765045	-0.0721644939999391
PGAM5	0.00339567142661226	0.132238724734009	0.701682235765045	0.132238724734009
ABCA8	0.00349210619081511	-0.36103700342137	0.701682235765045	-0.36103700342137
DGUOK	0.00349224629894269	-0.0700950563161667	0.701682235765045	-0.0700950563161667
GPR26	0.00349604989413345	0.202348876522208	0.701682235765045	0.202348876522208
EIF4E3	0.00350561209681092	-0.0650290703505664	0.701682235765045	-0.0650290703505664
KIAA0319L	0.00359446468422199	-0.0401758353833009	0.701682235765045	-0.0401758353833009
LAMP2	0.00366170402696005	-0.0776451679119806	0.701682235765045	-0.0776451679119806
AL365295.1	0.00369171514523503	-0.0833793821991511	0.701682235765045	-0.0833793821991511
MAOB	0.00379902832233955	-0.265984895458761	0.701682235765045	-0.265984895458761
AC024558.2	0.00383536642612345	-0.0837787268775707	0.701682235765045	-0.0837787268775707
ZNF433-AS1	0.00387888976959911	-0.167818836907624	0.701682235765045	-0.167818836907624
ATP6V0A2	0.00390930102288023	-0.0631295116489137	0.701682235765045	-0.0631295116489137
PIM1	0.00398650939840786	0.115190357976843	0.701682235765045	0.115190357976843
ACER1	0.00400689507399726	0.279899019335628	0.701682235765045	0.279899019335628
ZNF189	0.00407101105249978	0.0684287288257739	0.701682235765045	0.0684287288257739
KAT2A	0.0041422058013984	0.0557923942229019	0.701682235765045	0.0557923942229019
AC084125.4	0.00414804883979423	0.163534895619645	0.701682235765045	0.163534895619645
APBA1	0.00420296869533338	-0.0326135418712639	0.701682235765045	-0.0326135418712639
AC124798.1	0.00428759287630308	-0.0831675603004194	0.701682235765045	-0.0831675603004194
OR2M2	0.00434051443669943	0.28807016977724	0.701682235765045	0.28807016977724
ITGA9	0.00448039922521702	-0.0683674654117241	0.701682235765045	-0.0683674654117241
DIP2C	0.00459208880586228	-0.0323743040078647	0.701682235765045	-0.0323743040078647
AC079600.3	0.00459989803782887	0.195394569829897	0.701682235765045	0.195394569829897
AC008770.3	0.0046560865699318	-0.283659115942009	0.701682235765045	-0.283659115942009
CALM2	0.00476842610307927	0.0785737634066332	0.701682235765045	0.0785737634066332
AC002064.1	0.00477032546136213	0.166922735659901	0.701682235765045	0.166922735659901
ZNF283	0.0047907611041287	0.0665620291324529	0.701682235765045	0.0665620291324529
AC244502.1	0.00483519301651369	-0.290812823046891	0.701682235765045	-0.290812823046891
UPRT	0.00483607233375045	-0.0926083477030819	0.701682235765045	-0.0926083477030819
AC093206.1	0.00495604762194148	-0.262386723586275	0.701682235765045	-0.262386723586275
SPOCD1	0.00499665461167255	-0.381299990474836	0.701682235765045	-0.381299990474836
GLT8D1	0.00500303013283699	0.0823650597797805	0.701682235765045	0.0823650597797805
NAPEPLD	0.00504697993863907	-0.036551851043074	0.701682235765045	-0.036551851043074
DOCK1	0.00504698762747706	-0.18527263690437	0.701682235765045	-0.18527263690437
OGT	0.00505174848199058	-0.0462314169799597	0.701682235765045	-0.0462314169799597
ERMN	0.00505770375676076	-0.488386800155044	0.701682235765045	-0.488386800155044
ASTE1	0.00506687139029731	0.121462274251658	0.701682235765045	0.121462274251658
CUL2	0.00510525537708926	-0.058249040356239	0.701682235765045	-0.058249040356239
GRID1	0.00510557718195588	-0.0350626989802805	0.701682235765045	-0.0350626989802805
RC3H2	0.00515871878882873	-0.0445902317630833	0.701682235765045	-0.0445902317630833
C12orf66	0.00529702288574416	-0.162895420496182	0.701682235765045	-0.162895420496182
AC107952.2	0.00530866909127935	0.147762562665608	0.701682235765045	0.147762562665608
NFYA	0.00532458854908815	-0.131017852488356	0.701682235765045	-0.131017852488356
CPSF4	0.00538248714754303	-0.093467891711038	0.701682235765045	-0.093467891711038
BBS5	0.00542946990565	-0.0596389034569707	0.701682235765045	-0.0596389034569707
AC116913.1	0.00551672978645647	0.247086092918995	0.701682235765045	0.247086092918995
GRIN3A	0.00564270791818057	0.0397211242739594	0.701682235765045	0.0397211242739594
TTYH1	0.00566727053245753	-0.249029533689592	0.701682235765045	-0.249029533689592
ARHGEF33	0.00571422149444378	-0.0892901220429163	0.701682235765045	-0.0892901220429163
OCRL	0.00572742681484622	0.062881066861835	0.701682235765045	0.062881066861835
NSUN2	0.00573054527480171	0.0596960998896799	0.701682235765045	0.0596960998896799
LINC00609	0.00574125951734521	-0.187961402591967	0.701682235765045	-0.187961402591967
MOB3C	0.00587894125551101	0.164993188285001	0.701682235765045	0.164993188285001
CRTC1	0.00595593558691871	0.0430592959961495	0.701682235765045	0.0430592959961495
DACT3-AS1	0.00601595736446125	0.0938830317966322	0.701682235765045	0.0938830317966322
SYCP2	0.00603186739117651	-0.118179597691256	0.701682235765045	-0.118179597691256
PPFIBP2	0.00605692912808208	-0.381270340686874	0.701682235765045	-0.381270340686874
C11orf80	0.00605774638932188	0.0357560757663514	0.701682235765045	0.0357560757663514
MAGED1	0.0060835081471606	0.0252007037482873	0.701682235765045	0.0252007037482873
AL355347.1	0.00611637134712309	-0.236865999756161	0.701682235765045	-0.236865999756161
NDUFB11	0.00612565385335368	0.138141202516453	0.701682235765045	0.138141202516453
