gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	2.24227237508313e-46	0.814380268850678	4.15044616627888e-42	0.814380268850678
TTTY14	6.83483793245961e-44	0.855811134730156	6.32564250649137e-40	0.855811134730156
NLGN4Y	2.57518035514173e-36	0.699325359343452	1.58888627912245e-32	0.699325359343452
UTY	1.80979897544335e-32	0.580139426489902	8.37484475886412e-29	0.580139426489902
KDM5D	1.03308643305058e-23	0.551887571416761	3.82448597515324e-20	0.551887571416761
TTTY10	1.81505386037771e-13	0.315201115243871	5.51689333976697e-10	0.315201115243871
DDX3Y	2.08634540131652e-13	0.331719010007088	5.51689333976697e-10	0.331719010007088
ZFY	7.21296550851524e-10	0.24191841141452	1.66889989453271e-06	0.24191841141452
RPS4Y1	2.22771263939119e-08	0.266769401593648	4.58166232834789e-05	0.266769401593648
AC244502.1	3.15840906494628e-06	-0.404971327706774	0.00584621517921557	-0.404971327706774
CFAP298	1.56617302216744e-05	-0.0515215339802878	0.0263544205821086	-0.0515215339802878
LINC00326	2.61497352397431e-05	0.381834887971387	0.0403359666073037	0.381834887971387
LINC01515	4.71191466140371e-05	-0.884187574800442	0.0670904156789098	-0.884187574800442
AC027796.1	5.69034929419271e-05	0.136837442579692	0.0752345467396478	0.136837442579692
COQ7	0.000114049149405209	-0.0745761952217337	0.140736650366028	-0.0745761952217337
AL713852.2	0.000170669866418264	-0.222934682246381	0.192583147000837	-0.222934682246381
EMILIN2	0.000176872690384345	-0.202883944070799	0.192583147000837	-0.202883944070799
RHD	0.000218742735193816	-0.209994624821941	0.224940446024307	-0.209994624821941
AL035416.1	0.000296618908860632	-0.20976654537845	0.278695747491447	-0.20976654537845
AC126773.3	0.000317179367546527	-0.162795292702054	0.278695747491447	-0.162795292702054
SAMD1	0.000341150694885753	-0.0899505576559121	0.278695747491447	-0.0899505576559121
OTOGL	0.000341485857976026	-0.34817588057431	0.278695747491447	-0.34817588057431
LINC01578	0.000367013486054011	-0.0388103519863182	0.278695747491447	-0.0388103519863182
FKBP14	0.000376883550078713	-0.0565322901713584	0.278695747491447	-0.0565322901713584
RPUSD3	0.000387976654861832	-0.0571072670506466	0.278695747491447	-0.0571072670506466
REEP3	0.000391468905174372	-0.0524534542768231	0.278695747491447	-0.0524534542768231
ARTN	0.000430357580889807	-0.195188569612071	0.290845258914174	-0.195188569612071
NIBAN1	0.000453176153531099	-0.205052504254991	0.290845258914174	-0.205052504254991
AC002470.1	0.000475344164558185	-0.245509104006742	0.290845258914174	-0.245509104006742
GPATCH11	0.000500127109754933	-0.0647546333453969	0.290845258914174	-0.0647546333453969
OR2L5	0.000509544256251343	0.115935826460026	0.290845258914174	0.115935826460026
ORMDL1	0.00051175435433035	-0.05445554726958	0.290845258914174	-0.05445554726958
UBXN8	0.000528311029996638	-0.0969913161628459	0.290845258914174	-0.0969913161628459
AP005059.2	0.00056027188409111	-0.285565816246098	0.290845258914174	-0.285565816246098
AC004034.1	0.00056669283582271	-0.161132124762561	0.290845258914174	-0.161132124762561
PDZD4	0.000571978700059279	0.0703678182171472	0.290845258914174	0.0703678182171472
HSPB1	0.000581376260390299	0.310629512987819	0.290845258914174	0.310629512987819
C17orf50	0.000619848483452853	-0.202018168443381	0.301931458650324	-0.202018168443381
POLR3F	0.000692978225330472	-0.046322492305941	0.322140185843208	-0.046322492305941
AL353768.1	0.000696143027213847	-0.247359390377968	0.322140185843208	-0.247359390377968
MUC4	0.000742436959055789	-0.245954525585999	0.335183124685918	-0.245954525585999
CACNA2D3	0.000776142731815719	-0.0964035268544774	0.342057189664499	-0.0964035268544774
HCK	0.00087326050806561	0.199634706302579	0.362130070038836	0.199634706302579
S1PR3	0.000875379308593494	-0.138847481069072	0.362130070038836	-0.138847481069072
KCTD6	0.000880381045475291	-0.0533013601539512	0.362130070038836	-0.0533013601539512
VWC2L	0.000921962048768323	0.0485352119457633	0.363187193847373	0.0485352119457633
AC008438.1	0.000934453370368286	-0.056666014897139	0.363187193847373	-0.056666014897139
SLC7A14	0.000941814441095295	-0.0304257777989691	0.363187193847373	-0.0304257777989691
AC019211.1	0.000997103189534533	-0.308550603565633	0.369470200797772	-0.308550603565633
NFYC-AS1	0.000998028635326236	-0.106361884211556	0.369470200797772	-0.106361884211556
SBK1	0.00106672760661736	0.046939271603308	0.37617836227964	0.046939271603308
SEPSECS	0.00106684125185447	-0.076168029694019	0.37617836227964	-0.076168029694019
APTR	0.00109703588927972	0.0507573053198188	0.37617836227964	0.0507573053198188
TMEM229A	0.0011096329989215	-0.118527504028002	0.37617836227964	-0.118527504028002
OR2M3	0.00115382398064871	0.144734833157751	0.37617836227964	0.144734833157751
PIK3R1	0.00117168892639499	-0.0511191249669954	0.37617836227964	-0.0511191249669954
GPR82	0.00117579112758164	-0.214618265158419	0.37617836227964	-0.214618265158419
BBS7	0.00117994186769322	-0.0349603223068828	0.37617836227964	-0.0349603223068828
RAPGEF6	0.00119905582790377	-0.0285043681951919	0.37617836227964	-0.0285043681951919
AL078581.4	0.0012719823182986	-0.188584888192434	0.3881242258558	-0.188584888192434
MAP3K9	0.00127906957197211	0.026779874381483	0.3881242258558	0.026779874381483
SOX5-AS1	0.00136403735847786	-0.174155734961714	0.402108007815829	-0.174155734961714
CCNC	0.00136860099904901	-0.038343099440993	0.402108007815829	-0.038343099440993
C4orf48	0.00140669080586257	0.172597504332659	0.406841356508065	0.172597504332659
ZNF330	0.0014990068266069	-0.0591615410012046	0.425268376900009	-0.0591615410012046
BID	0.00151635401811997	0.0742289070043763	0.425268376900009	0.0742289070043763
AC004949.1	0.00155894310231531	0.168132520807607	0.430687116773975	0.168132520807607
SIAE	0.00159426117389687	-0.0630535295182559	0.433967269541635	-0.0630535295182559
TSNAX	0.00165338340492917	-0.0360685229916695	0.443538069931	-0.0360685229916695
SH3PXD2A-AS1	0.00169216531288171	-0.207843142112647	0.447456856306292	-0.207843142112647
AC125793.1	0.00180458009373475	-0.206050097786315	0.45618232486804	-0.206050097786315
AC073525.1	0.00181410877887052	-0.177043700150885	0.45618232486804	-0.177043700150885
LPIN2	0.00182422194985639	-0.0311009182788777	0.45618232486804	-0.0311009182788777
CCDC39	0.00187929579341665	-0.145602237773111	0.45618232486804	-0.145602237773111
ZNF697	0.00191178466120704	-0.0790920065390093	0.45618232486804	-0.0790920065390093
SLC35E4	0.00193306469773881	0.0445027913222143	0.45618232486804	0.0445027913222143
STARD13-AS	0.0019541537634973	-0.149635147763814	0.45618232486804	-0.149635147763814
PCSK5	0.00196223949476502	-0.116979532612026	0.45618232486804	-0.116979532612026
RBM7	0.00196706092892164	0.065545316263	0.45618232486804	0.065545316263
AP001099.1	0.00197161458613956	0.137881279204065	0.45618232486804	0.137881279204065
SBNO1-AS1	0.00211687035355774	-0.116854053707242	0.48011020497138	-0.116854053707242
AC091132.2	0.00215933148948656	-0.207813685288867	0.48011020497138	-0.207813685288867
PM20D1	0.00219392979204092	-0.193344187562124	0.48011020497138	-0.193344187562124
AL133259.1	0.00220166463795814	-0.207769290561434	0.48011020497138	-0.207769290561434
CUL2	0.00220472001202417	-0.0328000893000742	0.48011020497138	-0.0328000893000742
SPINK8	0.0022810888641433	-0.207615588041354	0.486268947892446	-0.207615588041354
AC132192.1	0.00231169303030925	-0.207159178046501	0.486268947892446	-0.207159178046501
AC005252.4	0.00231181347458321	-0.194260942266672	0.486268947892446	-0.194260942266672
FBN2	0.00234812122748637	-0.191741280945631	0.488356448548009	-0.191741280945631
AURKA	0.00255832763269567	-0.103428016456122	0.526162716457743	-0.103428016456122
AC009975.1	0.00262670383213793	-0.17324432196564	0.53428887838322	-0.17324432196564
FAM201A	0.00267684981087822	-0.0743156070516236	0.536708663523288	-0.0743156070516236
LINC01003	0.00269659134023046	-0.110737415236117	0.536708663523288	-0.110737415236117
ELP3	0.00274241452273866	-0.0301446123002864	0.538302766007871	-0.0301446123002864
SLC25A18	0.00276965182025575	-0.211889932386226	0.538302766007871	-0.211889932386226
AP4B1-AS1	0.0028085705400886	-0.144597160567782	0.538302766007871	-0.144597160567782
LINC01772	0.00282092751500613	-0.119521386044872	0.538302766007871	-0.119521386044872
AL356113.1	0.00287537220607898	-0.185493870188256	0.543093260556346	-0.185493870188256
CHMP6	0.00296893196457964	0.0651809843917515	0.548847463865796	0.0651809843917515
AL353604.1	0.00298072010339404	-0.194073303184323	0.548847463865796	-0.194073303184323
TMEM243	0.00302130223612441	-0.052246703728576	0.548847463865796	-0.052246703728576
AC005280.2	0.00302444307478721	0.162416930986489	0.548847463865796	0.162416930986489
TRHDE	0.00306273525705119	-0.0806878451993748	0.55040028745648	-0.0806878451993748
AL359643.2	0.00310550159553263	-0.0983927691307134	0.55170315561106	-0.0983927691307134
RELT	0.00315255166353795	-0.0788210886797602	0.55170315561106	-0.0788210886797602
AC016493.1	0.0032319469852737	-0.211848000621454	0.55170315561106	-0.211848000621454
ETS2	0.00328999852620066	-0.0532303576938787	0.55170315561106	-0.0532303576938787
CCNG2	0.00334190833315525	-0.0564584175614586	0.55170315561106	-0.0564584175614586
FA2H	0.00335111142690322	-0.257589006579925	0.55170315561106	-0.257589006579925
C3orf62	0.00339919060669507	0.0511418429476253	0.55170315561106	0.0511418429476253
