gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	2.60807762667564e-27	0.580483496937094	4.42877661785791e-23	0.580483496937094
NLGN4Y	6.59821075430269e-25	0.570343799001092	5.6022108409407e-21	0.570343799001092
UTY	2.40154905801852e-20	0.453074761748827	1.35935681847375e-16	0.453074761748827
TTTY14	6.09507447763249e-18	0.341402418506393	2.58751149261693e-14	0.341402418506393
KDM5D	2.74799724279834e-10	0.320697399562254	9.33274823599173e-07	0.320697399562254
LINC01515	1.09394208625887e-06	-0.793507195590048	0.00309603842779364	-0.793507195590048
TTTY10	3.99813478410558e-06	0.201058413520099	0.00969890382412811	0.201058413520099
TMEM94	5.09079102157511e-05	0.0606355494757573	0.108058402921709	0.0606355494757573
FAM181B	6.25518939391316e-05	-0.301928199710405	0.118021523442266	-0.301928199710405
AC025627.1	9.13278771644309e-05	-0.220758599999384	0.15508386821292	-0.220758599999384
ZNF350	0.000145029877924771	-0.163839183903404	0.223886577912776	-0.163839183903404
CCNY	0.000193828982027519	-0.0400658382163666	0.274284161984108	-0.0400658382163666
MIF4GD	0.000233730984379997	-0.185542066572764	0.305306603519748	-0.185542066572764
GSTO1	0.000261926370647025	-0.0978378801392091	0.317697978568366	-0.0978378801392091
BVES-AS1	0.000324423832876477	0.182978703659824	0.367269407071697	0.182978703659824
FGF1	0.00039434308881506	-0.173723694117633	0.418521249448033	-0.173723694117633
PCDH1	0.000423445841594394	0.0865401206183834	0.421951211753606	0.0865401206183834
WASHC1	0.000465134697348886	0.0899666188376066	0.421951211753606	0.0899666188376066
PSPH	0.00047212019453027	0.0851909294333056	0.421951211753606	0.0851909294333056
AC244502.1	0.00053758713142457	-0.301276586097532	0.422124378530108	-0.301276586097532
RAD9A	0.000543240506308401	0.0502067456107181	0.422124378530108	0.0502067456107181
FAM122A	0.000553466142125355	0.128922427692662	0.422124378530108	0.128922427692662
RPL26	0.000578218387281045	0.167550964955889	0.422124378530108	0.167550964955889
PLAC8L1	0.000596607095266626	0.104432569727938	0.422124378530108	0.104432569727938
HGF	0.000753991164907152	0.160163848950989	0.512140958851534	0.160163848950989
NPTN-IT1	0.000830408226856388	0.103801540229328	0.542352388471089	0.103801540229328
LRRC20	0.000876333252189945	-0.0812788985011998	0.551148702053239	-0.0812788985011998
ALK	0.000939583701349833	0.0794484226479394	0.567865394550725	0.0794484226479394
SVIP	0.00100667117489071	0.0847168387371348	0.567865394550725	0.0847168387371348
RPS17	0.00105196617726743	0.172553726171071	0.567865394550725	0.172553726171071
AC069277.1	0.00105996473982409	-0.358261793480066	0.567865394550725	-0.358261793480066
CCNT2	0.00110714784828539	-0.040302468800187	0.567865394550725	-0.040302468800187
RPL7	0.00115857915295944	0.182590372278636	0.567865394550725	0.182590372278636
DCST2	0.00116632373430151	-0.264542505206523	0.567865394550725	-0.264542505206523
COL24A1	0.0011842769102356	-0.230889539084086	0.567865394550725	-0.230889539084086
ZC2HC1B	0.00120388399998976	-0.2385535831956	0.567865394550725	-0.2385535831956
GPR156	0.00128444873837302	0.240368420949957	0.569790936560639	0.240368420949957
RSPH1	0.00134247700911675	-0.113524037437934	0.569790936560639	-0.113524037437934
AC007364.1	0.00136075228865647	-0.0485986610501701	0.569790936560639	-0.0485986610501701
MIER2	0.00146786348276058	0.0923461851871126	0.569790936560639	0.0923461851871126
LIMK2	0.00156098935544074	0.0842537411576518	0.569790936560639	0.0842537411576518
ANKRD44	0.00158240990268013	-0.0480031102116905	0.569790936560639	-0.0480031102116905
AC005736.1	0.00167900370947152	0.163644104302565	0.569790936560639	0.163644104302565
SURF1	0.00167977012103866	-0.136398346002836	0.569790936560639	-0.136398346002836
ARHGAP12	0.00168254534740203	0.0337094035844917	0.569790936560639	0.0337094035844917
PPWD1	0.00168578407507282	-0.0489422906229429	0.569790936560639	-0.0489422906229429
