logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.1880537210959	0.406635170945479	4.78025338454439	-0.00525956908029637	-0.201201476549187	-0.0218638185637367	-4.30146321670121e-07	-1.16736975087934e-05	0.0612884300867932	0.0478713354677577	0.125113513953142	0.00699747498181143	0.146685867254174	0.0988758992926281	3.20250560404221e-06	2.08484657819157e-05	0	1.99068991907591e-17	2.1277925169445e-319	0.452268700454258	0.170172830958776	0.824996007813353	0.89315305257878	0.575526659479336	36514	TTTY14	3.98137983815182e-13	0.406635170945479	0.33512267531842	0.122797027601757	1	NBGMM (HL)
-10.7042121633629	0.247776723304106	5.2661652855105	0.00321057090593273	-0.0731089685305348	0.0334013126126705	6.16842410286645e-06	-3.42886753262131e-05	0.0778000758133987	0.0453753699660061	0.154382335990631	0.00584561427418581	0.129236298577637	0.0841002082759373	4.35623989698922e-06	2.76121354242208e-05	0	4.74529402339254e-08	5.03424119343482e-255	0.582849476136437	0.571597764565808	0.691248829053326	0.156776283516704	0.214311357723738	36501	NLGN4Y	0.000474529402339254	0.247776723304106	0.188697284952539	0.315020372637015	1	NBGMM (HL)
-11.391059489509	0.170738234189592	-0.0736769095614013	-0.0130970194196899	0.107891262934669	-0.0883267513405403	-4.3564964172501e-06	-1.67194848049394e-05	0.0590208836203907	0.0415388056064454	0.0898921655701744	0.011183530212774	0.129747615846406	0.100587428336142	7.30339825107979e-06	5.55284085110243e-05	0	3.95092611914546e-05	0.412435985986559	0.241559044323511	0.405664591867392	0.379884433189435	0.550839483483734	0.76333987511899	32804	ZNF547	0.197796672759611	0.170738234189592	0.0261438397553	0.00100000024993438	1	NBGMM (HL)
-10.0336203815062	-0.0967449138794352	-0.0103617989593181	0.00193099291948327	0.0234964055102862	0.0308731100925653	2.46078975946746e-06	1.70976044087681e-06	0.0313822412328359	0.0236863275017616	0.0465350767471031	0.004988325240787	0.068433305750931	0.0516411896293132	3.45230412761084e-06	2.75427611922794e-05	0	4.41870130859293e-05	0.823795137929544	0.698680364296539	0.731337038684855	0.54994745660895	0.475971788470764	0.950501846828543	18011	PARG	0.197796672759611	-0.0967449138794352	0.0146154012676142	0.0595198901234751	1	NBGMM (HL)
-13.3418594182163	0.400435382860012	-0.205271474252531	0.0310186790660387	0.123516462875751	-0.117396276355795	2.90064792858382e-05	-0.000277293692375743	0.151125305256534	0.0986727792264891	0.236833029264916	0.0188203894666778	0.34224065356503	0.262651167736234	1.61633721937799e-05	0.000130911757378925	0	4.94491681899027e-05	0.386087226906467	0.0993234838547806	0.718170247694696	0.654899239130087	0.072720495880771	0.0341604561105858	30983	AC092068.2	0.197796672759611	0.400435382860012	1e-04	0.305652248650788	1	NBGMM (HL)
-13.8851542601343	-0.633449801116342	-0.0270295637098272	-0.0264873765499556	-0.482479292170558	-0.012434640326664	-8.95796549385552e-05	0.000570114481027984	0.215540564968166	0.159759725795249	0.265816237903362	0.0341061748652367	0.410073539251361	0.285853870435946	3.12232357799693e-05	0.000209210945123404	0	7.33911547463773e-05	0.919006590562876	0.437385783682215	0.239368085196515	0.96530297299736	0.00411763814647105	0.00642878455453501	11219	AL031768.2	0.244637182487924	-0.633449801116342	0.00541794209147676	3.01761011085682	1	NBGMM (HL)
-13.844703333504	0.467617753646226	0.236449612430015	0.0178190170067465	0.808429050024202	0.279075066843809	1.57555656662045e-05	-0.000153047480906485	0.197437430679689	0.119596093806339	0.288415826426378	0.0282221963688128	0.418487090998784	0.349735280135089	2.1161049903307e-05	0.00016866638905587	0	9.23056203838333e-05	0.412317641335495	0.527790082532847	0.0533854684783189	0.424893200577736	0.456540775915356	0.364196564733056	369	UQCRHL	0.263730343953809	0.467617753646226	0.006360358492558	0.147380134433956	1	NBGMM (HL)
-14.0176835709956	0.637521608840671	0.0918318376951209	0.0372627748322295	-0.0906942546859686	-0.0803630137536235	-3.41920637057657e-05	0.000150772665898782	0.236101538454882	0.164937252236419	0.36065591349078	0.0356533978151507	0.575371604919093	0.391881096718999	3.31049049423635e-05	0.000227299078671215	0	0.000110981273646908	0.799013121523877	0.295958494260378	0.874750514716756	0.837517520073241	0.301678870470068	0.507123824260617	5570	IGFBP2	0.27745318411727	0.637521608840671	0.0105333034893646	19.4124733444937	1	NBGMM (HL)
-10.8529136993782	0.132945180786797	4.92164824469029	0.00371102630677709	-0.196265323393776	0.00216399275468613	-3.00687825896322e-06	9.37235415142529e-06	0.0787053420290714	0.0347112558439987	0.155278188545423	0.00493630245835066	0.101979379153092	0.0639339482402906	3.42574596595563e-06	2.35127769772232e-05	0	0.000128127193872732	1.78174726969174e-220	0.452181806264673	0.0542845633851593	0.972998902267356	0.380090536921567	0.69018290767479	36493	USP9Y	0.284727097494959	0.132945180786797	0.099472922370283	0.0908496458661239	1	NBGMM (HL)
-13.8132263843307	0.460727368092129	0.0637522496975	-0.0126488103010173	-0.0172774077270428	-0.00932906010972512	-1.61182140068092e-05	0.000102390773769053	0.206281752165607	0.126462209793291	0.293280312648844	0.0376413704840945	0.452989082902097	0.324722323976169	2.58882131211731e-05	0.000193923477898516	0	0.000269267418822477	0.827914938809641	0.736844626213873	0.96957534784534	0.977080451028761	0.533542015366727	0.597502279968826	2472	MYOCOS	0.40613401969502	0.460727368092129	0.000913024073357595	5.95610133856817	1	NBGMM (HL)
