gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.99068991907591e-17	0.406635170945479	3.98137983815182e-13	0.406635170945479
NLGN4Y	4.74529402339254e-08	0.247776723304106	0.000474529402339254	0.247776723304106
ZNF547	3.95092611914546e-05	0.170738234189592	0.197796672759611	0.170738234189592
PARG	4.41870130859293e-05	-0.0967449138794352	0.197796672759611	-0.0967449138794352
AC092068.2	4.94491681899027e-05	0.400435382860012	0.197796672759611	0.400435382860012
AL031768.2	7.33911547463773e-05	-0.633449801116342	0.244637182487924	-0.633449801116342
UQCRHL	9.23056203838333e-05	0.467617753646226	0.263730343953809	0.467617753646226
IGFBP2	0.000110981273646908	0.637521608840671	0.27745318411727	0.637521608840671
USP9Y	0.000128127193872732	0.132945180786797	0.284727097494959	0.132945180786797
MYOCOS	0.000269267418822477	0.460727368092129	0.40613401969502	0.460727368092129
LINC01515	0.000276296235379954	-1.00781910741882	0.40613401969502	-1.00781910741882
KRIT1	0.000305246959484195	-0.0580323755977982	0.40613401969502	-0.0580323755977982
CELSR2	0.00030545053006429	-0.0953195313980482	0.40613401969502	-0.0953195313980482
PYROXD1	0.000322200304194531	-0.135294941658126	0.40613401969502	-0.135294941658126
PNN	0.000323315048178462	-0.0834913327242769	0.40613401969502	-0.0834913327242769
AC130352.1	0.000328133324591574	0.583877193937517	0.40613401969502	0.583877193937517
RNH1	0.000361069398063788	-0.138551695791075	0.40613401969502	-0.138551695791075
PCMTD1	0.000365520617725518	-0.0484959298979274	0.40613401969502	-0.0484959298979274
AC016687.2	0.000392554548152681	0.877387237527037	0.413215313844927	0.877387237527037
ERICH3-AS1	0.00043576489473455	-0.520742697431739	0.415368134318186	-0.520742697431739
VAMP7	0.000450377004015073	-0.141981085301184	0.415368134318186	-0.141981085301184
PPM1F	0.000476974224657111	0.113629788435321	0.415368134318186	0.113629788435321
AL359706.1	0.000493356360564964	-0.220698760084802	0.415368134318186	-0.220698760084802
UTY	0.000498441761181823	0.144071396339405	0.415368134318186	0.144071396339405
NAP1L1	0.000643622716306679	-0.0427259391749462	0.41960886477262	-0.0427259391749462
EMILIN2	0.000653195546605295	-0.44948983889841	0.41960886477262	-0.44948983889841
LINC00159	0.000653271702608432	0.130808094756784	0.41960886477262	0.130808094756784
GSTA4	0.000663031693679639	-0.0592558644745358	0.41960886477262	-0.0592558644745358
MTRNR2L8	0.000664539909566431	0.294983584473301	0.41960886477262	0.294983584473301
DPCD	0.000685709813813799	-0.170926742412969	0.41960886477262	-0.170926742412969
LINC00486	0.000690144584154802	0.205821998397264	0.41960886477262	0.205821998397264
PLSCR5	0.000701110359679291	0.232590074692839	0.41960886477262	0.232590074692839
EBAG9	0.000737217040186275	-0.150661498776614	0.41960886477262	-0.150661498776614
SYT7	0.000739579214977116	0.0854471273549841	0.41960886477262	0.0854471273549841
ZKSCAN7-AS1	0.000754567218023396	-0.0988113502204771	0.41960886477262	-0.0988113502204771
PACRG-AS2	0.000755295956590716	0.609074543702979	0.41960886477262	0.609074543702979
Z83745.1	0.000790000344181334	-0.317374205688215	0.427027213070991	-0.317374205688215
