gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	4.40233856466731e-28	0.604859882664905	7.96206952805731e-24	0.604859882664905
TTTY14	3.45186267509702e-25	0.475781441950997	3.12151941709024e-21	0.475781441950997
USP9Y	2.55814910508593e-24	0.551689233910241	1.54222282381947e-20	0.551689233910241
UTY	6.43975884478865e-14	0.350348796204362	2.91173696167119e-10	0.350348796204362
PSMA3-AS1	4.08480006699214e-05	-0.063578363687482	0.14775538802324	-0.063578363687482
RPS4Y1	7.23407822025401e-05	0.212091408666148	0.218059231152523	0.212091408666148
DDX3Y	0.000108636465027652	0.141835242978032	0.280685586641445	0.141835242978032
RRAD	0.000174221581711947	-0.323269699275309	0.351123608160561	-0.323269699275309
NDUFV3	0.000192654133758659	0.0624481438801277	0.351123608160561	0.0624481438801277
RBL2	0.000194141108128144	-0.0557190794483051	0.351123608160561	-0.0557190794483051
AC093425.1	0.000233056609262602	0.285865702587699	0.383187439556675	0.285865702587699
SEPTIN8	0.000335643926795849	0.0616305551670748	0.475232333548661	0.0616305551670748
LINC01515	0.00036197211952076	-0.546298002178889	0.475232333548661	-0.546298002178889
DACH1	0.000367867558867701	0.0976123870525385	0.475232333548661	0.0976123870525385
KDM5D	0.000421305224800493	0.124381380741012	0.484421578062207	0.124381380741012
SCLY	0.000428549444266024	-0.0785633064657479	0.484421578062207	-0.0785633064657479
AL391121.1	0.00067211946933626	-0.220900289027513	0.698416763109682	-0.220900289027513
LIMCH1	0.000695095750081515	-0.027991903416066	0.698416763109682	-0.027991903416066
ABI3BP	0.000861536914983066	0.0432829340452808	0.713809898991182	0.0432829340452808
RPL36	0.000884494616723242	0.144576021686633	0.713809898991182	0.144576021686633
STK38	0.00101280581902664	0.06149056687318	0.713809898991182	0.06149056687318
AC008691.1	0.00107708850610692	-0.116930381900991	0.713809898991182	-0.116930381900991
PAK1IP1	0.00111465734191011	0.0972642588869375	0.713809898991182	0.0972642588869375
LPA	0.00112104077364186	0.107495897949428	0.713809898991182	0.107495897949428
THOC5	0.00112509845439292	-0.0796767175748498	0.713809898991182	-0.0796767175748498
AC006063.2	0.00125394424290617	0.280771940739831	0.713809898991182	0.280771940739831
AC104035.1	0.00127255275209068	-0.550486715238764	0.713809898991182	-0.550486715238764
C11orf95	0.00129669008835977	-0.168226264037784	0.713809898991182	-0.168226264037784
PCDH11Y	0.00133688095622575	0.11594397412314	0.713809898991182	0.11594397412314
C8orf31	0.00137915718089492	0.135656698850116	0.713809898991182	0.135656698850116
XRRA1	0.0014035067791691	-0.0831085073648463	0.713809898991182	-0.0831085073648463
EPHX2	0.00141655473205082	-0.0732742992820691	0.713809898991182	-0.0732742992820691
TOMM7	0.00142554845161766	0.135870551125148	0.713809898991182	0.135870551125148
C12orf73	0.00143554861282149	0.0763129052302141	0.713809898991182	0.0763129052302141
AC025171.2	0.00146037472061588	0.327797184848498	0.713809898991182	0.327797184848498
TFB1M	0.00153371318870897	-0.0598497534446879	0.713809898991182	-0.0598497534446879
RNF144A	0.00154720658258754	-0.0438624668527293	0.713809898991182	-0.0438624668527293
AC245140.2	0.00158186378114845	0.227715324546571	0.713809898991182	0.227715324546571
