gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.53203904784713e-20	0.426406470580674	2.65257240744252e-16	0.426406470580674
NLGN4Y	1.38356842715597e-15	0.362888200337917	1.19775518738892e-11	0.362888200337917
UTY	3.179911020002e-15	0.379265075594251	1.83523264667716e-11	0.379265075594251
USP9Y	9.53934210480945e-15	0.359780351759721	4.12910423006677e-11	0.359780351759721
LINC01515	3.57551317380432e-07	-0.751663667567022	0.00123812870182496	-0.751663667567022
AP000842.2	6.83510648909723e-05	-0.553268924606335	0.197238389587049	-0.553268924606335
AC069277.1	8.03967481146964e-05	-0.638838510151876	0.198855613836836	-0.638838510151876
DGCR2	9.3898503803306e-05	0.0661399730143232	0.203219836856305	0.0661399730143232
LYN	0.000112680999205294	0.401869111210098	0.21677320224894	0.401869111210098
SRPRA	0.000149324917865661	-0.159603694177621	0.258541162792606	-0.159603694177621
PTPRT	0.000164889379980813	-0.121768149111252	0.2595358840898	-0.121768149111252
MED6	0.000198166339344876	-0.0995888975241382	0.268087461998813	-0.0995888975241382
ZFP69	0.000201290112393703	-0.398131318718678	0.268087461998813	-0.398131318718678
HIF1A-AS1	0.000262292688142237	0.378744479332306	0.324381114463906	0.378744479332306
THUMPD1	0.000297301500273511	0.0831540378123749	0.343165211715704	0.0831540378123749
SFRP4	0.00032137999554631	-0.310051065050067	0.347773327680551	-0.310051065050067
MEIG1	0.00044828461300823	0.328644881680444	0.456564693507324	0.328644881680444
ANP32B	0.000566614033133613	0.103948384282219	0.506137163672669	0.103948384282219
GPR85	0.000612968584492183	0.118583324059836	0.506137163672669	0.118583324059836
PRKY	0.000622636073636392	0.243040488592937	0.506137163672669	0.243040488592937
MAMDC2	0.000632624035060134	0.176735719689721	0.506137163672669	0.176735719689721
ADPRHL1	0.000643122190181282	0.162534329068343	0.506137163672669	0.162534329068343
CYP4Z1	0.000761136820503201	0.174899247109419	0.509849908287331	0.174899247109419
TP53TG5	0.000762436868797632	-0.23169163598905	0.509849908287331	-0.23169163598905
NOL12	0.000797989362985214	-0.130315055252844	0.509849908287331	-0.130315055252844
RBCK1	0.00081572908367059	-0.0974753920906134	0.509849908287331	-0.0974753920906134
RAB1B	0.00087843723199262	-0.122033434775371	0.509849908287331	-0.122033434775371
ADGRG7	0.000880253213905682	0.465410784742547	0.509849908287331	0.465410784742547
SNRPD2	0.000890210360506318	0.159080858578565	0.509849908287331	0.159080858578565
ASMTL-AS1	0.000912652390856321	0.188500348321656	0.509849908287331	0.188500348321656
MCL1	0.000912865147101031	0.13251627479557	0.509849908287331	0.13251627479557
HNRNPC	0.00100382128543208	0.0428293258725361	0.543130054249093	0.0428293258725361
AC027117.2	0.00103952825947812	-0.204803701948904	0.545405826806189	-0.204803701948904
LENG1	0.00107217053562616	-0.325273424733908	0.545987078053862	-0.325273424733908
AC013640.1	0.00119350880306146	-0.43526070995315	0.58996799837425	-0.43526070995315
KIF5C	0.00122668637758305	-0.0278146120733769	0.58996799837425	-0.0278146120733769
GLS	0.00126820663404485	-0.0363821493347161	0.59345215302304	-0.0363821493347161
LINC01877	0.0014679900456071	-0.415903789280341	0.601905577488836	-0.415903789280341
CCDC125	0.00149315273523954	0.0860535370650357	0.601905577488836	0.0860535370650357
EPB41L4A	0.00151548282240806	-0.278359835363702	0.601905577488836	-0.278359835363702
AC099332.2	0.0015369303949451	0.341438063706297	0.601905577488836	0.341438063706297
AC126773.6	0.00154189770626847	0.139932546345306	0.601905577488836	0.139932546345306
AC112206.2	0.00159112323611982	0.221334241850871	0.601905577488836	0.221334241850871
APH1B	0.00160437130373014	-0.0845993799130209	0.601905577488836	-0.0845993799130209
AC013460.1	0.00161822746497485	-0.212302343926638	0.601905577488836	-0.212302343926638
AL512625.1	0.00163051281501145	0.264084831302797	0.601905577488836	0.264084831302797
UBE2G2	0.00165793283736032	0.0480613968918579	0.601905577488836	0.0480613968918579
EXOC3	0.00166867666163013	-0.0869279416352811	0.601905577488836	-0.0869279416352811
ARHGAP32	0.00184519664270484	-0.0352898072972936	0.616481710684584	-0.0352898072972936
MAST1	0.00184851702710392	0.0422910968790637	0.616481710684584	0.0422910968790637
UQCRQ	0.00185098987328618	0.199805167094498	0.616481710684584	0.199805167094498
OR2L2	0.00188465525640602	0.188198234215291	0.616481710684584	0.188198234215291
AC025171.1	0.00188711624502038	-0.153441657560453	0.616481710684584	-0.153441657560453
AL162411.1	0.00196843083475452	0.32045133819736	0.625506209315813	0.32045133819736
AL157938.3	0.00202180277856926	-0.320622563920782	0.625506209315813	-0.320622563920782
RPLP1	0.00208196122438449	0.138121326352916	0.625506209315813	0.138121326352916
GALNT11	0.00209037210696271	-0.0497557834482142	0.625506209315813	-0.0497557834482142
UBR3	0.00209625122726606	-0.030401581042582	0.625506209315813	-0.030401581042582
NOP56	0.00213150435194831	0.0736085751028574	0.625506209315813	0.0736085751028574
FHIT	0.00220867962275111	0.0607047464232294	0.629801316729585	0.0607047464232294
CDV3	0.00222151429379947	-0.1012396722906	0.629801316729585	-0.1012396722906
NAF1	0.00225526635308041	0.0666839169251062	0.629801316729585	0.0666839169251062
SLC25A28	0.00237715485247176	-0.0743038035212128	0.636517790576194	-0.0743038035212128
FAM161B	0.00238186426716313	-0.128125236480595	0.636517790576194	-0.128125236480595
LINC02798	0.00244472308574915	0.0733345912426079	0.636517790576194	0.0733345912426079
SNUPN	0.00262120885709811	0.111076790688088	0.636517790576194	0.111076790688088
LINC00200	0.00263033931354083	-0.148242456455942	0.636517790576194	-0.148242456455942
ABHD5	0.00267371511968211	-0.078156080535641	0.636517790576194	-0.078156080535641
HCN1	0.00274400165751671	0.034612997484093	0.636517790576194	0.034612997484093
DEK	0.00274658602093488	-0.0977712627629266	0.636517790576194	-0.0977712627629266
GART	0.00277028211003113	-0.0823517760711559	0.636517790576194	-0.0823517760711559
AL050341.2	0.00277050302037619	-0.236691769628871	0.636517790576194	-0.236691769628871
AL590235.2	0.00284333044789882	0.189127911714234	0.636517790576194	0.189127911714234
LINC02281	0.00286792134326927	-0.288628680263669	0.636517790576194	-0.288628680263669
ZBTB8OS	0.00296514805515156	0.0439543282658982	0.636517790576194	0.0439543282658982
BLNK	0.00303121699255123	0.472538020314796	0.636517790576194	0.472538020314796
AC090115.1	0.00308877410925192	-0.0846496578931198	0.636517790576194	-0.0846496578931198
ZNF563	0.00316008979796139	0.215326740769168	0.636517790576194	0.215326740769168
SCN1B	0.00317811021920078	-0.0852477762072823	0.636517790576194	-0.0852477762072823
CXXC1	0.00325524865725868	0.0917258403198668	0.636517790576194	0.0917258403198668
LPGAT1	0.00326376672393398	-0.0461142462369471	0.636517790576194	-0.0461142462369471
AC006116.8	0.00331811583750734	-0.311448052893965	0.636517790576194	-0.311448052893965
CSTF2	0.00333086210665761	-0.125254529785309	0.636517790576194	-0.125254529785309
AL445928.2	0.00333858636133302	-0.223683143016663	0.636517790576194	-0.223683143016663
GSKIP	0.00343323761164958	0.108055359334055	0.636517790576194	0.108055359334055
CDC123	0.00344650449692856	-0.0744527143785698	0.636517790576194	-0.0744527143785698
LINC01937	0.00354783350000493	-0.214752551651269	0.636517790576194	-0.214752551651269
LINC00486	0.0035666541780166	0.187633438715859	0.636517790576194	0.187633438715859
ARLNC1	0.00357535485201696	0.175287701404928	0.636517790576194	0.175287701404928
AL355347.1	0.00366714953679355	-0.411051135378002	0.636517790576194	-0.411051135378002
RPS27	0.00371204329492767	0.172847486340137	0.636517790576194	0.172847486340137
MINAR1	0.00371474993159697	-0.168721646296653	0.636517790576194	-0.168721646296653
AC034268.2	0.00377173915759155	-0.282850857338462	0.636517790576194	-0.282850857338462
TCHP	0.00381716791336121	-0.0733537285025396	0.636517790576194	-0.0733537285025396
AC027312.1	0.00384252682387093	-0.390581687627657	0.636517790576194	-0.390581687627657
CSRNP2	0.00384429563007046	-0.0719992834590723	0.636517790576194	-0.0719992834590723
USO1	0.00396964671132783	-0.0545279240152656	0.636517790576194	-0.0545279240152656
WASHC1	0.00397025234757644	0.0844703635076969	0.636517790576194	0.0844703635076969
AC104964.1	0.00397674849850588	-0.0924968687534659	0.636517790576194	-0.0924968687534659
MRRF	0.00398545471429932	-0.0789261383854952	0.636517790576194	-0.0789261383854952
