gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	6.24040263355006e-21	0.545061929577333	8.35652316658689e-17	0.545061929577333
NLGN4Y	2.35193334275314e-18	0.507247411595298	1.57473696964036e-14	0.507247411595298
LINC00278	2.71618238428793e-16	0.511266753705537	1.21241327693332e-12	0.511266753705537
USP9Y	8.13146085736557e-14	0.406851573504698	2.72220980852456e-10	0.406851573504698
LINC00486	2.48627262305104e-05	0.308234110210227	0.0620310395300668	0.308234110210227
NR4A3	3.1130163393336e-05	-0.470502718939465	0.0620310395300668	-0.470502718939465
AC138627.1	3.24260530737411e-05	0.223623534172375	0.0620310395300668	0.223623534172375
NFKBID	6.05427665927616e-05	-0.144782392004852	0.101341023430459	-0.144782392004852
BTG2	9.216308353865e-05	-0.108891677305223	0.137128427962896	-0.108891677305223
PRXL2C	0.000109868675972749	-0.110178069864057	0.147125143995108	-0.110178069864057
ZNF558	0.000156799179595583	0.0910716848082561	0.179308048717528	0.0910716848082561
DPY19L3	0.000160682292928858	0.0548296251488047	0.179308048717528	0.0548296251488047
RPS6KA2	0.000183718791556968	-0.0693618137365586	0.189244487518413	-0.0693618137365586
MED4	0.000215946703692551	0.0459170753853928	0.206553022081925	0.0459170753853928
NPIPB13	0.000255801212781247	0.153616155773826	0.228362269356912	0.153616155773826
AC113143.3	0.000356786762574557	0.115345940387474	0.298608221102243	0.115345940387474
IL7	0.000400939622519825	-0.255699412430045	0.31142009174335	-0.255699412430045
AC022182.1	0.000438987471223903	0.100514414105348	0.31142009174335	0.100514414105348
MELK	0.000441862575096979	-0.412446618675953	0.31142009174335	-0.412446618675953
C3orf33	0.000466978503403938	0.137225130082796	0.312665456954107	0.137225130082796
NPFFR1	0.000596596907648421	-0.337725274580615	0.38042996144381	-0.337725274580615
RUNX1T1	0.000665668133000863	0.244863629012151	0.405180089500662	0.244863629012151
TTTY10	0.000769156173532657	0.238346832982187	0.447816100859818	0.238346832982187
RPS28	0.000807397359807863	0.146853119053564	0.450494085216129	0.146853119053564
WWTR1	0.000940936495769582	0.125896205847744	0.463219713200234	0.125896205847744
GSTK1	0.000991305424981125	-0.0738555935129284	0.463219713200234	-0.0738555935129284
KIF4A	0.0010895146802245	-0.377030879524399	0.463219713200234	-0.377030879524399
NEMP2	0.00111696305527287	-0.112882585088782	0.463219713200234	-0.112882585088782
KIF18B	0.00113110542396744	-0.44675895409509	0.463219713200234	-0.44675895409509
AC096667.1	0.00115852216679008	-0.250301038256824	0.463219713200234	-0.250301038256824
KCNIP1	0.00118692505593902	-0.0998616422779839	0.463219713200234	-0.0998616422779839
MSH2	0.00120108468358492	0.100319413274883	0.463219713200234	0.100319413274883
TNNI2	0.00126176817332282	-0.176135075469879	0.463219713200234	-0.176135075469879
LINC01515	0.00127909372672355	-0.40572132749156	0.463219713200234	-0.40572132749156
DOCK4-AS1	0.00128152287026262	-0.214056324363083	0.463219713200234	-0.214056324363083
NR4A2	0.00130801472729003	-0.20653062622917	0.463219713200234	-0.20653062622917
PADI2	0.00133994376298935	-0.110086220604621	0.463219713200234	-0.110086220604621
CLCN7	0.00143880926474014	-0.0549997658914857	0.463219713200234	-0.0549997658914857
CABYR	0.00144367836648073	0.120601722686108	0.463219713200234	0.120601722686108
FAM49B	0.00146446147181643	-0.0228940426503241	0.463219713200234	-0.0228940426503241
TRMT10C	0.00146601049157151	0.140256650826277	0.463219713200234	0.140256650826277
IER2	0.00147112042876736	-0.1103211474868	0.463219713200234	-0.1103211474868
ANKDD1A	0.00152119013089508	-0.109080933507659	0.463219713200234	-0.109080933507659
EGR1	0.00154548258005535	-0.330657491519528	0.463219713200234	-0.330657491519528
CERNA2	0.00156584415569229	-0.198456229306499	0.463219713200234	-0.198456229306499
ZFP36	0.00159122595827128	-0.137305905028601	0.463219713200234	-0.137305905028601
MCOLN2	0.00165483044695823	-0.221537686627193	0.471485840749311	-0.221537686627193
JUNB	0.00175554770068002	-0.116264588010739	0.489461261451447	-0.116264588010739
HNRNPA3	0.0017910239572191	-0.0310358455072699	0.489461261451447	-0.0310358455072699
LINC00649	0.00187686514671933	0.182256905865537	0.502662023594371	0.182256905865537
SRGN	0.00192883175453828	-0.125805861898324	0.506450706372981	-0.125805861898324
FMNL1	0.00206965747759113	-0.0432254461565125	0.524460941732212	-0.0432254461565125
STAM-AS1	0.00210881150029103	-0.172930933124422	0.524460941732212	-0.172930933124422
HACD1	0.0021412428747315	0.174865889092744	0.524460941732212	0.174865889092744
Z98884.1	0.0021540849671624	0.175458626915109	0.524460941732212	0.175458626915109
ZNF185	0.00227216629902594	0.104339432883848	0.527329530891495	0.104339432883848
PTCD2	0.00230086715628951	0.0722393767666581	0.527329530891495	0.0722393767666581
ADNP	0.00231231692410863	0.0222520348059402	0.527329530891495	0.0222520348059402
COX4I1	0.00235076861772145	0.237561656647267	0.527329530891495	0.237561656647267
STK24	0.00236276393499288	-0.0355783706331694	0.527329530891495	-0.0355783706331694
NBPF20	0.00244421816757652	0.131017544655292	0.536565991508478	0.131017544655292
EMP3	0.0025662523539653	-0.116222111366868	0.541170935110874	-0.116222111366868
LBH	0.00259080826530861	0.143988118740191	0.541170935110874	0.143988118740191
AC136604.2	0.00267663169112453	0.18378035310977	0.541170935110874	0.18378035310977
AL136441.1	0.00274626992428139	0.125116741650384	0.541170935110874	0.125116741650384
ING1	0.00284878418012697	-0.126909141444881	0.541170935110874	-0.126909141444881
AC092910.3	0.00285025196173025	0.101725131314861	0.541170935110874	0.101725131314861
IFITM10	0.00286043035897775	-0.165369406728886	0.541170935110874	-0.165369406728886
AP002433.2	0.00290926491312887	0.124199001412796	0.541170935110874	0.124199001412796
WDR92	0.00298681268791158	0.0610858339604808	0.541170935110874	0.0610858339604808
GALK1	0.00307618679990037	-0.117242930220815	0.541170935110874	-0.117242930220815
ZNF454	0.00310240523409962	0.142483657980252	0.541170935110874	0.142483657980252
CXCR4	0.00314329433751069	-0.201379918929046	0.541170935110874	-0.201379918929046
NTMT1	0.00316133768044439	-0.0767909914234763	0.541170935110874	-0.0767909914234763
RGS16	0.00317153753791518	-0.160887888023751	0.541170935110874	-0.160887888023751
ATF3	0.00318356533011581	-0.161342608593925	0.541170935110874	-0.161342608593925
GLA	0.00322552969154268	-0.116545140453257	0.541170935110874	-0.116545140453257
LMF1	0.00328569367619336	0.0450733013404863	0.541170935110874	0.0450733013404863
GABPB2	0.00334832701839714	0.0612255382013861	0.541170935110874	0.0612255382013861
AC079298.3	0.00336978149325758	-0.232041304443704	0.541170935110874	-0.232041304443704
AC016727.1	0.00337021969734863	0.113422405124056	0.541170935110874	0.113422405124056
RMRP	0.00337514967068966	0.188407423349825	0.541170935110874	0.188407423349825
ARMCX6	0.00338279212928592	-0.0870072598923925	0.541170935110874	-0.0870072598923925
MAF	0.00345227352518354	0.0687699158471104	0.541170935110874	0.0687699158471104
NXPE3	0.00350028467592139	0.0689704793570713	0.541170935110874	0.0689704793570713
DNHD1	0.00351140398558287	-0.0534786051322398	0.541170935110874	-0.0534786051322398
PLCE1	0.00351593393731954	-0.161732790824527	0.541170935110874	-0.161732790824527
NMT1	0.00364844270686899	0.0459364884701947	0.545593732315895	0.0459364884701947
MKNK1	0.00365995043232475	0.0461773021773435	0.545593732315895	0.0461773021773435
C2orf74	0.00366689835773509	0.103848901559259	0.545593732315895	0.103848901559259
NSD1	0.0038083643817779	0.0243292206696267	0.559303517264854	0.0243292206696267
CEP89	0.00385835730922065	0.0470361478590047	0.559303517264854	0.0470361478590047
CSNK1G2	0.00393101260657773	-0.050244987850743	0.559303517264854	-0.050244987850743
CLUAP1	0.00393461921651267	0.116183754466515	0.559303517264854	0.116183754466515
IL1B	0.00397212106247493	-0.189005259834685	0.559303517264854	-0.189005259834685
ZNF782	0.00400964361566918	0.037405284193807	0.559303517264854	0.037405284193807
CLEC4E	0.00418753081555338	-0.227693140480765	0.578095104650261	-0.227693140480765
PTGES2	0.00436930036404571	-0.104456907367843	0.592324014406974	-0.104456907367843
PTGER4	0.00441470939944685	-0.154046988845687	0.592324014406974	-0.154046988845687
ZNF320	0.00442329933841366	0.091109951447176	0.592324014406974	0.091109951447176
AC130895.1	0.00447880363620209	0.106466948754098	0.593159079411097	0.106466948754098
ZNF425	0.00451812606227555	0.099473225163942	0.593159079411097	0.099473225163942
SSX2IP	0.00457362437207256	0.275117601273328	0.59461557248955	0.275117601273328
MKNK1-AS1	0.00471787616071575	0.181744135596143	0.600817367628655	0.181744135596143
ETV6	0.0047622100551601	-0.0469752852641559	0.600817367628655	-0.0469752852641559
AC145285.6	0.00478577542683176	-0.153191878324632	0.600817367628655	-0.153191878324632
A2ML1-AS1	0.00480079593281055	-0.16345631168744	0.600817367628655	-0.16345631168744
SNU13	0.00489059958784573	0.121053164707066	0.606389065563353	0.121053164707066
INTS1	0.0050500342560652	0.0631383796368691	0.619175652538953	0.0631383796368691
BACE1-AS	0.00520793076239006	0.11066829050194	0.619175652538953	0.11066829050194
UQCR10	0.00522878179766941	0.226252709501602	0.619175652538953	0.226252709501602
ZNF254	0.00524911429709967	-0.0340675765104	0.619175652538953	-0.0340675765104
ZNF331	0.00527239394705423	-0.0820369703709425	0.619175652538953	-0.0820369703709425
AC009228.1	0.0053403216014224	-0.177450473685883	0.619175652538953	-0.177450473685883
ITGA4	0.00535356092874859	-0.206097874831017	0.619175652538953	-0.206097874831017
ASTE1	0.00536363047528329	0.0896839430380454	0.619175652538953	0.0896839430380454
AC133065.1	0.00544367299267773	-0.142385418176281	0.623044658503824	-0.142385418176281
LINC00205	0.00549125326801762	0.0732175242460459	0.623164173830711	0.0732175242460459
CCL2	0.00561194776624439	-0.275351956156749	0.624303316889126	-0.275351956156749
MTO1	0.00562376757535388	0.0472021131135905	0.624303316889126	0.0472021131135905
CYP39A1	0.00564115460709314	0.283155968610897	0.624303316889126	0.283155968610897
CENPQ	0.00574835075208145	0.0769564293799291	0.625003182515734	0.0769564293799291
ZNF880	0.00575890746895141	-0.134940186136347	0.625003182515734	-0.134940186136347
PTGR2	0.00578749866566732	0.0779252361095654	0.625003182515734	0.0779252361095654
HIF1A-AS3	0.00606444547014424	-0.163008821079043	0.640564976119739	-0.163008821079043
ZNF181	0.00611693480566216	0.121088102547666	0.640564976119739	0.121088102547666
AC027243.3	0.00615964044466139	-0.140026794152323	0.640564976119739	-0.140026794152323
SOD1	0.0061989848884697	0.358987092866457	0.640564976119739	0.358987092866457
GLIDR	0.00624240581306221	0.148318911824385	0.640564976119739	0.148318911824385
SEL1L3	0.00629762648012788	-0.276255172261405	0.640564976119739	-0.276255172261405
HLA-B	0.00635531243142825	0.0964360535243829	0.640564976119739	0.0964360535243829
CD44	0.00644186682859201	-0.155811968739361	0.640564976119739	-0.155811968739361
CBX1	0.00644748586267017	0.100691593078679	0.640564976119739	0.100691593078679
AC083862.3	0.00645558406417705	-0.147510960115789	0.640564976119739	-0.147510960115789
PORCN	0.00646787694162478	0.179358893626567	0.640564976119739	0.179358893626567
RNF6	0.00650562592429875	0.0866715595053568	0.640564976119739	0.0866715595053568
AC007285.1	0.00657447027549639	0.0947593220339081	0.642618477804176	0.0947593220339081
MORC2	0.00677830173124437	0.0550744877617064	0.656300440269332	0.0550744877617064
DNAL1	0.00684200621533915	-0.118633238882922	0.656300440269332	-0.118633238882922
ZNF845	0.00695250157982189	0.0766903166646301	0.656300440269332	0.0766903166646301
PRKY	0.00696678674729292	0.0891018805045617	0.656300440269332	0.0891018805045617
ALOX15B	0.00696973559876523	-0.162510202599195	0.656300440269332	-0.162510202599195
PBDC1	0.00710963068948988	-0.102544375851914	0.656300440269332	-0.102544375851914
AC108519.1	0.00714401212584016	0.0784754203929116	0.656300440269332	0.0784754203929116
PLEKHH2	0.00714417580201669	0.131565332424954	0.656300440269332	0.131565332424954
AKR1B1	0.0071555421013608	-0.0631644979925125	0.656300440269332	-0.0631644979925125
GARS-DT	0.00729099602217534	0.0274432273769321	0.657422709160392	0.0274432273769321
PCAT1	0.00735949187588438	0.141352984646203	0.657422709160392	0.141352984646203
UNC5C	0.00736630694502607	0.195765287194539	0.657422709160392	0.195765287194539
LIMD2	0.00737148009136342	-0.0565977555789697	0.657422709160392	-0.0565977555789697
TRAK1	0.00748007279500904	0.0228663117641277	0.657422709160392	0.0228663117641277
NR3C1	0.00755268529904523	0.0340836256596726	0.657422709160392	0.0340836256596726
GNAI3	0.00762648193733167	-0.0392038391700997	0.657422709160392	-0.0392038391700997
ATP5MPL	0.00764352879687568	0.185222870625586	0.657422709160392	0.185222870625586
MBTD1	0.00768030025671026	0.0302229168286877	0.657422709160392	0.0302229168286877
TRMT2B	0.00770211941233404	0.0487980609094886	0.657422709160392	0.0487980609094886
GPRASP1	0.0077078160957495	0.287245769096513	0.657422709160392	0.287245769096513
PTER	0.00777834320334854	0.0509865526441443	0.659239201493926	0.0509865526441443
CCDC18-AS1	0.00789556307119061	0.0437996950850492	0.664965315008261	0.0437996950850492
POLR2G	0.008162217172411	0.103229265612685	0.682644097917588	0.103229265612685
LAPTM5	0.00820743034610796	0.055548948419442	0.682644097917588	0.055548948419442
RPL36	0.0083479399132589	0.142093922285405	0.688623622114266	0.142093922285405
LYVE1	0.0083916440357278	0.116028734861944	0.688623622114266	0.116028734861944
ZNF225	0.00843359525253824	0.102219581983094	0.688623622114266	0.102219581983094
MMGT1	0.00851055934658592	0.0979701877451544	0.690696364909892	0.0979701877451544
SPAG16	0.00870316484534211	0.140314857091451	0.694898599655426	0.140314857091451
AC027682.4	0.00881422134306645	0.102686605459528	0.694898599655426	0.102686605459528
TADA1	0.00885563542480586	0.0801949750473253	0.694898599655426	0.0801949750473253
FBXL19	0.00903403991866394	0.0761313129828255	0.694898599655426	0.0761313129828255
SQOR	0.00908642624014556	0.0520607017906864	0.694898599655426	0.0520607017906864
CMTM4	0.00912726590046135	0.15375095793654	0.694898599655426	0.15375095793654
AAMP	0.00913547424741495	-0.0937479510828918	0.694898599655426	-0.0937479510828918
NEU3	0.00918018637500347	0.0594443252054605	0.694898599655426	0.0594443252054605
ITGB3BP	0.00943284540851012	0.0835927510459501	0.694898599655426	0.0835927510459501
TM2D1	0.00956881257677919	0.0286795988334596	0.694898599655426	0.0286795988334596
KDM5D	0.00958027671237247	0.110964336730918	0.694898599655426	0.110964336730918
DIRC3	0.00969942653960238	-0.129690412039926	0.694898599655426	-0.129690412039926
AL136038.5	0.00979099621324779	0.0871983037846679	0.694898599655426	0.0871983037846679
LYPD5	0.0098157147515443	0.160768355914931	0.694898599655426	0.160768355914931
NAPG	0.00984296906242644	0.041721519742993	0.694898599655426	0.041721519742993
THNSL1	0.00987553194685979	0.144537059843086	0.694898599655426	0.144537059843086
DMTF1	0.00987845054763463	0.0274915931477346	0.694898599655426	0.0274915931477346
CDK18	0.00989512249026782	0.0725024461564626	0.694898599655426	0.0725024461564626
AC092745.5	0.00993020943735396	0.0939982940679624	0.694898599655426	0.0939982940679624
ARMC5	0.00996500795624617	0.110386429401311	0.694898599655426	0.110386429401311
ELMO1-AS1	0.0100558723872171	0.16642807726257	0.694898599655426	0.16642807726257
NRDE2	0.0100829933009919	0.0389393490338554	0.694898599655426	0.0389393490338554
JDP2	0.0100921096533449	-0.052681295143045	0.694898599655426	-0.052681295143045
TGDS	0.0101196447372914	0.0534391185656442	0.694898599655426	0.0534391185656442
AC018695.8	0.0102763437657422	0.151692355371718	0.694898599655426	0.151692355371718
MT-ND2	0.0102858814364467	0.155316778759212	0.694898599655426	0.155316778759212
LINC01854	0.0102982999456083	-0.173042322012964	0.694898599655426	-0.173042322012964
AC011287.1	0.010298421993984	-0.408033455279657	0.694898599655426	-0.408033455279657
RPL27A	0.0103075141387683	0.093838337647491	0.694898599655426	0.093838337647491
DRICH1	0.0104180102294607	0.118239820993803	0.694898599655426	0.118239820993803
OPLAH	0.0104432922032625	-0.145045485828559	0.694898599655426	-0.145045485828559
VPS33B	0.0105635441206138	-0.0625043988341207	0.694898599655426	-0.0625043988341207
PRUNE1	0.0105792745574185	-0.0747383900101917	0.694898599655426	-0.0747383900101917
LINC02615	0.0106167071465817	0.0579876365391339	0.694898599655426	0.0579876365391339
ASCL4	0.0106439336324361	0.189245538215798	0.694898599655426	0.189245538215798
PDRG1	0.0106495711252507	-0.099014883566846	0.694898599655426	-0.099014883566846
MYO5B	0.0106790400853683	0.196611878424192	0.694898599655426	0.196611878424192
ASB16-AS1	0.0107299610833009	0.0529012017000476	0.694898599655426	0.0529012017000476
KBTBD3	0.0107595971736882	0.0971255678460593	0.694898599655426	0.0971255678460593
GAL3ST4	0.0107727052234795	0.0703993261206575	0.694898599655426	0.0703993261206575
LTBR	0.0108564876086309	-0.04944267634611	0.694898599655426	-0.04944267634611
RASSF2	0.0108929229719808	-0.051056391201457	0.694898599655426	-0.051056391201457
RALGAPB	0.0108981121997202	0.0236708038158246	0.694898599655426	0.0236708038158246
IDE	0.0109284768916176	0.0370686507482144	0.694898599655426	0.0370686507482144
RGS1	0.0109799891250304	-0.125356331218408	0.694898599655426	-0.125356331218408
SERPINB9	0.0110687069853314	-0.0588009356092832	0.694898599655426	-0.0588009356092832
EEF1A1	0.0110984095602385	0.0741718298894207	0.694898599655426	0.0741718298894207
AC100839.2	0.0111098942944075	-0.209160199201055	0.694898599655426	-0.209160199201055
DAPK2	0.0111268852182695	0.158484735087619	0.694898599655426	0.158484735087619
ZNF510	0.0111569859551876	0.0584071179723245	0.694898599655426	0.0584071179723245
SNHG9	0.0113468041665258	0.144119276032951	0.701484210162319	0.144119276032951
WDR78	0.0113847765294144	0.130578683446864	0.701484210162319	0.130578683446864
IFRD1	0.0114198758730032	-0.0509966765655324	0.701484210162319	-0.0509966765655324
PUF60	0.0115690549810592	0.161718130488368	0.701806007815577	0.161718130488368
LINC01771	0.0116610318928504	0.134340978889891	0.701806007815577	0.134340978889891
SS18L1	0.0116629878347876	-0.0414479769351744	0.701806007815577	-0.0414479769351744
PIGM	0.0116697091456722	0.0610578763360328	0.701806007815577	0.0610578763360328
SUMO2	0.0117386362414727	0.074444120727038	0.701806007815577	0.074444120727038
GOLGA6L10	0.0117395673027174	0.179822452011538	0.701806007815577	0.179822452011538
ATP7A	0.0118046494298292	0.0629039704643159	0.702560268954854	0.0629039704643159
NCKAP1	0.011895798546867	0.198006081621987	0.70426870977053	0.198006081621987
LMNB1	0.011969073663646	-0.131800672862695	0.70426870977053	-0.131800672862695
NDC80	0.012109799134942	-0.309126061669393	0.70426870977053	-0.309126061669393
FGR	0.0123133225864682	-0.114415164384692	0.70426870977053	-0.114415164384692
N4BP1	0.0123960036948602	0.0289334608841362	0.70426870977053	0.0289334608841362
SLC2A3	0.0124435768127465	-0.142052989598287	0.70426870977053	-0.142052989598287
ITM2C	0.012470782634043	0.310434465011267	0.70426870977053	0.310434465011267
TENT4A	0.0124918591145801	-0.0371960247967656	0.70426870977053	-0.0371960247967656
FAM149B1	0.0124947542676534	0.0418682332195517	0.70426870977053	0.0418682332195517
AC104365.1	0.0125859152128071	-0.180733670705417	0.70426870977053	-0.180733670705417
GPR173	0.0126427214881179	-0.154056134590256	0.70426870977053	-0.154056134590256
DENND5B	0.0129418984279493	0.105699246736801	0.70426870977053	0.105699246736801
TRIM58	0.0130048990464378	0.175423156028458	0.70426870977053	0.175423156028458
AC068205.2	0.0130563343107878	0.101871131706613	0.70426870977053	0.101871131706613
LINC01907	0.0130724997434793	0.08609222224389	0.70426870977053	0.08609222224389
ZNF213-AS1	0.0130840721153019	0.0707245876679047	0.70426870977053	0.0707245876679047
KLKB1	0.0131785934978102	0.126136405851298	0.70426870977053	0.126136405851298
AP4M1	0.0132215996399424	-0.0648025162672663	0.70426870977053	-0.0648025162672663
AAK1	0.0133086977760917	0.0221537600015857	0.70426870977053	0.0221537600015857
ZNF596	0.0133623340888527	0.0971757541153558	0.70426870977053	0.0971757541153558
LRP6	0.0134165243837945	-0.0393990627994077	0.70426870977053	-0.0393990627994077
APTX	0.0135147200573467	0.0349467891940024	0.70426870977053	0.0349467891940024
TNF	0.0135860676653565	-0.196394474700297	0.70426870977053	-0.196394474700297
FAM182A	0.0136744454577554	0.157799645866581	0.70426870977053	0.157799645866581
SNRPC	0.0136785619333195	0.0753503906975976	0.70426870977053	0.0753503906975976
STAT5A	0.01369826675618	-0.038149348732978	0.70426870977053	-0.038149348732978
XACT	0.0137033459438532	-0.102828191115305	0.70426870977053	-0.102828191115305
MBOAT2	0.0137271353076634	0.16787149595511	0.70426870977053	0.16787149595511
ELL	0.0137547087990839	-0.0559149551273912	0.70426870977053	-0.0559149551273912
PSMD11	0.0138359345434097	0.0352230352487502	0.70426870977053	0.0352230352487502
KAT14	0.0138957538822357	0.0587412964486794	0.70426870977053	0.0587412964486794
AC092068.3	0.0140103766490324	0.0794535629704693	0.70426870977053	0.0794535629704693
GPAM	0.0140582169415981	0.080895581136572	0.70426870977053	0.080895581136572
PLK3	0.0140685335722888	-0.0621210324639252	0.70426870977053	-0.0621210324639252
MED18	0.0141006973632031	0.120969976726089	0.70426870977053	0.120969976726089
BTBD3	0.0141989579126038	0.0726995659111187	0.70426870977053	0.0726995659111187
PRR14L	0.0142118050892341	0.0304522575921575	0.70426870977053	0.0304522575921575
SYT11	0.0142183847604134	0.266108481741773	0.70426870977053	0.266108481741773
AC073046.3	0.0142656041506901	-0.169695767027733	0.70426870977053	-0.169695767027733
NFYC	0.014299758060465	0.0283725477122503	0.70426870977053	0.0283725477122503
TAF1D	0.0143305861436304	-0.0424125361187664	0.70426870977053	-0.0424125361187664
VPS37B	0.0143470569362013	-0.0391338678551324	0.70426870977053	-0.0391338678551324
PIBF1	0.0143474668224124	0.0246633411095211	0.70426870977053	0.0246633411095211
NOTCH4	0.0143680969589813	-0.178419396899889	0.70426870977053	-0.178419396899889
FUBP3	0.01442932692725	0.0282752401652974	0.70426870977053	0.0282752401652974
UPRT	0.0144354756596848	-0.0509806172680187	0.70426870977053	-0.0509806172680187
CD9	0.0144742977244714	-0.13278293528162	0.70426870977053	-0.13278293528162
GOLGA6L4	0.0145536674933558	0.145412177884877	0.70426870977053	0.145412177884877
