gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
IL4I1	4.97739642636429e-06	-0.557344531536593	0.0464081059805083	-0.557344531536593
DNAJB9	9.44863651628828e-06	0.450661342619947	0.0464081059805083	0.450661342619947
LINC01588	1.01004293341211e-05	0.418573014343854	0.0464081059805083	0.418573014343854
TREM1	1.55878221625318e-05	-0.690954844507268	0.0537156351720845	-0.690954844507268
PCBP2	3.10217031765315e-05	0.0949756944154573	0.0855206313170619	0.0949756944154573
ZPR1	3.89705382184741e-05	0.409353565966095	0.0895283164672412	0.409353565966095
EML6	5.11770961000727e-05	0.561010844690542	0.100775013234772	0.561010844690542
SH3BP4	0.000101287926524968	-0.773833526707457	0.160681439040338	-0.773833526707457
AC007448.4	0.000142364393946687	0.617435313163649	0.160681439040338	0.617435313163649
PDLIM2	0.000144163093420127	-0.476353759435979	0.160681439040338	-0.476353759435979
GPNMB	0.000151357342741032	-0.349873318121006	0.160681439040338	-0.349873318121006
RAB42	0.000161689271179143	-0.620528347617407	0.160681439040338	-0.620528347617407
ADRB1	0.000161857547516446	-0.677649920765773	0.160681439040338	-0.677649920765773
H2AFJ	0.000163199372211603	0.224004984516224	0.160681439040338	0.224004984516224
NRARP	0.000269295563118993	-0.649481346490572	0.224885683360396	-0.649481346490572
POU5F1	0.000277039196712061	-0.491934538056508	0.224885683360396	-0.491934538056508
RUNX3	0.000281343109280468	-0.333769118516588	0.224885683360396	-0.333769118516588
EFCAB14	0.000322976202453571	0.136456645931342	0.224885683360396	0.136456645931342
AMER1	0.000329974233363718	0.710983961619277	0.224885683360396	0.710983961619277
ARPC1A	0.000355304599257473	0.129705326082159	0.224885683360396	0.129705326082159
LMO7-AS1	0.000358706863036528	0.468092855599826	0.224885683360396	0.468092855599826
TSPAN17	0.00035892955846842	0.259716656614077	0.224885683360396	0.259716656614077
RARRES1	0.000385549673089503	0.433590025902989	0.231061595385466	0.433590025902989
P2RY14	0.000419968261355131	-0.536595694977341	0.236534070312744	-0.536595694977341
AASDHPPT	0.000474691598165914	0.272424176271782	0.236534070312744	0.272424176271782
HLA-DQB1	0.000488270206359952	-0.21484858296109	0.236534070312744	-0.21484858296109
HYAL2	0.000505590466372592	0.401423162103934	0.236534070312744	0.401423162103934
SHFL	0.000529297942847313	-0.168009046254249	0.236534070312744	-0.168009046254249
TMEM203	0.00053135938429459	-0.521905034455954	0.236534070312744	-0.521905034455954
AC012181.1	0.000535920031939514	-0.499803877452556	0.236534070312744	-0.499803877452556
AC009432.2	0.000540659883540774	0.394086806495833	0.236534070312744	0.394086806495833
IFT57	0.000549121463291338	0.398554845921333	0.236534070312744	0.398554845921333
NUPR1	0.000628022211304445	-0.32107524157146	0.252549843040037	-0.32107524157146
CACNA1F	0.000647298877289096	-0.929194204279595	0.252549843040037	-0.929194204279595
ADRB2	0.000657633437768711	0.267807295700089	0.252549843040037	0.267807295700089
IKZF4	0.000659590420011705	-0.420693096114215	0.252549843040037	-0.420693096114215
SESN2	0.000700612423228926	0.258440919053916	0.259802835335399	0.258440919053916
COLEC12	0.000716229522834094	-0.613995274428265	0.259802835335399	-0.613995274428265
HK3	0.000741879435753819	0.348860306551348	0.262206824164888	0.348860306551348
FBXO10	0.000801622477485671	0.277610955383977	0.276239105741562	0.277610955383977
HIST1H2BL	0.000965966650112424	0.835133001795955	0.306361231856684	0.835133001795955
HIST1H4H	0.000970525074565769	0.321987947448912	0.306361231856684	0.321987947448912
CABP4	0.000989827709866255	0.338189976547327	0.306361231856684	0.338189976547327
ITIH5	0.00100121726149416	0.723563786062529	0.306361231856684	0.723563786062529
C1orf198	0.00103233298581023	0.557022576196771	0.306361231856684	0.557022576196771
YPEL1	0.00105548564927627	0.343526658131612	0.306361231856684	0.343526658131612
FAM162A	0.00105893090754124	-0.244555955994015	0.306361231856684	-0.244555955994015
AC090559.2	0.00108411457366923	0.56020394844796	0.306361231856684	0.56020394844796
MYO7A	0.00108906706043075	0.162811687007069	0.306361231856684	0.162811687007069
PSMD5	0.00111532184292523	0.15528035042136	0.307471925657626	0.15528035042136
EIF2S3	0.00114850418445025	0.115466124563667	0.310194122126954	0.115466124563667
FBXO41	0.00117644329734337	-0.279171008282211	0.310194122126954	-0.279171008282211
TXLNA	0.00119270810161989	-0.175820549187779	0.310194122126954	-0.175820549187779
TSPAN7	0.00124487191123179	-0.869514668434207	0.314929419792096	-0.869514668434207
SERGEF	0.00125661042430102	0.114575339844121	0.314929419792096	0.114575339844121
FLNB	0.0013026606709497	-0.339039043130497	0.320640619435192	-0.339039043130497
GRK3	0.00142008010018284	-0.0916445138339659	0.335105111916289	-0.0916445138339659
ADM	0.00142262165407822	-0.491703585175415	0.335105111916289	-0.491703585175415
ADGRD1	0.00143435879302532	0.366196742614064	0.335105111916289	0.366196742614064
BNIP3	0.00156509258662528	-0.483191461944691	0.359553936900715	-0.483191461944691
SULF2	0.00162195437665116	-0.485462019284812	0.360204329589407	-0.485462019284812
TMX3	0.00163215238539839	0.128093826523936	0.360204329589407	0.128093826523936
TBKBP1	0.00165782061692828	0.48220102867869	0.360204329589407	0.48220102867869
CHN1	0.00167245190755383	-0.976361072047027	0.360204329589407	-0.976361072047027
ZNF160	0.00173838672469462	-0.146761461007125	0.368644963279855	-0.146761461007125
NDUFB5	0.00187993890463383	0.232255751120412	0.390422902236881	0.232255751120412
RIN3	0.00189773175057102	-0.066721759452217	0.390422902236881	-0.066721759452217
RIOK3	0.00194084583249707	-0.112699734896593	0.393420866987347	-0.112699734896593
CACNB1	0.00202377961225251	-0.845706210748736	0.399279288909637	-0.845706210748736
AP002812.2	0.00204585050491704	0.260624260074639	0.399279288909637	0.260624260074639
CDCP1	0.00208476410141928	-0.203549852751217	0.399279288909637	-0.203549852751217
AL135925.1	0.00210477278991154	0.432115243257375	0.399279288909637	0.432115243257375
DAB2IP	0.00214319926535548	-0.320367883530564	0.399279288909637	-0.320367883530564
EPB41L5	0.00215207266147008	0.149788671294269	0.399279288909637	0.149788671294269
GYPE	0.00220175279378596	-0.552438647464039	0.399279288909637	-0.552438647464039
LEPROTL1	0.00222708369548811	0.145766893394076	0.399279288909637	0.145766893394076
WDR61	0.00227005727056948	-0.192721117710774	0.399279288909637	-0.192721117710774
RAB32	0.00227689460134428	0.182320787072266	0.399279288909637	0.182320787072266
NFKBID	0.00231926673857437	-0.213220485442169	0.399279288909637	-0.213220485442169
AC083862.3	0.00231980552197942	-0.346329984509195	0.399279288909637	-0.346329984509195
ANKRD13C	0.0023463161928091	0.111924710873234	0.399279288909637	0.111924710873234
POT1-AS1	0.00242542593624947	0.606194658073659	0.405449986113377	0.606194658073659
DCTN1	0.0024445174015149	0.279799561351618	0.405449986113377	0.279799561351618
RNF26	0.00247334014320037	0.52205671209078	0.405449986113377	0.52205671209078
MRPS10	0.00250023569498238	0.220079493032111	0.405449986113377	0.220079493032111
ZMAT3	0.00253483674878315	0.110191932524334	0.406281276107289	0.110191932524334
HHIPL1	0.00258512349027233	0.305034925889601	0.409578645861079	0.305034925889601
UBR3	0.00263639327103957	0.0648646548707487	0.410824877010148	0.0648646548707487
NBPF19	0.00269652849967252	-0.248533248296441	0.410824877010148	-0.248533248296441
PLXNA1	0.00270450458918655	-0.158656282301905	0.410824877010148	-0.158656282301905
SMAD4	0.0027268225761948	0.0920245566516396	0.410824877010148	0.0920245566516396
GPAT4	0.00277101969090978	-0.157486561926061	0.410824877010148	-0.157486561926061
NEB	0.00277181613188797	0.182355918507697	0.410824877010148	0.182355918507697
PRKCE	0.00281988391887909	-0.123048634037637	0.413502978062014	-0.123048634037637
LIMD1	0.00294408401958561	-0.154611519239078	0.42462895725477	-0.154611519239078
SMAGP	0.00295736940630136	0.397989120154255	0.42462895725477	0.397989120154255
MED22	0.00301215688496831	0.223925597841197	0.428036809303126	0.223925597841197
NDUFC2	0.00314990135731396	0.228948111176305	0.442883083760313	0.228948111176305
MRPS31	0.0031902602729031	0.111564684667646	0.442883083760313	0.111564684667646
ASB6	0.00321302295241086	0.265679200352574	0.442883083760313	0.265679200352574
KIDINS220	0.00327764209398096	0.0761634922002417	0.447276759498546	0.0761634922002417
PCAT1	0.00331570553829195	0.42881584667382	0.447276759498546	0.42881584667382
PITPNM1	0.0033501991004623	0.215977740344516	0.447276759498546	0.215977740344516
STAB1	0.00337469406470174	0.127500995554309	0.447276759498546	0.127500995554309
CHST2	0.00349733390889662	-0.604662888669933	0.459116672383152	-0.604662888669933
PLPP5	0.00354264584733855	0.218731792876543	0.460677644902968	0.218731792876543
ZNF524	0.00361858113957362	0.306482142751346	0.466154415213857	0.306482142751346
PXK	0.00371900266848255	0.170058054979196	0.474654933170032	0.170058054979196
SEL1L3	0.00377825622998618	-0.477860040199499	0.477793430037885	-0.477860040199499
AC243960.1	0.0039579110837718	0.235356707087124	0.477905649350552	0.235356707087124
EIF3E	0.0039853427741044	0.105704422183596	0.477905649350552	0.105704422183596
CYTH3	0.00400878653406793	0.117304986234437	0.477905649350552	0.117304986234437
CCDC125	0.00402691122697565	0.118870049629967	0.477905649350552	0.118870049629967
MAN2A2	0.00404044317596462	-0.241524894734533	0.477905649350552	-0.241524894734533
TERF2IP	0.00409016691351239	0.131383388934574	0.477905649350552	0.131383388934574
AC007376.2	0.0040930565603523	-0.186512924549846	0.477905649350552	-0.186512924549846
MYBPC3	0.00413093776644853	0.448626408023252	0.477905649350552	0.448626408023252
MIR3936HG	0.00418381527642116	0.293109691087254	0.477905649350552	0.293109691087254
NDUFS5	0.00424147578047617	0.208490497595634	0.477905649350552	0.208490497595634
RPS19	0.00427663086606765	0.0793249211673348	0.477905649350552	0.0793249211673348
ADO	0.00428620264350307	0.33487422908107	0.477905649350552	0.33487422908107
NANS	0.00432318784602394	-0.146528980474224	0.477905649350552	-0.146528980474224
METTL8	0.0043363216833246	0.127556603282326	0.477905649350552	0.127556603282326
TAF12	0.00437743245753762	0.167735246548592	0.477905649350552	0.167735246548592
VCPIP1	0.00441008899853223	0.15031176066659	0.477905649350552	0.15031176066659
AC016152.1	0.00443153951108272	0.340132914031937	0.477905649350552	0.340132914031937
KCNIP1	0.00443487166892698	-0.132779464494294	0.477905649350552	-0.132779464494294
NSD2	0.00443789343564064	-0.102036063439009	0.477905649350552	-0.102036063439009
PA2G4	0.00458994316396493	0.136463705864484	0.490447880403819	0.136463705864484
DNASE1L1	0.00469655420261513	0.219443535040521	0.497423536571036	0.219443535040521
AP001636.3	0.00472764473965394	-0.247611029015409	0.497423536571036	-0.247611029015409
HABP4	0.00488142566518858	0.22083361783725	0.497423536571036	0.22083361783725
KLHL6	0.00491535349099177	-0.146759784694819	0.497423536571036	-0.146759784694819
REEP5	0.00491557546168142	0.11333696507857	0.497423536571036	0.11333696507857
SIGLEC1	0.00491855643020328	-0.378498648849691	0.497423536571036	-0.378498648849691
TMEM219	0.00492928534933421	0.130097466853398	0.497423536571036	0.130097466853398
IPO13	0.00497864202598001	0.290802803842019	0.497423536571036	0.290802803842019
MTFMT	0.00498000928952431	0.146251345816792	0.497423536571036	0.146251345816792
AL050403.2	0.00504867151504562	0.654363390683483	0.497907107652826	0.654363390683483
CEP41	0.0050667356723916	0.201778859201482	0.497907107652826	0.201778859201482
PLCB3	0.00512034510715878	0.207142502364012	0.497907107652826	0.207142502364012
AC015849.3	0.0051293390370503	-0.332916449303145	0.497907107652826	-0.332916449303145
LINC00115	0.0052010409331121	-0.477091370682749	0.499484125824974	-0.477091370682749
RBFOX1	0.00521805819201946	-1.00933892702951	0.499484125824974	-1.00933892702951
DDX24	0.00530798801289804	0.187805255684285	0.502714920374068	0.187805255684285
DIPK1A	0.00538399386035074	-0.147021807182027	0.502714920374068	-0.147021807182027
ITGA6-AS1	0.00539478656721581	-0.702358119534895	0.502714920374068	-0.702358119534895
AC093865.1	0.00539769357337218	0.177193527347186	0.502714920374068	0.177193527347186
NDUFS3	0.00544503744198714	0.19390868017467	0.503720779196985	0.19390868017467
CST7	0.00557646420450889	-1.05894786947857	0.512439883966337	-1.05894786947857
MRPS21	0.00566341162619039	0.118295470572833	0.512729800701654	0.118295470572833
AC084816.1	0.00571777157770424	0.383629790685359	0.512729800701654	0.383629790685359
MAN2B2	0.00575093708843065	0.140224907750605	0.512729800701654	0.140224907750605
DNAJB12	0.00576588940024305	0.145787654462821	0.512729800701654	0.145787654462821
ZNF208	0.00580573858164501	0.370826741873179	0.512729800701654	0.370826741873179
WDR83	0.00582897071820729	-0.317013323990168	0.512729800701654	-0.317013323990168
IARS2	0.00589337628519221	0.149341523537529	0.512729800701654	0.149341523537529
TRIM14	0.00594605305552499	0.100290926165438	0.512729800701654	0.100290926165438
NPDC1	0.00596615281858135	0.461890852100462	0.512729800701654	0.461890852100462
AL450384.2	0.00602210965781307	0.259536967554128	0.512729800701654	0.259536967554128
ATP1A1	0.00602619400499597	0.186104141612845	0.512729800701654	0.186104141612845
AF117829.1	0.00605053301696689	-0.110219760333618	0.512729800701654	-0.110219760333618
ZNF385D-AS1	0.00606318612263273	0.495662627329956	0.512729800701654	0.495662627329956
TTC13	0.00615610317619407	0.106630939413282	0.517412964516214	0.106630939413282
RELB	0.00619583099897655	-0.213041303370886	0.517568747049119	-0.213041303370886
NSUN4	0.00623305368616902	-0.176194543145038	0.517568747049119	-0.176194543145038
ANKDD1B	0.00633464727937744	0.260689624729228	0.519871458525632	0.260689624729228
LAPTM5	0.006434882407158	0.0688534449677851	0.519871458525632	0.0688534449677851
OTUD7A	0.00649435059515217	-0.287493388349336	0.519871458525632	-0.287493388349336
COX6B1	0.00655680122305275	0.172371548545756	0.519871458525632	0.172371548545756
SCML1	0.00662765568667697	-0.151347094560626	0.519871458525632	-0.151347094560626
NR4A3	0.00663042538602122	-0.316570442970577	0.519871458525632	-0.316570442970577
AC007881.2	0.00663153393636032	0.233735624802005	0.519871458525632	0.233735624802005
DPP6	0.00664403886431562	-0.78948848055742	0.519871458525632	-0.78948848055742
AL139340.1	0.00667037215079625	-0.474150229025092	0.519871458525632	-0.474150229025092
MAP3K13	0.0067450848785683	-0.138532250358776	0.519871458525632	-0.138532250358776
EXOSC3	0.00676193488164056	0.194575456253716	0.519871458525632	0.194575456253716
TXNDC16	0.0067867292816782	-0.187886377492651	0.519871458525632	-0.187886377492651
ZNF888	0.00680398175338085	0.286451027736243	0.519871458525632	0.286451027736243
FAM98A	0.00681842709372216	0.218614224639913	0.519871458525632	0.218614224639913
KLK14	0.006906009161172	0.420050882424934	0.519871458525632	0.420050882424934
AL512603.2	0.00690637490814256	0.368003085998375	0.519871458525632	0.368003085998375
LINC02803	0.00690869678209198	0.418989346166054	0.519871458525632	0.418989346166054
IRF5	0.00693966543591964	0.131545694961213	0.519871458525632	0.131545694961213
PPP6C	0.00699405601687879	0.116365224677501	0.520073295398512	0.116365224677501
GAS6-AS1	0.00701782014974777	0.151402891171586	0.520073295398512	0.151402891171586
DR1	0.007140509742791	0.15127345966382	0.526335755586263	0.15127345966382
ARMC9	0.00724658997964667	-0.428138211829094	0.528782236257499	-0.428138211829094
CCL3L1	0.00733050086217646	-0.630604447748328	0.528782236257499	-0.630604447748328
