gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
DACH1	9.45480818473064e-06	0.533532488619373	0.163246718117559	0.533532488619373
TTBK2	3.24758182794308e-05	0.085937469757468	0.187320303628775	0.085937469757468
DCAF6	3.25472553507659e-05	-0.114841527937279	0.187320303628775	-0.114841527937279
INO80B	9.27591140355721e-05	0.434865067030738	0.398256860478853	0.434865067030738
INSR	0.000115329798586486	0.102574602317965	0.398256860478853	0.102574602317965
LINC01515	0.00017804710250042	-0.969005761320162	0.512360211962041	-0.969005761320162
YJU2	0.000242558940491508	0.291855077952283	0.538191196029242	0.291855077952283
DLGAP2	0.000249364622276957	-0.486778676069859	0.538191196029242	-0.486778676069859
TCEAL3	0.000289993641217904	0.265174054859948	0.556336689918703	0.265174054859948
LINC01102	0.000349219299170277	-0.152381753562943	0.602962041947401	-0.152381753562943
AL583785.1	0.000453681044257258	-1.64662283532943	0.651042393655723	-1.64662283532943
NOS1AP	0.00046610099033181	-0.0980523686565199	0.651042393655723	-0.0980523686565199
MSANTD4	0.000501241556463469	-0.141573056219559	0.651042393655723	-0.141573056219559
LINC02316	0.000527892593025606	0.331439589909422	0.651042393655723	0.331439589909422
AC073534.2	0.000631196862106223	0.729113529697632	0.664453154097073	0.729113529697632
PRRT1	0.00063129569562257	0.263631925464551	0.664453154097073	0.263631925464551
CLDN4	0.000765364848321489	-0.797192814191237	0.664453154097073	-0.797192814191237
EIF4G2	0.000785793493484504	0.133030359202333	0.664453154097073	0.133030359202333
PHACTR2	0.000793029686029978	0.335152314249404	0.664453154097073	0.335152314249404
GRM7-AS1	0.000823645537556119	0.294544514038319	0.664453154097073	0.294544514038319
TPCN2	0.000834679090319102	0.101407309528316	0.664453154097073	0.101407309528316
AL365214.2	0.000906961291774829	-0.467167469228783	0.664453154097073	-0.467167469228783
PFKL	0.000912144928256108	-0.176558902301679	0.664453154097073	-0.176558902301679
AC060780.1	0.00103005334778562	0.153987582154503	0.664453154097073	0.153987582154503
PCDHA9	0.0010478556464556	0.272934860792121	0.664453154097073	0.272934860792121
PCSK1N	0.00105075160368125	0.165130020391687	0.664453154097073	0.165130020391687
AC004812.2	0.00107284719608115	-0.567864469633931	0.664453154097073	-0.567864469633931
AC096996.3	0.00107753320483714	0.821352761911581	0.664453154097073	0.821352761911581
BTG2	0.00118152743006207	0.174593826747975	0.691279281889696	0.174593826747975
RPL39	0.00122365811490564	0.273068485856865	0.691279281889696	0.273068485856865
MAST4	0.00128373893214547	-0.0709091348833085	0.691279281889696	-0.0709091348833085
AC036103.1	0.00128392303775137	-1.13591560407829	0.691279281889696	-1.13591560407829
AL162171.2	0.00140763412381567	0.480872686307894	0.691279281889696	0.480872686307894
KIF5B	0.00144052406173423	0.0971577246660396	0.691279281889696	0.0971577246660396
PIBF1	0.00148042950473411	0.0644487614859926	0.691279281889696	0.0644487614859926
AC092376.1	0.00148180086267068	0.482556923837078	0.691279281889696	0.482556923837078
NPIPB12	0.00149738002167551	0.542834097195261	0.691279281889696	0.542834097195261
RPGRIP1L	0.00152140696813439	-0.241081590575931	0.691279281889696	-0.241081590575931
ITFG1	0.00158883347306444	-0.0594963838449507	0.703405096049504	-0.0594963838449507
UNKL	0.00170145978802088	0.158142679699321	0.727339934808822	0.158142679699321
AC007878.1	0.00184250302596211	-0.394612018413081	0.727339934808822	-0.394612018413081
DAPK3	0.00195334135148319	0.207390011709456	0.727339934808822	0.207390011709456
TLL2	0.00200676887946369	0.465058778236489	0.727339934808822	0.465058778236489
ANKRD18A	0.00206593890178322	0.21126270630592	0.727339934808822	0.21126270630592
PRDM5	0.00208345148390542	-0.145469724453816	0.727339934808822	-0.145469724453816
ITGB4	0.00211376609518727	0.200666498688145	0.727339934808822	0.200666498688145
HULC	0.00213642875987062	-0.137862575998668	0.727339934808822	-0.137862575998668
TPRKB	0.00216851621294561	0.256923213084719	0.727339934808822	0.256923213084719
ADCY6	0.00220044050089461	0.144668386972698	0.727339934808822	0.144668386972698
ASB6	0.00223674171542862	-0.295465972619353	0.727339934808822	-0.295465972619353
RXYLT1	0.00226898270730117	0.187638047007956	0.727339934808822	0.187638047007956
AL807742.1	0.00228408192439493	-0.394375368972486	0.727339934808822	-0.394375368972486
AC061958.1	0.00232664115378701	-0.351823214617004	0.727339934808822	-0.351823214617004
SMCR5	0.00247891264327866	-0.304782471748506	0.727339934808822	-0.304782471748506
SREK1IP1	0.00249776643614726	0.146277466093172	0.727339934808822	0.146277466093172
ATG5	0.00253068688206044	-0.130954619526404	0.727339934808822	-0.130954619526404
AC093865.1	0.00257555400426351	0.111772002755481	0.727339934808822	0.111772002755481
SLC9C1	0.00257942436295464	0.530580338726949	0.727339934808822	0.530580338726949
TMEM80	0.00258874487382572	0.197555761595483	0.727339934808822	0.197555761595483
FBXO45	0.0026687715989948	0.241100696985473	0.727339934808822	0.241100696985473
MTA1	0.00273589374212058	0.129162560115457	0.727339934808822	0.129162560115457
AC073343.2	0.00275515181499138	0.158483094195826	0.727339934808822	0.158483094195826
CSTF3	0.00278889238033372	-0.0880386811577996	0.727339934808822	-0.0880386811577996
AC119673.2	0.00288351106305457	-0.214944621842718	0.727339934808822	-0.214944621842718
PLXDC2	0.00291669664128765	0.0840235460929754	0.727339934808822	0.0840235460929754
AC097534.2	0.00300103543995746	0.297842277423182	0.727339934808822	0.297842277423182
ZNF775	0.00301269341739722	-0.236074254794042	0.727339934808822	-0.236074254794042
LINGO2	0.00305610194128202	-0.496884684930172	0.727339934808822	-0.496884684930172
MECP2	0.0030806594398144	0.0991435379777423	0.727339934808822	0.0991435379777423
AC055733.2	0.00310984486085991	0.392132271518359	0.727339934808822	0.392132271518359
IDI1	0.00312349588214494	0.13691255959065	0.727339934808822	0.13691255959065
MGAT4C	0.00322264537063248	-0.405838903032152	0.727339934808822	-0.405838903032152
GNPDA1	0.00328570324799695	-0.256168408587156	0.727339934808822	-0.256168408587156
SELENOI	0.00336465223926539	-0.123252911432034	0.727339934808822	-0.123252911432034
AHRR	0.00339492325802359	-0.508911271972309	0.727339934808822	-0.508911271972309
NR6A1	0.00341372096116773	-0.0998195023407877	0.727339934808822	-0.0998195023407877
HPS3	0.00342747711010656	0.151348488456306	0.727339934808822	0.151348488456306
LINC02763	0.00346913034553966	0.51497688613107	0.727339934808822	0.51497688613107
ICE1	0.00353799896317718	0.106841455508608	0.727339934808822	0.106841455508608
RAB3IL1	0.00354983251627845	0.402036633002448	0.727339934808822	0.402036633002448
ISY1	0.0035981917151537	0.192510619298703	0.727339934808822	0.192510619298703
MAST1	0.00362671118707573	0.112341144307205	0.727339934808822	0.112341144307205
C1orf94	0.00366661289620801	-0.699602262437776	0.727339934808822	-0.699602262437776
FAM242A	0.00369384842969454	-0.322242934335918	0.727339934808822	-0.322242934335918
PPP1R12A	0.00369699302361837	-0.055586329400661	0.727339934808822	-0.055586329400661
ZFR2	0.00371436690347947	0.137701350615315	0.727339934808822	0.137701350615315
SHARPIN	0.0037358361288029	0.174998642593224	0.727339934808822	0.174998642593224
AC009137.1	0.00374971428018111	-0.697442271398363	0.727339934808822	-0.697442271398363
ARPP19	0.00377043398940486	0.146241136923093	0.727339934808822	0.146241136923093
CSF2RA	0.00383516192196577	0.675277196473041	0.727339934808822	0.675277196473041
LZTS2	0.00390604690049818	-0.233026195998572	0.727339934808822	-0.233026195998572
AC009163.1	0.00391887912472559	0.270450987432265	0.727339934808822	0.270450987432265
SCFD1	0.00395068917688716	-0.0675041690985096	0.727339934808822	-0.0675041690985096
AC093791.2	0.00408867581904528	-0.627123301740005	0.727339934808822	-0.627123301740005
SNX13	0.00416859355777024	-0.068718424050898	0.727339934808822	-0.068718424050898
SLC25A26	0.00420250945034071	-0.132815188289181	0.727339934808822	-0.132815188289181
WDR89	0.00420610123865971	0.203392052639888	0.727339934808822	0.203392052639888
DDX46	0.00421107140214113	0.0723198057450675	0.727339934808822	0.0723198057450675
PEG10	0.00422174750331994	0.23399703073172	0.727339934808822	0.23399703073172
RBFOX3	0.00437826497408703	-0.553823779941823	0.727339934808822	-0.553823779941823
NECTIN3-AS1	0.00438350055385277	-0.169238427091169	0.727339934808822	-0.169238427091169
SEC31A	0.00444722983434272	-0.0782024469371534	0.727339934808822	-0.0782024469371534
CHST14	0.00446739870215384	-0.457058575179256	0.727339934808822	-0.457058575179256
LGMN	0.00455481677680724	0.165300224661	0.727339934808822	0.165300224661
PSMA4	0.0045945720548615	0.173225902931457	0.727339934808822	0.173225902931457
AC090945.1	0.00460180971159118	0.0930062879499638	0.727339934808822	0.0930062879499638
SPOCK2	0.00460796597005492	0.092067909908235	0.727339934808822	0.092067909908235
RPL30	0.0046328767837677	0.151314510990283	0.727339934808822	0.151314510990283
STOML1	0.00463991900560558	-0.292881224134348	0.727339934808822	-0.292881224134348
MANSC1	0.00466996889642407	0.213834850936007	0.727339934808822	0.213834850936007
LAT	0.00469046536160291	0.311203661511579	0.727339934808822	0.311203661511579
AGAP2	0.00471806282280714	-0.204099961175734	0.727339934808822	-0.204099961175734
