gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	2.10059058470351e-41	0.869722409838653	3.57814600198395e-37	0.869722409838653
UTY	1.80128186034899e-31	0.678525121180199	1.53415176045924e-27	0.678525121180199
USP9Y	1.59483209221678e-30	0.633617600217707	9.05545661960685e-27	0.633617600217707
TTTY14	1.93367722895783e-24	0.593605307992428	8.23456447951694e-21	0.593605307992428
KDM5D	1.38407987585136e-18	0.461453310103627	4.71528332105042e-15	0.461453310103627
PCDH11Y	7.4267740908309e-12	0.235833956492205	2.10846116438689e-08	0.235833956492205
ZFY	7.5846292157335e-10	0.277551381567378	1.84566534372578e-06	0.277551381567378
TTTY10	2.3495220192313e-06	0.146829591011823	0.00500271975944824	0.146829591011823
RPS4Y1	2.80995967435236e-06	0.184728000081203	0.00531831701032423	0.184728000081203
OR2L2	6.12260805829844e-06	0.201446316954999	0.0104292505665056	0.201446316954999
AC008825.1	1.82456070783091e-05	0.62950527131361	0.028254151906538	0.62950527131361
DDX3Y	0.000139165509684701	0.162414407944763	0.197545440997433	0.162414407944763
LINC00486	0.000283237945360445	0.240849320319848	0.371128858559218	0.240849320319848
SINHCAF	0.000323767420296586	-0.187313654308235	0.393932445523718	-0.187313654308235
SEMA4F	0.00039985219315476	0.0896179565332828	0.419505469150887	0.0896179565332828
OR2L5	0.000402885629199543	0.159723799515666	0.419505469150887	0.159723799515666
H19	0.000440367308670403	0.297699304124219	0.419505469150887	0.297699304124219
ATP5F1B	0.000444871275011424	0.175181699065106	0.419505469150887	0.175181699065106
MAGEE1	0.000467923207342189	0.254859719618562	0.419505469150887	0.254859719618562
AC010491.1	0.000523097427573167	0.128033498357669	0.445522079064066	0.128033498357669
CCDC8	0.000697969340447644	0.153582246852576	0.556575766521355	0.153582246852576
EXTL3-AS1	0.000720974060650761	-0.126385653268316	0.556575766521355	-0.126385653268316
EIF1AD	0.000865898587473323	0.0847347227782948	0.556575766521355	0.0847347227782948
LINC01515	0.000946115152718524	-0.711261799331308	0.556575766521355	-0.711261799331308
SYAP1	0.000964963861550511	0.0455775675473895	0.556575766521355	0.0455775675473895
LCORL	0.000966778247778802	-0.0250492089518183	0.556575766521355	-0.0250492089518183
NRGN	0.000979951619722355	-0.454154413209304	0.556575766521355	-0.454154413209304
MXD3	0.00103444654583479	-0.128468987182359	0.556575766521355	-0.128468987182359
MCM9	0.00105208670622319	-0.0440931211724301	0.556575766521355	-0.0440931211724301
TMEM86A	0.00105412683779919	0.131704597863264	0.556575766521355	0.131704597863264
ANKRD6	0.00105896877204541	0.0377010367660954	0.556575766521355	0.0377010367660954
TM7SF3	0.00106535000984132	-0.0309615411212936	0.556575766521355	-0.0309615411212936
NOSTRIN	0.00110423660716682	-0.141255363268158	0.556575766521355	-0.141255363268158
SVBP	0.00111092967369532	0.113066352321031	0.556575766521355	0.113066352321031
FYN	0.00116942302287783	-0.0239575269227486	0.569141479191458	-0.0239575269227486
AC137579.1	0.00122173053180621	-0.218740505326002	0.578082163299639	-0.218740505326002
ZKSCAN5	0.00128137942659579	0.0528457664550984	0.581920082882221	0.0528457664550984
UQCRB	0.00129816620579573	0.182801538359553	0.581920082882221	0.182801538359553
RND1	0.00141885665113372	0.0941390133618276	0.617499790335612	0.0941390133618276
PPFIA3	0.00145004060193874	0.0444208363932197	0.617499790335612	0.0444208363932197
LINC02145	0.00164068218592793	0.0859415419744259	0.670325305361322	0.0859415419744259
OR2L13	0.00169533352050241	0.194269716891565	0.670325305361322	0.194269716891565
AC015845.2	0.00175703470914636	0.12602520106764	0.670325305361322	0.12602520106764
NOP14-AS1	0.00181293047402206	0.0767579336015953	0.670325305361322	0.0767579336015953
LINC01798	0.00184053551690746	-0.191360953637108	0.670325305361322	-0.191360953637108
SMIM10L2A	0.00184966544186425	0.163758614032432	0.670325305361322	0.163758614032432
UNC13D	0.00185409084848687	0.0830444604303898	0.670325305361322	0.0830444604303898
AC025178.1	0.00191291813899366	0.0713675317193411	0.670325305361322	0.0713675317193411
ORC2	0.00192825760025272	-0.0267593532094065	0.670325305361322	-0.0267593532094065
ARHGEF6	0.00197697736566214	-0.0466482787228887	0.673516648933777	-0.0466482787228887
GTF2A2	0.0022537466217095	0.0506091669489985	0.752751371650973	0.0506091669489985
TTC32	0.00234020684840466	0.0479131591622511	0.754313429258644	0.0479131591622511
SRBD1	0.00237912850816107	-0.0318744561208859	0.754313429258644	-0.0318744561208859
ATE1	0.0023912718785938	-0.0262175212154216	0.754313429258644	-0.0262175212154216
AL591895.1	0.00243684879210071	-0.100354869026346	0.754714224084427	-0.100354869026346
ABCB1	0.0026808944185471	-0.235308754347118	0.807173852956536	-0.235308754347118
LIG4	0.00271101661767207	0.0471189635001715	0.807173852956536	0.0471189635001715
AL591767.1	0.00285030774069068	-0.185853300693567	0.807173852956536	-0.185853300693567
LINC00901	0.0028666652878656	-0.159459689993058	0.807173852956536	-0.159459689993058
ADM	0.00289687212849287	-0.371269117672521	0.807173852956536	-0.371269117672521
EFHD1	0.00299256596095698	0.120951246992898	0.807173852956536	0.120951246992898
SH3GLB1	0.00302500056522628	0.0248792650515118	0.807173852956536	0.0248792650515118
COL4A2	0.00303229407998987	-0.0989002233028877	0.807173852956536	-0.0989002233028877
AL118558.3	0.0030327067388293	-0.173712213147509	0.807173852956536	-0.173712213147509
AMDHD1	0.0030852002948093	0.0993998470245976	0.808512335719718	0.0993998470245976
CHRNA5	0.00317477385304752	0.144317493692176	0.81126788577556	0.144317493692176
ZNF275	0.00321331711743014	0.052015551460268	0.81126788577556	0.052015551460268
PNPLA3	0.00328085901294434	-0.114386794998149	0.81126788577556	-0.114386794998149
AL390783.1	0.00328622074195806	-0.21182089582997	0.81126788577556	-0.21182089582997
C1QTNF3	0.00339780219295305	-0.045507934847919	0.817974913483997	-0.045507934847919
CCDC13	0.00343591711066489	0.114919116315964	0.817974913483997	0.114919116315964
IMP3	0.00349790344252518	0.107392683968682	0.817974913483997	0.107392683968682
GPRIN1	0.00359760197888765	0.142606421683224	0.817974913483997	0.142606421683224
ZDHHC15	0.00362583629991773	-0.0309825019020102	0.817974913483997	-0.0309825019020102
ATP5F1A	0.00365625233743006	0.0857471312645684	0.817974913483997	0.0857471312645684
PPARGC1B	0.00371493202518985	-0.045475386306676	0.817974913483997	-0.045475386306676
HTT-AS	0.00372310552996457	-0.101471550084627	0.817974913483997	-0.101471550084627
RPE	0.00376330510772459	-0.042239813112786	0.817974913483997	-0.042239813112786
RPP14	0.00381311836274583	0.0468691120054611	0.817974913483997	0.0468691120054611
FMNL2	0.00384161048953386	-0.0198842814650171	0.817974913483997	-0.0198842814650171
VAMP7	0.00397948080616167	-0.0397508508005403	0.821341111310659	-0.0397508508005403
POLM	0.00400098549439483	-0.0520151495587966	0.821341111310659	-0.0520151495587966
ZMAT2	0.00406108027811408	0.0754992515408108	0.821341111310659	0.0754992515408108
IFT122	0.0040811629263837	-0.0404843381280191	0.821341111310659	-0.0404843381280191
MELTF	0.00409850853947435	0.113915988124076	0.821341111310659	0.113915988124076
FAM122B	0.00415274928261031	-0.0461088547597731	0.822055954342401	-0.0461088547597731
LINC02389	0.00419859504683509	0.181018016950277	0.822055954342401	0.181018016950277
AL365259.1	0.00429397224639596	-0.114385244489718	0.8311764005126	-0.114385244489718
MT-ND2	0.0045475083797078	0.145507095984232	0.860366833991038	0.145507095984232
SMARCC2	0.00456434316014826	0.029493714244229	0.860366833991038	0.029493714244229
DACH1	0.00463433588663451	0.196921829841006	0.860366833991038	0.196921829841006
FAM177A1	0.00477122218293429	0.0330560540746426	0.860366833991038	0.0330560540746426
AC116362.1	0.00495495335286243	0.090611662240288	0.860366833991038	0.090611662240288
FOXP1-IT1	0.00496904465354375	0.0740339694784675	0.860366833991038	0.0740339694784675
AL627309.5	0.00503400620579414	0.131570145037925	0.860366833991038	0.131570145037925
ENO3	0.0050379241840679	-0.139734775816499	0.860366833991038	-0.139734775816499
PARP16	0.00504937284658868	0.0343883595709582	0.860366833991038	0.0343883595709582
GATB	0.00510751236523171	-0.0367897204826413	0.860366833991038	-0.0367897204826413
AC068205.2	0.00517577955778527	-0.0707009986423883	0.860366833991038	-0.0707009986423883
AP1M1	0.00520482964357263	0.0381744157763138	0.860366833991038	0.0381744157763138
LPP	0.00520489846342511	-0.0190608779309499	0.860366833991038	-0.0190608779309499
SLC15A4	0.00524157197542322	-0.033383355867583	0.860366833991038	-0.033383355867583
BECN1	0.00526114595216085	0.0395606654036691	0.860366833991038	0.0395606654036691
GRIN2D	0.00532401818871909	0.0489556237720169	0.860366833991038	0.0489556237720169
SLC39A13	0.0053303870984321	-0.0568776351753628	0.860366833991038	-0.0568776351753628
SAP18	0.00542169829328594	0.133824784216332	0.860366833991038	0.133824784216332
