gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TMPRSS11A	8.37371429264166e-06	1.02592358243704	0.0758809354523052	1.02592358243704
KCNQ5	1.2569153659961e-05	-1.0351681657415	0.0758809354523052	-1.0351681657415
CACNA1B	1.54167888951893e-05	-1.36307150652652	0.0758809354523052	-1.36307150652652
DLGAP2	2.29610347878739e-05	-1.25584008117735	0.0758809354523052	-1.25584008117735
DHRS7	2.58671153395676e-05	-0.443950272749853	0.0758809354523052	-0.443950272749853
RBFOX2	2.59274266921316e-05	0.108845657512911	0.0758809354523052	0.108845657512911
AC073655.2	4.04618950251373e-05	0.944424447701163	0.101501553805916	0.944424447701163
MAP1LC3A	5.9213672851061e-05	-0.532774932440125	0.129974011908079	-0.532774932440125
HEATR1	7.89836866927719e-05	-0.312448656692127	0.154105948702786	-0.312448656692127
ST6GALNAC5	9.15380112661016e-05	-1.74928528110715	0.159418435760696	-1.74928528110715
AC018638.7	0.000101450129043852	0.892157568928143	0.159418435760696	0.892157568928143
CDH12	0.000108941983435555	-1.84637256785046	0.159418435760696	-1.84637256785046
RMND5B	0.000132279056129557	-0.368468351148936	0.178678478895002	-0.368468351148936
MLIP	0.000173499110802381	-2.44978593323529	0.2176174561207	-2.44978593323529
LMAN2	0.00019328282668141	-0.494331225454508	0.226269762435037	-0.494331225454508
PDSS2	0.00026057336940676	0.172659196872957	0.252189459468921	0.172659196872957
LINC02699	0.000264214977765195	2.8912908907638	0.252189459468921	2.8912908907638
GALNT9	0.000270963713308669	-1.54840895275183	0.252189459468921	-1.54840895275183
EIF1	0.000272870144072295	-0.335465836916372	0.252189459468921	-0.335465836916372
FOS	0.000323320734639729	-0.276627055517591	0.273852452031725	-0.276627055517591
AL034405.1	0.000327626643665624	-0.860758426618237	0.273852452031725	-0.860758426618237
IL17RB	0.000355029624711211	0.237932685228276	0.273852452031725	0.237932685228276
TOMM5	0.000358690569289845	-0.710794997473185	0.273852452031725	-0.710794997473185
NKAIN2	0.000481819917862585	-0.723843307421786	0.301444378972332	-0.723843307421786
GLDN	0.000481974716211333	-1.25814381061652	0.301444378972332	-1.25814381061652
FRMPD4	0.00051995637942879	-0.930009712858983	0.301444378972332	-0.930009712858983
CIAO2B	0.000525836333562213	-0.362353925122259	0.301444378972332	-0.362353925122259
MED20	0.000533199375681174	-0.93954461527166	0.301444378972332	-0.93954461527166
FGF14	0.000559382508729946	0.103785777323235	0.301444378972332	0.103785777323235
GRIN2A	0.000569611455806963	-0.629629937872232	0.301444378972332	-0.629629937872232
AP001412.1	0.00058888450798523	0.927000936191306	0.301444378972332	0.927000936191306
GOLGA8B	0.000638824873204455	-0.216905039403488	0.301444378972332	-0.216905039403488
ITGB4	0.000638868926333524	0.256859312960867	0.301444378972332	0.256859312960867
