gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
DHX15	7.35094978319505e-06	0.113539881826968	0.0786772155295367	0.113539881826968
ADORA1	2.49248620418018e-05	0.121066358087388	0.133385399216703	0.121066358087388
IRAK2	0.000125845198955141	-0.172915090211375	0.448973721472292	-0.172915090211375
PPP1R36	0.000383497327476444	0.242407239148003	0.662149142803266	0.242407239148003
TNKS2	0.000423170245073144	0.108963866409659	0.662149142803266	0.108963866409659
AC005740.5	0.000615196995826116	0.310276699876927	0.662149142803266	0.310276699876927
AL513217.1	0.000678465507504904	0.24437307955352	0.662149142803266	0.24437307955352
MAMLD1	0.0007702920349685	-0.265660222976307	0.662149142803266	-0.265660222976307
SPRED1	0.000771919291192655	-0.101157405940823	0.662149142803266	-0.101157405940823
UGGT1	0.000875503788899959	0.0988822427180881	0.662149142803266	0.0988822427180881
FAM216A	0.000910921856045065	-0.308452462583089	0.662149142803266	-0.308452462583089
CHMP4B	0.000949664106736382	0.156207730298355	0.662149142803266	0.156207730298355
SNHG17	0.000961805332405965	0.237358550513915	0.662149142803266	0.237358550513915
DPM3	0.000978079564884912	0.308196680369944	0.662149142803266	0.308196680369944
RAB11B-AS1	0.000985057243807934	0.166750574451701	0.662149142803266	0.166750574451701
RUNX1	0.00106950387830191	-0.210738587267016	0.662149142803266	-0.210738587267016
UQCRB	0.00107873524483974	0.316857336684487	0.662149142803266	0.316857336684487
NAXD	0.0011422833336319	0.192879100059556	0.662149142803266	0.192879100059556
HINT3	0.00123489065548877	-0.13751445490348	0.662149142803266	-0.13751445490348
HLTF	0.00123731503840655	0.125305736102931	0.662149142803266	0.125305736102931
BRSK1	0.00138905966605438	0.0905616653852012	0.70795740979905	0.0905616653852012
MYO10	0.00149873421565088	0.108885430951679	0.729134195914152	0.108885430951679
JOSD2	0.00186809119538789	0.152914740393787	0.780096691551802	0.152914740393787
MFSD4A	0.00192434375050049	-0.356416284199756	0.780096691551802	-0.356416284199756
PGBD4	0.0020346857399104	0.207152846684782	0.780096691551802	0.207152846684782
AC026401.3	0.00206253236885439	-0.234469428446409	0.780096691551802	-0.234469428446409
CHST11	0.00209093601469669	-0.336879057322914	0.780096691551802	-0.336879057322914
SIRT3	0.00216789670348074	0.166321577402724	0.780096691551802	0.166321577402724
WDR33	0.00222460505736303	-0.0783893454242069	0.780096691551802	-0.0783893454242069
TMEM179	0.00239156455020072	0.296365046484268	0.780096691551802	0.296365046484268
MIS12	0.00241296431861921	0.185086695666775	0.780096691551802	0.185086695666775
AP000873.2	0.00243228324579794	0.13191486750262	0.780096691551802	0.13191486750262
C3orf62	0.00244687978791964	-0.240369582465531	0.780096691551802	-0.240369582465531
LIPT1	0.0025287507647856	0.240908837352294	0.780096691551802	0.240908837352294
PTCD3	0.00259921570432593	0.0691234375707671	0.780096691551802	0.0691234375707671
INPPL1	0.00262388871305848	-0.23016678576408	0.780096691551802	-0.23016678576408
LINC01725	0.00275220873981779	0.167685280805111	0.796132166007293	0.167685280805111
ATP5F1E	0.00290604386646529	-0.244179925796312	0.807040102129295	-0.244179925796312
COMMD4	0.00294728840466876	0.137212541722652	0.807040102129295	0.137212541722652
MRGBP	0.00306668912682224	0.202885279864232	0.807040102129295	0.202885279864232
SNX1	0.00309152986894339	0.0564560954533639	0.807040102129295	0.0564560954533639
COL14A1	0.00355669460693515	-0.195100292897628	0.838740325993694	-0.195100292897628
PRDM2	0.00357599459983958	-0.0761987938472036	0.838740325993694	-0.0761987938472036
AC025810.1	0.00375614198100675	0.210563756221911	0.838740325993694	0.210563756221911
