logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.7907078530234	0.737053714198083	6.37791342988933	-0.00627323904077839	-0.0523260447605767	0.264540889264368	1.45905048174076e-05	-2.81606625337395e-05	0.0708724433084894	0.0561000953453453	0.153751546156173	0.00876637882800718	0.213935697654476	0.16032785755257	3.69620591727158e-06	1.27741872845662e-05	0	1.9892813597618e-39	0	0.474237080641708	0.80677567244721	0.0989430326342839	7.89954344196666e-05	0.0274893832730019	36496	UTY	2.78280569417079e-35	0.737053714198083	0.912694712982296	0.163725415258036	1	NBGMM (LN)
-13.4708459659769	0.970966934942781	7.25808803939218	-0.0076079604044226	-0.0336646340546027	0.15722805619278	-7.16366267500424e-05	0.000339499808138097	0.0996415154467223	0.0752751368744681	0.222912008805448	0.00795002889294867	0.229027480450166	0.171857365749756	1.10036665436941e-05	3.56814763880067e-05	0	4.56530650784193e-38	1.49547951582204e-232	0.338581047887662	0.883140310782755	0.360257107016916	7.50255341871046e-11	1.82175837485374e-21	36473	AC064829.1	2.19662346266411e-34	0.970966934942781	0.867828789538898	2.62379068880579	1	NBGMM (LN)
-12.0215770726684	0.653438100059118	5.78221238578146	-0.000369996444911106	-0.107510896953758	0.151208219202552	1.65105921828078e-05	-2.0473201539783e-05	0.0625601127357289	0.0506679064059866	0.131388261112139	0.00820545469504881	0.183600915663287	0.13677887117229	6.58821439838765e-06	2.17657544389117e-05	0	4.71075158195176e-38	0	0.964034358625182	0.558165579650906	0.26894559981602	0.0122078003561434	0.346902040767868	36501	NLGN4Y	2.19662346266411e-34	0.653438100059118	0.729394095416824	0.922093751899703	1	NBGMM (LN)
-13.3373530239683	0.75066424631865	6.52116038101582	-0.000741183879730285	-0.214739079940903	0.160087786389823	-1.88182250571131e-05	0.000115888952887725	0.0820649149080432	0.0609416600505181	0.176087212710914	0.00748190091129371	0.198116761933231	0.140608596286986	7.09007857323611e-06	2.54287530105215e-05	0	7.26925971995478e-35	3.28657120132365e-300	0.921087789789888	0.278408419632488	0.254897217333601	0.00795053831015619	5.17911814152655e-06	36517	KDM5D	2.54224185556118e-31	0.75066424631865	0.679436554296109	0.210300432151877	1	NBGMM (LN)
-12.4985016610166	0.611694120757148	6.14107393831219	0.000401252508302271	-0.205238117178018	0.0259569595228825	1.34671382227542e-05	-4.99708483896345e-05	0.0639092744061631	0.0518877131730309	0.132807543663719	0.00730959273528023	0.1779742202678	0.127087846169336	9.75994838192871e-06	3.14544900669637e-05	0	4.4582301774094e-32	0	0.956222941985903	0.248832346933219	0.838162647751269	0.167636827289292	0.112134601849094	36514	TTTY14	1.2473236390356e-28	0.611694120757148	0.620317331570226	3.07382042705539	1	NBGMM (LN)
-12.5130237596138	0.579847983424886	5.38622137048581	-0.00297537708115811	-0.115509619466214	0.0208499978796632	-2.39662894866455e-05	0.000163196432249675	0.061221218034164	0.0501956437695244	0.127259118776492	0.00740737084488021	0.178476852988084	0.12925424680073	7.52798037478439e-06	2.60267451868095e-05	0	7.23247701124143e-31	0	0.687921099432893	0.517504686029547	0.87184927601012	0.00145441767912462	3.60270278175846e-10	36493	USP9Y	1.68625201517094e-27	0.579847983424886	0.666313287397489	0.94518338077757	1	NBGMM (LN)
-13.5959804208525	0.721517815164629	6.43647592304763	-0.00210345732333356	0.0483471082568185	0.00691515350668864	-4.76824902347406e-06	-2.86633564760061e-05	0.0857668636928455	0.0641009297714871	0.181404609171194	0.00747918761503827	0.192977260091703	0.141854765777331	8.1809862934959e-06	2.89331808469924e-05	0	2.16444165993183e-29	9.5417565062017e-276	0.778525239851613	0.802175442921612	0.961120025186081	0.55999747841294	0.321844681451383	36495	DDX3Y	4.32548205439805e-26	0.721517815164629	0.659810228047902	0.237750122108539	1	NBGMM (LN)
-13.369152379524	0.496142416608336	5.30151161613667	-0.000885328585607845	-0.0981447178275906	0.086948944463032	-3.15829341289861e-05	0.000109166686160096	0.0627732352698177	0.0475752933054313	0.125205125794305	0.0065052325736401	0.151332946344596	0.106231854814908	1.29166328595084e-05	4.39092541888415e-05	0	1.83625302545317e-25	0	0.891746306740198	0.516638957621062	0.413081567550993	0.0144797214325772	0.0129119525134127	36453	ZFY	3.21091794663305e-22	0.496142416608336	0.428814578843004	2.32796159809218	1	NBGMM (LN)
-13.4210887698173	0.510440021380625	5.27426346551913	-0.000124931692761994	-0.231439377084634	0.0466594925368982	-4.94148790786051e-05	0.000237281088593944	0.0644644475975125	0.0492854396770236	0.128616070304476	0.00691941876949155	0.16083054158717	0.111494232927227	1.2023425260348e-05	4.17714586671339e-05	0	3.89736880573578e-25	0	0.985594793936486	0.150143075083975	0.675587119666305	3.95858496730497e-05	1.34333182605764e-08	36451	RPS4Y1	6.05781024704864e-22	0.510440021380625	0.468744009328953	1.15589746005242	1	NBGMM (LN)
-12.7778705131909	0.293107421584229	4.68667863527164	0.00384637070797621	-0.248411662309206	0.00372964369788606	3.49917164207645e-05	-0.000107405805130506	0.0480979738650738	0.039118664451611	0.094144389925536	0.00688276833587075	0.129031125274159	0.0896110236426014	1.14471430067006e-05	3.88672093898951e-05	0	6.74315176760627e-14	0	0.576270479394064	0.0542034311359574	0.966801336731426	0.0022370764289961	0.00572019018020217	36519	TTTY10	9.43299500770441e-11	0.293107421584229	0.344633744850147	2.40966736146738	1	NBGMM (LN)
