gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
AP001372.1	2.78302480461896e-06	0.64132639552308	0.0406794735691153	0.64132639552308
GABBR2	6.16930392244743e-05	0.409196778147689	0.45088357717207	0.409196778147689
AKAP5	0.000113537112206579	0.602584096339366	0.55319065637452	0.602584096339366
AGTRAP	0.000214059505048928	0.315062894126513	0.707703068885671	0.315062894126513
PLPPR2	0.000242082188166406	0.165091013597851	0.707703068885671	0.165091013597851
PRKACB	0.000427957499813352	0.133248936134074	0.827411922769292	0.133248936134074
LINC00863	0.000690988890623918	0.336187603053238	0.827411922769292	0.336187603053238
ZP3	0.000734392590896625	0.406634488594088	0.827411922769292	0.406634488594088
AC010894.3	0.00101875660025429	0.242266996129175	0.827411922769292	0.242266996129175
EVL	0.00102890670391291	-0.109725538737148	0.827411922769292	-0.109725538737148
ATG3	0.0010964135879701	-0.22363308668536	0.827411922769292	-0.22363308668536
LINC02315	0.00114610296332207	-0.794312660720317	0.827411922769292	-0.794312660720317
CLCN5	0.00115522436472969	-0.31675578960303	0.827411922769292	-0.31675578960303
GMEB2	0.00115957816935873	-0.221388221531203	0.827411922769292	-0.221388221531203
SERTAD2	0.00120603897634031	-0.173689202545494	0.827411922769292	-0.173689202545494
SERPINE1	0.00126994455750155	0.461971228617077	0.827411922769292	0.461971228617077
SNTG1	0.00128017928310259	0.316102153626376	0.827411922769292	0.316102153626376
SPRED3	0.00137155494620541	0.430506794529405	0.827411922769292	0.430506794529405
AC079336.4	0.00139417202946241	0.423857464150381	0.827411922769292	0.423857464150381
RHNO1	0.00140674813372556	0.516776000247393	0.827411922769292	0.516776000247393
TMED5	0.00144880399371998	-0.159025696743078	0.827411922769292	-0.159025696743078
SFXN1	0.00149143237410484	0.12697919755701	0.827411922769292	0.12697919755701
ZNF766	0.00149222740612154	0.163477054255127	0.827411922769292	0.163477054255127
ICA1	0.00153036572382347	-0.551684579083856	0.827411922769292	-0.551684579083856
WDR73	0.0017094847488506	0.145402411893456	0.827411922769292	0.145402411893456
AC018797.3	0.0017897138152871	-0.439962638992778	0.827411922769292	-0.439962638992778
CYP27A1	0.00180096948631375	0.135537771847776	0.827411922769292	0.135537771847776
IGFBP3	0.00199717745175039	0.54711718250486	0.827411922769292	0.54711718250486
AL391839.1	0.00200007325317577	0.334479376012728	0.827411922769292	0.334479376012728
AC011815.2	0.00202384386227744	0.440639922493923	0.827411922769292	0.440639922493923
CYP2R1	0.00204256615161571	0.245359720813147	0.827411922769292	0.245359720813147
AL445928.2	0.00207241327039064	0.430277469656006	0.827411922769292	0.430277469656006
ANLN	0.00220813678329751	0.394899781318966	0.827411922769292	0.394899781318966
ZNF133	0.0023268039242881	-0.181999209639782	0.827411922769292	-0.181999209639782
AL353151.2	0.0023268271911681	0.384820806519683	0.827411922769292	0.384820806519683
KAT6B	0.00234974102190764	-0.0851680687967136	0.827411922769292	-0.0851680687967136
AP003555.2	0.00237121336664848	-0.426427824845417	0.827411922769292	-0.426427824845417
SPAG16	0.00237648379983267	0.15366547652068	0.827411922769292	0.15366547652068
NTRK1	0.0023967068835761	0.217444118530999	0.827411922769292	0.217444118530999
MRPS18A	0.00243405615179911	0.227127794274941	0.827411922769292	0.227127794274941
ZNF536	0.00255554512894551	0.399649300394434	0.827411922769292	0.399649300394434
GXYLT2	0.00264711321807798	0.175784007752991	0.827411922769292	0.175784007752991
FBXO38	0.00276460305225239	0.139731973438053	0.827411922769292	0.139731973438053
SEPTIN7-AS1	0.00278632303893079	0.209287274789008	0.827411922769292	0.209287274789008
RABGGTB	0.00291442766172232	0.216639439214259	0.827411922769292	0.216639439214259
AC009113.1	0.00297322724354898	0.495697665828173	0.827411922769292	0.495697665828173
AC107871.2	0.00321569195539062	0.458029533713806	0.827411922769292	0.458029533713806
SPOCK1	0.00321872474819482	0.215099215102357	0.827411922769292	0.215099215102357
PUS3	0.00325772685460167	0.381353000605413	0.827411922769292	0.381353000605413
ZNF268	0.00332789646475851	0.207025764415959	0.827411922769292	0.207025764415959
