gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
ZNF804A	2.82352216610663e-05	0.92390381043815	0.297657263491727	0.92390381043815
AL589693.1	4.96446083922716e-05	1.15010497251444	0.297657263491727	1.15010497251444
IGHM	0.000102252676311535	0.721882241731013	0.297657263491727	0.721882241731013
ATG2A	0.000111817339159441	-0.390266243829013	0.297657263491727	-0.390266243829013
Z98884.1	0.00013061274859085	1.01920151327693	0.297657263491727	1.01920151327693
NIPSNAP1	0.000150806359574246	0.804223697743114	0.297657263491727	0.804223697743114
IGKC	0.000157920330789911	1.17246178683718	0.297657263491727	1.17246178683718
IFI44L	0.000231998237145554	0.520812563542075	0.366992680574938	0.520812563542075
GSR	0.000252083363248281	0.363791000994809	0.366992680574938	0.363791000994809
CD200R1	0.000305705215228659	-0.51942422676754	0.366992680574938	-0.51942422676754
DRAIC	0.000324816515176152	-0.820098465326264	0.366992680574938	-0.820098465326264
NOC3L	0.00037353407188817	0.443118842421593	0.366992680574938	0.443118842421593
PPP1R12B	0.000427739812911914	-0.196113426744292	0.366992680574938	-0.196113426744292
CCDC18-AS1	0.000452841071912917	0.188937499026377	0.366992680574938	0.188937499026377
SH3BP5L	0.000485500845754698	0.483329552102634	0.366992680574938	0.483329552102634
HSPB11	0.000489846518361642	0.328404027400543	0.366992680574938	0.328404027400543
AC009495.3	0.000514901988056468	-0.706644293118925	0.366992680574938	-0.706644293118925
CADM1	0.000537257539068932	-0.453505022647455	0.366992680574938	-0.453505022647455
ZNF710	0.000538449766386426	0.290776395007488	0.366992680574938	0.290776395007488
TATDN1	0.000556302380741152	0.350154615318543	0.366992680574938	0.350154615318543
HEXA	0.000621599584674984	0.248940378979376	0.390542139057226	0.248940378979376
RNF8	0.000658121581838635	-0.37584194482598	0.394693461399043	-0.37584194482598
TSHR	0.000697262871080196	-1.03478310145455	0.399986361784005	-1.03478310145455
NUP58	0.000862194881326479	0.282606774535338	0.473991636009232	0.282606774535338
NFATC2IP	0.000936384495947702	0.184315839672079	0.494186281581359	0.184315839672079
PDE12	0.0010072152844376	0.515132898108121	0.511123017802682	0.515132898108121
AFF3	0.00108656328216292	0.504236851201743	0.530967257216946	0.504236851201743
PRKY	0.00115949551449529	-0.219148388580151	0.537653221994517	-0.219148388580151
NRG1	0.00129928449867599	0.890305854894229	0.537653221994517	0.890305854894229
ELP3	0.00131369464731335	-0.223767946619767	0.537653221994517	-0.223767946619767
DCAF13	0.00132223610646324	0.388068990100022	0.537653221994517	0.388068990100022
SPART	0.00137230922572391	-0.381257856570546	0.537653221994517	-0.381257856570546
LINC00926	0.00139190995997468	0.569720652131883	0.537653221994517	0.569720652131883
CD79A	0.00148097244892016	0.820490760445718	0.537653221994517	0.820490760445718
PACSIN2	0.00150478010617153	-0.237878540312339	0.537653221994517	-0.237878540312339
PPP6R3	0.00152552511215627	0.0851702352122824	0.537653221994517	0.0851702352122824
SPATA2	0.00155564137392561	0.694228551662738	0.537653221994517	0.694228551662738
UBN2	0.00162073849950768	0.220247673082485	0.537653221994517	0.220247673082485
PPP1R16A	0.00166788833695998	-1.04084141129953	0.537653221994517	-1.04084141129953
MTRNR2L1	0.00168058543150041	0.507118949665771	0.537653221994517	0.507118949665771
SREBF2	0.00169841487217688	0.165024546708644	0.537653221994517	0.165024546708644
ZNF799	0.00177254372086563	-1.14676703188735	0.537653221994517	-1.14676703188735
P2RX1	0.00177852546503839	0.894618958323827	0.537653221994517	0.894618958323827
LYL1	0.00181780485535191	0.776536352248125	0.537653221994517	0.776536352248125
NR2C1	0.00183374223054064	0.287829317558729	0.537653221994517	0.287829317558729
ZNF532	0.00205414611009648	-0.341023350986535	0.581700655210627	-0.341023350986535
ARF3	0.00207214876420338	0.414035887486063	0.581700655210627	0.414035887486063
HDAC9	0.00237074278977875	0.270321121927988	0.623209556263013	0.270321121927988
USP25	0.00241070178721995	0.118666604299976	0.623209556263013	0.118666604299976
CNIH1	0.00244473813539131	0.39016792605336	0.623209556263013	0.39016792605336
ZNF92	0.00247777793129661	-0.421258144408136	0.623209556263013	-0.421258144408136
IRAK2	0.00249147217298346	0.350261377193349	0.623209556263013	0.350261377193349
ZNF490	0.0025528288679673	0.31085923047587	0.623209556263013	0.31085923047587
SLC25A35	0.0025844479554118	-1.36054001823911	0.623209556263013	-1.36054001823911
MRPL23	0.00259788734231209	0.839259951737175	0.623209556263013	0.839259951737175
RHOT2	0.00269994479189446	0.218656903765685	0.636126278290278	0.218656903765685
HMCES	0.00275754968682085	-0.37110129669922	0.638300185402006	-0.37110129669922
COQ10B	0.00291861134772607	0.270293861898917	0.655330608392085	0.270293861898917
GNG7	0.00301602584850338	0.408078791109742	0.655330608392085	0.408078791109742
RNF31	0.00306185418776477	-0.338100513215429	0.655330608392085	-0.338100513215429
FAM13A	0.00308490797282489	0.305576470698817	0.655330608392085	0.305576470698817
CTSA	0.00311358581035531	0.423756509007092	0.655330608392085	0.423756509007092
RHEX	0.00315781829335704	0.501829415507109	0.655330608392085	0.501829415507109
DHRS4	0.0031788054370997	0.60726452511698	0.655330608392085	0.60726452511698
LINC02506	0.0033200273452229	0.764099743666052	0.664042121970888	0.764099743666052
CLEC4A	0.00332172048280117	0.99060290952345	0.664042121970888	0.99060290952345
ZNF207	0.0035163634974945	0.107359871268543	0.692461193820036	0.107359871268543
YPEL5	0.00358621080644922	0.26840233741781	0.694053452241486	0.26840233741781
DDX49	0.00362965652604688	-0.595500027600631	0.694053452241486	-0.595500027600631
EIF3H	0.00374745669648836	-0.173751730199538	0.697883480564836	-0.173751730199538
UBE3A	0.00389958177581831	0.141793640840963	0.697883480564836	0.141793640840963
ROMO1	0.00399853431227561	0.726627609410205	0.697883480564836	0.726627609410205
NDUFC1	0.00400739301417981	0.316726402251582	0.697883480564836	0.316726402251582
IFNG	0.00400868523947961	0.592828127952327	0.697883480564836	0.592828127952327
PLCL2	0.00401454091604422	-0.0935851413047213	0.697883480564836	-0.0935851413047213
ATP9A	0.00412054546406409	-0.400800517275652	0.697883480564836	-0.400800517275652
KAT14	0.00413952390900103	0.47009631107684	0.697883480564836	0.47009631107684
CHKA	0.00424325086840034	0.333296421480057	0.697883480564836	0.333296421480057
IDUA	0.0042605342893556	-0.605781425725017	0.697883480564836	-0.605781425725017
LZTR1	0.00429418885358167	0.331336048826251	0.697883480564836	0.331336048826251
ACSM3	0.00434823105050499	0.71956438954574	0.697883480564836	0.71956438954574
DDX28	0.00452885103592132	0.940400485485062	0.697883480564836	0.940400485485062
AC083949.1	0.0045298473158998	0.93515019050681	0.697883480564836	0.93515019050681
LINC01891	0.00469166251850793	-0.985110357709794	0.697883480564836	-0.985110357709794
MAT2A	0.00469849357172823	0.281625423754176	0.697883480564836	0.281625423754176
SLFNL1	0.00474297510706339	-0.926479857598799	0.697883480564836	-0.926479857598799
KCTD10	0.00481249058231584	-0.374202361717109	0.697883480564836	-0.374202361717109
IRF8	0.00485556089292078	0.502582618592069	0.697883480564836	0.502582618592069
SYMPK	0.00489477140236078	0.174447939566572	0.697883480564836	0.174447939566572
RNPC3	0.00492669469091876	0.167984041146235	0.697883480564836	0.167984041146235
SMAD1	0.00495135174967878	-1.62244242459359	0.697883480564836	-1.62244242459359
C20orf197	0.00495305161096085	-1.2418590224481	0.697883480564836	-1.2418590224481
KHDRBS2	0.00499568078993019	0.471788523878559	0.697883480564836	0.471788523878559
CCDC25	0.00502270053363195	-0.404578472410405	0.697883480564836	-0.404578472410405
RYR1	0.00502493032087763	0.625463067816232	0.697883480564836	0.625463067816232
LZTFL1	0.00530043368526642	-0.450866657349257	0.706311777043763	-0.450866657349257
FAM20B	0.00533715688445196	-0.319969466334681	0.706311777043763	-0.319969466334681
ECPAS	0.00542706597221153	-0.167230926350643	0.706311777043763	-0.167230926350643
PECR	0.0054565088270684	-0.397985030550131	0.706311777043763	-0.397985030550131
FBXL18	0.00546166716723346	0.328153697448837	0.706311777043763	0.328153697448837
DNAJC3-DT	0.00547148740280848	-1.35602750959729	0.706311777043763	-1.35602750959729
AC009404.1	0.00551568591303462	0.674298682398751	0.706311777043763	0.674298682398751
ANKRD23	0.0055289688311853	-0.312605524513031	0.706311777043763	-0.312605524513031
ZNF93	0.00557040822843632	0.981292039832238	0.706311777043763	0.981292039832238
NAA20	0.00562094411017092	0.300438741942686	0.706311777043763	0.300438741942686
AC108519.1	0.00581864029775993	-0.52249206728947	0.717555134452325	-0.52249206728947
CXXC1	0.00581919049464899	-0.382458556428689	0.717555134452325	-0.382458556428689
RAD51B	0.00592616025752029	-0.12442054936594	0.723979244793729	-0.12442054936594
GLT1D1	0.00600327686459845	0.916892441848416	0.726671880289101	0.916892441848416
WDFY4	0.00619908047504594	0.422660589963536	0.731257959665277	0.422660589963536
B3GNT5	0.00626332164428716	-1.24358187461885	0.731257959665277	-1.24358187461885
STIL	0.00629985246420701	0.745850499931945	0.731257959665277	0.745850499931945
P2RX5	0.00632413110879092	-0.390707115735418	0.731257959665277	-0.390707115735418
AC005332.4	0.00635185424255946	0.356012208498269	0.731257959665277	0.356012208498269
TARSL2	0.00639304295376845	0.180006534150224	0.731257959665277	0.180006534150224
SEC31B	0.00642912864341156	-0.285119801789957	0.731257959665277	-0.285119801789957
CPLANE1	0.00656072719345206	0.194234110230963	0.739848158892363	0.194234110230963
PHYHIPL	0.00661878251127352	-1.17332868714202	0.740069630963922	-1.17332868714202
SLC22A18	0.00685017823781028	-0.675254526312864	0.75322670316908	-0.675254526312864
RPS17	0.00689314619145955	0.183056749054901	0.75322670316908	0.183056749054901
HMGA1P4	0.00690771798419423	0.349541529783702	0.75322670316908	0.349541529783702
IP6K1	0.00700376344504338	0.167349203737621	0.757439794212315	0.167349203737621
