logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-9.97048486210863	0.244257184464031	-0.440180192839343	0.00246781120079479	-4.59592693519575e-05	6.95364085539451e-05	0.0750883902989354	0.0529726721677597	0.12736595288725	0.0143574583412802	3.48948977198599e-05	0.000146454151159268	0	4.00729510050322e-06	0.000548200074225784	0.863529063312441	0.187812795047379	0.634929642110782	28257	NUP88	0.0372321915231171	0.244257184464031	1e-04	0.188172118769032	1	NBGMM (HL)
-9.531391180064	0.220231467836533	-0.13961149288384	-0.00635744428127586	-2.56869421573447e-06	-1.53041398559809e-05	0.0632524099324769	0.0486022373159447	0.105151984340129	0.012886687397118	3.00591321477823e-05	0.000125146204916421	0	5.86209640933247e-06	0.18427345175147	0.621776430676174	0.931899905309501	0.902669285229656	34268	PKNOX1	0.0372321915231171	0.220231467836533	0.00528753626509627	0.449394347995448	1	NBGMM (HL)
-12.7115498787289	0.67104697157673	-0.0396527765174828	0.0277851151046618	4.50808188669642e-06	0.000409361045772543	0.291620090024361	0.149110081580844	0.344135648571697	0.0452130054934177	7.98482676298984e-05	0.000382848735662659	0	6.78429145829393e-06	0.908267367574272	0.538859795285383	0.954976869540578	0.284956992699948	28628	CCDC144NL	0.0372321915231171	0.67104697157673	0.0269148879804303	0.880555906117298	1	NBGMM (HL)
-11.9998974196131	-0.694168804696363	0.476083744181468	0.0299569194508148	7.07934175872491e-05	-5.25405769511957e-05	0.205164111898934	0.166094386308992	0.282811451007134	0.0328765309988738	7.27936659477652e-05	0.000318002545557727	0	2.92326201234694e-05	0.092298403191789	0.362192817720617	0.330791089567381	0.868770337838591	28226	PSMB6	0.112996314381767	-0.694168804696363	0.0345993603055887	0.00100000249875407	1	NBGMM (HL)
-11.9007178803775	-0.55019660571969	0.250475185951364	-0.198036136850225	-1.24096486007974e-05	0.000264989174440653	0.224951830939068	0.132809422605594	0.247670192264908	0.0474978948497361	7.32822848714442e-05	0.000322778517083256	0	3.43161790517999e-05	0.311860655654392	3.0544732098334e-05	0.865528930618877	0.411667423833711	7355	P2RY14	0.112996314381767	-0.55019660571969	1e-04	1.87175782199525	1	NBGMM (HL)
-10.7898263397427	-0.39070819315134	0.384474418906955	-0.0515494763714927	-2.13723220176747e-05	0.000280841979544475	0.124909395778313	0.097111308512045	0.177233762006819	0.0249825999322705	5.10285425760378e-05	0.000212796659173518	0	5.73876528838127e-05	0.0300593934178522	0.0390731972697308	0.675339840641585	0.186912868036856	23328	PCDH9-AS2	0.147453989288418	-0.39070819315134	0.0568606348719934	0.845912242833792	1	NBGMM (HL)
-9.98020589227981	0.229585586574594	-0.0329064028437159	0.00963993261713508	4.12094189190866e-06	-1.96821891590175e-05	0.0776950754804083	0.0581170136496078	0.126036539806962	0.0150913241349547	3.5877357620339e-05	0.000151501080292596	0	7.80199291544206e-05	0.794026023693241	0.52297051932615	0.908554575087249	0.896634061398352	24302	TMEM260	0.147453989288418	0.229585586574594	1e-04	0.570251940500561	1	NBGMM (HL)
-11.378387264226	0.443509269216817	0.358609982506704	0.0674352877355915	-2.68049722456473e-05	7.47474084506626e-05	0.153217538724239	0.11300580371238	0.236779100956406	0.0242591517658348	6.32901459628269e-05	0.000263629785360719	0	8.68526001749203e-05	0.129890474777068	0.00543944739530942	0.671912110593893	0.776769264063934	22082	MDM1	0.147453989288418	0.443509269216817	0.101850368068378	0.00100000060827587	1	NBGMM (HL)
-11.3821900366835	-0.437090889673307	-0.472703466636374	-0.0158357442276986	-2.84496773737742e-05	0.00018840170158238	0.153716430103224	0.112004681785969	0.24184178244171	0.027834441564173	5.88198994148413e-05	0.000256739951270992	0	9.52301698423862e-05	0.0506305364245535	0.569406195987598	0.628616990515039	0.463056572625368	23922	DAD1	0.147453989288418	-0.437090889673307	0.0059666394988878	0.00100000018114479	1	NBGMM (HL)
-12.1765010384929	0.561176593598714	-0.657970966604342	-0.00700728827326131	-5.30528055207101e-05	0.000594640455131056	0.245167050436337	0.143872399562584	0.345517835900809	0.0417600422712363	9.13842451608491e-05	0.000405792885899016	0	9.59878896073798e-05	0.0568706150309674	0.866741504552894	0.56154612498353	0.142817488668882	24165	LINC02277	0.147453989288418	0.561176593598714	0.0510049616084752	4.53664313267033	1	NBGMM (HL)
