gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
SLC43A1	1.95640908255225e-06	0.884190249845567	0.0251613772107044	0.884190249845567
TEC	0.000132075577723746	0.19186343894915	0.343565101595874	0.19186343894915
AC083837.1	0.00013785581418729	-0.389466472990908	0.343565101595874	-0.389466472990908
WBP1	0.000143860312356253	0.512359929454745	0.343565101595874	0.512359929454745
ARHGAP8	0.000216162112670695	-0.422636013774618	0.343565101595874	-0.422636013774618
LAMP2	0.000235431631859643	0.205580270749227	0.343565101595874	0.205580270749227
PACSIN2	0.000240069524770022	-0.136448387057375	0.343565101595874	-0.136448387057375
JMJD1C	0.000273021515771322	0.078225030185191	0.343565101595874	0.078225030185191
LPXN	0.000295389946900696	0.293492875676054	0.343565101595874	0.293492875676054
AC007952.4	0.000303811040927369	0.497646149626047	0.343565101595874	0.497646149626047
PNPLA6	0.000312510603198254	-0.243332087744863	0.343565101595874	-0.243332087744863
TERF1	0.000332651257790498	0.290038962264339	0.343565101595874	0.290038962264339
TNIP2	0.00034727830812117	-0.500545561313228	0.343565101595874	-0.500545561313228
KAZN	0.000403584499626052	0.484164761752846	0.370750017835047	0.484164761752846
GCNT1	0.000433419205797388	0.235015739190776	0.37161362705068	0.235015739190776
TRIM50	0.000511158246802399	0.669455180440039	0.382097929453425	0.669455180440039
LPAR6	0.00052880855675705	0.131975532931203	0.382097929453425	0.131975532931203
PTGDS	0.000534776668234324	0.381044052581441	0.382097929453425	0.381044052581441
LDHA	0.000663043721381461	-0.450292696881527	0.39754542791094	-0.450292696881527
PBX1	0.000664536068217273	0.563369134759485	0.39754542791094	0.563369134759485
SUV39H2	0.000676450124059556	0.707194562427898	0.39754542791094	0.707194562427898
PPP2CA	0.000694502156033916	0.192469819636117	0.39754542791094	0.192469819636117
HMOX1	0.000710951313424432	0.340742458800642	0.39754542791094	0.340742458800642
PLPP7	0.00076531062592342	0.650614796830466	0.410110831666713	0.650614796830466
NEU1	0.000845965156981614	0.428734111800686	0.412311889281318	0.428734111800686
UBE2E2	0.000907702763273924	-0.0822661207034923	0.412311889281318	-0.0822661207034923
LINC02397	0.000910270436427036	-0.88580555909244	0.412311889281318	-0.88580555909244
MAF	0.000931173384084239	0.134132164456038	0.412311889281318	0.134132164456038
GLDN	0.000950161191903528	-0.327155643966374	0.412311889281318	-0.327155643966374
FAM174C	0.000997295408754397	0.48824085915499	0.412311889281318	0.48824085915499
PEX2	0.00100587205472768	0.330452020453316	0.412311889281318	0.330452020453316
C14orf178	0.00102589071277523	0.809653442295303	0.412311889281318	0.809653442295303
