gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
RDH10	5.75901534749531e-05	-0.380277167247708	0.418309180860981	-0.380277167247708
CCDC9B	6.04775196253437e-05	0.47877187691613	0.418309180860981	0.47877187691613
PRKY	0.000211678475464095	0.20541099109978	0.418309180860981	0.20541099109978
BBS1	0.000247892338094719	0.207910933625544	0.418309180860981	0.207910933625544
LINC00486	0.000270729588286022	0.210099639470595	0.418309180860981	0.210099639470595
RCAN1	0.00027291576089674	-0.172456001477196	0.418309180860981	-0.172456001477196
ATP10B	0.000319391448575972	0.663928876721003	0.418309180860981	0.663928876721003
ISCA1	0.00032437024102161	-0.200937832897136	0.418309180860981	-0.200937832897136
LONRF1	0.00040197574035109	0.132638022011393	0.418309180860981	0.132638022011393
PDCD2	0.000405245156448048	-0.190558200671852	0.418309180860981	-0.190558200671852
RFX7	0.000405896383963035	0.103817324607983	0.418309180860981	0.103817324607983
AL591518.1	0.000412045299127802	0.73291203027777	0.418309180860981	0.73291203027777
ADNP	0.000420974779862836	0.0825786716464487	0.418309180860981	0.0825786716464487
NFIA	0.000432585174716534	0.0793360310387106	0.418309180860981	0.0793360310387106
AL157944.1	0.000467424490726948	-1.6780770376461	0.418309180860981	-1.6780770376461
CCDC125	0.000485225926433716	0.250818046168506	0.418309180860981	0.250818046168506
PPARG	0.000489082260979139	-0.266163988484893	0.418309180860981	-0.266163988484893
SYTL2	0.0005625676548765	-0.335866228382902	0.454429650105795	-0.335866228382902
FBRS	0.000630032512822574	-0.223466354727272	0.464664426292138	-0.223466354727272
SLC17A5	0.000641844085177811	0.13466395957081	0.464664426292138	0.13466395957081
TTC4	0.000671110932058797	0.206612468508252	0.464664426292138	0.206612468508252
FASTKD2	0.000730885145016778	-0.211595409302389	0.47049993560423	-0.211595409302389
LINC02211	0.000744257119594036	0.519104568816459	0.47049993560423	0.519104568816459
SETD9	0.000800407075422871	0.409864667335235	0.472141446556892	0.409864667335235
FAHD2B	0.000828800964472805	0.393504757855473	0.472141446556892	0.393504757855473
GRIN2B	0.000844269436759229	-0.477930844801562	0.472141446556892	-0.477930844801562
OPCML	0.000878682677391539	-0.401448408801883	0.473186893676777	-0.401448408801883
USP9Y	0.00103558297001386	0.224214925164001	0.536106856617758	0.224214925164001
SPAG1	0.0010897778728744	0.168764495391006	0.536106856617758	0.168764495391006
TTC27	0.0011497827766322	0.127790840911093	0.536106856617758	0.127790840911093
SRSF1	0.00119243096249101	-0.123450114354453	0.536106856617758	-0.123450114354453
RIMKLB	0.00120647460738344	-0.140245829795163	0.536106856617758	-0.140245829795163
OCLN	0.00121674871171843	-0.104685302105646	0.536106856617758	-0.104685302105646
NLGN2	0.00127606259214981	-0.270330891420226	0.545704414407595	-0.270330891420226
CLEC4E	0.00132106086486873	-0.254532258392871	0.546845224852544	-0.254532258392871
AC093297.2	0.00149431311821971	0.291994474130397	0.546845224852544	0.291994474130397
MRNIP	0.00154569215579503	0.190486455467634	0.546845224852544	0.190486455467634
NUP210L	0.00155792038323721	0.246820498466003	0.546845224852544	0.246820498466003
LINC00882	0.00157794822570319	0.219886334952575	0.546845224852544	0.219886334952575
DMTN	0.00158169560739278	-0.316459105656148	0.546845224852544	-0.316459105656148
KCTD16	0.00173137251946617	-0.454740138966827	0.546845224852544	-0.454740138966827
SNRPD1	0.00176768297688746	-0.187258451034026	0.546845224852544	-0.187258451034026
AC097717.1	0.0017685868092689	0.371685181408722	0.546845224852544	0.371685181408722
SIL1	0.00183534789681008	0.115389132117409	0.546845224852544	0.115389132117409
CYSTM1	0.00187990954174431	-0.0925633282792706	0.546845224852544	-0.0925633282792706
USP34	0.00205812218077167	-0.0621715449738112	0.546845224852544	-0.0621715449738112
UMPS	0.00213125240524441	-0.273902580403404	0.546845224852544	-0.273902580403404
ALG12	0.0021764422290314	0.264512067408711	0.546845224852544	0.264512067408711
DHX37	0.002284718200153	-0.275412996563592	0.546845224852544	-0.275412996563592
FAM89A	0.00231329629797796	-0.0894977958471253	0.546845224852544	-0.0894977958471253
S100PBP	0.00238987919561537	0.102114700980687	0.546845224852544	0.102114700980687
USP30	0.00243950498145557	0.22893265956778	0.546845224852544	0.22893265956778
ZNF592	0.00244909959194875	0.127288722823263	0.546845224852544	0.127288722823263
ZNF322	0.00246962922080059	0.125196935213859	0.546845224852544	0.125196935213859
SCG5	0.00249605647925868	-0.626545045173326	0.546845224852544	-0.626545045173326
YARS	0.00251545893311761	-0.166436337222276	0.546845224852544	-0.166436337222276
SLC35G1	0.0025160412015043	0.289854198577101	0.546845224852544	0.289854198577101
ANXA3	0.00258420895339536	-0.0808506037968744	0.546845224852544	-0.0808506037968744
PTPRT	0.00259271886450458	-0.503982081620203	0.546845224852544	-0.503982081620203
LINC01170	0.00264512488948143	0.72588049691908	0.546845224852544	0.72588049691908
CHST2	0.00269003301835137	-0.236763824715781	0.546845224852544	-0.236763824715781
RBM8A	0.00269105820299818	-0.125128272431508	0.546845224852544	-0.125128272431508
TRIB1	0.00272141905053227	-0.24830674825013	0.546845224852544	-0.24830674825013
ITGA2	0.00283631855077533	-0.121265133035936	0.546845224852544	-0.121265133035936
UNC13C	0.00286309585070218	-0.572241806348265	0.546845224852544	-0.572241806348265
CERS2	0.0028721525058743	-0.170858031792588	0.546845224852544	-0.170858031792588
NKD1	0.00289002261826864	0.129213480371515	0.546845224852544	0.129213480371515
YWHAZ	0.00292834777651888	-0.0761994293749127	0.546845224852544	-0.0761994293749127
CPNE5	0.00293455232207532	-0.342941808756923	0.546845224852544	-0.342941808756923
MAPKAPK5-AS1	0.00294443096934317	0.14927168872266	0.546845224852544	0.14927168872266
CD247	0.00297049839448953	-0.526286065035279	0.546845224852544	-0.526286065035279
BCKDHB	0.00297963058643961	0.107561946653655	0.546845224852544	0.107561946653655
PPDPF	0.00298555940284881	0.136968116553983	0.546845224852544	0.136968116553983
ZBTB20	0.00301152536584953	0.0484179142131493	0.546845224852544	0.0484179142131493
ZNF667	0.00303129699289171	-0.323093137236227	0.546845224852544	-0.323093137236227
UNC5B	0.00310735532462522	0.157763674158988	0.546845224852544	0.157763674158988
TMEM256	0.00316296521228193	0.212616130623299	0.546845224852544	0.212616130623299
NR1H2	0.00317511854905521	-0.146737182028027	0.546845224852544	-0.146737182028027
PICALM	0.00325572699132944	-0.0505548337167547	0.546845224852544	-0.0505548337167547
TRIM47	0.00329810923364681	0.162883667969118	0.546845224852544	0.162883667969118
MTHFS	0.00331151636922674	0.199871362745814	0.546845224852544	0.199871362745814
BRICD5	0.00334031221670287	0.267338766954047	0.546845224852544	0.267338766954047
STMN2	0.00338048835510448	-0.491152168370735	0.546845224852544	-0.491152168370735
GNPNAT1	0.00339363533779473	0.235283079744373	0.546845224852544	0.235283079744373
TMEM178B	0.00339592840927053	-0.414838186268318	0.546845224852544	-0.414838186268318
OSER1-DT	0.0034091918416439	0.376245572895943	0.546845224852544	0.376245572895943
AP001042.1	0.00342282260250403	0.274832950182052	0.546845224852544	0.274832950182052
ZNF790	0.0034484445241724	-0.170784005579879	0.546845224852544	-0.170784005579879
ILF2	0.00347020094263769	-0.157492875313554	0.546845224852544	-0.157492875313554
PIM1	0.0034905851571024	-0.20517620341104	0.546845224852544	-0.20517620341104
YWHAH	0.00349743634995244	-0.154312055235643	0.546845224852544	-0.154312055235643
CLN6	0.00349838601759305	0.233340142255878	0.546845224852544	0.233340142255878
RNFT1	0.00354195219883549	-0.264431660023217	0.546845224852544	-0.264431660023217
AAMP	0.00362635412325259	-0.168708598342822	0.546845224852544	-0.168708598342822
EIF4E	0.00367145618519168	0.09974084116837	0.546845224852544	0.09974084116837
SLC12A8	0.00371012060783769	0.406298461955024	0.546845224852544	0.406298461955024
ADGRD1	0.00372220000133605	0.322475288835713	0.546845224852544	0.322475288835713
SCML1	0.0037421078906496	-0.100597815206528	0.546845224852544	-0.100597815206528
PRKCE	0.00375589409825897	-0.0743947824216684	0.546845224852544	-0.0743947824216684
CBX3	0.00377491788404327	-0.128330253537196	0.546845224852544	-0.128330253537196
CCDC18-AS1	0.00380511870773706	0.136165449048897	0.546845224852544	0.136165449048897
CACHD1	0.00383619071079501	0.131126036762341	0.546845224852544	0.131126036762341
BNIP2	0.00410712746107495	-0.0860230859309473	0.547754665554215	-0.0860230859309473
BMP2K	0.00412553654456423	0.0870618075355135	0.547754665554215	0.0870618075355135
MAPKAPK3	0.00415581765573113	0.292026296402175	0.547754665554215	0.292026296402175
B4GAT1	0.00425569587248654	-0.285690466765199	0.547754665554215	-0.285690466765199
AC008629.1	0.00426488646182828	0.342997693279443	0.547754665554215	0.342997693279443
FXR2	0.00426755432061935	0.165010364349279	0.547754665554215	0.165010364349279
ZBTB46-AS1	0.00427314057508214	0.386569814221888	0.547754665554215	0.386569814221888
MTX3	0.00428628157185146	0.25204950722962	0.547754665554215	0.25204950722962
DUSP7	0.00429618693621712	-0.24023968169854	0.547754665554215	-0.24023968169854
TRABD2A	0.0043168231597908	0.19763135911592	0.547754665554215	0.19763135911592
CELF4	0.00433720272068136	-0.368841421799347	0.547754665554215	-0.368841421799347
IFIH1	0.00435723861472687	0.130745715174623	0.547754665554215	0.130745715174623
DENND5B	0.00438090834357882	0.0755663889714025	0.547754665554215	0.0755663889714025
THAP9	0.00442243195711133	-0.356481465698116	0.547754665554215	-0.356481465698116
SIRT5	0.00448437374827987	0.115908696763518	0.547754665554215	0.115908696763518
