gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	4.92665838208564e-58	0.682028756116785	1.05218643066203e-53	0.682028756116785
NLGN4Y	1.23927375522438e-53	0.75200643997603	1.32335847951636e-49	0.75200643997603
USP9Y	1.51212235535131e-51	0.678338784215552	1.0764799047746e-47	0.678338784215552
TTTY14	3.62952037069282e-51	0.728653218774286	1.93789166392216e-47	0.728653218774286
KDM5D	4.01969037584642e-43	0.816154004146022	1.71697054713904e-39	0.816154004146022
PRKY	3.78868900273187e-41	0.621758938893476	1.34858385052241e-37	0.621758938893476
DDX3Y	5.01099890067056e-36	0.57356055796159	1.52885576459459e-32	0.57356055796159
ZFY	3.05883050044188e-32	0.551489853294571	8.16593037474215e-29	0.551489853294571
RPS4Y1	3.65414411450058e-31	0.520530766161163	8.67128398370988e-28	0.520530766161163
TTTY10	9.70525566134957e-20	0.320816792154399	2.07275145159443e-16	0.320816792154399
AC244213.1	4.75082626759151e-10	0.502021581177161	9.22394514517745e-07	0.502021581177161
EIF1AY	4.24458990661614e-09	0.250476419733381	7.30646697748035e-06	0.250476419733381
AC244502.1	4.44744443073674e-09	-0.313694287223548	7.30646697748035e-06	-0.313694287223548
AC064829.1	5.03430128913327e-09	0.290197641924189	7.30807181155237e-06	0.290197641924189
LINC01515	5.13279379937657e-09	-0.647426088124204	7.30807181155237e-06	-0.647426088124204
AC004949.1	1.77436539651314e-08	0.260371566020097	2.36844511083319e-05	0.260371566020097
PCDH11Y	4.25463104935019e-06	0.149035509699912	0.00534506796005718	0.149035509699912
CARD11	1.86235365781434e-05	0.238158401614258	0.0220968261499671	0.238158401614258
LINC01917	2.4683088450911e-05	-0.121209165361419	0.0277450905287425	-0.121209165361419
AC010889.2	4.07328085313536e-05	0.152365508775779	0.0434965295902059	0.152365508775779
TMSB4Y	4.32804876621415e-05	0.239612936751066	0.0440162559523979	0.239612936751066
OR2L13	6.53860537880468e-05	0.089881244224683	0.0611383812738668	0.089881244224683
AC099788.1	6.58417740927535e-05	-0.194496386154598	0.0611383812738668	-0.194496386154598
PLPP4	7.21322393747362e-05	-0.186622134490468	0.0641886765135933	-0.186622134490468
TANC1	0.000140007900171024	-0.172199135395214	0.119605948958102	-0.172199135395214
LINC02122	0.000268717988641207	0.137210963811412	0.220731157054241	0.137210963811412
AGBL3	0.000296054260624056	-0.0554644360260146	0.234178920153628	-0.0554644360260146
GAREM2	0.000319923775420601	0.159997908936508	0.244021859702064	0.159997908936508
AC023385.1	0.00033836979148966	-0.157448232842269	0.249191849546368	-0.157448232842269
NEAT1	0.000365361224371779	-0.17897389988859	0.26010065563027	-0.17897389988859
AC092652.1	0.0003854753890241	0.151142762914923	0.265567673657668	0.151142762914923
SPP1	0.000399849472963283	-0.439778687211976	0.266862037314901	-0.439778687211976
DOCK1	0.000456607347244621	-0.228907619657881	0.29550797318495	-0.228907619657881
AC073111.4	0.0004875889606917	0.0469586477318076	0.306277571573313	0.0469586477318076
CLCA4-AS1	0.000504323405636211	-0.0889103108415226	0.307738142119216	-0.0889103108415226
AC079942.1	0.000621588344977676	-0.10722296339961	0.357608664104592	-0.10722296339961
ZNF835	0.000626647166131533	0.044458449372308	0.357608664104592	0.044458449372308
HNRNPA1L2	0.000645592980238671	0.0975409652354017	0.357608664104592	0.0975409652354017
AL592156.2	0.000653028885146747	-0.159038080324958	0.357608664104592	-0.159038080324958
LINC00382	0.000670969463622523	0.32243857576327	0.358247370864656	0.32243857576327
BX664727.3	0.000688166918162718	0.0563958506626658	0.358467826126858	0.0563958506626658
UBL7-AS1	0.000760046133050853	-0.0641395926105654	0.378512335596637	-0.0641395926105654
EBI3	0.000763688231849365	0.189785072736418	0.378512335596637	0.189785072736418
AC069277.1	0.000794483340078536	-0.155907278549116	0.378512335596637	-0.155907278549116
TNS3	0.000797539687308549	-0.110247092776283	0.378512335596637	-0.110247092776283
EVC	0.0008190405889528	-0.186595357156706	0.380266301266629	-0.186595357156706
AL354694.1	0.000892334077715591	-0.133699517368528	0.405480402080253	-0.133699517368528
AC015961.1	0.000927349794043982	-0.0969938802008032	0.412612698987444	-0.0969938802008032
WDR64	0.000976170442572477	-0.145776462919769	0.420272060180638	-0.145776462919769
HBA2	0.000983921103574092	0.253326652715115	0.420272060180638	0.253326652715115
AC020978.3	0.00104611546242538	-0.154715546540279	0.431259560079416	-0.154715546540279
LINC00486	0.00106436369020329	0.192757795181333	0.431259560079416	0.192757795181333
AP001160.3	0.00108643758974845	-0.0707581773022785	0.431259560079416	-0.0707581773022785
RAD51B	0.00109041608111104	-0.0439667766391935	0.431259560079416	-0.0439667766391935
ZNF33A	0.0011616054236455	-0.0190182339702143	0.448921391533104	-0.0190182339702143
UHRF1BP1L	0.00117711279326936	-0.0180189488279976	0.448921391533104	-0.0180189488279976
AL359551.1	0.00120065777371874	0.128365217776809	0.44986751005809	0.128365217776809
DCUN1D1	0.00127833157576742	0.0239579319817795	0.470712542476981	0.0239579319817795
CHRAC1	0.00131343916158868	-0.0447329418401113	0.475442714814398	-0.0447329418401113
AL591242.1	0.0013531640418404	-0.0707906421290067	0.475638370419862	-0.0707906421290067
AJ239322.1	0.00135852135579021	0.128732561568147	0.475638370419862	0.128732561568147
AL512306.3	0.00138268193386596	-0.139922870836373	0.476289323573795	-0.139922870836373
CCNB3	0.00142861057789822	-0.0927169442550906	0.484298985907497	-0.0927169442550906
AC108472.1	0.00145732469430455	-0.111672726676673	0.486313804629098	-0.111672726676673
MTRNR2L10	0.0015113023845124	0.256852749766542	0.496567461938942	0.256852749766542
TRIQK	0.00166022296361487	-0.0220863383637349	0.537233058089738	-0.0220863383637349
AC007493.1	0.00171921705750549	0.192445500761929	0.548019682046937	0.192445500761929
WWC3-AS1	0.00180405205138893	-0.126175651473523	0.561338152267161	-0.126175651473523
FP671120.4	0.00181356616127893	0.213129884402857	0.561338152267161	0.213129884402857
ALDOA	0.00187557479592205	0.18494561842335	0.572237870235818	0.18494561842335
AP4S1	0.00198940279775316	0.0227078071783088	0.592439244868318	0.0227078071783088
GAS2L2	0.00200025718438348	0.0818453661998197	0.592439244868318	0.0818453661998197
RGPD6	0.00202500654939304	0.117017661137091	0.592439244868318	0.117017661137091
EIF5A	0.00210779524673801	0.108714430972585	0.608326798440319	0.108714430972585
WASHC1	0.00215765080123886	0.0745655837190702	0.614412642160778	0.0745655837190702
AC093893.1	0.00227584449339242	0.109704761525283	0.620738250951353	0.109704761525283
OR10H5	0.00227947267203552	0.181610554895696	0.620738250951353	0.181610554895696
TIMP1	0.0023248143399036	-0.403193575242297	0.620738250951353	-0.403193575242297
RPL31	0.00234555375459045	0.110805849893428	0.620738250951353	0.110805849893428
AL358394.1	0.00235700596571849	0.162168708033664	0.620738250951353	0.162168708033664
HACD4	0.00237895341554897	-0.0678652042323925	0.620738250951353	-0.0678652042323925
C11orf45	0.00243988814104136	-0.109041659683153	0.620738250951353	-0.109041659683153
AC025508.1	0.00245203592456461	-0.115853303962174	0.620738250951353	-0.115853303962174
MCF2L-AS1	0.00246231665295407	-0.0917038389047602	0.620738250951353	-0.0917038389047602
SYNPR-AS1	0.00247051324300534	-0.0852465645989338	0.620738250951353	-0.0852465645989338
HSH2D	0.00253080503363005	0.0767901739436452	0.628493059339965	0.0767901739436452
AC100834.2	0.00266216555276734	-0.164777029540149	0.653515743798299	-0.164777029540149
STXBP6	0.00277789311227904	-0.0430453125084576	0.674175718169811	-0.0430453125084576
FAM189A2	0.00285743234069686	-0.118581575678196	0.683880558774478	-0.118581575678196
LINC01410	0.00290112085159738	-0.0608131275966183	0.683880558774478	-0.0608131275966183
HIST4H4	0.00291394535039929	-0.0804839179785816	0.683880558774478	-0.0804839179785816
CTBS	0.00298745537279569	-0.039303212690436	0.684680440479534	-0.039303212690436
AC078950.1	0.00301081898130524	0.0780464548385339	0.684680440479534	0.0780464548385339
HS3ST2	0.00301353005595712	-0.119347570695946	0.684680440479534	-0.119347570695946
CAP2	0.00309065874999621	0.0320482174413864	0.692408783348172	0.0320482174413864
HAUS7	0.00311238672104811	0.0993331443426327	0.692408783348172	0.0993331443426327
TAF1A	0.00316157699532593	-0.03254267194978	0.696101029785317	-0.03254267194978
RAB3B	0.00320431432292169	0.126628117061086	0.698311642802434	0.126628117061086
GRAMD2A	0.00328121087505833	0.0608729877568943	0.700512668194543	0.0608729877568943
MLF1	0.00332265656236821	0.0278007468224279	0.700512668194543	0.0278007468224279
LINC02388	0.00333442212346633	0.169968377130602	0.700512668194543	0.169968377130602
FAM151A	0.0033659819732515	-0.1445402883481	0.700512668194543	-0.1445402883481
AC093898.1	0.00339790811622539	0.101262983366252	0.700512668194543	0.101262983366252
AC025569.1	0.00342808409357386	-0.0530722695780312	0.700512668194543	-0.0530722695780312
STAG1	0.00344409114334127	-0.029366089521441	0.700512668194543	-0.029366089521441
