gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	2.32817093300883e-48	0.793433390000135	4.50477793827878e-44	0.793433390000135
USP9Y	4.56009053615442e-47	0.694674128446586	4.41165958920259e-43	0.694674128446586
UTY	8.40448417640981e-46	0.678270452340628	5.42061214431178e-42	0.678270452340628
KDM5D	3.56163706024912e-36	0.737763810379744	1.72285288696901e-32	0.737763810379744
DDX3Y	9.57706758080884e-30	0.547054630461775	3.7061336124214e-26	0.547054630461775
RPS4Y1	5.43783661282844e-25	0.479164495191237	1.75361167702696e-21	0.479164495191237
TTTY14	1.37293038289727e-24	0.475448029280219	3.79497571123989e-21	0.475448029280219
ZFY	1.82379436005837e-19	0.394579541661304	4.41107463409619e-16	0.394579541661304
PCDH11Y	2.0359662384453e-17	0.198591394334299	4.37710119418646e-14	0.198591394334299
TTTY10	2.98820091039499e-17	0.344596678870179	5.78186994152326e-14	0.344596678870179
PRKY	2.96807414616924e-13	0.329495046691951	5.22084242311170e-10	0.329495046691951
LINC01515	2.66603546545591e-07	-0.85873763156713	0.000429876001842554	-0.85873763156713
AC244502.1	9.01310445394295e-07	-0.314985926623928	0.00134149660061032	-0.314985926623928
AC069277.1	5.35407532802202e-06	-0.363088049023542	0.00739971453727844	-0.363088049023542
AC244213.1	6.87717629502584e-06	0.406429106589637	0.00887109894216367	0.406429106589637
AC004949.1	9.27990013948673e-06	0.217075098971807	0.011222299237433	0.217075098971807
AL592156.2	3.94246286831032e-05	-0.275732716795304	0.0448721847287861	-0.275732716795304
PRRT4	6.13344594746907e-05	-0.146549791590538	0.0659311364653217	-0.146549791590538
EIF1AY	7.52719486585351e-05	0.180500045233242	0.0766545755049471	0.180500045233242
HIPK1-AS1	0.000109598368972275	0.148418048564268	0.106030942062227	0.148418048564268
ADD3-AS1	0.000250310302868862	-0.123074080178205	0.230631145248077	-0.123074080178205
AL161910.1	0.000295737564864949	-0.163743847833178	0.260101188298723	-0.163743847833178
STRBP	0.00034903209052584	0.0266518727339253	0.284369988915578	0.0266518727339253
RHBDF1	0.00036256099247987	-0.147939428445085	0.284369988915578	-0.147939428445085
MEGF11	0.000391267678369223	-0.138203774281368	0.284369988915578	-0.138203774281368
AC064834.1	0.000399010399113704	-0.183232830533545	0.284369988915578	-0.183232830533545
SLC26A2	0.000406325421308365	-0.0716009660064688	0.284369988915578	-0.0716009660064688
FAM124A	0.000411512723636167	-0.0468085107036366	0.284369988915578	-0.0468085107036366
SLC19A3	0.000662044702512924	-0.138571034170139	0.441720791342157	-0.138571034170139
