logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.2513231921967	0.815574973599332	6.17343582156172	-0.00404021261919657	1.49593985717136e-06	-6.25819954526147e-05	0.0766785806349938	0.0581374293499667	0.169583512584183	0.00781726084107435	1.71060308220556e-06	1.15747637148679e-05	0	1.04485824070212e-44	3.7454480641182e-290	0.605273255336863	0.38184046354997	6.41742391141075e-08	36501	NLGN4Y	2.10873290138501e-40	0.815574973599332	0.758455852975148	0.174266201312568	1	NBGMM (LN)
-11.3696885861978	0.705519004373571	6.02231510349288	0.00101206099757459	-3.06607982217961e-07	-3.20501767179915e-06	0.0710360836149046	0.053558642987334	0.152515230971144	0.00731485815953068	1.36203462381997e-06	1.00248757148038e-05	0	1.25789237931803e-39	0	0.889958369109567	0.821893491537661	0.749190851271173	36493	USP9Y	1.05903321499882e-35	0.705519004373571	0.64341943988552	0.068527780705124	1	NBGMM (LN)
-11.3110421995575	0.718775070640766	6.35774498110979	0.000471273642276986	1.86295618959871e-06	4.44735270818713e-06	0.0726553284522583	0.0546352366302713	0.156258918911901	0.00734747668626879	1.50324542752617e-06	1.05373952017733e-05	0	1.57422438063445e-39	0	0.948858048943589	0.215238326649901	0.672985400907819	36514	TTTY14	1.05903321499882e-35	0.718775070640766	0.636548872422153	0.11982497499675	1	NBGMM (LN)
-11.7353786160484	0.632723755102385	5.62896288673748	-0.00793646083985904	-9.36891305144018e-07	-6.18164780351566e-06	0.070559682302082	0.0529876388519519	0.149329053774959	0.0072474296414342	1.61923185574814e-06	1.22978748213975e-05	0	7.23750306341425e-33	5.99165661529667e-311	0.27348487875274	0.562857540295759	0.615203448846432	36496	UTY	3.65168217064566e-29	0.632723755102385	0.556547903307891	0.0681744119417298	1	NBGMM (LN)
-10.0987121913344	0.195083300703683	3.54653955652135	-0.00172194888603126	-7.75558877373804e-08	-3.66503254553066e-05	0.0284490145293388	0.0257309281689663	0.0553110723433094	0.00420064618467302	2.02114147245654e-06	1.37682431013294e-05	0	3.41145847821065e-14	0	0.681861140489504	0.969390830008375	0.0077690243705933	36460	PCDH11Y	1.37700110014495e-10	0.195083300703683	0.160868022040525	0.305510035035379	1	NBGMM (LN)
-12.3893031053365	0.384430886800683	5.00947555216032	0.000960997966671496	1.95009373671898e-06	-7.24804200402122e-05	0.0749340834351864	0.0525627859048981	0.147552875073294	0.00668061264076425	2.634709184524e-06	2.00607164394339e-05	0	2.59795223845295e-13	1.20427721979876e-252	0.885619883881793	0.459205820034305	0.000302613498193997	36471	PRKY	8.73864534607623e-10	0.384430886800683	0.367409145025083	0.179484832280566	1	NBGMM (LN)
-12.0846209412795	0.175134929170899	4.59447740086059	0.00770093311605246	4.6484844903696e-06	-6.61362926838633e-05	0.0595433816233016	0.0384497249208199	0.113566020902419	0.00526401044265787	3.03101913721399e-06	2.17189965625969e-05	0	5.24087079244582e-06	0	0.143483710223873	0.125118867311893	0.00232610924384706	36519	TTTY10	0.0151101791904488	0.175134929170899	0.167901725456793	0.368080886238097	-10	NBGMM (LN)
-14.7688260431325	0.397465264752939	0.444474720711816	-0.0332562678432434	5.30519043245972e-05	-0.000463972598412721	0.119420653914454	0.0977549094185267	0.208727844442447	0.0280588156959755	1.69426161361441e-05	0.000122164579951413	0	4.78399396117067e-05	0.033217359359858	0.23592486322811	0.00174052106307344	0.000145909150768568	30747	AC079062.1	0.120688207655433	0.397465264752939	0.400623437189141	8.54735488905036	1	NBGMM (HL)
-12.9172738550465	0.174466516989396	4.74657012845974	0.00395516477272711	-1.45599345127548e-05	0.000113260823662251	0.0844307679116603	0.043852350880888	0.160366159921182	0.00615151455894662	3.68168645413382e-06	2.75013139576392e-05	0	6.935181694334e-05	1.57018537224629e-192	0.5202514294666	7.66334364402807e-05	3.81547434865066e-05	36451	RPS4Y1	0.155517596616721	0.174466516989396	0.168179360606591	0.225726056820586	1	NBGMM (LN)
-13.0843935926299	0.226722129927694	3.64325462601823	6.95757448458248e-05	-2.60720332813668e-05	5.17245972823982e-05	0.0812106927643066	0.0584615353370534	0.153392762062933	0.0101021348241517	7.11417014719788e-06	4.79326296746657e-05	0	0.000105257318382674	1.06906210932926e-124	0.994504827472797	0.000247528877149846	0.280538533251034	36469	TBL1Y	0.212430319959912	0.226722129927694	0.358534668599108	2.52694094648449	1	NBGMM (LN+HL)
