gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	1.04485824070212e-44	0.815574973599332	2.10873290138501e-40	0.815574973599332
USP9Y	1.25789237931803e-39	0.705519004373571	1.05903321499882e-35	0.705519004373571
TTTY14	1.57422438063445e-39	0.718775070640766	1.05903321499882e-35	0.718775070640766
UTY	7.23750306341425e-33	0.632723755102385	3.65168217064566e-29	0.632723755102385
PCDH11Y	3.41145847821065e-14	0.195083300703683	1.37700110014495e-10	0.195083300703683
PRKY	2.59795223845295e-13	0.384430886800683	8.73864534607623e-10	0.384430886800683
TTTY10	5.24087079244582e-06	0.175134929170899	0.0151101791904488	0.175134929170899
AC079062.1	4.78399396117067e-05	0.397465264752939	0.120688207655433	0.397465264752939
RPS4Y1	6.935181694334e-05	0.174466516989396	0.155517596616721	0.174466516989396
TBL1Y	0.000105257318382674	0.226722129927694	0.212430319959912	0.226722129927694
AC100793.2	0.000143969742384063	0.256079804704118	0.26414521279956	0.256079804704118
PI4K2B	0.000190382766293947	-0.0878931883087877	0.32019208244537	-0.0878931883087877
LINC02006	0.000219730889778118	0.242594178016158	0.335578198974973	0.242594178016158
SLC25A35	0.000232786383195403	0.319811500810603	0.335578198974973	0.319811500810603
RPL31	0.000296790346062719	0.167098750719765	0.399321517615853	0.167098750719765
LDHD	0.000409771623523988	-0.197424258540645	0.480317405874837	-0.197424258540645
TMPRSS5	0.000418459687792458	-0.126280043349446	0.480317405874837	-0.126280043349446
LINC00486	0.000428387340488904	0.211940314018983	0.480317405874837	0.211940314018983
AC018648.1	0.00051599415263311	-0.261463370101201	0.548094420444285	-0.261463370101201
TIMP1	0.000568230287309663	-0.499272090996266	0.556185831943716	-0.499272090996266
LINC02028	0.000578728692439701	-0.412567473625914	0.556185831943716	-0.412567473625914
ATP8B4	0.000608717654694498	-0.0909823882783745	0.558415441229289	-0.0909823882783745
LINC02325	0.000662088493288871	-0.341905185820257	0.56665532398047	-0.341905185820257
AC008443.5	0.000678215204151271	0.176200468467033	0.56665532398047	0.176200468467033
NBN	0.000701931577619252	-0.0449262967667441	0.56665532398047	-0.0449262967667441
PPIL1	0.000870898570969469	-0.0988432855080497	0.676018267665608	-0.0988432855080497
MMP28	0.0009357303385651	0.0942725918201793	0.699441099737809	0.0942725918201793
LITAF	0.000998487766882538	0.208636988027703	0.713805542653462	0.208636988027703
MEGF11	0.00105466226925422	-0.0796457198607453	0.713805542653462	-0.0796457198607453
RAD21L1	0.00108172164011076	-0.277325524723848	0.713805542653462	-0.277325524723848
OR2AG2	0.00109642115856988	-0.152234418045243	0.713805542653462	-0.152234418045243
TCTE1	0.00124460737161785	0.143859859650088	0.784958311687233	0.143859859650088
