logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.4023349894566	0.66250592384156	6.02359963683247	-0.00398561597544702	1.07705618226722e-06	-2.520280486684e-05	0.0677647449908137	0.0509458689207113	0.142384934841461	0.00707469673879325	1.05972294151736e-06	8.56125430677347e-06	0	1.159336800574e-38	0	0.573188342895624	0.309459705135079	0.00324186870638742	36493	USP9Y	2.50439935659996e-34	0.66250592384156	0.690650355479268	0.0709549627420104	1	NBGMM (LN)
-11.9076430323229	0.632641587450764	5.51474845261659	-0.00135877970486604	2.4329062799374e-06	-3.18815021838252e-05	0.0668818042663425	0.0500582492714144	0.139335755000437	0.00693505829734415	1.36934623605747e-06	1.14891016220092e-05	0	1.30147179908068e-36	0	0.844665663079606	0.0756189560663242	0.00552128601632725	36496	UTY	1.40571969018704e-32	0.632641587450764	0.5830683072324	0.0841695530741097	1	NBGMM (LN)
-11.3362360465105	0.627189770539911	5.76954003891818	-0.00895029520607379	6.34740361477318e-06	-3.33453466081925e-05	0.075317563500004	0.0554156919062488	0.156960570712176	0.00733308089147426	1.38505146065305e-06	1.04965642771218e-05	0	1.06993242336102e-29	8.69644590144592e-296	0.222261441756819	4.58806999900286e-06	0.00148916477212349	36501	NLGN4Y	7.19911969497785e-26	0.627189770539911	0.867930349196832	0.174951582040694	1	NBGMM (LN)
-11.2985393642218	0.601589230759029	5.90788988052164	-0.00795223982521841	1.98073018880371e-06	-5.11818387028468e-05	0.0719673396049741	0.0532445139394101	0.149427612376698	0.00754584671228752	1.21208576673528e-06	9.35358948320747e-06	0	1.33304688361779e-29	0	0.291948607914195	0.102227317916608	4.45254219857213e-08	36514	TTTY14	7.19911969497785e-26	0.601589230759029	0.804267459956633	0.125310167926207	-10	NBGMM (LN)
-12.6895858966192	0.519489495488801	5.15978387497319	-0.00516717126251212	5.58833114636872e-07	-1.58769973646899e-05	0.0718158291110274	0.0504350902136413	0.142532039367335	0.00681069432120299	2.17866825165879e-06	1.83544102060574e-05	0	7.03442512753227e-25	5.89897875899232e-287	0.448041043489504	0.797563112014374	0.387025854487287	36471	PRKY	3.03915303209904e-21	0.519489495488801	0.41864803107521	0.179754555003927	1	NBGMM (LN)
-12.9894457934577	0.482325185635329	5.26966070277854	-0.0053978228607222	-1.97388461893376e-06	2.3195612058887e-05	0.0779904533975338	0.0515865871329893	0.153085498712033	0.00631202726297854	2.22830499223632e-06	1.94493787752212e-05	0	8.77989198114687e-21	1.14229063069648e-259	0.39245997893546	0.375712718975542	0.233020365996166	36517	KDM5D	3.16105377627891e-17	0.482325185635329	0.379061486748876	0.0760960296607799	1	NBGMM (LN)
-12.1323316209132	0.343401034737452	4.60088089817917	0.00509225261289274	8.65433777630463e-07	-2.94540177102788e-05	0.0550177016642432	0.0418393359907991	0.105503352588707	0.00666772439883755	2.40772611506844e-06	1.90894279262075e-05	0	2.25631022928532e-16	0	0.445036074226288	0.719265737298352	0.122843099954842	36519	TTTY10	6.9629733675745e-13	0.343401034737452	0.312707608399685	0.430246440582917	1	NBGMM (LN)
-12.9197620415611	0.308977278901082	5.08695757235196	-0.00187559393276075	-7.16295182266122e-06	7.78867100375734e-05	0.0718952648654745	0.0460463620464568	0.136198677293278	0.00530279224389515	2.21070511402265e-06	1.96657365367395e-05	0	1.94445209050141e-11	2.57966395842587e-305	0.723564243287865	0.00119479032926827	7.47840662809427e-05	36495	DDX3Y	5.25050675737643e-08	0.308977278901082	0.262078224996851	0.0509299653148497	1	NBGMM (LN)
-13.1020024074772	0.302249886097037	4.54657985806926	-0.000486862792185146	-1.08659424953247e-05	0.000103024661125162	0.071300096546069	0.0463505427205465	0.133051488312799	0.00544868575543698	3.04950267385551e-06	2.5825034523144e-05	0	6.9860311824059e-11	6.39317804665072e-256	0.928800444917681	0.000366382138109351	6.62593631903239e-05	36451	RPS4Y1	1.6768027289148e-07	0.302249886097037	0.256999418968398	0.227376673282848	1	NBGMM (LN)
-13.0683387617316	0.295807759955307	4.6189831816267	-0.00047730916456357	-3.7235538558464e-06	5.91568565705917e-06	0.0728644965516662	0.0471127464009855	0.13715453414645	0.00621389573563944	3.12926104929724e-06	2.5854019448021e-05	0	3.41370946325758e-10	1.24619575532709e-248	0.9387721562588	0.234079903419315	0.81901576832098	36453	ZFY	7.37429518252903e-07	0.295807759955307	0.261211404851765	0.365392306820884	1	NBGMM (LN)
-9.65216757382687	0.114881706977714	3.06261589877906	-0.00142374018601996	4.55880978596264e-06	-0.00011901098539606	0.0239494899098311	0.0221616281935513	0.0466658764822174	0.00355648186938894	1.37084708071412e-06	1.04637486716565e-05	0	2.17396452699986e-07	0	0.688918899947241	0.000882467474561978	5.65732481615502e-30	36460	PCDH11Y	0.000426927106475009	0.114881706977714	0.149601761362484	0.243262041765805	1	NBGMM (LN)
-14.6272729599399	0.310451608498139	-0.264050562502397	-0.0174581722136476	-2.70448652064819e-05	0.000108143998788909	0.0953940836283759	0.0672805600302484	0.151109993954722	0.017776871589658	1.31358113237787e-05	0.000107573743525935	0	3.94452843426286e-06	0.0805668773332949	0.3260642572463	0.0395071507078657	0.31475190308635	7778	AC090018.2	0.00710080860307886	0.310451608498139	0.0197225649907404	1.83469795649606	1	NBGMM (LN+HL)
-14.7062309045132	-0.358095129027038	0.162554541704049	0.0257360190093953	-1.27764124487787e-07	-8.19338451285694e-06	0.102693259679812	0.0890124273150085	0.155415936213368	0.0104870711435214	1.12754450385814e-05	0.000102027938937484	0	5.74666133599598e-05	0.295592307869638	0.0141249020813627	0.990959217965963	0.93599444095019	29818	TRIM47	0.0954918293693733	-0.358095129027038	0.00453879934069968	7.13207766562003	1	NBGMM (HL)
-13.8131189477812	-0.221123319974082	-0.145780059707994	-0.00321509930843808	-2.594660444773e-06	-6.11258310806109e-05	0.0645133684593434	0.0578772535927323	0.108077178161035	0.0111056217773896	8.00280313769603e-06	6.88225814358432e-05	0	0.000133150873438053	0.177384681438529	0.772197277676794	0.745772274922311	0.374451822555548	21139	C1R	0.205451797714916	-0.221123319974082	0.0365837384902398	3.22741554465585	1	NBGMM (HL)
-13.5987091684179	0.197031087474039	-0.124769071724862	-0.014112828316957	3.78355630934194e-06	-3.59424159438901e-05	0.0639972737671455	0.0518060439968234	0.106315722618564	0.0120642028209931	7.96789000185542e-06	6.90676977825856e-05	0	0.0001428128820301	0.240566816670005	0.24207733122243	0.634893557044416	0.602788986852283	23631	SOX1-OT	0.205669591840949	0.197031087474039	0.0128552834607906	14.1367988312808	1	NBGMM (HL)
-14.3758109386224	0.256401555784167	0.0186398664173254	0.0108852425864526	-2.07985581319653e-05	0.000144169437550895	0.091200278643211	0.0686052138698211	0.143236000888545	0.0135818348700624	1.22209030740493e-05	0.000102237364575919	0	0.000185971479351037	0.896460451166204	0.422867726424186	0.0887771352626426	0.158497076900329	4818	AC097499.2	0.251084743558819	0.256401555784167	0.0415294062297903	18.1754622986233	1	NBGMM (HL)
-8.78044432656158	0.220582283345845	0.073792490973892	0.0236759249550993	-3.93601449489714e-06	4.23483227608786e-05	0.0572361823130329	0.059606223459879	0.11668981820047	0.00850880363325174	1.03617274987919e-06	8.87902174722606e-06	0	0.000215040629222507	0.527137570880536	0.00539383713508192	0.000145510795898109	1.84701447227657e-06	3818	LINC00486	0.26882797218532	0.220582283345845	0.822529593208808	0.0433061559367736	1	NBGMM (LN)
-13.4925946541561	0.200688824665119	-0.0103821202760264	-0.00570524748801748	5.02880586316333e-06	-8.04829658114797e-05	0.0627274668723779	0.0543830087458202	0.110103156928211	0.0120022632331081	8.55683435353082e-06	7.00150055615389e-05	0	0.000224002569175806	0.924875232196804	0.634539209066831	0.55673725994942	0.250345646984227	21586	PCED1B	0.26882797218532	0.200688824665119	0.0737451476116717	17.8385545134568	1	NBGMM (HL)
-13.2018489539875	-0.164555816251238	-0.0843599519769076	-0.0137499318343195	-8.52288013824271e-06	3.49424307655865e-05	0.0511538228909584	0.044846723599949	0.0836394111113608	0.00932873143701984	5.93897818106688e-06	5.17881833642481e-05	0	0.000243221186139054	0.31315938332242	0.140499437542159	0.151265677514119	0.499854808093318	6032	IL17RC	0.276529687525044	-0.164555816251238	0.0983545436108932	1.52442911207451	1	NBGMM (LN+HL)
-11.8615779216105	0.0709043100888348	-0.0276907770314685	0.00723609010395394	-2.18210243481423e-05	0.000157515444266583	0.0259941039245463	0.0196711944242358	0.0396204637428805	0.00365226663315874	3.07447307099078e-06	2.68562003872605e-05	0	0.000312785682013088	0.484613976641719	0.0475621140178287	1.27048234890736e-12	4.48746935979607e-09	722	TMEM234	0.335864197142782	0.0709043100888348	0.0182661409034962	0.00653548792259084	1	NBGMM (LN)
-13.9497438298169	-0.276064712384841	-0.0873001107126994	-0.0254614253659752	2.6949100477301e-05	-0.000245539267523019	0.0774128087027674	0.0770874753476231	0.140967049639659	0.0164947922260548	9.26483599481295e-06	7.714311317601e-05	0	0.000342035915959236	0.535722403559908	0.122684323239786	0.00362875813176383	0.00145805008153086	35706	AC231759.2	0.335864197142782	-0.276064712384841	0.397242807941379	12.6964122031622	1	NBGMM (HL)
-12.7712831879186	0.141112368752155	-0.15135384173569	-0.0118446473645143	-3.22104616291561e-05	0.000218753084227925	0.0476859318514699	0.0394039281843856	0.0786421819459242	0.0085128104878564	5.75778734378216e-06	4.8537778856319e-05	0	0.000342052232994223	0.0542808548693095	0.164106911263882	2.21586408368852e-08	6.57933090935009e-06	2335	PCP4L1	0.335864197142782	0.141112368752155	0.138633799458005	4.09742841974229	1	NBGMM (HL)
-10.2741401747194	0.0446352953133128	0.0181372672754093	0.000408729875358092	2.04368208998654e-06	-1.63080152236154e-05	0.0146164822538514	0.0128265840893986	0.0253368938741291	0.00241323707784123	1.46992677847406e-06	1.30575917864483e-05	0	0.000501591432389138	0.474087587105648	0.865505647957284	0.164428941431256	0.211690758665112	16702	CARNMT1	0.459536489618873	0.0446352953133128	0.0241976865071369	0.147356052608656	1	NBGMM (LN+HL)
-15.4124775355963	0.288703775152548	3.83966462821958	0.00144742407530004	-1.42758485476404e-05	0.000213108059442061	0.168720316404615	0.0830763990960938	0.297070883991512	0.011779022698809	9.28525868684929e-06	8.23310004139699e-05	0	0.000510548826537031	3.24962905781601e-38	0.902200928894017	0.124177152493872	0.00964144454740167	36529	AC024236.1	0.459536489618873	0.288703775152548	0.299481598193139	2.68397377698085	1	NBGMM (LN+HL)
-11.8844615480538	-0.0942055195678867	-0.0689363086614999	0.00228571879076273	5.30685451818991e-06	-2.03543791091564e-05	0.0307875306524594	0.0272113850971189	0.0524153155893559	0.0048929468500855	3.15355902916585e-06	2.82044596942883e-05	0	0.000536198799967536	0.188444710550356	0.640395682236226	0.0924110281885917	0.470495936841737	36242	ARHGEF6	0.463318659075949	-0.0942055195678867	0.0819924001310842	0.943479748002124	1	NBGMM (LN+HL)
-14.8346752683529	0.289196831311484	-0.0191476966740529	0.0105012068147553	1.84247989098221e-05	-0.00016416292986899	0.109177126611538	0.0848800737412584	0.177035826776939	0.0155709705684263	1.38896340769418e-05	0.000119054481853311	0	0.000656515914409792	0.913871007053545	0.500051154074628	0.18466938534726	0.167928942812929	5262	CERKL	0.545463722426166	0.289196831311484	0.00249267823515019	19.351554680402	1	NBGMM (HL)
-14.1662360692575	0.186461613274306	-0.119659385607864	0.012341436415773	-2.02449746640302e-05	0.00019065723735719	0.0807478412935653	0.0549555328690716	0.11588273466942	0.0106307097270721	9.19387841396626e-06	8.25766560065543e-05	0	0.000691431647047878	0.301795678143633	0.245673176706817	0.0276648905377211	0.0209518222355901	20268	AP001372.1	0.553196534797343	0.186461613274306	0.0304504202622077	3.90236890909872	1	NBGMM (HL)
-15.0470931571821	0.278415932373308	0.140339756144367	0.029834913060793	2.29644498407299e-05	-0.000176417083833258	0.11685124146514	0.0824574740606772	0.174805835281365	0.0117367383892192	1.03208877928465e-05	0.000103501962869693	0	0.000734199673779403	0.422071718730441	0.0110216839876074	0.0260781519478671	0.0882913444846363	21350	AC137561.1	0.558815170775985	0.278415932373308	1e-04	0.387040426583483	1	NBGMM (LN+HL)
-12.4932823041876	0.101419893763228	0.11379636935436	-0.00328693400059768	-1.20143381547153e-05	9.59323953008347e-05	0.0378730801582585	0.0303710623885807	0.0604739672766945	0.00614671168682226	4.18873046982444e-06	3.70317786575366e-05	0	0.000839718358148478	0.0598711323099843	0.592825000395508	0.00412745516165531	0.00958247972391204	19960	RASGRP2	0.558815170775985	0.101419893763228	0.0752408402312092	0.605657631936236	1	NBGMM (LN+HL)
-15.3737810125143	-0.419598535485787	-0.346024247509428	-0.0351930952506879	4.03647725566487e-05	-0.000373265905594825	0.130822495850271	0.125867912127358	0.225413175110505	0.0275288167651273	1.09538375860898e-05	0.000109315648964379	0	0.000857169614818489	0.12476745730537	0.201105148146115	0.000228712391371424	0.000638828401363311	26962	AC005632.5	0.558815170775985	-0.419598535485787	0.48328691873178	1.32187690227164	1	NBGMM (LN+HL)
-8.75083910855439	-0.0379822812859409	0.0125486695725911	0.000411928491206266	4.32395393725498e-06	-5.0091165156006e-05	0.0116690507798562	0.0114194883283258	0.022362363242495	0.00196035178828648	1.00774644996162e-06	8.24846045122504e-06	0	0.000880725074422162	0.574694387716851	0.833566303127058	1.7809786502139e-05	1.25707084360997e-09	4000	ACYP2	0.558815170775985	-0.0379822812859409	0.0327400263207639	0.196455300514527	1	NBGMM (LN+HL)
-9.2979451490322	0.0306971359369463	-0.00872698015850709	0.00251148313656396	-5.66323420580329e-06	7.65942019958744e-05	0.0102809300836665	0.00923183727255912	0.0182812927164855	0.00167431136882382	9.94952634288413e-07	8.71303616334365e-06	0	0.000883746772741657	0.633097136335761	0.133611914280114	1.25586610632621e-08	1.48552784304951e-18	27561	CMTM4	0.558815170775985	0.0306971359369463	0.0157546260687167	0.107144824705149	1	NBGMM (LN+HL)
-13.2645003571303	0.143387131322396	-0.0841364977623576	0.00545570329705548	-9.65323721165799e-06	7.89167366821636e-05	0.0550301651038863	0.0432289541506776	0.088825158950684	0.00864925328127628	6.76239014682205e-06	5.7925048167866e-05	0	0.000910145529947959	0.343529377774841	0.528189877921933	0.15343900793932	0.173073583839378	24319	AL161804.1	0.558815170775985	0.143387131322396	0.0801251507495828	6.38934658774816	1	NBGMM (HL)
-10.6804501499166	-0.0630496347950622	-0.0341597284371483	0.000186273898752286	1.10353307615894e-05	-0.000114108696089222	0.0203986784616039	0.0190439232485771	0.0371227175708119	0.00350162234866077	1.83927811354218e-06	1.62964770017652e-05	0	0.000930468913569287	0.357476646492807	0.957575379423114	1.97540909291703e-09	2.52249622977728e-12	3207	AL355472.2	0.558815170775985	-0.0630496347950622	0.0691383700447519	0.25247118813837	1	NBGMM (LN)
