gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	1.159336800574e-38	0.66250592384156	2.50439935659996e-34	0.66250592384156
UTY	1.30147179908068e-36	0.632641587450764	1.40571969018704e-32	0.632641587450764
NLGN4Y	1.06993242336102e-29	0.627189770539911	7.19911969497785e-26	0.627189770539911
TTTY14	1.33304688361779e-29	0.601589230759029	7.19911969497785e-26	0.601589230759029
PRKY	7.03442512753227e-25	0.519489495488801	3.03915303209904e-21	0.519489495488801
KDM5D	8.77989198114687e-21	0.482325185635329	3.16105377627891e-17	0.482325185635329
TTTY10	2.25631022928532e-16	0.343401034737452	6.9629733675745e-13	0.343401034737452
DDX3Y	1.94445209050141e-11	0.308977278901082	5.25050675737643e-08	0.308977278901082
RPS4Y1	6.9860311824059e-11	0.302249886097037	1.6768027289148e-07	0.302249886097037
ZFY	3.41370946325758e-10	0.295807759955307	7.37429518252903e-07	0.295807759955307
PCDH11Y	2.17396452699986e-07	0.114881706977714	0.000426927106475009	0.114881706977714
AC090018.2	3.94452843426286e-06	0.310451608498139	0.00710080860307886	0.310451608498139
TRIM47	5.74666133599598e-05	-0.358095129027038	0.0954918293693733	-0.358095129027038
C1R	0.000133150873438053	-0.221123319974082	0.205451797714916	-0.221123319974082
SOX1-OT	0.0001428128820301	0.197031087474039	0.205669591840949	0.197031087474039
AC097499.2	0.000185971479351037	0.256401555784167	0.251084743558819	0.256401555784167
LINC00486	0.000215040629222507	0.220582283345845	0.26882797218532	0.220582283345845
PCED1B	0.000224002569175806	0.200688824665119	0.26882797218532	0.200688824665119
IL17RC	0.000243221186139054	-0.164555816251238	0.276529687525044	-0.164555816251238
TMEM234	0.000312785682013088	0.0709043100888348	0.335864197142782	0.0709043100888348
AC231759.2	0.000342035915959236	-0.276064712384841	0.335864197142782	-0.276064712384841
PCP4L1	0.000342052232994223	0.141112368752155	0.335864197142782	0.141112368752155
CARNMT1	0.000501591432389138	0.0446352953133128	0.459536489618873	0.0446352953133128
AC024236.1	0.000510548826537031	0.288703775152548	0.459536489618873	0.288703775152548
ARHGEF6	0.000536198799967536	-0.0942055195678867	0.463318659075949	-0.0942055195678867
CERKL	0.000656515914409792	0.289196831311484	0.545463722426166	0.289196831311484
AP001372.1	0.000691431647047878	0.186461613274306	0.553196534797343	0.186461613274306
AC137561.1	0.000734199673779403	0.278415932373308	0.558815170775985	0.278415932373308
RASGRP2	0.000839718358148478	0.101419893763228	0.558815170775985	0.101419893763228
AC005632.5	0.000857169614818489	-0.419598535485787	0.558815170775985	-0.419598535485787
ACYP2	0.000880725074422162	-0.0379822812859409	0.558815170775985	-0.0379822812859409
CMTM4	0.000883746772741657	0.0306971359369463	0.558815170775985	0.0306971359369463
AL161804.1	0.000910145529947959	0.143387131322396	0.558815170775985	0.143387131322396
AL355472.2	0.000930468913569287	-0.0630496347950622	0.558815170775985	-0.0630496347950622
AC012213.3	0.000943109968393728	-0.203635689449794	0.558815170775985	-0.203635689449794
LINC00526	0.000977849337916672	-0.135682194116196	0.558815170775985	-0.135682194116196
MASP1	0.000981673176764308	-0.335557195733762	0.558815170775985	-0.335557195733762
ENPP3	0.000995508066740937	-0.161353165784348	0.558815170775985	-0.161353165784348
SLC22A18	0.00102220771468081	0.146407348770309	0.558815170775985	0.146407348770309
LINC01515	0.00103474709892785	-0.607792279672996	0.558815170775985	-0.607792279672996
ZNF564	0.00107395312269211	0.0574699291589987	0.561589667247106	0.0574699291589987
PRR5	0.00110629241341822	0.0515535893761866	0.561589667247106	0.0515535893761866
RPS6KA1	0.00115229356610366	0.0704890627587473	0.561589667247106	0.0704890627587473
KLHL2	0.00115652500072353	-0.0317824393663645	0.561589667247106	-0.0317824393663645
P2RX5	0.00116987015212109	0.0711329138142069	0.561589667247106	0.0711329138142069
ERBB2	0.00123170778107635	0.135410531665748	0.578420684495899	0.135410531665748
TMSB4Y	0.00128046860908192	0.262022392042428	0.579927092615462	0.262022392042428
ZXDB	0.00129646577316212	-0.0941298153502341	0.579927092615462	-0.0941298153502341
UNC13A	0.00132859244685219	0.0322876040629369	0.579927092615462	0.0322876040629369
PDCD10	0.00135280053838948	-0.0373092610125337	0.579927092615462	-0.0373092610125337
KCNC1	0.00137387360744657	-0.0445531183496618	0.579927092615462	-0.0445531183496618
NDUFA3	0.00140844657904074	0.130828861712838	0.579927092615462	0.130828861712838
