logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.7087591029983	0.549889270874831	5.58161997685582	-0.00261545028376015	1.31902987953823e-06	-2.10706869071395e-05	0.0691656489709801	0.0504996788306057	0.14883991382501	0.00692597580872393	4.92119583265324e-06	2.36261239858257e-05	0	1.30109487269577e-27	8.92897795687933e-308	0.70570611477483	0.78867595128142	0.372479504006424	36514	TTTY14	2.48118792223083e-23	0.549889270874831	0.40182747503316	0.197335138764992	1	NBGMM (HL)
-10.8412854180815	0.528050194684384	5.30483429575472	0.00203395434048582	4.57485995422366e-06	-4.78539168416731e-05	0.0690933798444685	0.0499532472379742	0.148482779960175	0.00637081443255061	4.84795184993577e-06	2.38086839651736e-05	0	4.0662483616398e-26	1.50968438139546e-279	0.749528395114668	0.345339022608758	0.044438025966115	36493	USP9Y	3.87716781282355e-22	0.528050194684384	0.39849686904305	0.14656238497	1	NBGMM (HL)
-10.8729125842371	0.549040193361738	5.29329635822887	-0.0101329734602945	1.64051415610417e-05	-0.000145757129737497	0.0719792779278341	0.0527054916998363	0.155842583830952	0.00851549702372938	5.3021260284346e-06	2.56136012948774e-05	0	2.07099040953979e-25	7.16323410181485e-253	0.234067993650109	0.00197431842042486	1.26583030996662e-08	36501	NLGN4Y	1.31645957033079e-21	0.549040193361738	0.425514797091138	0.18867394218743	1	NBGMM (HL)
-11.1873248023569	0.428681403636996	4.77702616480793	-0.00651269873211837	4.7644991717822e-06	-5.53407345313267e-05	0.0698260411963615	0.0475482635398945	0.143460955968184	0.00744863952149964	5.41743938404191e-06	2.77404746276147e-05	0	1.95597469757744e-19	4.06694611817967e-243	0.381929083546647	0.379144115612835	0.0460488262198589	36496	UTY	9.32510937070042e-16	0.428681403636996	0.309821344308398	0.097391007733285	1	NBGMM (HL)
-13.6331508491767	-0.842073629267555	-0.217411884225145	0.0297735643014988	6.25801377619944e-05	-0.000406752782166581	0.137108011746694	0.154241170646189	0.242126767373598	0.0222973522339043	2.6766302912455e-05	0.000138269701113234	0	4.77582687349511e-08	0.369225080423633	0.181779501181171	0.019386237355889	0.00326379378064061	18098	LINC01515	0.000182150036955104	-0.842073629267555	1.15524082160157	4.53979451349262	1	NBGMM (HL)
-8.9101382176473	-0.0480360306144366	-0.0098269063410335	0.000555173596034549	2.7991046190233e-06	4.06939465038428e-06	0.0144897278649554	0.0119079205891768	0.0244137981014293	0.00264024152191206	2.9074030461471e-06	1.6104187976391e-05	0	5.48455351750979e-05	0.687305461307154	0.833453989142177	0.335672594762725	0.800506461577757	15300	PCMTD1	0.17431739263152	-0.0480360306144366	0.0139541686873903	0.0570791262866938	1	NBGMM (HL)
-9.86827339442665	0.0630561916600905	-0.025090258544779	-0.00510135846479922	-1.12206216735439e-06	8.36578287808051e-06	0.021216333728324	0.0160183121457299	0.0341992286199485	0.00398081397948466	4.47287898495373e-06	2.49054737699912e-05	0	8.26763437019417e-05	0.46316217778688	0.200022918889471	0.801923086520195	0.736945240333976	23104	SUPT20H	0.225233982056575	0.0630561916600905	0.0106167691640716	0.105811114826552	1	NBGMM (HL)
-11.9134968659753	0.146381660550438	4.62335873571249	-0.00461567581285519	-1.01401385019477e-05	4.93301868699274e-05	0.0924439169213341	0.0375944874088543	0.182733335574334	0.00699837965643912	7.0663068908839e-06	3.6521840495939e-05	0	9.87266802260049e-05	3.10455528416932e-141	0.509552325597258	0.151287576940315	0.176790350953016	36517	KDM5D	0.235339723988739	0.146381660550438	0.101176116611123	0.0930573374836465	1	NBGMM (HL)
-11.7472056969296	0.160689393969439	-0.163435521711028	-0.000252423920682527	-2.49614061503559e-06	7.02705212179472e-05	0.0565873975292361	0.0417236136025447	0.0914425839841374	0.0101487941635669	1.04653885388953e-05	5.97601383790733e-05	0	0.000117501192542932	0.0738886759961378	0.980156816481037	0.811482537270884	0.239644372199362	3379	OR2L3	0.239830790489334	0.160689393969439	0.174363333420842	0.510143218495849	1	NBGMM (HL)
-15.5790808089028	0.472857622689619	3.23789529498387	-0.172863804127644	-0.000180317957161529	0.000695782495849657	0.398698281081755	0.123313075710149	0.722037511441621	0.0583071546581987	6.88438898901469e-05	0.000297568119430158	0	0.000125763393020102	7.31240031132871e-06	0.00302968388569428	0.00881285982393738	0.0193753562917865	36452	AC006157.1	0.239830790489334	0.472857622689619	1e-04	0.001000100009991	1	NBGMM (HL)
-12.0793342083673	0.167295958881028	0.124319289777895	-0.0101085608072342	-3.84668622578214e-06	3.12073711954342e-05	0.0623383135340375	0.0442059486354614	0.0973040298097663	0.0120463541764736	1.34235506725463e-05	7.47964324502964e-05	0	0.000154038272969634	0.201377226874478	0.401391536228917	0.774447332101417	0.676509639381513	27893	SLC38A8	0.267046351411901	0.167295958881028	0.0217635021766871	1.35104425982317	1	NBGMM (HL)
-13.8522118502753	0.347597390415773	-0.163308505810881	-0.0964246874813056	4.78724233710537e-06	-0.000174120911869052	0.144434375136024	0.0925794766460807	0.228749407618131	0.0401692047895148	3.39753640354867e-05	0.000179306597892274	0	0.000173629844573831	0.475277382782673	0.0163743486555954	0.887946301983203	0.331508828973325	2918	AL590101.1	0.270344514740503	0.347597390415773	0.0032408272199721	0.00100350840429957	1	NBGMM (HL)
-11.7915369793025	0.146305908413183	0.150938920519862	-0.000574027083121643	2.31665291389088e-05	-0.000112198204580642	0.0534879858291037	0.0391277107532053	0.0858190618295191	0.00990203422204807	1.12376277253969e-05	6.38858480356891e-05	0	0.00018461483859538	0.0786107827916488	0.953772029391089	0.0392540100987046	0.0790492465355059	21477	DDX11-AS1	0.270344514740503	0.146305908413183	0.0167562020585209	1.04498516459339	1	NBGMM (HL)
-10.3675821983331	0.212006618036094	0.143813381289002	-0.00817158615037421	-5.87117944396123e-05	0.000475160731393631	0.0589429529500482	0.056976383963829	0.115729507326222	0.00917491050872996	6.78903617654379e-06	3.65326527076841e-05	0	0.000198470016065393	0.213990118117846	0.373119767770105	5.2395658549622e-18	1.12421044232977e-38	15496	RPL7	0.270344514740503	0.212006618036094	0.683197979915768	0.255472229623108	1	NBGMM (HL)
-14.3023159804685	0.492126496794634	-0.580615667586534	-0.107379554786394	2.6061559780329e-05	-8.32401409792209e-05	0.170069725728162	0.13426172779583	0.273877122775783	0.0458520949766912	3.11804256699229e-05	0.000169718458787973	0	0.000246926710562311	0.0340072254767631	0.0191874987849174	0.403250103012526	0.623808321092554	6835	ADGRG7	0.313926158028218	0.492126496794634	1.11060538718978	0.58015863046428	1	NBGMM (HL)
-12.7279404974414	0.205866306684112	-0.0581928031320181	0.0117277891457035	-2.33547171773815e-05	7.75124247174611e-05	0.0840561905163742	0.0578890828853347	0.131925385873203	0.0136131038404124	2.00744412709687e-05	0.000107037731188681	0	0.000376229246359173	0.659137775211551	0.38895866952363	0.244664982868557	0.468967619696361	30989	AC006538.1	0.448418233004339	0.205866306684112	0.0253263217842007	1.11652607690972	1	NBGMM (HL)
-13.1768119557686	-0.275496710399731	0.248200409945432	0.01766249386513	-7.28532867562888e-05	0.000448360404374769	0.108994908154488	0.0784732851987775	0.150130268193266	0.0125081125449016	2.33302800931616e-05	0.000124999076625259	0	0.000446916726467919	0.0982833223155342	0.157925505365484	0.00179204973703884	0.000334620096512878	6138	AC090644.1	0.48796527775552	-0.275496710399731	0.0751755794842361	1.82354448990759	1	NBGMM (HL)
-13.3000338782736	0.241420210512449	-0.137369332329262	-0.0483169785003857	-1.95245409863875e-05	0.000137511415619013	0.113041939879977	0.0689242393181182	0.160700916213967	0.0235050921573393	2.19844735342217e-05	0.000125732069443167	0	0.000460585998930224	0.392654335480192	0.0398214528256615	0.37448378115438	0.274092676302088	31060	AC007292.1	0.48796527775552	0.241420210512449	0.0128271990161882	0.393911982927598	1	NBGMM (HL)
-9.58324893759598	0.0596866644479851	0.0389876036514579	-0.00921012222912159	2.22163323233501e-06	-5.20825127235119e-06	0.0208166115160302	0.0172344451989952	0.0357423297438445	0.00417356219790822	4.11584930045769e-06	2.28026335575025e-05	0	0.000533753040994461	0.275362492733372	0.0273296232034181	0.589352096645603	0.819330865667732	27350	TENT4B	0.535719499566546	0.0596866644479851	0.0346548591713157	0.107087717507691	1	NBGMM (HL)
-13.2851413581123	0.251263197536269	-0.0907511238450219	-0.0182658521580925	1.58537160746909e-05	-7.38906383796735e-05	0.110644002700105	0.0728637251639768	0.169430062257594	0.021905366569357	1.99938358216295e-05	0.00012009464072253	0	0.000563920311804703	0.592217148406808	0.404363914288754	0.427818495680089	0.538376377926041	27184	FBXL19-AS1	0.537698017305784	0.251263197536269	0.0116139432589575	1.49272118513211	1	NBGMM (HL)
-13.6716935627858	0.30374344314013	0.130326692754294	-0.00510073542866524	-2.11330105733952e-05	9.71345917890036e-05	0.136534081230543	0.0885748656434256	0.206468893496348	0.0242495579241798	3.12252269805064e-05	0.000168647928668153	0	0.000605299956788388	0.52789859343881	0.833399633480876	0.498537390944854	0.564641694521103	494	CDC42-AS1	0.538242266716294	0.30374344314013	1e-04	4.42334968233027	1	NBGMM (HL)
