gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.30109487269577e-27	0.549889270874831	2.48118792223083e-23	0.549889270874831
USP9Y	4.0662483616398e-26	0.528050194684384	3.87716781282355e-22	0.528050194684384
NLGN4Y	2.07099040953979e-25	0.549040193361738	1.31645957033079e-21	0.549040193361738
UTY	1.95597469757744e-19	0.428681403636996	9.32510937070042e-16	0.428681403636996
LINC01515	4.77582687349511e-08	-0.842073629267555	0.000182150036955104	-0.842073629267555
PCMTD1	5.48455351750979e-05	-0.0480360306144366	0.17431739263152	-0.0480360306144366
SUPT20H	8.26763437019417e-05	0.0630561916600905	0.225233982056575	0.0630561916600905
KDM5D	9.87266802260049e-05	0.146381660550438	0.235339723988739	0.146381660550438
OR2L3	0.000117501192542932	0.160689393969439	0.239830790489334	0.160689393969439
AC006157.1	0.000125763393020102	0.472857622689619	0.239830790489334	0.472857622689619
SLC38A8	0.000154038272969634	0.167295958881028	0.267046351411901	0.167295958881028
AL590101.1	0.000173629844573831	0.347597390415773	0.270344514740503	0.347597390415773
DDX11-AS1	0.00018461483859538	0.146305908413183	0.270344514740503	0.146305908413183
RPL7	0.000198470016065393	0.212006618036094	0.270344514740503	0.212006618036094
ADGRG7	0.000246926710562311	0.492126496794634	0.313926158028218	0.492126496794634
AC006538.1	0.000376229246359173	0.205866306684112	0.448418233004339	0.205866306684112
AC090644.1	0.000446916726467919	-0.275496710399731	0.48796527775552	-0.275496710399731
AC007292.1	0.000460585998930224	0.241420210512449	0.48796527775552	0.241420210512449
TENT4B	0.000533753040994461	0.0596866644479851	0.535719499566546	0.0596866644479851
FBXL19-AS1	0.000563920311804703	0.251263197536269	0.537698017305784	0.251263197536269
CDC42-AS1	0.000605299956788388	0.30374344314013	0.538242266716294	0.30374344314013
KCNJ9	0.000654109818917489	0.0850467538384722	0.538242266716294	0.0850467538384722
SLIRP	0.000668595795479676	0.103955655818816	0.538242266716294	0.103955655818816
AL354949.1	0.000679910776896057	-0.399876144543966	0.538242266716294	-0.399876144543966
ZNF517	0.000729809627489167	-0.177603393900148	0.538242266716294	-0.177603393900148
AC108452.1	0.000750459274704429	-0.221682292489975	0.538242266716294	-0.221682292489975
TONSL	0.000785506702051523	0.169964305170763	0.538242266716294	0.169964305170763
TMSB10	0.000803796089360543	0.265359538947462	0.538242266716294	0.265359538947462
NLRP2	0.000856711138372673	-0.214329030889806	0.538242266716294	-0.214329030889806
AC017002.6	0.000860512981504565	0.392532529244677	0.538242266716294	0.392532529244677
AL035409.1	0.000884953880593641	0.363384757227006	0.538242266716294	0.363384757227006
CORO7	0.000903185764809722	-0.0942799852790854	0.538242266716294	-0.0942799852790854
AC090125.1	0.000942619605851058	0.285172513109093	0.54471987525999	0.285172513109093
SLC39A4	0.00098315760957457	0.403312710420285	0.551435753370207	0.403312710420285
AC007319.1	0.00106057026267512	0.209780567757384	0.560943649353718	0.209780567757384
ATXN3	0.00113050706592157	0.0507495760125764	0.560943649353718	0.0507495760125764
CBX7	0.00114208704545112	-0.0683091827711143	0.560943649353718	-0.0683091827711143
ZNF680	0.00114569394192135	-0.0631612954007716	0.560943649353718	-0.0631612954007716
EFCAB13	0.00114718418063949	-0.179021657130005	0.560943649353718	-0.179021657130005
SPTLC1	0.00122434794734477	-0.0627388782898592	0.566728977954103	-0.0627388782898592
METTL2A	0.00124964064540274	-0.110035781455009	0.566728977954103	-0.110035781455009
PYROXD2	0.00129822769806807	0.168927138486359	0.566728977954103	0.168927138486359
IDI2-AS1	0.00131691905691896	-0.0926751194521534	0.566728977954103	-0.0926751194521534
SDHAF2	0.00132108446380467	0.0760111071701136	0.566728977954103	0.0760111071701136
DYNLL1	0.00135827675250264	0.127592564930551	0.566728977954103	0.127592564930551
C2CD4C	0.00143476691031846	-0.123348099671599	0.566728977954103	-0.123348099671599
ZBTB46	0.00144243430360225	-0.080569557967134	0.566728977954103	-0.080569557967134
FAHD2A	0.00151143979080158	0.0634949387340753	0.566728977954103	0.0634949387340753
AC024075.2	0.00151919189874469	-0.161529780784914	0.566728977954103	-0.161529780784914
PLOD1	0.00151926283917042	0.0820611189546269	0.566728977954103	0.0820611189546269
RPL21	0.00155487154677319	0.165881003632265	0.566728977954103	0.165881003632265
FKBP5	0.00155913042309554	-0.112892902990864	0.566728977954103	-0.112892902990864
REEP1	0.00159549479312967	0.0341832020384301	0.566728977954103	0.0341832020384301
NFXL1	0.0016047910230478	0.0595359802604098	0.566728977954103	0.0595359802604098
HSPB1	0.00169907063434789	0.273313135555412	0.579672848606725	0.273313135555412
MKS1	0.00170701243551344	0.117126496890781	0.579672848606725	0.117126496890781
TSC22D3	0.00174894732890067	0.102036975918708	0.579672848606725	0.102036975918708
AC091563.1	0.00176303226110068	0.0943246306216731	0.579672848606725	0.0943246306216731
ADGRA2	0.00183731959209808	-0.0930877448761278	0.586064718575392	-0.0930877448761278
BTBD3	0.00186606211085341	-0.0648945341576914	0.586064718575392	-0.0648945341576914
PARPBP	0.00188581446712323	-0.144624195661462	0.586064718575392	-0.144624195661462
ZNF471	0.001905401811834	0.0669026558490592	0.586064718575392	0.0669026558490592
DNAJB14	0.00197254634473881	-0.0350082502153687	0.586286880559125	-0.0350082502153687
SLC66A1	0.00199272597284461	-0.129874796227573	0.586286880559125	-0.129874796227573
CHRNA2	0.00202119572606778	0.0638067569337314	0.586286880559125	0.0638067569337314
MAN2A2	0.00202909984881501	-0.0666906096048195	0.586286880559125	-0.0666906096048195
LGALS1	0.00219831650006669	0.241420602713473	0.605393498429861	0.241420602713473
NPC2	0.00222946640667319	0.141699826527704	0.605393498429861	0.141699826527704
RPS14	0.00223263761758829	0.125282030655247	0.605393498429861	0.125282030655247
SOX11	0.00227186485547075	0.192232443173784	0.605393498429861	0.192232443173784
AC093206.1	0.00231251092969141	0.142424776096041	0.605393498429861	0.142424776096041
AC012360.1	0.00234156850133368	0.34062053574153	0.605393498429861	0.34062053574153
PIK3AP1	0.0023569709837583	0.408034357167854	0.605393498429861	0.408034357167854
NDUFS5	0.002377280845835	0.136181509346295	0.605393498429861	0.136181509346295
TMEM87B	0.00238093929639432	-0.0717955831113571	0.605393498429861	-0.0717955831113571
AC092118.2	0.00248782747725088	0.206482190270035	0.615545228355944	0.206482190270035
EXOC8	0.00252597869244557	0.115869169100161	0.615545228355944	0.115869169100161
ALLC	0.00260269603281919	0.356618511742588	0.615545228355944	0.356618511742588
RRP12	0.00260794753048215	0.0786918460741476	0.615545228355944	0.0786918460741476
AKT2	0.00261029309122988	0.0479713767494747	0.615545228355944	0.0479713767494747
USP46	0.00261453400612645	-0.0643693699587959	0.615545228355944	-0.0643693699587959
NDUFB1	0.00268212882029684	0.0824472105622686	0.619997287449344	0.0824472105622686
KCNN3	0.00269846748077061	-0.0728895295744879	0.619997287449344	-0.0728895295744879
HHIPL1	0.00281494967727653	0.0748983164255514	0.639060599353136	0.0748983164255514
AC092802.1	0.00285070819025251	-0.203947366803787	0.639564766919004	-0.203947366803787
CHIC1	0.00296097736168123	-0.0457582909280254	0.656579514968152	-0.0457582909280254
MTMR1	0.00304405529274357	-0.0480157443541651	0.667242924512873	-0.0480157443541651
CD93	0.00310247265854653	0.250885162144963	0.669930009956052	0.250885162144963
EBPL	0.00317653771841951	0.0640755904750119	0.669930009956052	0.0640755904750119
WASHC1	0.00323918946754244	0.088176212361907	0.669930009956052	0.088176212361907
HNRNPK	0.00329567363290238	0.063775111795526	0.669930009956052	0.063775111795526
ZNF641	0.00338042023057532	-0.0547344313555243	0.669930009956052	-0.0547344313555243
NMNAT3	0.0034562936878422	-0.094029250374317	0.669930009956052	-0.094029250374317
PRKCH	0.00347686787903753	0.200975140773	0.669930009956052	0.200975140773
