gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	9.11029245383293e-32	0.622278654400485	1.46493502657634e-27	0.622278654400485
NLGN4Y	1.20916018907963e-29	0.622664463385994	9.7216479202002e-26	0.622664463385994
USP9Y	4.52028410573383e-26	0.533624123928226	2.42287228067333e-22	0.533624123928226
UTY	2.20070661266663e-22	0.479247515341672	8.84684058291985e-19	0.479247515341672
KDM5D	1.66296911558778e-07	0.23097117261568	0.000534810867573029	0.23097117261568
LINC01515	5.11739854580909e-07	-0.837619506258389	0.00137146281027684	-0.837619506258389
PCDH11Y	1.25895944508843e-06	0.153818928564023	0.00289200969671741	0.153818928564023
TTTY10	2.04949183262366e-06	0.184354409930433	0.00411947858357355	0.184354409930433
AC026341.1	1.65698198909242e-05	-0.09185861122492	0.0296047448717846	-0.09185861122492
ZFY	1.95996514235946e-05	0.185094356564484	0.0315162394891401	0.185094356564484
LINC00862	3.42534911593054e-05	0.0932329279566203	0.050072376167421	0.0932329279566203
TRIM58	8.11115391828139e-05	0.247108148465007	0.108689462504971	0.247108148465007
LINC00486	0.000128550687185548	0.215581420305988	0.140972532115214	0.215581420305988
STYXL1	0.000129389900731516	0.0916840264400226	0.140972532115214	0.0916840264400226
ARC	0.000131504227719416	-0.507262275359514	0.140972532115214	-0.507262275359514
ZNF644	0.000159308237775013	-0.0458997472798986	0.158003127488225	-0.0458997472798986
RAB1A	0.000167043107419143	-0.0530127742715584	0.158003127488225	-0.0530127742715584
SERPINE1	0.000181481724322874	-0.722971318346612	0.162123673728434	-0.722971318346612
AL133538.1	0.000224460890195287	-0.173285944762243	0.185532275786596	-0.173285944762243
AC003659.1	0.000242159808939458	0.145090926826297	0.185532275786596	0.145090926826297
IFT22	0.000242299613900406	-0.118059456738552	0.185532275786596	-0.118059456738552
AC024257.3	0.000357845692777688	-0.236391456166876	0.261552669993874	-0.236391456166876
AL137182.1	0.000388474006321324	-0.340744286958788	0.267293914666634	-0.340744286958788
R3HDM4	0.000405125343649888	0.133419657599194	0.267293914666634	0.133419657599194
AL353689.3	0.000415568897180712	-0.31075488204892	0.267293914666634	-0.31075488204892
FCHSD1	0.000454934615377712	-0.222459006529404	0.276167188956152	-0.222459006529404
CAPN5	0.000465890693537962	-0.113306186988202	0.276167188956152	-0.113306186988202
MSS51	0.000480888139973399	-0.108642271489726	0.276167188956152	-0.108642271489726
SELENOM	0.000555616757723489	0.147800128234437	0.308079912558404	0.147800128234437
BCAP29	0.000602221603860315	-0.0440562347213065	0.322790779669129	-0.0440562347213065
RBPMS	0.000646201609725677	-0.211671692001964	0.324003397812695	-0.211671692001964
LRRC61	0.000664820450142069	0.154861192009889	0.324003397812695	0.154861192009889
