gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	3.84820000444724e-14	0.330262594790625	7.46781692863031e-10	0.330262594790625
USP9Y	1.43835055657052e-09	0.246852063770935	1.39563154504038e-05	0.246852063770935
NLGN4Y	4.71550469249225e-08	0.236489871658671	0.000305030280208348	0.236489871658671
LINC01515	1.12100122612888e-05	-0.676155033274033	0.0450818146443879	-0.676155033274033
AP000708.1	1.36975560863746e-05	0.406269850425372	0.0450818146443879	0.406269850425372
BCL7A	1.3938518389484e-05	0.108199731466939	0.0450818146443879	0.108199731466939
F11R	0.00010265087003481	-0.881650232460226	0.284577540556504	-0.881650232460226
SERPINE1	0.000131288803815494	-1.68838481603495	0.318473815855434	-1.68838481603495
UTY	0.000149884426092139	0.137637802960339	0.323184130304894	0.137637802960339
ENTPD1	0.000182447539496979	0.33775314783888	0.354057695147838	0.33775314783888
ZNF578	0.00026012570646654	0.206344355648983	0.45890904178997	0.206344355648983
DLG3	0.000288194265475444	0.102018217860932	0.466058159651371	0.102018217860932
SUN1	0.000315558490330936	-0.0635054203978515	0.469220895151084	-0.0635054203978515
SYS1	0.000338508323823311	0.16870644399597	0.469220895151084	0.16870644399597
PCDH11Y	0.000424916187531462	0.199035695721082	0.510054069024286	0.199035695721082
AC020661.2	0.000425954156413547	0.479711635817131	0.510054069024286	0.479711635817131
AC013470.2	0.000460404075131852	0.577036057694366	0.510054069024286	0.577036057694366
AL023284.4	0.000473099723922351	-0.165366476987906	0.510054069024286	-0.165366476987906
SEPSECS-AS1	0.000529678186805292	-0.266019969431685	0.540996573323341	-0.266019969431685
AC073534.2	0.000593425032828541	0.456824211498363	0.575800309353534	0.456824211498363
NHLRC2	0.000710151345233867	0.0805912691293526	0.64494075131371	0.0805912691293526
TOR1A	0.000731149980877132	0.191193797323132	0.64494075131371	0.191193797323132
PRR7-AS1	0.000969140218630818	-0.522703580148534	0.776494306829479	-0.522703580148534
LAMTOR5-AS1	0.000998623568193536	0.0974096524717885	0.776494306829479	0.0974096524717885
SIN3B	0.00103553202028983	0.074422572430408	0.776494306829479	0.074422572430408
CHL1-AS1	0.00112310846231374	0.518009549634841	0.776494306829479	0.518009549634841
AC006305.1	0.00114144743177442	0.420520228902207	0.776494306829479	0.420520228902207
DYNLL1	0.00119815131074884	0.130462074429327	0.776494306829479	0.130462074429327
GPR78	0.00126100581996745	0.536940411545973	0.776494306829479	0.536940411545973
ZZEF1	0.00128095848711199	-0.0555127158882032	0.776494306829479	-0.0555127158882032
EGLN2	0.00128773364221775	0.124727431595669	0.776494306829479	0.124727431595669
CCNL2	0.00131574233907279	0.0606939429429417	0.776494306829479	0.0606939429429417
TMEM17	0.00134922803113881	0.231513251313988	0.776494306829479	0.231513251313988
ABRACL	0.00136044555458118	0.220180424438431	0.776494306829479	0.220180424438431
AC069277.1	0.00143446464446563	-1.04815940169108	0.779148697839142	-1.04815940169108
AC022601.1	0.00147885572698625	-0.540669789451917	0.779148697839142	-0.540669789451917
AMIGO1	0.00159486063035843	0.114815856125232	0.779148697839142	0.114815856125232
PLPP6	0.00160737318621933	0.231297812414925	0.779148697839142	0.231297812414925
OLFM2	0.00166841610133851	0.0655793586051203	0.779148697839142	0.0655793586051203
ZNF625	0.0016899459275582	-0.143159849809031	0.779148697839142	-0.143159849809031
KCNK1	0.00174905371209503	0.0749894075823781	0.779148697839142	0.0749894075823781
SAAL1	0.00178333089367489	-0.131061963151305	0.779148697839142	-0.131061963151305
PLAC8L1	0.00178665892897597	0.147704292301715	0.779148697839142	0.147704292301715
FAM163B	0.00180777377687491	0.305306849519478	0.779148697839142	0.305306849519478
TMEM250	0.00184317346260984	-0.194845167649102	0.779148697839142	-0.194845167649102
PPM1K-DT	0.0018468947799959	-0.192294120280578	0.779148697839142	-0.192294120280578
MYDGF	0.00188712338570325	0.116519761872144	0.779181200488451	0.116519761872144
AF131215.5	0.00205090805458306	-0.266987966250771	0.788513124200647	-0.266987966250771
GPR179	0.00211893311627673	0.334360589327183	0.788513124200647	0.334360589327183
ATP1A2	0.00213605373228188	0.45835584264692	0.788513124200647	0.45835584264692
PRLHR	0.00214292537070699	-0.146011799699108	0.788513124200647	-0.146011799699108
RHOF	0.00215058766189376	0.168450252578864	0.788513124200647	0.168450252578864
MTMR9	0.00215351930241339	0.0730122071111748	0.788513124200647	0.0730122071111748
LINC02208	0.00240852373021063	0.269841409394737	0.831165646912082	0.269841409394737
AC105446.1	0.00240996259581728	0.392731952092667	0.831165646912082	0.392731952092667
AC010889.1	0.00243629769418465	0.628499772754614	0.831165646912082	0.628499772754614
MRC2	0.00244132958229355	0.38086227461426	0.831165646912082	0.38086227461426
LHFPL3	0.00254112291833934	-0.101875437708856	0.842013908769631	-0.101875437708856
CPO	0.00265027369271044	0.120964432525369	0.842013908769631	0.120964432525369
