gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	8.22996538658933e-32	0.570238440572091	1.55694485183497e-27	0.570238440572091
USP9Y	1.88581337902551e-30	0.612834699143046	1.78379087522023e-26	0.612834699143046
NLGN4Y	8.06217157233489e-26	0.56294394372113	5.08400539351438e-22	0.56294394372113
UTY	8.9015304654323e-22	0.456110277224021	4.20997883362621e-18	0.456110277224021
PCDH11Y	6.563252616788e-13	0.267742771608933	2.48327226008791e-09	0.267742771608933
LINC01515	7.25335531677698e-07	-0.868183905491172	0.00228698293137978	-0.868183905491172
LINC01578	1.45385273170641e-05	-0.0669932031303739	0.0392914085406026	-0.0669932031303739
TTTY10	3.00280407098102e-05	0.166791790786701	0.0710088092685237	0.166791790786701
AL358394.1	5.32455114167118e-05	0.417415362167914	0.111922064997928	0.417415362167914
C4orf48	9.92583015771293e-05	0.200133049168386	0.187776854923613	0.200133049168386
TIMP1	0.000138524168005068	-0.618185685577585	0.230266839893888	-0.618185685577585
AC004908.3	0.000146062061461394	0.287875968602436	0.230266839893888	0.287875968602436
MYOCD	0.00017026370954616	0.435925133932997	0.247772989014942	0.435925133932997
AL390816.2	0.000202728259280233	0.360308111582765	0.273943800647389	0.360308111582765
MIR222HG	0.000297485165722837	-0.487093446493884	0.375188291009643	-0.487093446493884
IGFBP2	0.000369770628533628	0.378801948625525	0.437207546912449	0.378801948625525
TRIM68	0.000408536997551103	0.184914328483177	0.454629583510104	0.184914328483177
LINC00486	0.000437594932187422	0.207364138502589	0.45991227372898	0.207364138502589
AC233723.1	0.000468783662299051	0.335923258744705	0.466760490703865	0.335923258744705
AC069155.1	0.000548487601939023	-0.292236548544448	0.518814422674122	-0.292236548544448
RPS19BP1	0.000676366552843662	0.152688488581386	0.573689341893283	0.152688488581386
GAB2	0.000726218751535632	-0.0481097381519052	0.573689341893283	-0.0481097381519052
AC092745.4	0.000739344381823937	-0.180434139372603	0.573689341893283	-0.180434139372603
NDUFB7	0.000742991776031038	0.146395359708191	0.573689341893283	0.146395359708191
ZNF695	0.00075812631077979	0.221083699458205	0.573689341893283	0.221083699458205
C2orf76	0.000890881382731528	-0.0868460225555142	0.641788253576242	-0.0868460225555142
TRAPPC5	0.00091596801176438	0.123462682036878	0.641788253576242	0.123462682036878
NDUFA4	0.00101829020352336	0.14476005186511	0.688000502509103	0.14476005186511
NMT1	0.00108632340852637	0.0432043204207685	0.688494468002733	0.0432043204207685
LRIG2-DT	0.00113484505344016	-0.110527337188936	0.688494468002733	-0.110527337188936
LINC02112	0.00115747026279438	0.128837747544959	0.688494468002733	0.128837747544959
ATP5MF	0.00119772911365539	0.126398933835333	0.688494468002733	0.126398933835333
IFI27L2	0.0012009893986727	0.184646014192215	0.688494468002733	0.184646014192215
TONSL	0.00128950188740577	0.173645444808828	0.711746071745178	0.173645444808828
TMEM140	0.0013534101112878	-0.354710736340607	0.711746071745178	-0.354710736340607
MAP4	0.00138129881498536	0.0340606394430676	0.711746071745178	0.0340606394430676
KLK14	0.00142832202976461	0.208969101202461	0.711746071745178	0.208969101202461
GABARAP	0.00143923414291468	0.143376199100725	0.711746071745178	0.143376199100725
SRPRB	0.001467284956024	0.079813822674655	0.711746071745178	0.079813822674655
AC092652.1	0.00155300480958507	0.246758989853775	0.734493624693258	0.246758989853775
STK17A	0.00162982598897855	-0.144307092920542	0.752025562426737	-0.144307092920542
CALM2	0.00168275038441199	0.092576160780719	0.757958851721573	0.092576160780719
ATP10A	0.00174034004754975	-0.203649888205716	0.765668674873165	-0.203649888205716
AC002467.1	0.00179356443890347	-0.397452478602922	0.771151183072178	-0.397452478602922
AC004949.1	0.00189831022109639	0.244856445641282	0.793783073015669	0.244856445641282
AF127936.2	0.00193012059196114	0.236592321998648	0.793783073015669	0.236592321998648
ALDOC	0.0020299024354349	0.120135523328806	0.799401183582966	0.120135523328806
AC090125.1	0.00207226413669086	-0.34822851922451	0.799401183582966	-0.34822851922451
AC005280.2	0.00211671278011787	0.186694800742237	0.799401183582966	0.186694800742237
KCNK15-AS1	0.00218404564223709	0.0942143754155957	0.799401183582966	0.0942143754155957
AC011700.1	0.00227246957294705	0.247762540306808	0.799401183582966	0.247762540306808
MTHFSD	0.00233825429453366	-0.0968113219925887	0.799401183582966	-0.0968113219925887
AC104002.3	0.00235069435727832	-0.256121393662792	0.799401183582966	-0.256121393662792
RPL27A	0.00235765324562837	0.136870719147048	0.799401183582966	0.136870719147048
