gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	5.22529840574218e-31	0.617429236168009	8.3886940605785e-27	0.617429236168009
USP9Y	8.10894384839331e-28	0.577657398517136	5.20436046938871e-24	0.577657398517136
TTTY14	9.72535281435538e-28	0.517051782204395	5.20436046938871e-24	0.517051782204395
UTY	6.24247034624233e-19	0.417424887961902	2.50541547346436e-15	0.417424887961902
PCDH11Y	6.85328692756644e-15	0.20665303107534	2.20045336670303e-11	0.20665303107534
KDM5D	1.68291151250777e-05	0.199978286070034	0.0450291023696663	0.199978286070034
SERPINE1	2.3376018294446e-05	-0.840265282448115	0.0536112282427194	-0.840265282448115
AC244502.1	5.88739850697329e-05	-0.487560415565255	0.118145369538686	-0.487560415565255
INHBA	0.000104971219978925	-0.533376045355464	0.18592301953134	-0.533376045355464
AGBL3	0.00011581102499772	-0.0779009393167569	0.18592301953134	-0.0779009393167569
DHRS12	0.000128206526905025	-0.154029793967807	0.187111598448479	-0.154029793967807
BTN3A2	0.000177982178662129	0.219124155121726	0.238110491353485	0.219124155121726
LINC01179	0.000254610651264013	-0.817965327973357	0.298125724187359	-0.817965327973357
SH3RF2	0.000259982567498631	-0.461294126980896	0.298125724187359	-0.461294126980896
RPS17	0.000311865043491543	0.183755376249286	0.333778760547549	0.183755376249286
WFDC2	0.000341175097887197	0.148066733279072	0.342326563842566	0.148066733279072
SPDYE2	0.000460800126274978	0.325645565734529	0.433082866247214	0.325645565734529
C4orf48	0.000485579394073119	0.22761971729059	0.433082866247214	0.22761971729059
LINC01033	0.000552275794521759	-0.380205001250513	0.466643979223806	-0.380205001250513
ADGRB1	0.000668077182426702	-0.0679721500733376	0.536265554333914	-0.0679721500733376
RPL21	0.000733930802716684	0.158822492319126	0.541714084268082	0.158822492319126
RPL36	0.000753670322521113	0.153605341349357	0.541714084268082	0.153605341349357
PSD2	0.000776094676601837	0.11576232630823	0.541714084268082	0.11576232630823
PTTG1IP	0.000824266399021309	-0.0921014112457408	0.551365532078671	-0.0921014112457408
ROR1-AS1	0.000952907652662711	-0.388255688303157	0.595963270898522	-0.388255688303157
MALINC1	0.000965182823181859	-0.134930591392497	0.595963270898522	-0.134930591392497
ZFY	0.00114036491542393	0.140365411478871	0.646190981797506	0.140365411478871
CYP4Z1	0.00116048534043489	0.136765524959463	0.646190981797506	0.136765524959463
AL132780.1	0.00116728157917825	0.234245163648401	0.646190981797506	0.234245163648401
GFPT1	0.00128071014359514	0.0395881524628281	0.66563696293359	0.0395881524628281
REEP6	0.00132622805072277	-0.241556149028485	0.66563696293359	-0.241556149028485
ROMO1	0.00141171333348424	0.240914540122324	0.66563696293359	0.240914540122324
EZH2	0.00142345386856943	-0.121227673109978	0.66563696293359	-0.121227673109978
LPXN	0.00150169061932491	-0.097644584503335	0.66563696293359	-0.097644584503335
IVNS1ABP	0.00151424713928459	0.0649134223152949	0.66563696293359	0.0649134223152949
UQCRB	0.00163010700562055	0.10034644024401	0.66563696293359	0.10034644024401
DUSP5	0.001644938629653	-0.372950641096333	0.66563696293359	-0.372950641096333
WWC2	0.00172240662911952	-0.0388335567478646	0.66563696293359	-0.0388335567478646
AFMID	0.00178983274511493	0.113505564107646	0.66563696293359	0.113505564107646
STAB2	0.00180747028395336	0.215098765982829	0.66563696293359	0.215098765982829
RPL41	0.00181140858334875	0.155781608471278	0.66563696293359	0.155781608471278
PIGK	0.00183270660059447	-0.0635645346572276	0.66563696293359	-0.0635645346572276
NRCAM	0.00186990748612771	-0.0320662999248071	0.66563696293359	-0.0320662999248071
MON1A	0.00190209112258109	0.0991625858273288	0.66563696293359	0.0991625858273288
LINC02458	0.00190656298655109	0.217450818999964	0.66563696293359	0.217450818999964
LINC00486	0.0019331915721089	0.183425245045248	0.66563696293359	0.183425245045248
MAN1B1	0.0020500516402578	0.0881362749084669	0.66563696293359	0.0881362749084669
POLQ	0.00216183195304621	-0.169076463118202	0.66563696293359	-0.169076463118202
MAFG-DT	0.00216493708510217	0.152522799926089	0.66563696293359	0.152522799926089
SLC25A21	0.00222416353372942	-0.109326988980031	0.66563696293359	-0.109326988980031
AC126773.6	0.00226357524553663	0.109072182716965	0.66563696293359	0.109072182716965
MIR34AHG	0.00231105520672456	-0.141258636919577	0.66563696293359	-0.141258636919577
OR2L5	0.00238076726313388	0.141373298427559	0.66563696293359	0.141373298427559
