gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	2.17998063500993e-34	0.635526995358817	3.85398776463406e-30	0.635526995358817
USP9Y	2.60305087697132e-31	0.585643097674406	2.3009668226988e-27	0.585643097674406
UTY	5.92165455683458e-27	0.54781968246465	3.48963103034262e-23	0.54781968246465
NLGN4Y	2.36147685530163e-25	0.521671121226801	1.04371373312194e-21	0.521671121226801
PCDH11Y	6.36273002660717e-19	0.402604096623971	2.24973408280776e-15	0.402604096623971
TBL1Y	5.56795293183978e-08	0.257829856579484	0.000164059733136659	0.257829856579484
LINC01515	5.23543394440501e-07	-0.891028952336244	0.00132224623861623	-0.891028952336244
UBE3A	4.20356040749654e-05	-0.0396169973853007	0.0928934305551642	-0.0396169973853007
ZFHX2-AS1	7.00925169322519e-05	-0.0833696997956554	0.137685067427253	-0.0833696997956554
LINC00621	0.000107908251284459	-0.126324702657472	0.186282299788292	-0.126324702657472
AC097639.1	0.000115906176688229	0.304955962687368	0.186282299788292	0.304955962687368
PCNX4	0.000151471902947257	-0.0414780519697052	0.223155981017046	-0.0414780519697052
C4orf48	0.000202587051262952	0.183644230509105	0.275502806098287	0.183644230509105
RPL13A	0.000223046257913859	0.164287486062203	0.281659628118508	0.164287486062203
AC002383.1	0.000245957435265274	0.216397955199848	0.289885433203652	0.216397955199848
RPS4Y1	0.000322656612593416	0.142738855286214	0.32718931655638	0.142738855286214
XIST	0.000333171665452493	0.321768232410972	0.32718931655638	0.321768232410972
RPL35	0.0003415096128393	0.14392770792146	0.32718931655638	0.14392770792146
G0S2	0.000351637367191087	0.256900440365096	0.32718931655638	0.256900440365096
SOCS4	0.00039976515342965	0.0716982848016851	0.353372407374139	0.0716982848016851
AC008945.2	0.000449769137056293	0.190642554615693	0.356163368538206	0.190642554615693
CITED2	0.000455215401183308	0.110348283525895	0.356163368538206	0.110348283525895
GADD45GIP1	0.000463360907086302	0.15749490727189	0.356163368538206	0.15749490727189
BBS7	0.000515147840725424	-0.0457853939717829	0.364507425146821	-0.0457853939717829
CHMP6	0.000515452549842781	0.0962960415838703	0.364507425146821	0.0962960415838703
SMAP1	0.000594090723936598	-0.028189770515437	0.392237418130691	-0.028189770515437
CCDC85B	0.000615556833090594	0.159445994686983	0.392237418130691	0.159445994686983
ATP5ME	0.000621225618398062	0.140727203130914	0.392237418130691	0.140727203130914
PET100	0.000680642333851855	0.178276375967925	0.393330381926631	0.178276375967925
HSPB1	0.000681785817159934	0.447161817983503	0.393330381926631	0.447161817983503
ATP5MPL	0.000689702010279176	0.111980776467022	0.393330381926631	0.111980776467022
AC004949.1	0.000747007932693848	0.208544121911905	0.412698538815454	0.208544121911905
BEND3	0.000786409162694573	0.139281447018422	0.414496883399555	0.139281447018422
LINC01550	0.000797154479076015	-0.224294421294955	0.414496883399555	-0.224294421294955
RPL31	0.000897907925817472	0.138561515869323	0.426702699557265	0.138561515869323
AL133453.1	0.00089868622005815	-0.166854718345212	0.426702699557265	-0.166854718345212
PDZK1	0.000918116130594348	-0.254381212842475	0.426702699557265	-0.254381212842475
NDUFB10	0.000935936665871186	0.142968260648879	0.426702699557265	0.142968260648879
ASCC1	0.000941309196376114	-0.0364164737329594	0.426702699557265	-0.0364164737329594
RPS28	0.000980576989054383	0.134504965545335	0.42901912644204	0.134504965545335
LAMTOR5	0.00101457413622681	0.133764919714004	0.42901912644204	0.133764919714004
SPRYD3	0.00106560739181633	0.096625403579409	0.42901912644204	0.096625403579409
GNG3	0.00107764400406306	0.148243693009319	0.42901912644204	0.148243693009319
AP001783.1	0.00108443748566169	-0.158601591964936	0.42901912644204	-0.158601591964936
AL157912.1	0.00109202221222308	-0.208477408034198	0.42901912644204	-0.208477408034198
CALM2	0.00113074420890099	0.0991805387923538	0.434574497155666	0.0991805387923538
MSC-AS1	0.00120465833407471	-0.367028947162617	0.445099005284768	-0.367028947162617
VPS36	0.00122346442418887	-0.0413594310220564	0.445099005284768	-0.0413594310220564
NDUFS5	0.00123365864918568	0.137514445394007	0.445099005284768	0.137514445394007
DKC1	0.00127864447398914	0.0687618555926273	0.448841548380159	0.0687618555926273
ATP5F1E	0.00129480847148527	0.156436194349323	0.448841548380159	0.156436194349323
TRMT12	0.00135716692561672	0.0730714981803199	0.46141065534573	0.0730714981803199
DHX34	0.00143126096329599	0.0703355861165009	0.467190725226657	0.0703355861165009
SUN1	0.00147275032543219	-0.0340743156367661	0.467190725226657	-0.0340743156367661
UBB	0.00151254531266413	0.138649283479437	0.467190725226657	0.138649283479437
RPL21	0.00156087325820722	0.155918823167859	0.467190725226657	0.155918823167859
RPL41	0.0015646021199396	0.157411358611661	0.467190725226657	0.157411358611661
YBX3	0.00157779956060043	-0.228969815672177	0.467190725226657	-0.228969815672177
AL157886.1	0.00160660447555133	0.157247290586191	0.467190725226657	0.157247290586191
AL031289.1	0.00162619173342916	-0.244397083007048	0.467190725226657	-0.244397083007048
COX6A1	0.00170463761419845	0.151204695077592	0.467190725226657	0.151204695077592
AP000766.1	0.00170625901220645	0.0826178039395639	0.467190725226657	0.0826178039395639
KDM5D	0.00173537439141601	0.0970778808666342	0.467190725226657	0.0970778808666342
TUBE1	0.00173631195279465	-0.0413481624960187	0.467190725226657	-0.0413481624960187
CASP2	0.00174716181868046	-0.0915788526901055	0.467190725226657	-0.0915788526901055
RPS20	0.00183035541691754	0.109258282217878	0.467190725226657	0.109258282217878
RPL36AL	0.00183232499845886	0.147239361547683	0.467190725226657	0.147239361547683
CDKN1B	0.0018747344470174	0.0781713101093883	0.467190725226657	0.0781713101093883
RPL23A	0.00188408910889374	0.1398717376849	0.467190725226657	0.1398717376849
FBXO34	0.00189308272192441	0.0376914659899903	0.467190725226657	0.0376914659899903
RNF41	0.00189658923844188	0.0488102215039944	0.467190725226657	0.0488102215039944
AL133538.1	0.00193640298374977	-0.117008791105257	0.467190725226657	-0.117008791105257
AC004233.3	0.00199108117080015	0.241381318835326	0.467190725226657	0.241381318835326
AC004982.1	0.00200205066916058	-0.207187782383166	0.467190725226657	-0.207187782383166
PSAP	0.0020120922228574	0.0898021795671892	0.467190725226657	0.0898021795671892
AC018832.1	0.00201722397375444	-0.303741440972197	0.467190725226657	-0.303741440972197
RPS10	0.00208760809753984	0.15277535736209	0.467190725226657	0.15277535736209
GABARAP	0.00208987651905459	0.13806501189857	0.467190725226657	0.13806501189857
