gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.40755424693097e-18	0.429597915472118	2.23378858987945e-14	0.429597915472118
NLGN4Y	3.66790530593615e-13	0.353411465385162	2.91048286026033e-09	0.353411465385162
USP9Y	1.34055804341707e-10	0.295465426832911	7.09155204967629e-07	0.295465426832911
LINC01515	3.76825784418397e-10	-1.13443205153929	1.49505629967999e-06	-1.13443205153929
UTY	6.78122408127951e-07	0.219010177985441	0.00215236052339812	0.219010177985441
AL358394.1	2.68921579696047e-05	0.521828494657853	0.0711297578296045	0.521828494657853
PCDH11Y	4.70170577355381e-05	0.226606966547846	0.106594386608999	0.226606966547846
OR2M4	8.29069338340542e-05	0.432796397422275	0.164466629993305	0.432796397422275
PLXNA1	0.00012383298102115	0.148541970709747	0.188180058938682	0.148541970709747
TENT4B	0.000130141630715444	0.0793072590525924	0.188180058938682	0.0793072590525924
SMIM7	0.000130433563221519	-0.10742228970785	0.188180058938682	-0.10742228970785
C4orf33	0.000162580285517096	0.127115057410213	0.21501242759636	0.127115057410213
PRMT7	0.000188367880071792	-0.0925447236701974	0.229953712056872	-0.0925447236701974
CYBB	0.000350879767650498	-0.587738708063178	0.393815864221353	-0.587738708063178
AC244502.1	0.000372226714764984	-0.795438087328175	0.393815864221353	-0.795438087328175
BTD	0.000434253435653389	-0.0965419202863619	0.430725126488705	-0.0965419202863619
KCTD5	0.000468672431915784	-0.250193580492144	0.437519499676676	-0.250193580492144
ACAT1	0.000528936408258637	-0.0832440474409081	0.460393318682308	-0.0832440474409081
RABL2B	0.000591300379259007	-0.142972193957988	0.460393318682308	-0.142972193957988
AL359546.1	0.000598724340367746	-0.230851140808835	0.460393318682308	-0.230851140808835
PTGR1	0.000609216111677912	-0.129873825488602	0.460393318682308	-0.129873825488602
KIAA1958	0.000714561242113722	0.0486167724486482	0.507878559173858	0.0486167724486482
GGCX	0.000765967891356555	-0.169710628732229	0.507878559173858	-0.169710628732229
MAPRE3	0.00079045450642647	-0.0745812166876225	0.507878559173858	-0.0745812166876225
MAGEC3	0.000800060742239852	0.19176874224313	0.507878559173858	0.19176874224313
AC092910.3	0.000965528331092498	0.129244498557515	0.589343639016844	0.129244498557515
EXOC2	0.00113803922423299	0.0627341098179587	0.668914166243615	0.0627341098179587
RHOU	0.00118853945395746	-0.271623856012544	0.673647183368034	-0.271623856012544
UFL1	0.00144428424439409	-0.0950898907023469	0.756928113440647	-0.0950898907023469
BBS1	0.00152456478041708	-0.0790448446327603	0.756928113440647	-0.0790448446327603
ADGRV1	0.00162841335263553	-0.194472057963491	0.756928113440647	-0.194472057963491
DHRS12	0.00164703321440635	-0.169753442205897	0.756928113440647	-0.169753442205897
BHLHE41	0.00168781657882099	0.117628276494667	0.756928113440647	0.117628276494667
