gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	6.82342620060003e-44	0.779220697286236	1.27584423098819e-39	0.779220697286236
USP9Y	2.16848730810659e-40	0.6861949035303	2.02731878434885e-36	0.6861949035303
NLGN4Y	1.38011227612655e-36	0.677395542861113	8.60177977967142e-33	0.677395542861113
UTY	6.62642353619785e-32	0.581030878682666	3.09752168199568e-28	0.581030878682666
KDM5D	9.03871899168893e-19	0.434055261137776	3.38011935413199e-15	0.434055261137776
PCDH11Y	1.50851865219306e-08	0.154472986629545	4.70104695978432e-05	0.154472986629545
LINC00326	5.9616568537246e-08	0.520883328260987	0.000159244371215632	0.520883328260987
TTTY10	1.17747681313873e-05	0.161549048442118	0.0275205768150849	0.161549048442118
PLAGL2	2.91649455511109e-05	0.107756300196238	0.0605917946571857	0.107756300196238
RPS4Y1	3.67901840299173e-05	0.18358447469677	0.0687902860991393	0.18358447469677
OR2L3	7.30621015776466e-05	0.1178785199701	0.12419228866353	0.1178785199701
TSPAN14	9.58930875353167e-05	0.0696932917366336	0.149417412561279	0.0696932917366336
GALNT16	0.000126234405170396	0.0458192624116328	0.181563915990466	0.0458192624116328
PPP2R3A	0.000141132618307243	-0.0495665643396674	0.188492692650631	-0.0495665643396674
GDAP1L1	0.000165040440262838	0.0433244417439497	0.204568560062556	0.0433244417439497
AC069277.1	0.000184577027705351	-0.462639738612953	0.204568560062556	-0.462639738612953
ETV1	0.000205374613362631	0.185311643948784	0.204568560062556	0.185311643948784
SNAPC2	0.000209352964107408	-0.165166867122118	0.204568560062556	-0.165166867122118
HACD4	0.00021546974676249	-0.270158394357522	0.204568560062556	-0.270158394357522
DLEU1	0.000223623392576324	-0.114638025443032	0.204568560062556	-0.114638025443032
KATNBL1	0.000229753971618016	-0.0358257385493889	0.204568560062556	-0.0358257385493889
AC117528.1	0.000301690327764231	-0.177503468282485	0.256409352206163	-0.177503468282485
NRSN1	0.000326477827082282	-0.0428418768300783	0.265412278729761	-0.0428418768300783
ATF3	0.000354954794705612	-0.259072728106306	0.276539364641897	-0.259072728106306
LINC01515	0.000374665175003762	-1.01798242394226	0.278906816767569	-1.01798242394226
DDX3Y	0.000396507667109095	0.125248498780973	0.278906816767569	0.125248498780973
WDR41	0.000405281002735404	-0.0439720036271591	0.278906816767569	-0.0439720036271591
CREB1	0.00041765915442785	0.0365783669714959	0.278906816767569	0.0365783669714959
EFCAB13	0.00046133966724341	-0.17606286430844	0.283855097822008	-0.17606286430844
XIST	0.000470469028858761	0.387092067374948	0.283855097822008	0.387092067374948
ZFY	0.000476438755749045	0.125619957431514	0.283855097822008	0.125619957431514
AC007996.1	0.000485793300369251	-0.314103399988365	0.283855097822008	-0.314103399988365
CTRL	0.000602150415185318	0.108122059156084	0.338480282266057	0.108122059156084
AL049646.1	0.000615484522250825	-0.265163136012559	0.338480282266057	-0.265163136012559
AC073525.1	0.000650337254410914	-0.202765016884327	0.347428742370722	-0.202765016884327
OR51E2	0.00073081100767565	0.284424075931507	0.373093647620581	0.284424075931507
P3H2-AS1	0.000756072173518378	-0.0673984071335534	0.373093647620581	-0.0673984071335534
PPFIA2-AS1	0.000758239309529472	-0.203085109737839	0.373093647620581	-0.203085109737839
ENPP6	0.000823303974107302	-0.231226946379397	0.394721479688675	-0.231226946379397
RPL35	0.000901599172357294	0.152040722103131	0.421452533118417	0.152040722103131
CACNA2D3	0.000964265147178461	-0.0737751995053625	0.430997141067459	-0.0737751995053625
TCERG1L	0.000968118511329194	-0.110419378731768	0.430997141067459	-0.110419378731768
AL391095.1	0.00106642380451125	0.17666307193855	0.456846689449475	0.17666307193855
PUSL1	0.00107504836537474	-0.145902845031812	0.456846689449475	-0.145902845031812
A2M	0.00125945484966291	-0.346253093271493	0.523317483977713	-0.346253093271493
FAM20A	0.00135732618902589	-0.166170738355672	0.55172358874796	-0.166170738355672
PRKD3	0.00143041557105578	-0.15718978288487	0.553903831358937	-0.15718978288487
RPL36	0.00146498256575764	0.14969808838009	0.553903831358937	0.14969808838009
