gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
USP9Y	1.36221583081864e-30	0.59207639002263	2.31317870231314e-26	0.59207639002263
NLGN4Y	3.28965875804934e-27	0.570464869833645	2.7930847685218e-23	0.570464869833645
UTY	3.10154876345293e-22	0.462314232340989	1.75557998507314e-18	0.462314232340989
TTTY14	2.01460306685807e-20	0.356629562823406	8.55249366957921e-17	0.356629562823406
KDM5D	3.31118847853848e-11	0.329673483318249	1.12454583108124e-07	0.329673483318249
LINC01515	9.37536640238439e-07	-0.788164956329901	0.00265338494798149	-0.788164956329901
TTTY10	3.42100198137097e-06	0.199843272732777	0.00829886209223721	0.199843272732777
TMEM94	3.26757523276559e-05	0.0616060707500287	0.0693583687844905	0.0616060707500287
FAM122A	0.00015252046216606	0.138952132999657	0.287772218671318	0.138952132999657
GSTO1	0.000252684856685161	-0.0978188362026174	0.405113116425971	-0.0978188362026174
FAM181B	0.00027545774776292	-0.26663619268387	0.405113116425971	-0.26663619268387
AC025627.1	0.000295136397450539	-0.200387315398687	0.405113116425971	-0.200387315398687
WASHC1	0.000329123342812555	0.0914471205947226	0.405113116425971	0.0914471205947226
BVES-AS1	0.000333995855954514	0.181148154533639	0.405113116425971	0.181148154533639
RPL26	0.000359236839076865	0.173831114443852	0.406680050957616	0.173831114443852
AC244502.1	0.000409659801642776	-0.303869938530407	0.434777068230998	-0.303869938530407
CCNT2	0.000565391204031514	-0.0422184970455051	0.489205084744017	-0.0422184970455051
MIF4GD	0.000583040202467199	-0.169915090642096	0.489205084744017	-0.169915090642096
ZNF350	0.000591091780837292	-0.148354256619957	0.489205084744017	-0.148354256619957
BEX1	0.000603039494252032	0.130018760504147	0.489205084744017	0.130018760504147
RPS17	0.000604988326931533	0.179453735363421	0.489205084744017	0.179453735363421
RPL7	0.000665904038038805	0.190030193458027	0.496841168623486	0.190030193458027
DCST2	0.000735109009909408	-0.270292551167822	0.496841168623486	-0.270292551167822
RAD9A	0.000788832810704263	0.0483082177527774	0.496841168623486	0.0483082177527774
ALK	0.000798655905073503	0.0798637662755751	0.496841168623486	0.0798637662755751
PCDH1	0.000801243640724229	0.0814513791994491	0.496841168623486	0.0814513791994491
