logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.1850496922013	0.412430881593943	4.80063723833832	-0.00504373144810221	-4.5497991381165e-07	-1.11946370091626e-05	0.0611804812143967	0.0464333930606148	0.12473495861785	0.0070067573516955	3.20274239991062e-06	2.08531125603582e-05	0	6.55483333961331e-19	4.94065645841247e-324	0.47162463536767	0.887033025283426	0.591383039771726	36514	TTTY14	1.31096666792266e-14	0.412430881593943	0.337656300859259	0.122892539753155	1	NBGMM (HL)
-10.7024000744923	0.254048059554741	5.27362546534138	0.00336220626552105	6.03118338588586e-06	-3.35512289081048e-05	0.0777061175396744	0.0443689735761494	0.153863766462084	0.00582107566691655	4.34909726462481e-06	2.75930506771268e-05	0	1.02944840454776e-08	1.87346690155207e-257	0.563539663986986	0.165512905598787	0.224011439697498	36501	NLGN4Y	0.000102944840454776	0.254048059554741	0.188197851149237	0.315016312164339	1	NBGMM (HL)
-10.8495444636904	0.140146212705319	4.94260983484945	0.00368602055835211	-3.10727834302205e-06	1.03396999580883e-05	0.0786678013531121	0.0341153405526973	0.155059558022814	0.0049344855309712	3.42454692916698e-06	2.35203159274385e-05	0	3.99080167443658e-05	5.82573300440125e-223	0.455068470298864	0.364219319641479	0.660221633375879	36493	USP9Y	0.20726082939206	0.140146212705319	0.100459746056584	0.0909008540108694	1	NBGMM (HL)
-10.0332639411469	-0.0957574747176886	-0.0118644371155144	0.00171719910830183	2.39275365612575e-06	1.61367697773051e-06	0.0313640626059871	0.0233598519314834	0.0459559876851186	0.00498511109768764	3.45213120237006e-06	2.75369780674152e-05	0	4.14521658784119e-05	0.796276049450945	0.730496188777036	0.488231979409214	0.95327041960975	18011	PARG	0.20726082939206	-0.0957574747176886	0.0145037919549569	0.0602032671288782	1	NBGMM (HL)
-13.3351524859251	0.388905260014886	-0.231881413744286	0.0303070500130176	2.88148654619803e-05	-0.000277614986835696	0.150336181082181	0.0977859671434433	0.233248217745677	0.0185756530024067	1.60543958676919e-05	0.000130475729077228	0	6.97587637268272e-05	0.32015465011865	0.102774961464532	0.0726812448542034	0.033360834332738	30983	AC092068.2	0.268185773090383	0.388905260014886	1e-04	0.283645633157295	1	NBGMM (HL)
-11.3880953565038	0.160715365626075	-0.0927843201769048	-0.0131190536642737	-3.99052967673962e-06	-1.94559532955903e-05	0.0589488925268123	0.0413235892216342	0.0887170510421641	0.0111160370405679	7.26688048209635e-06	5.53710247393305e-05	0	0.000100578595074554	0.295632414005059	0.237924014752155	0.582909855332983	0.725307584243317	32804	ZNF547	0.268185773090383	0.160715365626075	0.0281512786166582	0.00100000157500876	1	NBGMM (HL)
-14.0171922278323	0.636161244331147	0.090616745972768	0.0378998427554469	-3.37258503386901e-05	0.000150371446961571	0.236227547180988	0.164194175620843	0.352470916743462	0.0356638214828579	3.29438094435913e-05	0.000226756914805824	0	0.000106868131270114	0.797109301419199	0.287919297112292	0.305958744193958	0.507241271576626	5570	IGFBP2	0.268185773090383	0.636161244331147	0.010297344295532	19.5584201160956	1	NBGMM (HL)
-13.8718153952169	-0.600445776896293	0.0212801712590899	-0.0230691819855623	-9.33562145309584e-05	0.000594037401792787	0.214566300981614	0.15501292751798	0.262604648370208	0.0334595048720493	3.12237135905118e-05	0.000209638976987686	0	0.000107274309236153	0.935414107210142	0.490530231442286	0.00279056115637246	0.00460238844281618	11219	AL031768.2	0.268185773090383	-0.600445776896293	0.00576513832536563	3.03179261340537	1	NBGMM (HL)
-13.799861227144	0.451419600336153	0.143618494597389	0.0147953228705563	1.53606772317353e-05	-0.00016214616258078	0.192087655040513	0.118865442633065	0.281983258605436	0.0288146635948304	2.1013791359339e-05	0.000167498931083809	0	0.000146023578057771	0.610530970166419	0.607626048054823	0.4647909034224	0.33302291038237	369	UQCRHL	0.296987110555041	0.451419600336153	0.00698967869130224	0.241189472200262	1	NBGMM (HL)
-13.4112887642889	-1.07724401941172	0.114956115613328	0.108556570980761	-3.23181153599687e-05	0.000101996460433467	0.225128040210508	0.283965369452426	0.392890478623242	0.0510627905298217	5.07962069503011e-05	0.000299057687048112	0	0.000148493555277521	0.769834993101305	0.0335080240289298	0.524625949919981	0.733058801562847	18098	LINC01515	0.296987110555041	-1.07724401941172	0.0446371383376344	62.6221609338213	1	NBGMM (HL)
