gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
NLGN4Y	4.24205929968958e-32	0.628135866859946	7.67218844941857e-28	0.628135866859946
TTTY14	4.15349828818488e-28	0.487333541881468	3.75600850200558e-24	0.487333541881468
USP9Y	3.05264961416377e-27	0.563213166101478	1.8403406973922e-23	0.563213166101478
UTY	9.06547462025433e-16	0.36636072571998	4.09895434954799e-12	0.36636072571998
RPS4Y1	1.15336954838911e-05	0.233531151657886	0.041719683304331	0.233531151657886
PSMA3-AS1	1.58495298843536e-05	-0.0663694382759734	0.0477757662480698	-0.0663694382759734
DDX3Y	8.58617352435313e-05	0.141674992968576	0.22184219194493	0.141674992968576
NDUFV3	0.000149450355765837	0.0628268024409987	0.327346328246288	0.0628268024409987
AC093425.1	0.000162894888544543	0.288623022421305	0.327346328246288	0.288623022421305
LINC01515	0.000186431243635707	-0.560915515538305	0.33717954723954	-0.560915515538305
RBL2	0.000213466883524336	-0.0547387375301007	0.350978368674649	-0.0547387375301007
KDM5D	0.000240836560036127	0.127711284298371	0.362980835401116	0.127711284298371
SEPTIN8	0.000288418088714435	0.0615928919826291	0.384651860250939	0.0615928919826291
RRAD	0.000297751080587921	-0.310507105095421	0.384651860250939	-0.310507105095421
AC008691.1	0.000401371855197956	-0.126464814677572	0.483947424874016	-0.126464814677572
RPL36	0.000432636911508715	0.151715782977623	0.489041948846663	0.151715782977623
SCLY	0.000591131585431534	-0.0760567387599422	0.628894462006749	-0.0760567387599422
AC245140.2	0.000661139383046038	0.241390306875679	0.631733253264254	0.241390306875679
SKIV2L	0.000663658731174435	0.145057383005815	0.631733253264254	0.145057383005815
UNC13D	0.000820547670894111	0.197960577765561	0.699867006429181	0.197960577765561
LIMCH1	0.000876233382239475	-0.0272560844633492	0.699867006429181	-0.0272560844633492
PAK1IP1	0.00088382663202565	0.0982673960184793	0.699867006429181	0.0982673960184793
C8orf31	0.000890022180021628	0.138936155770515	0.699867006429181	0.138936155770515
TOMM7	0.000941321553114739	0.139870404502428	0.709364233734715	0.139870404502428
THOC5	0.000986168350240918	-0.0795163692028884	0.71343363129829	-0.0795163692028884
POU6F1	0.00103224948230897	-0.055302374210204	0.718048620655386	-0.055302374210204
PCDH11Y	0.00123346681748111	0.114865511931319	0.821411000229659	0.114865511931319
SDE2	0.00129054113709819	-0.129883585504628	0.821411000229659	-0.129883585504628
RNF144A	0.00133825228712078	-0.0440142148656515	0.821411000229659	-0.0440142148656515
MBOAT7	0.00136250857054571	0.0596918316202913	0.821411000229659	0.0596918316202913
ERP44	0.00160755110591251	-0.038773772594905	0.830603394956706	-0.038773772594905
MAMLD1	0.00168474784397919	-0.123526509524664	0.830603394956706	-0.123526509524664
AC244502.1	0.00175484651120793	-0.371018373623711	0.830603394956706	-0.371018373623711
COX6B1	0.00175909902216353	0.13498901959276	0.830603394956706	0.13498901959276
AC092068.2	0.00186346401230472	-0.249256603909292	0.830603394956706	-0.249256603909292
RPL38	0.00193362586663104	0.168294228561946	0.830603394956706	0.168294228561946
EEF1A1	0.00194329633385857	0.0963529817613876	0.830603394956706	0.0963529817613876
TTTY10	0.00199217949319747	0.113772260565408	0.830603394956706	0.113772260565408
