gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.35064306886739e-22	0.414946535251312	2.37037858586227e-18	0.414946535251312
NLGN4Y	2.27376245803817e-21	0.468866596118224	1.99522655692849e-17	0.468866596118224
USP9Y	3.9943081095936e-18	0.417703542456571	2.33667024411226e-14	0.417703542456571
UTY	2.87617144801751e-10	0.266499682678252	1.26192022281768e-06	0.266499682678252
LINC01515	6.55805636079701e-07	-0.829475571755404	0.00230187778263975	-0.829475571755404
AC007743.1	7.85690301984209e-05	0.536882751095153	0.20237212224646	0.536882751095153
ATF7IP	8.07182253974483e-05	-0.0651206339781144	0.20237212224646	-0.0651206339781144
TBC1D15	0.000119865994692981	0.0675075993549227	0.262956025857726	0.0675075993549227
SLC38A3	0.000154056262964472	0.3051524751374	0.300409712780721	0.3051524751374
WBP1L	0.000176476753408392	0.077539072121121	0.309716702231728	0.077539072121121
RMND1	0.000200745906827717	-0.106163750900057	0.320280969529676	-0.106163750900057
LINC02664	0.000330150749251472	-0.273573648251327	0.482845470780277	-0.273573648251327
ATP6V1C1	0.000430530354190285	0.0675206713482957	0.547391654887369	0.0675206713482957
LINC01750	0.00043666570760246	0.216542665288204	0.547391654887369	0.216542665288204
SLCO2B1	0.000601618430010873	0.391029842729597	0.703893563112721	0.391029842729597
CALML4	0.000663535199761088	0.163725423448412	0.715690800840165	0.163725423448412
XRCC5	0.000909599399697266	-0.0544694889085411	0.715690800840165	-0.0544694889085411
HEY1	0.000932159013782594	-0.484834057878566	0.715690800840165	-0.484834057878566
HOOK3	0.00103892230394866	0.0398669478856871	0.715690800840165	0.0398669478856871
RPS4Y1	0.00109505590856777	0.17732670609994	0.715690800840165	0.17732670609994
LINC02488	0.00110817143933233	-0.146097859169252	0.715690800840165	-0.146097859169252
NRP2	0.00111259777605421	0.168836240721548	0.715690800840165	0.168836240721548
AP005131.6	0.00112789833503584	0.305120169984256	0.715690800840165	0.305120169984256
UPRT	0.00125885307647725	0.128883396916782	0.715690800840165	0.128883396916782
NANOS3	0.00134445250372833	0.143723369458053	0.715690800840165	0.143723369458053
COQ10B	0.00137308461305782	-0.122469284777193	0.715690800840165	-0.122469284777193
UBOX5	0.00138477857799243	0.11835054748783	0.715690800840165	0.11835054748783
IPO9	0.00140475082124379	-0.0498658181551022	0.715690800840165	-0.0498658181551022
SORT1	0.00145684372477778	-0.0513381640700738	0.715690800840165	-0.0513381640700738
STK40	0.00146461400403821	-0.0905732986537922	0.715690800840165	-0.0905732986537922
AC104836.1	0.00147730768034601	0.332410993178566	0.715690800840165	0.332410993178566
HECW1-IT1	0.00149029095968842	-0.318511768271943	0.715690800840165	-0.318511768271943
FBRS	0.00150351789582303	-0.134720766147132	0.715690800840165	-0.134720766147132
MYBPHL	0.00153981696491621	-0.339573335147551	0.715690800840165	-0.339573335147551
AC025887.2	0.00158694658525365	0.211864501597671	0.715690800840165	0.211864501597671
AL035681.1	0.00160168177452999	0.271673700332938	0.715690800840165	0.271673700332938
SPDYE2	0.00165001593641053	0.273178186987628	0.715690800840165	0.273178186987628
