gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
TTTY14	1.82782661262465e-22	0.43185611905888	3.16469899709832e-18	0.43185611905888
NLGN4Y	1.65868208559763e-16	0.366170543978853	1.43592108150187e-12	0.366170543978853
UTY	2.72386830197582e-16	0.387042600248928	1.57203519268031e-12	0.387042600248928
USP9Y	4.90684242320886e-16	0.368299518462203	2.12392674288596e-12	0.368299518462203
LINC01515	3.83367790602333e-07	-0.743698636824196	0.00132752598529776	-0.743698636824196
PTPRT	7.9292672437384e-05	-0.126709583169579	0.228812221763478	-0.126709583169579
LYN	0.000112362738048961	0.391842392871106	0.232908271721273	0.391842392871106
DGCR2	0.000119560885776494	0.0650938778926155	0.232908271721273	0.0650938778926155
ZFP69	0.000121068178669947	-0.404899920301351	0.232908271721273	-0.404899920301351
THUMPD1	0.000158581080284489	0.085690467325052	0.274567282404564	0.085690467325052
AP000842.2	0.00025951894409202	-0.478000582750335	0.390418527496685	-0.478000582750335
SRPRA	0.000291376557927226	-0.150816567048409	0.390418527496685	-0.150816567048409
ANP32B	0.000293140860428376	0.107625585638009	0.390418527496685	0.107625585638009
AC069277.1	0.000358205413339961	-0.561605139066493	0.442997751897721	-0.561605139066493
HIF1A-AS1	0.000451921871542836	0.363305179806938	0.508474333233982	0.363305179806938
CYP4Z1	0.000490387512440913	0.179066925426282	0.508474333233982	0.179066925426282
SNRPD2	0.000499252839608277	0.166429151125926	0.508474333233982	0.166429151125926
ADGRG7	0.000582752214877385	0.488234456420036	0.536962475579809	0.488234456420036
HNRNPC	0.000627332408215104	0.0441135127740819	0.536962475579809	0.0441135127740819
PRKY	0.000634010618569314	0.238399974959076	0.536962475579809	0.238399974959076
MAMDC2	0.000651277116043432	0.175849656742829	0.536962475579809	0.175849656742829
AC126773.6	0.000725718662161174	0.147045708491293	0.571140587120844	0.147045708491293
NOL12	0.000809444576126679	-0.128142418756777	0.582642633199528	-0.128142418756777
LENG1	0.000881262171907005	-0.326114447314164	0.582642633199528	-0.326114447314164
FAM161B	0.000905386955793822	-0.138784653305814	0.582642633199528	-0.138784653305814
RBCK1	0.000923909302391224	-0.095325532753026	0.582642633199528	-0.095325532753026
SFRP4	0.000933979249136065	-0.278527102362435	0.582642633199528	-0.278527102362435
MEIG1	0.000959603995426155	0.308904299286586	0.582642633199528	0.308904299286586
GPR85	0.000975894441653361	0.112849181592291	0.582642633199528	0.112849181592291
UQCRQ	0.00104026770049282	0.20806943651895	0.594386002007728	0.20806943651895
AC027117.2	0.00106422352213466	-0.202236571121519	0.594386002007728	-0.202236571121519
EXOC3	0.0011616244362287	-0.0887392453027143	0.611276572362216	-0.0887392453027143
ARHGAP32	0.00119758311254965	-0.0366670854883759	0.611276572362216	-0.0366670854883759
MCL1	0.00130100627073408	0.128016731339685	0.611276572362216	0.128016731339685
ZNF2	0.00131299788963123	0.160517811078196	0.611276572362216	0.160517811078196
SNUPN	0.00136841327326294	0.116764772566632	0.611276572362216	0.116764772566632
RAB1B	0.00138268287694157	-0.115524044437238	0.611276572362216	-0.115524044437238
MAST1	0.00140388356440643	0.0430065997547472	0.611276572362216	0.0430065997547472
RPS27	0.00141827404104541	0.18900664822841	0.611276572362216	0.18900664822841
ASMTL-AS1	0.00143844403242578	0.179527015501644	0.611276572362216	0.179527015501644
RPLP1	0.00144751874014386	0.142277312999581	0.611276572362216	0.142277312999581
ADPRHL1	0.0015270529307778	0.151159864668194	0.629509391511592	0.151159864668194
CCDC125	0.00159060574631441	0.0847581701493505	0.639688321143709	0.0847581701493505
GLS	0.00165939057928132	-0.0350574433972902	0.639688321143709	-0.0350574433972902
MED6	0.0016952192448157	-0.0849796478893867	0.639688321143709	-0.0849796478893867
ABHD5	0.00169953002036564	-0.0809192784672215	0.639688321143709	-0.0809192784672215
KIF5C	0.00177028170240177	-0.0266740642274014	0.652141646710302	-0.0266740642274014
AL512625.1	0.00184797566486505	0.258942352945333	0.655984262616753	0.258942352945333
UBE2G2	0.0018564877479624	0.0469677481095995	0.655984262616753	0.0469677481095995
AC112206.2	0.00194205352740277	0.215543988244871	0.672494295469032	0.215543988244871
PPA2	0.00203114882094946	-0.047042297485729	0.675316219860139	-0.047042297485729
AL162411.1	0.00209596558043145	0.316635787009015	0.675316219860139	0.316635787009015
AC013460.1	0.0021931524635868	-0.202391155667877	0.675316219860139	-0.202391155667877
UBR3	0.00222278939158749	-0.0299622101462967	0.675316219860139	-0.0299622101462967
ZNF563	0.00227119746519693	0.219715710963359	0.675316219860139	0.219715710963359
SMCR5	0.0022848503372181	0.184197367660528	0.675316219860139	0.184197367660528
GART	0.00230879920100336	-0.0830859904579204	0.675316219860139	-0.0830859904579204
SLC12A9	0.00231075404042893	0.0915756136732108	0.675316219860139	0.0915756136732108
NAF1	0.002355257315233	0.0656212534367014	0.675316219860139	0.0656212534367014
NOP56	0.0023584234341818	0.0726999289508691	0.675316219860139	0.0726999289508691
EPB41L4A	0.00237924739583392	-0.260095673361867	0.675316219860139	-0.260095673361867
DEK	0.00243202675827092	-0.0980275767619177	0.679163085366173	-0.0980275767619177
OR2L2	0.00249109266728228	0.181456827195684	0.684615530814689	0.181456827195684
AC013640.1	0.00257341759932918	-0.388435714967017	0.684961446954569	-0.388435714967017
AL356804.1	0.00263439926604445	0.378351097196277	0.684961446954569	0.378351097196277
LINC00486	0.00282295911746733	0.190880732155644	0.684961446954569	0.190880732155644
FHIT	0.00284574574173048	0.0589670796594369	0.684961446954569	0.0589670796594369
PRR14	0.00287861992504004	0.104933529223582	0.684961446954569	0.104933529223582
APH1B	0.0029518483997789	-0.0793534066821266	0.684961446954569	-0.0793534066821266
LINC02798	0.00295320482030028	0.0715256366919039	0.684961446954569	0.0715256366919039
CXXC1	0.00297059101934344	0.0923005180593317	0.684961446954569	0.0923005180593317
WASHC1	0.00297392319495127	0.0863327519678516	0.684961446954569	0.0863327519678516
