logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.9545088016427	0.505549249288319	0.262710589281457	0.0216580911873332	0.000128600546863763	-0.000343124063172298	0.139953224991069	0.120294583279697	0.242833665662764	0.0287201050911152	7.05105931688109e-05	0.000305883416122733	0	2.63874047676672e-05	0.279317376828194	0.450783743182891	0.0681751781400404	0.261969666892813	23342	DACH1	0.235926135679058	0.505549249288319	0.143621650628954	12.6282046977349	1	NBGMM (HL)
-9.18978846928773	-0.115791725504732	0.0274410939750552	0.000632056519998103	-1.25890294007821e-05	7.25160085861844e-05	0.0315140105151278	0.0276045713625025	0.051510360225068	0.00637668498744404	1.49892515216553e-05	6.87958149060407e-05	0	2.73284067738976e-05	0.594220767941799	0.92104305433294	0.400981028297963	0.291848181773126	2422	DCAF6	0.235926135679058	-0.115791725504732	1e-04	0.209880316041547	1	NBGMM (HL)
-8.7990421029414	0.0849568744264361	0.0378165256771128	0.00482196391406655	-2.6366975654185e-06	4.98542675788134e-05	0.0256190094209734	0.0207750842138202	0.0410678513145602	0.00500837264377574	1.15583378358011e-05	5.39689156179292e-05	0	4.32558230232865e-05	0.357138984216534	0.335657648900992	0.819552310692083	0.355611844206879	25497	TTBK2	0.248951680106688	0.0849568744264361	0.00127381670571693	0.085525339827714	1	NBGMM (HL)
-12.7502792026257	0.447166516077762	-0.109013299356415	0.00292754469011366	-1.77907391237235e-05	0.000175795283343121	0.179500656001506	0.112322233846223	0.258059806430195	0.0338416386317396	7.03514869091053e-05	0.000338352917694744	0	6.8595870612936e-05	0.672708086902558	0.931063249466096	0.800358142659239	0.603368961984668	4236	INO80B	0.296094075500738	0.447166516077762	0.00625909869738305	0.252257202584178	1	NBGMM (HL)
-9.00997580369615	0.103485697147568	0.0767498625493196	-0.000563801788606404	5.70674848980319e-06	-4.84068072778501e-05	0.0305401700060316	0.0266543513803027	0.0528942124695928	0.00648026464032969	1.44025493727839e-05	6.56254363647738e-05	0	0.000103385177530979	0.146777963683071	0.930669210402416	0.691934012134823	0.460743796885066	31154	INSR	0.357009695049976	0.103485697147568	0.0200890791458816	0.214555196781068	1	NBGMM (HL)
-13.1225418364756	-0.981339709929283	-0.66854010155197	0.08347531480892	-9.64867245638044e-05	0.000600137227510899	0.265582749634457	0.257488660402084	0.404401050567245	0.0476519374413963	0.000150610421790365	0.000635115809651415	0	0.000138296149432262	0.0982980729933986	0.0798130746275659	0.521758054925297	0.344696828708815	18098	LINC01515	0.397970219349572	-0.981339709929283	0.0524308673498712	29.4869832133515	1	NBGMM (HL)
-11.7424750480504	0.293344150190227	-0.232174606522826	0.00576040746831985	-7.61298391666399e-05	0.000174857739082126	0.106395956209246	0.0794794503770112	0.174504777783121	0.021518324811072	5.72544017353754e-05	0.000248139455141087	0	0.000223534437251879	0.183361134378999	0.788931969966255	0.183624842499136	0.481012340814772	31050	YJU2	0.530001390556227	0.293344150190227	1e-04	0.100730780881544	1	NBGMM (HL)
-11.5745353050727	0.26632894722755	0.00404050580059029	0.0319392721627363	-6.43325885886391e-05	0.000233142175709649	0.0997037850574812	0.0732019994831766	0.155046505949953	0.012781396784618	4.80258564551052e-05	0.000215939528036685	0	0.000274471102998793	0.979209513203347	0.0124583867585751	0.180394719277713	0.280291745666668	35992	TCEAL3	0.530001390556227	0.26632894722755	0.0294831338027857	0.00100002361788605	1	NBGMM (HL)
-9.74104530815724	-0.153706222653086	0.0829505506443127	0.0138167275550617	-3.83502715864137e-06	2.19751733083241e-05	0.0456368484355468	0.0425666294544151	0.0796498644660603	0.00939245140163602	2.63133220156977e-05	0.000114109506705808	0	0.000305070512983611	0.297671410720111	0.141278691807661	0.884122934540486	0.847288153021058	4612	LINC01102	0.530001390556227	-0.153706222653086	1e-04	1.34237520031217	1	NBGMM (HL)
-11.2144579802045	-0.476646593713653	0.193864403526029	0.0305504160493637	0.000172242870372433	-0.000826411561268087	0.114784959054138	0.132058760434002	0.228610825439503	0.0208133488885986	6.87971608984972e-05	0.00026845804999218	0	0.000306962464123843	0.396432066785112	0.142150952595486	0.0122925327685978	0.00208140601253931	14715	DLGAP2	0.530001390556227	-0.476646593713653	0.338990627411634	15.8854783778321	1	NBGMM (HL)
-9.99847154208304	-0.145115696026288	0.0755542659215215	-0.0187486514386053	-3.27131502744391e-05	0.000172856905584068	0.0476042186165973	0.0413133961152233	0.076894832161034	0.0106056137473991	2.1648544562068e-05	9.97076152586558e-05	0	0.000443815286008092	0.325820968031391	0.0770935966190016	0.130762567733578	0.0829823427298221	20543	MSANTD4	0.655813871655701	-0.145115696026288	0.0164990063735616	0.291991451212107	1	NBGMM (HL)
-8.8200431232765	-0.0982912593391706	0.00827215411147911	-0.00757990906888489	8.12918299140469e-06	-4.0395190529023e-05	0.029896360328773	0.0280816794556392	0.0534365790330456	0.00677175894010559	1.51177904785907e-05	6.70361042732392e-05	0	0.000464923808810746	0.876976458355416	0.262994587260791	0.59076832811144	0.546782422869343	2357	NOS1AP	0.655813871655701	-0.0982912593391706	0.0220091391877437	0.423163638575296	1	NBGMM (HL)
-14.3964016253785	0.730165954696184	0.100436118531015	-0.0837364072540144	-0.00011529702659162	0.000676519974075658	0.403239231624684	0.210445399912396	0.50124213707245	0.0906043018600252	0.000144840915602112	0.00068869771978066	3.69537708235593e-279	0.000521191624331807	0.841187738663161	0.355382704245832	0.4260173571928	0.325943347259831	31722	AC073534.2	0.655813871655701	0.730165954696184	0.00210817413447364	0.00100463629093522	1	NBGMM (HL)
-13.4380236411459	-0.825343241379357	0.304371901228992	0.00747394218804822	-5.18076239505178e-05	0.000238683154758809	0.262242977587352	0.238247584537532	0.358551283948792	0.0362172558088205	0.000101198723831009	0.00046818091345439	0	0.000531761508350504	0.395940483317635	0.836506494303726	0.608693353130428	0.610184813709388	13719	CLDN4	0.655813871655701	-0.825343241379357	1e-04	1.15962668491559	1	NBGMM (HL)
-12.0532120233661	0.326326981167534	-0.450220951585206	-0.0654790860689585	2.53610765475683e-05	-0.000339703041926906	0.122668258010592	0.0950662351947917	0.214326674076532	0.036321209037526	6.21356052776144e-05	0.000273309115460705	0	0.000597762563738938	0.0356734952423135	0.0714230455694693	0.683158482198581	0.213895054759963	24655	LINC02316	0.676901313482076	0.326326981167534	1e-04	0.760048319094668	1	NBGMM (HL)
-14.4948024471615	-1.60213870627677	-0.0391265805130652	-0.0297168259872586	6.99955459075333e-05	4.29071074375496e-05	0.51347394431395	0.468577882714797	0.640334564894482	0.0987369624429981	0.000234294430392624	0.00103788479621832	2.58499872458543e-175	0.000628167729245258	0.951276909336634	0.763437661401681	0.765130527439313	0.967024115253831	16300	AL583785.1	0.676901313482076	-1.60213870627677	1e-04	63.8725349382273	1	NBGMM (HL)
-11.8188698700784	0.265482928583296	-0.153049619716556	0.00310895907621987	-4.19248407132458e-07	9.69783426212289e-05	0.113219099853897	0.0780140976971693	0.169027076836845	0.0216283062863249	4.46653626514887e-05	0.000216847951427444	0	0.000666472971689754	0.365214339396525	0.885701901432184	0.992510820479991	0.654717548044194	11742	PRRT1	0.676901313482076	0.265482928583296	0.00394607392972648	0.258065930851608	1	NBGMM (HL)
-11.7889782719205	0.295621531573794	-0.173313908682299	-0.0845352940992974	-9.73740008737303e-05	0.000114142921688064	0.111766682767096	0.088339294887058	0.193844539376072	0.0345260967687709	6.98034521895599e-05	0.000283701621357627	0	0.000818584593011177	0.37127527250948	0.0143473812680326	0.1630236803042	0.687437940995177	5996	GRM7-AS1	0.677697104311466	0.295621531573794	0.00847042980580691	2.62002260567117	1	NBGMM (HL)
-10.0736960883521	0.13303771146621	-0.0671651375106307	0.00605705744129149	-6.91852572494744e-05	0.000358068000542308	0.0514376712871173	0.0397996476106668	0.0819324112610077	0.00970548891281661	2.20865796155858e-05	0.000101896328135312	0	0.000829718294103269	0.412351378839796	0.532571264096551	0.00173349916073079	0.000441342636333997	19254	EIF4G2	0.677697104311466	0.13303771146621	0.0616892232165733	0.145181404206207	1	NBGMM (HL)
-14.671714789674	-1.1605062337607	0.293756749173714	-0.0947780690743664	-0.000318826179448174	0.00147011794740016	0.457723107035961	0.348749620178645	0.504712234120917	0.0860733694387557	0.000179158605884902	0.000755802310909484	1.95020643876231e-225	0.000875912354381999	0.560547691464923	0.270839577462622	0.0751455375294615	0.0517618497490881	25483	AC036103.1	0.677697104311466	-1.1605062337607	1e-04	0.00100003750140255	1	NBGMM (HL)
-12.889107643646	-0.575884588583055	0.0565386871539528	-0.0474217793875052	-0.000132357140900368	0.000548070129960406	0.197471208225492	0.173280138637649	0.285242827425475	0.0432094938138674	9.05202019590993e-05	0.000398886704349797	0	0.000889174092341546	0.842878826514657	0.272429352753722	0.143690946484413	0.169441839493767	22633	AC004812.2	0.677697104311466	-0.575884588583055	0.000784019119909196	1.03835820806338	1	NBGMM (HL)
