gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
ADORA1	1.94860364556688e-05	0.12175299588027	0.208559048185024	0.12175299588027
IRAK2	6.45553156615028e-05	-0.180697854975456	0.274136515284224	-0.180697854975456
DHX15	7.68391615297274e-05	0.102492749099794	0.274136515284224	0.102492749099794
TNKS2	0.000205025868796797	0.115315581079691	0.548597968433028	0.115315581079691
PPP1R36	0.000321802976775385	0.243313634430591	0.59252538395184	0.243313634430591
AC005740.5	0.000378028574968542	0.32088227392087	0.59252538395184	0.32088227392087
AL513217.1	0.000461076890675069	0.248365166361674	0.59252538395184	0.248365166361674
MAMLD1	0.000520071618151704	-0.274913821884382	0.59252538395184	-0.274913821884382
CHMP4B	0.000599025139877693	0.163525185947896	0.59252538395184	0.163525185947896
RAB11B-AS1	0.000689607869086272	0.171284184651685	0.59252538395184	0.171284184651685
SNHG17	0.000740658337540691	0.243479017097626	0.59252538395184	0.243479017097626
DPM3	0.000747045278682102	0.318028593232992	0.59252538395184	0.318028593232992
MRGBP	0.000777556966367743	0.229353749488137	0.59252538395184	0.229353749488137
UQCRB	0.000792746504884163	0.320250480102042	0.59252538395184	0.320250480102042
FAM216A	0.000830410236314827	-0.308331136497187	0.59252538395184	-0.308331136497187
SPRED1	0.0011324693462485	-0.0974435252849541	0.713367507966039	-0.0974435252849541
BRSK1	0.00142228423928762	0.0900214368229232	0.713367507966039	0.0900214368229232
RUNX1	0.00144332496320285	-0.202592803585285	0.713367507966039	-0.202592803585285
AP000873.2	0.00145584445317883	0.138456610563459	0.713367507966039	0.138456610563459
TMEM179	0.00146966830417345	0.307126384654864	0.713367507966039	0.307126384654864
MYO10	0.00147321460626469	0.107659663819205	0.713367507966039	0.107659663819205
HLTF	0.00151426158612199	0.123034308234702	0.713367507966039	0.123034308234702
HINT3	0.00153297698619255	-0.134502487765211	0.713367507966039	-0.134502487765211
MIS12	0.00163661656647897	0.189354972165743	0.729862796292682	0.189354972165743
CHST11	0.00172268055398997	-0.336983563819591	0.737513998774186	-0.336983563819591
POLR2D	0.00202096582847964	0.167645485631842	0.82259771433072	0.167645485631842
NAXD	0.00219073520138346	0.179131940870512	0.82259771433072	0.179131940870512
C3orf62	0.00220662049173747	-0.240148935814086	0.82259771433072	-0.240148935814086
RYR3	0.00222884553074754	0.362758877013723	0.82259771433072	0.362758877013723
AC026401.3	0.00237864065343021	-0.234302753792731	0.822908235978259	-0.234302753792731
SIRT3	0.00257130721063101	0.166029617563858	0.822908235978259	0.166029617563858
ELF1	0.00259255125993059	-0.068273190739311	0.822908235978259	-0.068273190739311
UGGT1	0.00274791951289525	0.0898374692460136	0.822908235978259	0.0898374692460136
AC002451.1	0.00297238503288332	0.155373470542989	0.822908235978259	0.155373470542989
JOSD2	0.00306370593179851	0.146967565119346	0.822908235978259	0.146967565119346
WDR33	0.00308847430005443	-0.0755244585873267	0.822908235978259	-0.0755244585873267
PTCD3	0.00343129357052112	0.0660216022623806	0.822908235978259	0.0660216022623806
LINC01725	0.00349008863819306	0.162631233578401	0.822908235978259	0.162631233578401
MFSD4A	0.00350848121546034	-0.33121153147244	0.822908235978259	-0.33121153147244
INPPL1	0.00351157642631402	-0.222564420778822	0.822908235978259	-0.222564420778822
MIER1	0.00371951050532421	0.0749918802328339	0.822908235978259	0.0749918802328339
SNX1	0.00374593361072074	0.0564484455466222	0.822908235978259	0.0564484455466222
