logFC_(Intercept)	logFC_BMI_norm	logFC_msex	logFC_pmi	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_BMI_norm	se_msex	se_pmi	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_BMI_norm	p_msex	p_pmi	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.7887330302194	0.776966802938781	6.37301014217749	-0.00545161113268219	1.45991693757155e-05	-2.82072898393868e-05	0.0712272011133196	0.0521444341288796	0.150816442221092	0.00848289777588156	3.69616275618191e-06	1.27740085455963e-05	0	3.28188611403877e-50	0	0.520445349744947	7.82107114621214e-05	0.0272318390192818	36496	UTY	4.59103048492884e-46	0.776966802938781	0.918929557544781	0.163722983570768	1	NBGMM (LN)
-12.0215614822717	0.681549820466258	5.79185391117	0.000287635552735145	1.65229206961327e-05	-2.05397289673389e-05	0.0627804961412567	0.0474240648169511	0.130326066866647	0.00807779454139286	6.58808519077254e-06	2.17652960752844e-05	0	7.8242786565436e-47	0	0.971594786680639	0.0121416508714169	0.345327223389616	36501	NLGN4Y	5.47269170631942e-43	0.681549820466258	0.73429757116853	0.922093715424771	1	NBGMM (LN)
-13.4730395994524	0.99832916715654	7.26173877478996	-0.00654824327143827	-7.16282323146304e-05	0.000339446454154396	0.0996658769757174	0.071034386298235	0.222866242159857	0.00781843016397123	1.10033132712854e-05	3.56801548159214e-05	0	7.2630930687316e-45	7.04967635000852e-233	0.402289442512052	7.53026815009279e-11	1.841892758795e-21	36473	AC064829.1	3.38678029794954e-41	0.99832916715654	0.869051992146822	2.62378929773775	1	NBGMM (LN)
-13.3377071936597	0.785655290472595	6.54643183151575	0.00043296146398679	-1.87736547393453e-05	0.000115685754567225	0.0819969883606663	0.0581611913109281	0.176352107763135	0.00739873560796785	7.09003654535281e-06	2.54283023941412e-05	0	1.39825626922702e-41	1.27042492538062e-301	0.953335782513243	0.00809952713100976	5.37766208868848e-06	36517	KDM5D	4.89005173755418e-38	0.785655290472595	0.687562278300701	0.210310217277513	1	NBGMM (LN)
-12.4993722417756	0.62701996145909	6.16814860225189	0.000730418767129105	1.34461601246401e-05	-4.9942599779993e-05	0.0640531615836522	0.0492622681985146	0.131803539861848	0.00728485179238953	9.75909400375423e-06	3.14528434732475e-05	0	4.12237695077495e-37	0	0.920133605320005	0.16826250154977	0.112318807509608	36514	TTTY14	1.15335862328782e-33	0.62701996145909	0.62563304892962	3.07381842453832	1	NBGMM (LN)
-12.5139195510448	0.58997605771607	5.40254157229626	-0.00268323454532115	-2.39609916433866e-05	0.00016316437067875	0.0612722848590183	0.0470832470970267	0.125591968944188	0.00737966799232645	7.52786116947984e-06	2.60263748604705e-05	0	5.08488967714968e-36	0	0.716158015775843	0.00145770351133378	3.62923750262969e-10	36493	USP9Y	1.18554202822745e-32	0.58997605771607	0.668443321086536	0.945181448704775	1	NBGMM (LN)
-13.5968685521423	0.720458148385431	6.43344752393523	-0.00210965952845248	-4.76552410947966e-06	-2.86741182284503e-05	0.0857147827383926	0.060493768368149	0.181084077185231	0.00744469811684574	8.18079912023026e-06	2.89321039313955e-05	0	1.05449338720693e-32	1.85579265654056e-276	0.77688751663351	0.560212769487266	0.321645021778849	36495	DDX3Y	2.10732971337681e-29	0.720458148385431	0.659967258170327	0.237748868382059	1	NBGMM (LN)
-13.4213321842424	0.529991732450526	5.30126364143596	0.000452480711803563	-4.93331772242851e-05	0.000236928866840748	0.0644546063216282	0.0469892486597709	0.128498395529787	0.00690211445414208	1.20230136741854e-05	4.17695814036364e-05	0	1.66629428029523e-29	0	0.947730663509615	4.07423789113882e-05	1.40907336879088e-08	36451	RPS4Y1	2.91372383588125e-26	0.529991732450526	0.473992600148574	1.15590121575216	1	NBGMM (LN)
-13.3692066281468	0.513107552711824	5.31210410954397	-0.000411309872211352	-3.14464922890953e-05	0.000108505777541329	0.0627299439618613	0.04562179011874	0.124560380958806	0.00644717865273043	1.29147822873835e-05	4.38993420835081e-05	0	2.39646444753773e-29	0	0.949131963912899	0.0148949849045343	0.013447424817661	36453	ZFY	3.72490457295614e-26	0.513107552711824	0.429545752631	2.32796916889866	1	NBGMM (LN)
-12.7781077538857	0.304807929454064	4.71689788195691	0.00374105178120518	3.50787519420162e-05	-0.000108025223647646	0.0482396812301007	0.0379753283791669	0.0936916136270986	0.00686909253874825	1.14437185191669e-05	3.88564764531288e-05	0	1.00315295505114e-15	0	0.586014235234888	0.00217431327305017	0.00543407252710546	36519	TTTY10	1.40331066882105e-12	0.304807929454064	0.349262853720446	2.40968733994981	1	NBGMM (LN)
