gene	p_BMI_norm	logFC_BMI_norm	FDR	log2FC
UTY	1.03586034456948e-37	0.799822195345556	1.53638806306545e-33	0.799822195345556
NLGN4Y	8.21446784860157e-27	0.620995320707673	6.09184935652292e-23	0.620995320707673
AC064829.1	6.08547519313185e-21	0.696914085484779	3.00865893548439e-17	0.696914085484779
USP9Y	1.02648714755293e-19	0.532174612049335	3.80621434312626e-16	0.532174612049335
TTTY14	1.19168369936606e-15	0.439554204408245	3.53501052579949e-12	0.439554204408245
TTTY10	3.29454035603709e-08	0.258776656733305	8.14410376012369e-05	0.258776656733305
SLC35F3	6.13798472893553e-07	-0.345327867048834	0.00130055127856531	-0.345327867048834
ERBIN	3.06927184151174e-06	-0.0748746456031462	0.00569042999416276	-0.0748746456031462
RPS4Y1	7.22286821798326e-06	0.214095138240385	0.0119032868232364	0.214095138240385
RICTOR	8.65090435392948e-06	-0.0328127210011219	0.0128310213377482	-0.0328127210011219
ARHGEF33	1.06703159559004e-05	0.178976823033377	0.0143874660234468	0.178976823033377
CLDN14	1.17851971924181e-05	0.335839247820237	0.0145665037298288	0.335839247820237
IGSF11	2.16966227558869e-05	-0.0432036189371514	0.0240081563398853	-0.0432036189371514
AC139887.2	2.26614204934192e-05	0.0807970720799679	0.0240081563398853	0.0807970720799679
AC090579.1	3.45595057577579e-05	-0.419002499861445	0.034172439293271	-0.419002499861445
AC008629.1	4.52225301985828e-05	0.0735800771350609	0.0419212854940863	0.0735800771350609
AL122014.1	6.31996913869052e-05	-0.452953193432436	0.0531229996682584	-0.452953193432436
WAC	6.44696597915757e-05	-0.0363714133925034	0.0531229996682584	-0.0363714133925034
AHI1	7.96494312305037e-05	-0.0406255592838601	0.0621768612637279	-0.0406255592838601
SLC38A2	8.47133491098065e-05	-0.11091452721025	0.0628234196998325	-0.11091452721025
C9orf72	9.25603883325097e-05	-0.0637270712162447	0.0638613824732008	-0.0637270712162447
DYNLL1	9.47242728162363e-05	0.0959353309323313	0.0638613824732008	0.0959353309323313
ACSF3	0.00010688706109036	0.0590924898293783	0.0675050550980698	0.0590924898293783
YPEL1	0.000109231480741213	0.0910257779109184	0.0675050550980698	0.0910257779109184
ATP1B3	0.000121984832901944	-0.110148708778009	0.0688805193534631	-0.110148708778009
WNT2B	0.000128536680240077	-0.103448720984949	0.0688805193534631	-0.103448720984949
LMAN2L	0.000128890058043305	0.0656789317489732	0.0688805193534631	0.0656789317489732
C11orf80	0.000130033342900281	-0.363233915072861	0.0688805193534631	-0.363233915072861
SLC27A5	0.000136897013333739	0.0879175957538327	0.0700157414402075	0.0879175957538327
LINC02476	0.00023281373189941	0.219581725490168	0.115103109051069	0.219581725490168
IQCH-AS1	0.000271628291433091	-0.108649233584701	0.122991875046633	-0.108649233584701
ADAP2	0.000278240477865554	0.106796256900374	0.122991875046633	0.106796256900374
GASK1B	0.00028382912258316	0.16189433535093	0.122991875046633	0.16189433535093
OR2L5	0.000296206392571726	0.172746548400272	0.122991875046633	0.172746548400272
SFMBT1	0.000310718041558127	0.0494714292402131	0.122991875046633	0.0494714292402131
STIMATE	0.000324215587929205	0.0511869216217508	0.122991875046633	0.0511869216217508
C8orf33	0.000352047921979275	0.0916232367810264	0.122991875046633	0.0916232367810264
ZNF81	0.000356972650294425	-0.0561790495383982	0.122991875046633	-0.0561790495383982
ZDHHC2	0.000364622742512346	-0.0565049028340777	0.122991875046633	-0.0565049028340777
NSMCE1-DT	0.000368100984183126	0.083069297505222	0.122991875046633	0.083069297505222
KDM5D	0.000375367689744486	0.132763208092213	0.122991875046633	0.132763208092213
TNS3	0.000378768716363581	-0.379637959850906	0.122991875046633	-0.379637959850906
PLGLB2	0.000395300239423481	0.125451209516573	0.122991875046633	0.125451209516573
ERBB4	0.000401094757757097	0.070930532375902	0.122991875046633	0.070930532375902
