gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	7.58259864144438e-10	0.060334436879597	1.19600328371502e-05	0.060334436879597
CSNK1G1	4.67703149287412e-06	0.0160972754296164	0.0368854088685517	0.0160972754296164
RAD23A	1.2361230229101e-05	-0.0264196247861546	0.0649912281345365	-0.0264196247861546
ARFGEF3	3.08517299991995e-05	-0.0284133237718884	0.0989683868579787	-0.0284133237718884
C3orf35	3.1372721377664e-05	-0.0495246649047724	0.0989683868579787	-0.0495246649047724
USP9Y	5.70253043910472e-05	0.0240081049964156	0.134879509729581	0.0240081049964156
LINC01937	6.63002534609857e-05	-0.0627046643762016	0.134879509729581	-0.0627046643762016
CHIC1	7.06409533524252e-05	-0.0142379057874361	0.134879509729581	-0.0142379057874361
CPS1	8.24611623084184e-05	0.0444337819371973	0.134879509729581	0.0444337819371973
ALPL	8.55129079627088e-05	0.0436297175274248	0.134879509729581	0.0436297175274248
HCG22	0.000101943996786391	0.0706588818528598	0.146178423755613	0.0706588818528598
KDM5C	0.000141477615741613	0.0170584019421548	0.185960536091038	0.0170584019421548
KANTR	0.000168197413888835	-0.0112221901864891	0.204075216097585	-0.0112221901864891
STX19	0.000204929126694166	-0.0950215702706061	0.228034828005909	-0.0950215702706061
LRRC36	0.00022434209881655	0.0612967000843914	0.228034828005909	0.0612967000843914
GSE1	0.000231316632732806	0.0145556772693696	0.228034828005909	0.0145556772693696
INKA2	0.000257886661910428	-0.0641305640812298	0.239273312841951	-0.0641305640812298
LNPK	0.000292949964482467	-0.017324222990706	0.256705543876775	-0.017324222990706
FSTL4	0.000399286551604865	0.0522653038693821	0.319660671221571	0.0522653038693821
GORASP1	0.000415031471712724	-0.0195950860223899	0.319660671221571	-0.0195950860223899
KCNA2	0.000425592727804031	-0.020619306255254	0.319660671221571	-0.020619306255254
AC073195.1	0.000481217280176917	-0.0569333216044965	0.320880047325195	-0.0569333216044965
TMEM59	0.000487050720721828	-0.0133410831412798	0.320880047325195	-0.0133410831412798
SMG6	0.00050540339810331	0.0110297259208876	0.320880047325195	0.0110297259208876
AL024508.1	0.000508590704566657	-0.0520440235187799	0.320880047325195	-0.0520440235187799
GRIN2A	0.000548350362402014	0.0634014016808061	0.328157068610734	0.0634014016808061
RING1	0.00060756845180696	-0.017137161390568	0.328157068610734	-0.017137161390568
ZNF324B	0.000616906046823807	0.0524636678619016	0.328157068610734	0.0524636678619016
RNF24	0.000619196689359487	-0.0156125318539353	0.328157068610734	-0.0156125318539353
PDZD2	0.000636779175397512	0.0245337503181951	0.328157068610734	0.0245337503181951
SNX27	0.000644954614019702	-0.0163907053574897	0.328157068610734	-0.0163907053574897
ADM	0.000686496415833257	-0.0520492294189723	0.332737893940694	-0.0520492294189723
ENPP4	0.00071630274713056	-0.026541451302565	0.332737893940694	-0.026541451302565
