logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.8194328300052	0.130120616052644	5.8409634347151	-0.0061438179423412	-0.210636689480803	0.121361786363382	6.67912121122705e-08	-3.00007091333558e-05	0.0550757282893754	0.00903120496005247	0.118789411028356	0.00707441031437832	0.172894774367506	0.127856871558692	6.33557571718553e-07	4.13056220700753e-06	0	4.61591840154932e-47	0	0.385144451190535	0.223112218264705	0.342518727054751	0.916040576891977	3.78302606768368e-13	36496	UTY	9.07766512848689e-43	0.130120616052644	0.682059881920708	0.0829097825738613	1	NBGMM (LN)
-11.5569655593647	0.153145338314348	6.37896764834014	-0.00646722684567287	0.103484789818718	0.201676224355268	7.98296057748324e-06	-7.50585348463081e-05	0.0654589056759727	0.0107083472898221	0.145933004539307	0.00833074158155999	0.212417480765187	0.155199921690539	6.17642786278442e-07	3.7794366719996e-06	0	2.14169578495813e-46	0	0.437566760214164	0.626133307423703	0.193785815836742	3.2579300439442e-38	9.08246560996456e-88	36501	NLGN4Y	2.10592946534932e-42	0.153145338314348	0.905359265115568	0.134656393889487	1	NBGMM (LN)
-11.5356159148915	0.134593387812062	6.12061300194825	-0.000184848439507417	0.0470594604760488	0.157829434410963	-3.60310056453066e-06	4.69869450610284e-05	0.0581296925548135	0.00952982503859675	0.12568892854863	0.00803937715858015	0.185385314636732	0.137309791502641	5.03805477622725e-07	3.30285575128491e-06	0	2.72577365939661e-45	0	0.98165595186772	0.799613951204633	0.250374391066849	8.56664366730651e-13	6.3052651928259e-46	36493	USP9Y	1.78683549285646e-41	0.134593387812062	0.767008837155913	0.0611756652938888	1	NBGMM (LN)
-13.3635053963338	0.172496649252421	6.85241261746621	-0.00598708631437861	-0.319759484586346	0.0941510383890326	-4.72256480567542e-06	1.5396145630288e-05	0.0813297907848999	0.0131567617416423	0.190529290079438	0.00781438525401292	0.225516457504876	0.161913467439157	8.85385500385726e-07	6.04672016894273e-06	0	2.85290491477419e-39	2.93531789393107e-283	0.443579818396984	0.156220351505617	0.560910354990725	9.61212358137797e-08	0.0108903458174606	36517	KDM5D	1.31960076716551e-35	0.172496649252421	0.82785953275579	0.0534287137981425	1	NBGMM (LN)
-11.5399299567617	0.141756282808539	6.47704692937126	-0.00546305338993623	0.0596489972048055	0.23672848418369	4.13096846609015e-07	7.75880584962779e-06	0.0654353370543747	0.0108222685588376	0.144578392928418	0.00819368477885241	0.211579951839238	0.156162217789988	5.80719801319265e-07	3.58955340270506e-06	0	3.35503093452026e-39	0	0.504938535708855	0.778003486548369	0.129541112795249	0.476865437460057	0.0306570342613132	36514	TTTY14	1.31960076716551e-35	0.141756282808539	0.903470722673516	0.133251718813707	1	NBGMM (LN)
-13.1344281144788	0.117074335572557	5.94910465816385	-0.0104347157141069	-0.0535549767577306	0.117156230832646	-2.62492778655301e-07	-5.46353308777325e-05	0.0596123441843854	0.00965786968964048	0.130401627786586	0.00667206998667753	0.169085912145531	0.121916117634665	1.01796833426711e-06	6.95879294793022e-06	0	8.05967537720095e-34	0	0.117831709658305	0.751446706814171	0.336573441736282	0.79651536286704	4.11860071529225e-15	36495	DDX3Y	2.64169293280057e-30	0.117074335572557	0.561628929186505	0.0569883726966088	1	NBGMM (LN)
-13.1552056864426	0.110997633963776	5.42000141461965	-0.0083768117908951	0.00113260812704261	0.215453316730877	-8.07335779096784e-06	2.37668277937488e-05	0.0566439571981004	0.0092922779963582	0.12254324699328	0.00639547900186863	0.164845035189311	0.11925125304159	1.25773753965835e-06	8.38750255693918e-06	0	6.88278998162584e-33	0	0.190262794475302	0.994517982134473	0.0708063495058069	1.37215019863015e-10	0.00460268952014842	36451	RPS4Y1	1.9336706825522e-29	0.110997633963776	0.551835414741842	0.228393027083171	1	NBGMM (LN)
-13.550236172857	0.105732214994648	5.09216787282309	-0.00723321214077889	-0.0845547254899769	0.0382954002501456	-1.24779218475455e-05	0.000237095763586833	0.0555264683481223	0.00909456016250032	0.116866928420016	0.00666177949048396	0.161153452865475	0.114704590404844	1.65105950528694e-06	1.12225547416324e-05	0	3.04459545709693e-31	0	0.277577319646222	0.59980250544802	0.73848437798338	4.10814220299585e-14	4.51873719119399e-99	36471	PRKY	7.48437678240852e-28	0.105732214994648	0.516790103330202	0.61472520830781	1	NBGMM (LN)
-13.2957125198014	0.102238949865822	5.24495754555565	-0.00338307614821861	-0.0265367282887424	0.00780676283102695	-3.17275334510278e-06	-1.79403699951677e-05	0.0548311552747175	0.00908607670074758	0.116863549537367	0.00620660205259235	0.154576334255137	0.108832194183012	1.57346663974077e-06	1.02893929623239e-05	0	2.25718049523955e-29	0	0.585700547164906	0.86369387470482	0.942815102575637	0.0437571553534699	0.0812325192338854	36453	ZFY	4.93219017993121e-26	0.102238949865822	0.475326865398645	0.497499017267629	1	NBGMM (LN)
-12.3807707885883	0.0641320132905359	4.539771959488	0.0107293818328709	-0.19740179195886	0.0940973139281195	5.36796216651985e-06	-5.55049695758935e-05	0.0420020840700827	0.00724840430609045	0.0860956540593192	0.00733695786649902	0.127268522245571	0.0908287254335653	1.23087842877828e-06	7.99478969388793e-06	0	8.93075931287387e-19	0	0.143638548282023	0.12088602960625	0.300208540492485	1.29420653489631e-05	3.84831456084181e-12	36519	TTTY10	1.75632312646978e-15	0.0641320132905359	0.393019877886203	0.399836625077363	1	NBGMM (LN)
