gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
UTY	4.61591840154932e-47	0.130120616052644	9.07766512848689e-43	0.130120616052644
NLGN4Y	2.14169578495813e-46	0.153145338314348	2.10592946534932e-42	0.153145338314348
USP9Y	2.72577365939661e-45	0.134593387812062	1.78683549285646e-41	0.134593387812062
KDM5D	2.85290491477419e-39	0.172496649252421	1.31960076716551e-35	0.172496649252421
TTTY14	3.35503093452026e-39	0.141756282808539	1.31960076716551e-35	0.141756282808539
DDX3Y	8.05967537720095e-34	0.117074335572557	2.64169293280057e-30	0.117074335572557
RPS4Y1	6.88278998162584e-33	0.110997633963776	1.9336706825522e-29	0.110997633963776
PRKY	3.04459545709693e-31	0.105732214994648	7.48437678240852e-28	0.105732214994648
ZFY	2.25718049523955e-29	0.102238949865822	4.93219017993121e-26	0.102238949865822
TTTY10	8.93075931287387e-19	0.0641320132905359	1.75632312646978e-15	0.0641320132905359
AC064829.1	5.30879931019295e-18	0.102644713840357	9.49116793038677e-15	0.102644713840357
LINC01515	6.15685786958418e-09	-0.166007408876541	1.00900639052702e-05	-0.166007408876541
PCDH11Y	3.47727866800652e-08	0.0376178324432954	5.26032017577048e-05	0.0376178324432954
AC244213.1	1.01421894134734e-07	0.0960807713723632	0.000142468783575263	0.0960807713723632
EIF1AY	5.89191704445753e-07	0.0399984646102948	0.000772469603975345	0.0399984646102948
AC244502.1	2.18748723053616e-06	-0.0627178670756353	0.00268869524223275	-0.0627178670756353
AC010889.2	4.45936641051691e-06	0.0397775074530153	0.00515869998995444	0.0397775074530153
AC023385.1	1.37142328927588e-05	-0.0429363654448048	0.0149835613371664	-0.0429363654448048
SHISA6	6.85095917218993e-05	-0.0255401901678377	0.0709110332001511	-0.0255401901678377
NR2F2-AS1	8.18040805316723e-05	0.0674840750160368	0.0804379523867933	0.0674840750160368
AC068931.1	9.18936808816618e-05	0.0643177642733089	0.0860562442008934	0.0643177642733089
SLC22A18	0.000113580842224272	0.043096009958501	0.101530947417388	0.043096009958501
RNF157-AS1	0.000130566716533004	-0.0290348485833507	0.11069600715155	-0.0290348485833507
SMIM30	0.000135091232158914	0.0203080104895707	0.11069600715155	0.0203080104895707
EBI3	0.000151380039107974	0.0400302382129609	0.119081593963897	0.0400302382129609
LINC00624	0.000184775085554546	-0.0300477428795745	0.139761032019834	-0.0300477428795745
AC099788.1	0.000193882251559534	-0.0356436007072401	0.141218087376659	-0.0356436007072401
AC016910.1	0.000228308798445783	-0.0218417933617586	0.160354315365528	-0.0218417933617586
LGALS1	0.000271526172115641	0.0681172133701118	0.180162853380732	0.0681172133701118
OR2L3	0.000274834008004778	0.0178924569306632	0.180162853380732	0.0178924569306632
OR2L2	0.000293704773849312	0.0176833233678354	0.186322518790986	0.0176833233678354
INHBA	0.00035248403334031	-0.0272203344642831	0.216623468739704	-0.0272203344642831
PCDH12	0.000387963638070462	-0.0328039226676848	0.23059509942624	-0.0328039226676848
