logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.8086429503287	0.132671157867696	5.80339026787805	-0.00808072920278024	-0.0445808892755959	0.0523785218133878	2.74330277790653e-06	-5.24597703971784e-05	0.0542971383367467	0.00909420864572252	0.118815272370788	0.00661900600176678	0.175639681078892	0.126374814556152	4.75900191474251e-07	4.17995336074506e-06	0	3.32268500370808e-48	0	0.222147640214898	0.799634509722214	0.678530208942253	8.19246427733396e-09	3.95885148745642e-36	36496	UTY	7.09625836241935e-44	0.132671157867696	0.673861446253291	0.0746717084716468	1	NBGMM (LN)
-11.5232081074618	0.148745033113407	6.12620899178666	-0.00617344878097892	0.0685007006384088	0.0344521315469443	7.90182496962568e-06	-8.28131104540368e-05	0.0642313690028018	0.0106222244209817	0.142716019452794	0.00816802974515624	0.207605603074558	0.151801760125534	4.70716774826415e-07	3.84869192105456e-06	0	1.49027077866435e-44	0	0.44976530658939	0.741433258790784	0.82045892303151	3.04881499281305e-63	1.07436943635541e-102	36501	NLGN4Y	1.59138565099672e-40	0.148745033113407	0.887701933767133	0.121509778011696	1	NBGMM (LN)
-11.3119526616302	0.143084483194309	6.36862058538195	-0.00323508430978229	0.145284675825036	0.110737533190995	4.56650922511348e-06	-4.43845631579648e-05	0.0626863234094114	0.0105432523833518	0.138841268917012	0.00814941943011912	0.205945910895895	0.149149214864092	4.24236101875813e-07	3.44520684517372e-06	0	5.93504251550796e-42	0	0.691388743770006	0.480529835714788	0.457807837270153	5.08698093214668e-27	5.61190310278639e-38	36514	TTTY14	4.22515676679011e-38	0.143084483194309	0.865922758416592	0.110838576991515	1	NBGMM (LN)
-11.3340709944905	0.132986595325974	6.06115459208852	-0.00455628554715205	0.0754692791263352	0.0744107643348242	2.2082724996004e-06	-2.67305497096401e-05	0.0592841108033447	0.00982864509609696	0.129352749949042	0.00772195992740545	0.191256910851803	0.141825004301214	3.75865312533011e-07	3.21762577477011e-06	0	1.03302370448128e-41	0	0.555162069343174	0.693140806938047	0.599815364417718	4.22410375540408e-09	9.77077612618324e-17	36493	USP9Y	5.51557181415166e-38	0.132986595325974	0.805545217227023	0.0608223519486708	1	NBGMM (LN)
-13.2578317427209	0.157644892913936	6.6178277788187	-0.00815893463937382	-0.114570301121613	0.0756242235270842	-2.65670354641527e-06	1.67095297120154e-05	0.0760428702049498	0.0124959901256614	0.178244822613007	0.00716370611823048	0.227446595481711	0.156198708323255	6.79625657214869e-07	6.25390025139548e-06	0	1.73148809107554e-36	1.00262515065949e-301	0.254733817280228	0.614455364607361	0.628276606912392	9.26525233271362e-05	0.00754326948048606	36517	KDM5D	7.39587823222006e-33	0.157644892913936	0.804736008381368	0.0509391568530028	1	NBGMM (LN)
-13.1207863696114	0.120723797819782	5.31473958683246	-0.00544708539689862	-0.302096257825458	-0.0079277191493637	4.8092104279128e-06	-0.000103024189595278	0.0577682712248957	0.00962227458793979	0.126409327914417	0.0067319550141194	0.166636192793652	0.120402259288334	1.00029908837817e-06	8.84262359306323e-06	0	4.16601824828094e-36	0	0.418435364224286	0.069845854018033	0.947502337468849	1.52621320305972e-06	2.27148685032743e-31	36471	PRKY	1.4828941954756e-32	0.120723797819782	0.560844920152554	0.260214692789166	1	NBGMM (LN)
-13.0780615793804	0.11244344564299	5.62289096947746	-0.00645425397062242	-0.0717365792363273	0.00817750799256556	-3.17085402638718e-06	6.437441655448e-06	0.0575990800652737	0.00957443558309622	0.125510949346002	0.0066869207476373	0.170243781688844	0.120565286167701	8.08346399735039e-07	7.42827310039348e-06	0	7.56947372642788e-32	0	0.334441796328656	0.673480818230007	0.945923836791498	8.75830227470061e-05	0.386153821178733	36495	DDX3Y	2.30944643393315e-28	0.11244344564299	0.562350688008008	0.0503717854332014	1	NBGMM (LN)
-13.4886487279077	0.106365690451569	5.38868267783195	-0.00256262209264877	-0.00895611123683283	0.0942409294746103	-2.91255566277094e-06	9.39656902044877e-06	0.0592918072898151	0.00966775913613917	0.129333012529192	0.0067617439469831	0.166594314287575	0.115834861138331	1.19871202692231e-06	1.06245592919962e-05	0	3.73318747503855e-28	0	0.704696524797685	0.957126374474986	0.415885583620414	0.0151097583184533	0.376469718844948	36453	ZFY	9.96621061304979e-25	0.106365690451569	0.51133331869588	0.412611587085728	1	NBGMM (LN)
-13.3053178779709	0.100049896105252	5.26897650044353	-0.00590879410095561	0.0684833653246481	0.127631529441728	-1.38799902288941e-05	0.000129668810139178	0.0567091741410142	0.00932540082231103	0.122898134171067	0.00617500980495547	0.168547696268242	0.11721606075483	1.11488845306164e-06	9.80441434314285e-06	0	7.45982452653546e-27	0	0.338623680887366	0.684511565858762	0.276216946554361	1.40429458122209e-35	6.24753046473641e-40	36451	RPS4Y1	1.77021636014687e-23	0.100049896105252	0.532349302537102	0.25978443382974	1	NBGMM (LN)
-12.1817086279545	0.0610152893034962	4.69583774775565	-0.0040574916019164	-0.136155298456903	0.0370998804831895	4.39494793616446e-06	-0.000108976643141896	0.0422017847800688	0.00726578541637388	0.0875943146442577	0.00604535063622231	0.131589321126507	0.0928435607666393	8.91497198706981e-07	7.48450663176674e-06	0	4.55627181553538e-17	0	0.502108695800766	0.300809647072018	0.689454380991159	8.22925553027392e-07	5.02386995448442e-48	36519	TTTY10	9.73082971643892e-14	0.0610152893034962	0.411336599228574	0.371038351491677	1	NBGMM (LN)
