gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	1.79060437577385e-43	0.137528785741716	3.76778972750334e-39	0.137528785741716
NLGN4Y	1.95054745247297e-39	0.138402652999028	2.05217097474682e-35	0.138402652999028
UTY	5.88720112402696e-37	0.121499497387346	4.12928286839251e-33	0.121499497387346
KDM5D	6.87298304955111e-34	0.147866583064913	3.61553273321636e-30	0.147866583064913
DDX3Y	6.24457042235679e-31	0.118447612131761	2.62796501654463e-27	0.118447612131761
TTTY14	3.52777618497697e-28	0.108515956647337	1.23719110807142e-24	0.108515956647337
PRKY	7.26215624319296e-25	0.0929773322614356	2.1830041667038e-21	0.0929773322614356
RPS4Y1	4.41698966621423e-24	0.0914286695025569	1.05794690392809e-20	0.0914286695025569
ZFY	4.525008143405e-24	0.0928979327008504	1.05794690392809e-20	0.0928979327008504
TTTY10	3.79563974830235e-17	0.0626362822611101	7.98678515837781e-14	0.0626362822611101
AC244502.1	2.6505686661854e-11	-0.0813021364078463	5.07029689762483e-08	-0.0813021364078463
LINC01515	5.68087252641491e-10	-0.18608462371386	9.96140997506854e-07	-0.18608462371386
AC004949.1	6.67995518620527e-09	0.0627386789777317	1.08122782329332e-05	0.0627386789777317
PCDH11Y	8.56346501559317e-09	0.0289065672034538	1.28708879184365e-05	0.0289065672034538
EIF1AY	3.7036077283979e-06	0.0387324453922661	0.00519542092139657	0.0387324453922661
AC024236.1	1.41650171481558e-05	0.0631879833697818	0.0186287681769684	0.0631879833697818
AC069277.1	1.95736229761279e-05	-0.0512263119509509	0.024227539686099	-0.0512263119509509
AC027808.2	2.40977703448283e-05	-0.0302558097056581	0.0281702935331043	-0.0302558097056581
LINC01850	3.09469686690123e-05	-0.0511116047281907	0.0342729534070188	-0.0511116047281907
AC244213.1	3.96300089421089e-05	0.0666298894745298	0.0416947324079928	0.0666298894745298
PTX3	4.45989131138525e-05	-0.0283748922028842	0.0446881109400802	-0.0283748922028842
KCNJ13	5.00399016873395e-05	-0.0508577955543151	0.0478608914229545	-0.0508577955543151
KLHL6	5.93421037405462e-05	0.0338345915598804	0.0542902846481988	0.0338345915598804
SDR9C7	0.000148420819813988	0.0239733369389432	0.130127953771914	0.0239733369389432
SHISA6	0.000166869987549203	-0.0195891288355755	0.140451131120413	-0.0195891288355755
OR2L13	0.000208201217417525	0.0211609057645909	0.168498846803829	0.0211609057645909
IGFL4	0.000260883954160826	-0.0110444692057536	0.203315561609337	-0.0110444692057536
AC023385.1	0.000356550286326774	-0.0313504126989238	0.261447301684544	-0.0313504126989238
STAG3	0.000360325622509827	-0.0190951684274204	0.261447301684544	-0.0190951684274204
TONSL	0.000448565550318089	0.0118553901975736	0.306995799465962	0.0118553901975736
IL17RE	0.000452279715970193	-0.0205137914995994	0.306995799465962	-0.0205137914995994
RAD21L1	0.000484321413092099	-0.0299883117285161	0.318471599196374	-0.0299883117285161
TMSB4Y	0.000556172909301295	0.0394748872336811	0.354636071439935	0.0394748872336811
LINC00486	0.000603814861218608	0.0398113217329881	0.373690362051822	0.0398113217329881
AC090241.2	0.000653253691254018	-0.0121741986409142	0.385465276926017	-0.0121741986409142
HBA1	0.000659478660266924	0.0461272687298821	0.385465276926017	0.0461272687298821
AL591242.1	0.00070022150182568	-0.0206381223604514	0.39821786057881	-0.0206381223604514
ZNF653	0.000727892638472253	0.00865577246389481	0.403060971019294	0.00865577246389481
NEAT1	0.000851717192061664	-0.018010853029256	0.459534183470809	-0.018010853029256
AC069544.1	0.000926249219030435	-0.0134818294949436	0.47069645405029	-0.0134818294949436
ZBTB37	0.00093599738133528	-0.00789867774253415	0.47069645405029	-0.00789867774253415
CALB1	0.000947597055519911	0.0251394458406052	0.47069645405029	0.0251394458406052
AL049775.1	0.000961883258443232	-0.0103016293380265	0.47069645405029	-0.0103016293380265
RELN	0.00101866569421877	0.034411397202905	0.487153716767077	0.034411397202905
LINC01446	0.00112356018322048	0.0586534874044521	0.525376741673898	0.0586534874044521
EBI3	0.00116998072565085	0.037483504177549	0.528935098857649	0.037483504177549
AL023775.2	0.00120873645017736	-0.0307176066861222	0.528935098857649	-0.0307176066861222
PTPRM	0.00121212291486677	-0.00736117132301156	0.528935098857649	-0.00736117132301156
ITPR1-DT	0.00123171846041369	-0.0119939584170503	0.528935098857649	-0.0119939584170503
AC074008.1	0.0013905706307352	-0.0241425716034851	0.555635917780612	-0.0241425716034851
KIAA1217	0.0013927247331004	-0.0102669178346378	0.555635917780612	-0.0102669178346378
FAM171A1	0.00142217335168387	-0.00659635070523538	0.555635917780612	-0.00659635070523538
C4orf48	0.0014308262013512	0.030157641781478	0.555635917780612	0.030157641781478
ALDOA	0.00143392174443143	0.0394643438811029	0.555635917780612	0.0394643438811029
LINC00901	0.00145233226299466	-0.0245275859573666	0.555635917780612	-0.0245275859573666
MEGF11	0.0014973745538202	-0.0171072283031615	0.562638488597939	-0.0171072283031615
AC074044.1	0.00160173658958389	-0.0228734202989691	0.570310370886077	-0.0228734202989691
AP001172.1	0.00161869537002843	-0.0144252219236837	0.570310370886077	-0.0144252219236837
AC079062.1	0.00163489729755374	0.0400787154972577	0.570310370886077	0.0400787154972577
UNC5CL	0.00165017828776753	-0.0299444489134086	0.570310370886077	-0.0299444489134086
AC027045.2	0.00165330922079891	-0.0221248249086696	0.570310370886077	-0.0221248249086696
EIF5A	0.00186567648401713	0.0198508796869968	0.620280370813688	0.0198508796869968
RBM5-AS1	0.00193521663713809	-0.0321611040740135	0.620280370813688	-0.0321611040740135
AC012065.4	0.00204250053745954	-0.0207956722786163	0.620280370813688	-0.0207956722786163
MTRNR2L10	0.00213939449381821	0.0554796579650508	0.620280370813688	0.0554796579650508
OTOL1	0.00214079962583338	-0.0313733002342913	0.620280370813688	-0.0313733002342913
SAP30	0.00214505132211269	-0.0158609894215961	0.620280370813688	-0.0158609894215961
AP4B1-AS1	0.00214936858783161	-0.0203357389650819	0.620280370813688	-0.0203357389650819
AL358394.1	0.00219569609911241	0.0325393912711203	0.620280370813688	0.0325393912711203
ACSM3	0.00223437564008057	-0.0225115412992538	0.620280370813688	-0.0225115412992538
SNIP1	0.00226439063439529	-0.00762960947965617	0.620280370813688	-0.00762960947965617
AC004982.2	0.002303908788682	-0.0134695728971507	0.620280370813688	-0.0134695728971507
FGGY	0.002310139868436	-0.0090313281053101	0.620280370813688	-0.0090313281053101
AC048341.2	0.00231112060964661	-0.0172158582761139	0.620280370813688	-0.0172158582761139
PRKD2	0.00234197409434476	0.0130439868476333	0.620280370813688	0.0130439868476333
AC022973.4	0.00236575884670402	-0.0311564548453961	0.620280370813688	-0.0311564548453961
NGB	0.00236587765872042	0.0324925570900031	0.620280370813688	0.0324925570900031
AC090206.1	0.00236832734411874	-0.0120638188965069	0.620280370813688	-0.0120638188965069
C11orf87	0.00238686508843343	0.01008528775536	0.620280370813688	0.01008528775536
PP2D1	0.00239291676036061	-0.0283140362766465	0.620280370813688	-0.0283140362766465
C16orf89	0.00240981170932054	-0.0301571679007307	0.620280370813688	-0.0301571679007307
ENOSF1	0.00242531175903155	-0.0232982240468701	0.620280370813688	-0.0232982240468701
RRP7A	0.0024466909408581	0.00883800059582977	0.620280370813688	0.00883800059582977
AC013470.2	0.00259157711746981	0.0268871033527014	0.643855282286568	0.0268871033527014
XRRA1	0.00260483248345617	-0.0108845833862776	0.643855282286568	-0.0108845833862776
GRIK4	0.00263147772439145	-0.0121696398236938	0.643855282286568	-0.0121696398236938
CTNNB1	0.00275878587456456	0.00548016915122042	0.661953368886465	0.00548016915122042
GPR1	0.00276836310531361	0.0208974752627103	0.661953368886465	0.0208974752627103
KIF26B-AS1	0.00285113678382593	-0.0310933462493421	0.674085620283878	-0.0310933462493421
OR2M3	0.00292803178179227	0.0189622917608212	0.677363476318983	0.0189622917608212
SCN2A	0.0029367259187009	-0.00258464750922598	0.677363476318983	-0.00258464750922598
PLPPR1	0.00296157398637708	-0.0121431816650089	0.677363476318983	-0.0121431816650089
AC092848.2	0.00311734187403201	0.028463543352513	0.699963242801653	0.028463543352513
WDFY3-AS1	0.00315741549284849	-0.028393455156897	0.699963242801653	-0.028393455156897
PARM1	0.00316018002405461	0.0050809167048123	0.699963242801653	0.0050809167048123
LINC01578	0.00331442616484992	-0.00577747870763082	0.723960544402285	-0.00577747870763082
RRAS	0.00333733356178223	-0.0212599390387263	0.723960544402285	-0.0212599390387263
ARTN	0.00340647500406513	-0.02172255567571	0.731418847301412	-0.02172255567571
CREG1	0.00358336807156858	-0.00735219103033109	0.757090414800976	-0.00735219103033109
AC003659.1	0.0036483489580506	0.0161089502567612	0.757090414800976	0.0161089502567612
ZNF787	0.00369022849830035	-0.00787998233841924	0.757090414800976	-0.00787998233841924
MAFF	0.00369203035978734	-0.0234028283488749	0.757090414800976	-0.0234028283488749
POMC	0.00384258021591553	0.0313748209759832	0.757090414800976	0.0313748209759832
LRIG1	0.00388165284589953	-0.00953551076861566	0.757090414800976	-0.00953551076861566
RCOR3	0.00395686473211935	-0.00630413665237505	0.757090414800976	-0.00630413665237505
NUDT13	0.00403151021548541	-0.015403214278236	0.757090414800976	-0.015403214278236
AC007130.1	0.00414303823977444	-0.0312597505143377	0.757090414800976	-0.0312597505143377
CYB5B	0.00418517481618226	0.00411712811749326	0.757090414800976	0.00411712811749326
METTL24	0.00421355027589581	-0.0118054405010579	0.757090414800976	-0.0118054405010579
AL031073.2	0.00422013079180444	0.0214812638081707	0.757090414800976	0.0214812638081707
MAGI1-AS1	0.00422323724617392	-0.0244584762551438	0.757090414800976	-0.0244584762551438
SERGEF	0.00424134559003303	-0.00572039633787312	0.757090414800976	-0.00572039633787312
AC104964.2	0.00429025975451471	-0.0268142398754091	0.757090414800976	-0.0268142398754091
ADPRHL1	0.0042922160431053	0.0086749668841706	0.757090414800976	0.0086749668841706
OR2L2	0.00435188192716491	0.0157213816259815	0.757090414800976	0.0157213816259815
AC245033.2	0.00435689480618546	-0.0263113276671577	0.757090414800976	-0.0263113276671577
CDC42EP5	0.00437200944423348	-0.0172216435374207	0.757090414800976	-0.0172216435374207
HAS3	0.00438956724881827	-0.0165799982381058	0.757090414800976	-0.0165799982381058
CITED1	0.00441043654265327	-0.0260207449380351	0.757090414800976	-0.0260207449380351
TCTE1	0.00445018747220674	-0.0103327616523187	0.757090414800976	-0.0103327616523187
IFI27L2	0.00448648985792819	0.0362508107163522	0.757090414800976	0.0362508107163522
AL353693.1	0.00453221999485761	0.0463963379533186	0.757090414800976	0.0463963379533186
RPS6KA2	0.00455813807733674	-0.0125183962433154	0.757090414800976	-0.0125183962433154
LGALS1	0.00464031590925932	0.0341529743399897	0.757090414800976	0.0341529743399897
RHBDD2	0.00465932855754569	0.0173792520966945	0.757090414800976	0.0173792520966945
AC112719.2	0.00469519030936901	-0.0224064278032567	0.757090414800976	-0.0224064278032567
AL590705.3	0.00472846693095483	0.0198488031113353	0.757090414800976	0.0198488031113353
AC093297.1	0.00486035032415526	-0.0322461458260611	0.757090414800976	-0.0322461458260611
PPARGC1A	0.00491875366067201	-0.00629493223318928	0.757090414800976	-0.00629493223318928
CYP1B1	0.0049319930700004	-0.0197696664668708	0.757090414800976	-0.0197696664668708
AC068205.2	0.00494392071565003	-0.0165093854241493	0.757090414800976	-0.0165093854241493
LINC01605	0.00496716272874668	-0.0303396510523553	0.757090414800976	-0.0303396510523553
ERGIC3	0.00503054359768123	0.00731694757505884	0.757090414800976	0.00731694757505884
AL590302.2	0.00506505612107004	-0.0327458048651449	0.757090414800976	-0.0327458048651449
UBA52	0.00509467100816789	0.0186973235386039	0.757090414800976	0.0186973235386039
