logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-11.4039141198152	0.142539363076528	5.78227092255044	-0.00246304976085332	-0.190439734841004	0.0170626119331464	4.4388032002991e-06	-5.26966822421557e-05	0.07426078795131	0.0115995441588328	0.164719502372146	0.00743573274510195	0.188418001244735	0.129851495995663	2.50600804876985e-06	1.46484572968901e-05	0	1.04607974005691e-34	5.91039727928682e-270	0.74045938439158	0.312145652920046	0.895458125002672	0.0765167207879417	0.000321386854462239	36501	NLGN4Y	2.10345714130643e-30	0.142539363076528	0.579297926409359	0.131361082397627	1	NBGMM (LN)
-11.0919912924869	0.134666382440283	6.00744867839248	0.00302878319223194	-0.238462560436296	0.105144949187984	-4.75104668673457e-06	4.08643037067818e-05	0.0703090592502648	0.0111283848963776	0.154379142848032	0.00703484246050275	0.184478855518321	0.129075268424356	2.33747667026776e-06	1.33691629657135e-05	0	1.04127396394082e-33	0	0.666802657032652	0.196139701162583	0.415300265626951	0.0420976405097536	0.00223856080969924	36514	TTTY14	1.0468968433461e-29	0.134666382440283	0.577936000986169	0.156871679841303	1	NBGMM (LN)
-11.184544742515	0.124945495329301	5.63345440359628	-0.002250517968545	-0.279222205512341	0.0361732676494051	-3.3064809748698e-06	1.69673474545975e-05	0.0674063584150404	0.0106200332827129	0.146690859107728	0.00710296811740226	0.177783150850829	0.124318797816431	1.89870791053048e-06	1.18029556270753e-05	0	5.90733480773402e-32	1.13635098543487e-322	0.751363563451098	0.116280834156606	0.771072867003466	0.0816069365493819	0.150561569664345	36493	USP9Y	3.95948961046386e-28	0.124945495329301	0.548615978600884	0.0420432945330466	1	NBGMM (LN)
-11.6198138069407	0.116702623390381	5.36858445582227	-0.00114258311092972	-0.20892949231258	0.0767207732831771	-8.03628168312996e-06	4.39746496482003e-05	0.0703750688308727	0.0107045165188491	0.150828777427143	0.00726806478591016	0.172218830844346	0.117850426047416	2.49662442454053e-06	1.55226548424074e-05	0	1.12521775132738e-27	1.74098406824746e-277	0.875082530340053	0.225067554166318	0.515045687576806	0.0012870181030951	0.00461229732197761	36496	UTY	5.65646963592274e-24	0.116702623390381	0.488644812834953	0.0676144245603016	1	NBGMM (LN)
-12.2293702443787	0.072236482793729	4.76377119169001	-0.00258826549185102	-0.214343220174518	0.0611949073338131	-1.19948140000353e-05	8.88262379009967e-05	0.0715870637933359	0.00918720786992089	0.140497280708947	0.00655746690152582	0.141927703009093	0.0903677359573097	3.52524343489204e-06	2.27715811990592e-05	0	3.75867616754346e-15	5.34291644063511e-252	0.693060553950072	0.130985204040736	0.498293974746353	0.000667603497665662	9.58952700327694e-05	36517	KDM5D	1.51158920753928e-11	0.072236482793729	0.261095263614232	0.0459137879036101	1	NBGMM (LN)
-10.1319993264365	0.0546145468353383	4.41806696328644	0.00268715860624087	-0.0905375069615646	0.0155704064580084	-1.20492271132209e-05	0.000151514167995841	0.0397693705065058	0.00697536630557257	0.0799222608157808	0.00573843380204689	0.117548947350863	0.0822917775413255	2.95801908350171e-06	1.64604879639915e-05	0	4.89302486650296e-15	0	0.63958875178751	0.441174665831507	0.849928428177393	4.63295848597858e-05	3.4256602395058e-20	36460	PCDH11Y	1.63981573359403e-11	0.0546145468353383	0.303312430492054	0.434530256950995	1	NBGMM (LN)
-12.2475629712175	0.0645254344205837	4.44768607143447	5.89110983117216e-05	-0.0531894957088381	0.0910427420059223	-1.16625980904424e-06	-3.14366175628075e-05	0.0720421829932593	0.00952409807860105	0.140912973310179	0.0071921797037507	0.145991621856399	0.095061612741835	4.2874296016143e-06	2.66949316788955e-05	0	1.2443608409833e-11	1.175978322706e-218	0.993464605705125	0.715609717589939	0.338202195363913	0.785607859144004	0.238946158948353	36471	PRKY	3.57451539864175e-08	0.0645254344205837	0.281559805473937	0.254441714586773	1	NBGMM (LN)
-12.6954739805975	0.0534380866332461	4.3310519947655	-0.0100100447272895	-0.166426603009087	0.0626727793592771	-3.27849142728255e-05	0.00025134062344218	0.0788388222821346	0.00962030336668413	0.149386265815361	0.00816839577413707	0.150716690392004	0.0938695821532863	5.16443223887272e-06	3.25753481345117e-05	0	2.78057918358078e-08	8.22678974693165e-185	0.220401839701666	0.269491330451922	0.504351912755624	2.17830791013797e-10	1.20348703510967e-14	36451	RPS4Y1	6.98898577793028e-05	0.0534380866332461	0.244838525949392	0.204314331780933	1	NBGMM (LN)
-13.3378504044953	-0.16552336014167	-0.303854664413288	0.0448761823523939	-0.643019627430856	-0.563109772800705	-6.08859613702638e-05	0.000270527770981767	0.135099199079996	0.0328474341851023	0.293351153860839	0.0322048987368107	0.432888546154322	0.319120861926077	1.65546040011379e-05	8.81784553643603e-05	0	4.6758812618208e-07	0.300293009169165	0.16348125680637	0.137433626361098	0.0776367602857226	0.000235174180110137	0.00215527124926348	18098	LINC01515	0.00104469578236325	-0.16552336014167	1.79421887440137	1.75649199866451	1	NBGMM (LN+HL)
-12.2689810949597	0.0411325814311736	4.47139196599336	0.00184798500998571	-0.0181052154232218	-0.0243100015463312	-6.84486683496843e-06	3.34634160919855e-05	0.0706783293089457	0.00838118515888173	0.136240135750179	0.00612478878961956	0.124345391422358	0.0795651886201796	3.71988414295465e-06	2.40666491974824e-05	0	9.21372708479209e-07	3.05985072722311e-236	0.762863810783766	0.884233825655624	0.75995822313551	0.065757186780627	0.164392982097383	36495	DDX3Y	0.00185269624220999	0.0411325814311736	0.185385440319318	0.0129767237519228	1	NBGMM (LN)
-11.9619134285099	0.0334059539281214	4.26548835508739	0.0025795450702979	-0.0811814223385921	-0.0218857588772542	-2.02023486116924e-06	-2.67350231650255e-05	0.0613647467756231	0.0069622513050175	0.117749608202213	0.00543978929557547	0.109308640689502	0.0662825384425502	4.43885858505571e-06	2.63945716082471e-05	0	1.60134642177472e-06	2.45370478554047e-287	0.635357688402472	0.457674992015519	0.741257228688465	0.649019419069109	0.311108623690044	36519	TTTY10	0.00292726125900418	0.0334059539281214	0.115608709001048	0.404050830069278	1	NBGMM (LN+HL)
-13.4497789835075	0.0504750787881133	0.022851507646214	0.0128371668901195	0.23425859419872	-0.112273279760947	-2.97263127419002e-06	3.583430315922e-05	0.0846054589498749	0.0107729799308032	0.122458669926413	0.012624295452872	0.173843131175507	0.134809650484077	1.15478242632615e-05	7.91951384245225e-05	0	2.79494934297588e-06	0.851969657562714	0.309219061339838	0.177810043095183	0.40494162299338	0.796855210080787	0.650922435579489	3383	OR2M3	0.00468340344904658	0.0504750787881133	0.0375757588272194	1.31792908777241	1	NBGMM (LN+HL)
-12.6999527597941	-0.0404482922386652	-0.00625022077521051	0.00876666844891651	-0.163922683900395	0.00155240478162835	-6.99617217602621e-06	2.77106800182261e-05	0.0595955081602177	0.00948445680930415	0.0912234665893334	0.00903026561059493	0.140772496821473	0.0983422072710551	8.63001845573553e-06	5.72430755065321e-05	0	2.00177656774669e-05	0.945375287525353	0.331643106487723	0.244241263360437	0.987405322689385	0.41755020621376	0.628323490614868	5124	KLHL41	0.0309628640186542	-0.0404482922386652	0.08497553602537	0.5345680167638	1	NBGMM (LN+HL)
-13.7007560845319	0.0578560664386248	0.200595386530305	0.00162297720134255	0.266230582062838	0.0728351954714615	-3.97501153171589e-05	0.000255511238996866	0.099640709757897	0.014631922347813	0.153280453185695	0.0167185383648611	0.232483159643589	0.172521375217594	1.52849155881127e-05	9.70855673090166e-05	0	7.68236652104332e-05	0.190642054994168	0.922665642427787	0.25214258720795	0.67289312546295	0.00930579845922692	0.00849301296085322	35327	GYG2	0.110340732860814	0.0578560664386248	0.477781013785596	4.32441599917754	1	NBGMM (HL)
-13.4277526333229	-0.0539312968950209	0.258887341696083	-0.0654067933982685	-0.11853277379754	0.341262869964109	1.08620134587448e-05	-7.39770153048788e-05	0.0868906231040995	0.0140536954718411	0.135111523955832	0.01884679450098	0.21949074949003	0.150160574204334	1.19667997519417e-05	8.01987069418762e-05	0	0.000124284574980532	0.0553522264252049	0.000519593698865036	0.589172622376737	0.0230471028626001	0.364047814461316	0.356308735010155	13796	HGF	0.150699933266418	-0.0539312968950209	0.229278270566087	4.09361107028271	1	NBGMM (HL)
-12.524945254825	-0.0320601177760504	0.0362271496518884	-0.014664973694242	-0.381710823070442	0.126869959829089	-1.68901451673688e-05	0.000122614163805364	0.0561778770830981	0.00835757255411492	0.0814971700312882	0.0095532621149956	0.137470811494775	0.0878184453546885	7.64068745584951e-06	5.15236808325686e-05	0	0.000125025823961678	0.656666427269094	0.124765410164098	0.00549192203244405	0.148546483962444	0.0270668011484407	0.0173237626565619	9164	FAM218A	0.150699933266418	-0.0320601177760504	0.085314696974601	0.210274203431349	1	NBGMM (LN)
-12.2642972919768	-0.0264823557633746	0.110514094538908	0.000392073924097446	0.0248471359829184	0.131277191757769	-1.4075329115368e-05	0.000114776957853496	0.0480600016906443	0.00691189455256041	0.0680136883653545	0.00753781894302821	0.105690744832052	0.0746276196988219	6.94605901410631e-06	4.65639357344272e-05	0	0.000127406945769301	0.104188091064506	0.958517346839591	0.814136685979517	0.0785611030497088	0.0427262413996361	0.0137039070371271	16347	HACD4	0.150699933266418	-0.0264823557633746	1e-04	1.03463152876122	1	NBGMM (LN+HL)
-12.5232678918416	-0.0343977715306132	0.153003059431751	-0.00131837837618343	-0.0897558082312565	0.216525159128378	2.5463311250198e-05	-0.000182923449521556	0.0548931686701913	0.00939030655161213	0.0914642481874995	0.0102323728664143	0.147439225004999	0.100502343260758	9.5439701877078e-06	5.96475886537451e-05	0	0.000249166735578922	0.0943630899738153	0.89748120264831	0.542680357840963	0.0312065473035517	0.00763042869032641	0.00216409387467769	10128	LINC01949	0.277959076109358	-0.0343977715306132	0.000924837039227863	5.19879422566846	1	NBGMM (HL)
-10.7723097881117	0.0130863431036051	-0.0778176594781348	-0.00357156597090002	0.0278493783349125	-0.00898994087811267	-4.85320249515894e-06	1.27444702030767e-05	0.0237032617499198	0.00358568654416843	0.0376349474898671	0.00425875822175399	0.0567406309566996	0.0413034515240033	3.39581184665059e-06	2.25858631385754e-05	0	0.000262642850908981	0.0386685455556881	0.401671228560175	0.623554488094787	0.827697208369847	0.152954525214906	0.572572045638536	27154	ZNF771	0.277959076109358	0.0130863431036051	0.0204190923297453	0.195636870405366	1	NBGMM (LN+HL)
-10.3935707071392	-0.0124346427272983	0.0308419939130819	-0.00115531404670086	-0.092124241707675	0.0307589927898484	-4.93057649520081e-06	3.2219717331431e-05	0.021418591925602	0.00349885386890513	0.0350937811493499	0.00378115077429767	0.0540132729833644	0.0384252268693965	2.81101502481732e-06	1.89736850214101e-05	0	0.000379536300512292	0.3794853260741	0.759950632485165	0.0880853275294877	0.423427212329369	0.0794270850068193	0.0894838890512903	19897	SLC3A2	0.374275604387689	-0.0124346427272983	0.0341855379846721	0.153819870974936	1	NBGMM (LN+HL)
