gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
USP9Y	6.11380190769726e-33	0.129018536107398	1.32070348810076e-28	0.129018536107398
UTY	1.92103426667617e-32	0.122707817256668	2.07490911143693e-28	0.122707817256668
TTTY14	2.92013026066652e-26	0.124281554798651	2.10268846303061e-22	0.124281554798651
NLGN4Y	4.15931208966243e-26	0.129393302184629	2.2462364940222e-22	0.129393302184629
PRKY	1.48350676911086e-22	0.100651653283916	6.40934264526657e-19	0.100651653283916
KDM5D	4.71437129918092e-19	0.0938899646676856	1.69733081341511e-15	0.0938899646676856
TTTY10	6.15843133786663e-15	0.0663388061619263	1.90049191086564e-11	0.0663388061619263
DDX3Y	2.65107630388588e-11	0.0621582409220504	7.15856878956785e-08	0.0621582409220504
RPS4Y1	2.28389614940762e-10	0.0596047218473944	5.48185829105594e-07	0.0596047218473944
ZFY	2.63915450005377e-09	0.0567123864452024	5.70110155101615e-06	0.0567123864452024
PCDH11Y	1.06668765388937e-06	0.0218108061739437	0.00209478060902892	0.0218108061739437
AC090018.2	3.20877328904659e-05	0.0560269754844034	0.0577632671583203	0.0560269754844034
TRIM47	7.68081744168653e-05	-0.0704376455214483	0.127631552596394	-0.0704376455214483
KCNQ5-IT1	0.000117860623022979	0.0291802143487516	0.181858941324457	0.0291802143487516
SOX1-OT	0.000128153014823967	0.0396510092059998	0.184557428415155	0.0396510092059998
LINC00486	0.000221918124400223	0.0435739135804091	0.299617207705851	0.0435739135804091
LINC00526	0.00024700782416618	-0.0294223041639208	0.313874295155166	-0.0294223041639208
PCP4L1	0.000378808964445121	0.0279191149779042	0.454612847219084	0.0279191149779042
MASP1	0.000461274041626076	-0.0717066775431729	0.493255670580354	-0.0717066775431729
ACYP2	0.000461778987313849	-0.00794031530237854	0.493255670580354	-0.00794031530237854
C1R	0.000484022831352608	-0.0400362749309941	0.493255670580354	-0.0400362749309941
CERKL	0.000502343521561327	0.0586862685478089	0.493255670580354	0.0586862685478089
CMTM4	0.00057347094400848	0.0063215001806707	0.519803751430712	0.0063215001806707
IL17RC	0.000577506251010883	-0.0306502477380556	0.519803751430712	-0.0306502477380556
VPS13D	0.000716738135189946	-0.00729287566909359	0.597583613226951	-0.00729287566909359
AC099791.2	0.000728497248905378	-0.0189473538764369	0.597583613226951	-0.0189473538764369
PRR5	0.000746910358167192	0.0106293419199498	0.597583613226951	0.0106293419199498
RASGRP2	0.00091962905360392	0.0200995839412318	0.67909025556965	0.0200995839412318
AC012213.3	0.000936503316117772	-0.0407999437120185	0.67909025556965	-0.0407999437120185
PDCD10	0.000979377215042135	-0.00766079290917887	0.67909025556965	-0.00766079290917887
PCED1B	0.00100742516431147	0.0357189914503082	0.67909025556965	0.0357189914503082
AC004034.1	0.00110435279448483	-0.0260184738842942	0.67909025556965	-0.0260184738842942
AC137561.1	0.00111772167140326	0.0535348843258316	0.67909025556965	0.0535348843258316
AC231759.2	0.00122291505298321	-0.0494141390132133	0.67909025556965	-0.0494141390132133
KLHL2	0.00122581489288762	-0.00629112510850947	0.67909025556965	-0.00629112510850947
LINC01515	0.00123682297044511	-0.120322234194823	0.67909025556965	-0.120322234194823
CYP1B1-AS1	0.00125607538219337	-0.0191930636445355	0.67909025556965	-0.0191930636445355
AC005046.1	0.0012676198781634	-0.0392700745492609	0.67909025556965	-0.0392700745492609
ZNF674-AS1	0.0012702463276549	-0.0244064744532303	0.67909025556965	-0.0244064744532303
CARNMT1	0.00135759144510968	0.00808048120469201	0.67909025556965	0.00808048120469201
IQCM	0.00135811990859715	0.0434812714320766	0.67909025556965	0.0434812714320766
AL645608.6	0.00139791498340907	0.0500604126082804	0.67909025556965	0.0500604126082804
AC097499.2	0.00142241587423625	0.0437377220479538	0.67909025556965	0.0437377220479538
AFF3	0.00146594423622141	-0.00656697607595547	0.67909025556965	-0.00656697607595547
SNX32	0.00146689171952978	0.00756056286671098	0.67909025556965	0.00756056286671098
AL161804.1	0.00149035089660887	0.0273958011793527	0.67909025556965	0.0273958011793527
AC141424.1	0.00149504661309206	0.0536648653836878	0.67909025556965	0.0536648653836878
RPS6KA1	0.00153234110703284	0.0137454841862068	0.67909025556965	0.0137454841862068
ARHGEF6	0.00163007246092016	-0.0168757080089484	0.67909025556965	-0.0168757080089484
LINC01578	0.00163158403203684	-0.0072705489826748	0.67909025556965	-0.0072705489826748
XK	0.00165034957790111	-0.00878934182147462	0.67909025556965	-0.00878934182147462
AC079062.1	0.00169889135601537	0.0628339017126815	0.67909025556965	0.0628339017126815
AC024236.1	0.00170871819482111	0.0530662366693461	0.67909025556965	0.0530662366693461
AC026780.2	0.00179293807044365	0.022095636895194	0.67909025556965	0.022095636895194
AL355472.2	0.0018277990718831	-0.0118146835489192	0.67909025556965	-0.0118146835489192
AC069277.1	0.00184201074990246	-0.0490544670124945	0.67909025556965	-0.0490544670124945
AP001372.1	0.0018437386578938	0.034185752642395	0.67909025556965	0.034185752642395
TMEM234	0.00185773525619451	0.0120209984609637	0.67909025556965	0.0120209984609637
DKK1	0.00187520164429793	-0.0432583702798419	0.67909025556965	-0.0432583702798419
GNE	0.00188618717406624	0.00866064618345448	0.67909025556965	0.00866064618345448
MOB1B	0.00192929010816392	0.00633915026961329	0.679300846284838	0.00633915026961329
TSC1	0.00198080562938375	-0.00525712938344003	0.679300846284838	-0.00525712938344003
AL596214.1	0.00198111069882163	-0.0236050142137278	0.679300846284838	-0.0236050142137278
RSPO2	0.00209281359732474	-0.0160048096724843	0.701541226632083	-0.0160048096724843
ENPEP	0.00211092397607098	0.0474824122850686	0.701541226632083	0.0474824122850686
AC018716.2	0.00215617506899953	-0.0384945313371101	0.704391414499325	-0.0384945313371101
MEG8	0.00218471552501874	-0.0078897510345598	0.704391414499325	-0.0078897510345598
AC096570.1	0.00225935595923505	0.021932811413647	0.706726905765034	0.021932811413647
MPP7	0.0023203815440323	-0.0141257067754331	0.706726905765034	-0.0141257067754331
NDUFA3	0.00234695841671044	0.0248315292569913	0.706726905765034	0.0248315292569913
SLC22A18	0.0023800588511354	0.0266982573614158	0.706726905765034	0.0266982573614158
ADPRHL1	0.00239956918520679	0.0124659712314454	0.706726905765034	0.0124659712314454
KRT81	0.00246793748777924	-0.0582081042057829	0.706726905765034	-0.0582081042057829
SBNO1-AS1	0.00248041848128351	-0.0270393628186284	0.706726905765034	-0.0270393628186284
ENPP3	0.0024854876215963	-0.0294917337386671	0.706726905765034	-0.0294917337386671
AC009264.1	0.00253623665656693	-0.0271786468737769	0.706726905765034	-0.0271786468737769
TMSB4Y	0.00254136968781744	0.0497524555796452	0.706726905765034	0.0497524555796452
FKBP14	0.0025518331010866	-0.00931134072378402	0.706726905765034	-0.00931134072378402
ARHGAP26-AS1	0.00269940288653009	0.0362181453624655	0.731268496344299	0.0362181453624655
KCTD6	0.00270815108358226	-0.0109305152521285	0.731268496344299	-0.0109305152521285
AL360020.1	0.00282084958873226	-0.0346547915589895	0.752296207602398	-0.0346547915589895
VEGFB	0.00289503097299602	-0.0235386485320891	0.756600053455662	-0.0235386485320891
MAL2-AS1	0.00294639458469029	-0.0424626296700819	0.756600053455662	-0.0424626296700819
KDM1B	0.00295569007044778	-0.0103843059995705	0.756600053455662	-0.0103843059995705
ATP2A1-AS1	0.00301289177686399	0.0361834482526168	0.756600053455662	0.0361834482526168
ZNF728	0.00305839573923491	0.0370772549460645	0.756600053455662	0.0370772549460645
ZNF564	0.0030763738254493	0.0103278053468706	0.756600053455662	0.0103278053468706
AC044849.1	0.00308574672429299	-0.0284472190059874	0.756600053455662	-0.0284472190059874
AC011726.2	0.00311718381434839	0.0450485822480384	0.756600053455662	0.0450485822480384
