logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.7105626860695	0.105550093116256	5.55540700595733	-0.00287196029127742	-0.233258546767251	0.0342876426952871	1.38922533295789e-06	-2.16440069754518e-05	0.0693234460878352	0.0104083946288534	0.148870898664011	0.00694748932158557	0.159718116714932	0.109307662747555	4.92202689369434e-06	2.36272473695801e-05	0	3.63874533578263e-24	8.71755334818197e-305	0.679327470958222	0.144169495074358	0.753763987788687	0.777754432118472	0.359634743494819	36514	TTTY14	6.93908735533749e-20	0.105550093116256	0.398559098600899	0.19729654828606	1	NBGMM (HL)
-10.8450190464279	0.0996726562796965	5.26674321343333	0.00175104498154447	-0.336380811183806	0.0706285718593628	4.62098484991385e-06	-4.83118861500009e-05	0.0692017254999111	0.0101688073415545	0.148052383848002	0.00641342972137479	0.16041318824647	0.107854904627884	4.84589077758173e-06	2.37970710203563e-05	0	1.10592599841055e-22	3.5985142179072e-277	0.78483180096592	0.0359966903674672	0.512565603182243	0.340292069853916	0.0423401738866086	36493	USP9Y	1.00110430069692e-18	0.0996726562796965	0.391197746537091	0.146404938029259	1	NBGMM (HL)
-10.8791494246187	0.105545218292252	5.27201794136089	-0.0099502655202836	-0.270996937457545	0.0410155322982034	1.64764773909941e-05	-0.00014650227999008	0.0723691995562041	0.010807371861716	0.156306286862932	0.00853213024465507	0.165081351633846	0.113602195143263	5.30229546482068e-06	2.56120048966227e-05	0	1.574888779282e-22	2.1899767545579e-249	0.24352908105182	0.100673693191649	0.718065624895806	0.00188725840413715	1.06484601277617e-08	36501	NLGN4Y	1.00110430069692e-18	0.105545218292252	0.424263454354731	0.188505465877188	1	NBGMM (HL)
-11.1900704068929	0.0827900000654912	4.74312881712147	-0.00621114010763437	-0.289055186532958	-0.0139186220757904	4.74380407765965e-06	-5.56289921308796e-05	0.0699369102890476	0.00962963852647124	0.143511948710065	0.00742203903183768	0.150108235528654	0.0970618143073881	5.41430521198902e-06	2.7723343839885e-05	0	8.15316259905441e-18	1.53461763163708e-239	0.402676377501335	0.0541487046616507	0.885974625478971	0.38094241362398	0.0447948452824309	36496	UTY	3.88702026909919e-14	0.0827900000654912	0.30510698154473	0.0972552671886276	1	NBGMM (HL)
-13.6505567106737	-0.171650201386821	-0.343719626581061	0.028809071703027	-0.351433172619708	0.288636536496594	6.62279517585508e-05	-0.000426094501986571	0.138488953204805	0.0308564084969846	0.253516526376918	0.0226328665659047	0.38168744598927	0.274424169659506	2.68658397430246e-05	0.000139016040232412	0	2.65372979485111e-08	0.175160400856312	0.203058298539266	0.357188549172307	0.292896009891153	0.01369612122311	0.00217615876796961	18098	LINC01515	0.000101213254375621	-0.171650201386821	1.14388128157469	4.52308046114106	1	NBGMM (HL)
-8.91008597748108	-0.00978934318706021	-0.0143150520906597	0.000457836287016292	-0.0270950570459313	0.00586441725810128	2.82137075102016e-06	3.83638842062921e-06	0.0144983304397286	0.00237816408205892	0.0249081472709732	0.00264609779276582	0.0369562804441319	0.0274006289848421	2.90922008841952e-06	1.61093887764262e-05	0	3.84928438029456e-05	0.565484978141413	0.862633197801303	0.463457705561099	0.830527628853682	0.332144631807922	0.811767765514468	15300	PCMTD1	0.122343088553695	-0.00978934318706021	0.0140115487271661	0.0571578482771337	1	NBGMM (HL)
-14.0694956959519	-0.0945713289658295	-0.0996215966164116	-0.0297565390146172	-1.38680644943513	0.116979520536361	-0.000132224318865386	0.000650218548181297	0.169384857603109	0.0244102354827021	0.217398198268814	0.0281539021596421	0.457574355738192	0.225414572760824	4.16690559104571e-05	0.000203658851904663	0	0.000106954039687369	0.646776568041717	0.29054620724973	0.00243924241151744	0.603793666213877	0.00150767745436048	0.00140956652134543	1300	AL354949.1	0.251280756975143	-0.0945713289658295	0.00213061746715916	2.12121722687527	1	NBGMM (HL)
-11.7973251858679	0.0300858336851017	0.152423104633579	-0.00106535102455657	-0.135852280828537	-0.205769682467394	2.21826646305444e-05	-0.000108896888477259	0.0536810135182971	0.00780144792272552	0.0877441094720287	0.00998419565048355	0.131340490509771	0.0944454560721897	1.12431343458969e-05	6.38855336419517e-05	0	0.000115049243962699	0.0823638656126529	0.915024014842152	0.300971700186333	0.0293528855921526	0.0484959619409142	0.0882760399181368	21477	DDX11-AS1	0.251280756975143	0.0300858336851017	0.0167268385428047	1.02738126906741	1	NBGMM (HL)
-12.2804056719552	-0.0419635808269833	0.00672759546498494	-0.0225501268890379	-0.581081709618817	0.0965733768528267	-3.63972936643951e-05	0.000226160222349204	0.0710835442201753	0.0109070363089506	0.108683520347612	0.0134186493117792	0.180289092418666	0.116519836271957	1.43737653693179e-05	7.90092569182153e-05	0	0.000119384707128102	0.950641840608565	0.0928588179614153	0.00126831078202618	0.407209153639113	0.0113348306099018	0.00420376646250237	29311	EFCAB13	0.251280756975143	-0.0419635808269833	0.111289075425565	1.06781447008696	1	NBGMM (HL)
-11.7470954993854	0.0316877899220683	-0.163994528947854	-0.000223969210443254	0.00728009525767582	0.0190678037789784	-2.45361000349235e-06	7.01797634288728e-05	0.0565968161126807	0.00834347961206528	0.0932926988271453	0.0101635494680346	0.138444206173964	0.10308305782414	1.04663025772111e-05	5.97586654420643e-05	0	0.000145920912276695	0.0787731112716308	0.982418827834598	0.958062530277992	0.853248528956009	0.814651564622599	0.240240293845359	3379	OR2L3	0.251280756975143	0.0316877899220683	0.174361790941703	0.510093802758781	1	NBGMM (HL)
-12.7380162752264	0.0433896592479264	-0.00895380574723275	0.013355048811672	0.316744696705508	0.0218777983667111	-2.3441500761862e-05	8.15463801360835e-05	0.0846996366803597	0.0115295992153048	0.13524088726054	0.013591926414278	0.193191184854324	0.152687253189272	2.02214121582231e-05	0.000107718863280325	0	0.000167667309687086	0.94721353994061	0.325818040490243	0.101100824093115	0.88606507447959	0.246357747687164	0.4490320615036	30989	AC006538.1	0.251280756975143	0.0433896592479264	0.0252152248169177	1.10783139743561	1	NBGMM (HL)
-15.5994676856994	0.0952142750675714	3.28445541356946	-0.174010285171065	0.367676970687621	0.307485406916215	-0.000177230939903415	0.000685936663693317	0.400966870057378	0.0253428781389967	0.732327897358306	0.0582874088930271	0.585281099340215	0.318275782066172	6.78165453285813e-05	0.000294115459620347	0	0.000171933174718678	7.29303758184632e-06	0.00283222737942097	0.529869143078183	0.333995443265092	0.0089649484418882	0.0196900669230045	36452	AC006157.1	0.251280756975143	0.0952142750675714	1e-04	0.001	1	NBGMM (HL)
-12.0799846651534	0.0331303781898993	0.11835342139549	-0.010461675703453	-0.0917981975641167	-0.0763944365922868	-4.19125710550953e-06	3.17798169125243e-05	0.0623593481316839	0.00883178686302881	0.0994431317537156	0.0120825964971949	0.150842952929839	0.10821141992244	1.34308843359255e-05	7.47903295371366e-05	0	0.000175944199423829	0.23398278552321	0.386574262773993	0.542810805635854	0.480204377585257	0.754994056999739	0.670895870859371	27893	SLC38A8	0.251280756975143	0.0331303781898993	0.021698453235187	1.34480249445502	1	NBGMM (HL)
-11.9129957495988	0.0281946182525358	4.62231255935295	-0.00479193226346304	0.00742860087650034	0.0290851056115329	-1.00552875664866e-05	4.90670404332612e-05	0.0924432875178846	0.00753991767909814	0.183371160277279	0.00702673058166622	0.116895995380285	0.0713723714829069	7.06807821140337e-06	3.65278134466323e-05	0	0.00018447459872323	3.32205053037111e-140	0.495265767174081	0.949329496566013	0.683631902528767	0.154842315705819	0.179181687336111	36517	KDM5D	0.251280756975143	0.0281946182525358	0.101134150825446	0.0929945113548269	1	NBGMM (HL)
-10.3629136481528	-0.0150869435857058	0.0488414903890295	0.0137741423498366	-0.0673960455359718	0.0711630004738212	-4.75467260129285e-05	0.000311236640681052	0.0280687335401805	0.0041317665195671	0.0424501444358544	0.00390370741189491	0.0642449328055417	0.0465765053961928	5.77971899914428e-06	3.17767843421313e-05	0	0.000260762709358815	0.249912790707256	0.000417958050886913	0.294155831791142	0.126543990696437	1.92799916060241e-16	1.18923881754502e-22	35053	CBX7	0.331516324498174	-0.0150869435857058	0.0209596426257749	0.123530160235159	1	NBGMM (HL)
-9.86756863711097	0.0115723969372421	-0.0368164946987184	-0.00533314659574722	-0.0560743530481555	0.035340489857947	-1.00745482146735e-06	7.58998529212995e-06	0.0211535967036704	0.00318942577022885	0.0347698713768976	0.0039691383358207	0.0523968191308351	0.0382027427595134	4.45893639886192e-06	2.48408375483385e-05	0	0.00028522317915936	0.289662643581159	0.179060462284376	0.284535502246486	0.354925703544085	0.821247610154824	0.759951360418643	23104	SUPT20H	0.339950376660562	0.0115723969372421	0.00995178932429612	0.105089176545813	1	NBGMM (HL)
-14.2021477698823	0.0766537551560014	0.229352952126324	0.0268035197268392	0.0869544920845808	-0.442166294096432	3.36311357760921e-05	-0.000229631708191016	0.171325136418217	0.0214763779169834	0.272244993941331	0.0240636622873818	0.379950979102179	0.293322118642308	3.22322564886192e-05	0.000188499199337846	0	0.000358055999712529	0.399535793137296	0.26533980727694	0.8189799585811	0.131697214100304	0.296763082795394	0.223143981846846	1336	AL035409.1	0.401654583206937	0.0766537551560014	1e-04	0.001	1	NBGMM (HL)
-12.5928579908495	-0.0467700282451186	-0.0359926277862349	0.0064788627103157	-0.0452876037514222	0.1626775076294	-1.47421569457979e-05	5.43773179450796e-05	0.0805899640013706	0.0132305878484566	0.131448088497394	0.0126191270663711	0.195575130173756	0.145211440011473	1.9572526028548e-05	0.000103698428141345	0	0.000407786798983049	0.784225805060502	0.607660302112482	0.816878878431669	0.262594357593707	0.451325738218949	0.600014692172916	30468	AC108452.1	0.402348571642702	-0.0467700282451186	0.00565687446041048	3.08515407211728	1	NBGMM (HL)
-13.2790580055333	0.0597764271614798	-0.0356436344450527	0.00479046824433112	0.0895913253887629	-0.441433240402185	5.85605206703528e-05	-0.000365114848448875	0.114132029713831	0.016982198302902	0.201533170239633	0.0221762185593452	0.275000205290949	0.220122667811404	2.92485207446499e-05	0.00015364057366322	0	0.000431634075600653	0.859616495727597	0.828973510725266	0.744585973200305	0.0449206693772766	0.0452664146680646	0.0174814541557855	30750	AC090125.1	0.402348571642702	0.0597764271614798	1e-04	13.3362437890196	1	NBGMM (HL)
-11.0881430113513	0.0174318384143336	-0.0393112069831258	-0.00507933298674116	-0.0182092402436912	-0.0616526821217984	-2.51668444399178e-05	0.000187099428875903	0.037758589183663	0.00495825447501876	0.0552929783912045	0.00638892220808537	0.0810296371988398	0.0602382482546723	7.46593879208097e-06	4.25675123552929e-05	0	0.000438561910077888	0.477107778585999	0.426600770913669	0.822194606768276	0.30608063919344	0.000749262778170012	1.10590663086788e-05	2287	KCNJ9	0.402348571642702	0.0174318384143336	0.00198253846507	0.088064831418792	1	NBGMM (HL)
-10.3154011833382	-0.0135264934466187	0.0587987013997071	-0.00434097299117008	-0.0532232855967117	0.0375295214927993	6.25494444811042e-08	3.69958539142175e-05	0.0258218453818082	0.00387242234699845	0.0403192901458985	0.00458061346697782	0.0601838446893917	0.043987346993639	4.89844463461273e-06	2.84537080319264e-05	0	0.000477570075178054	0.144750486402801	0.343290471136918	0.376509972234824	0.393554491117922	0.989811892644584	0.193528303406897	16823	SPTLC1	0.402348571642702	-0.0135264934466187	0.00822839385234295	0.0326666316265981	1	NBGMM (HL)
-11.6142964334933	-0.0270167043906364	0.0805051134825652	0.0107291572624519	-0.0630782937368669	0.140790196852782	-3.32318321988305e-05	0.000219928417937762	0.0509329847518265	0.00776246652696145	0.0781473319002338	0.00747145480969493	0.118762501221864	0.0860789696308677	1.03924293858877e-05	5.77290267005983e-05	0	0.000500613709070466	0.302929749958407	0.150996698801197	0.595328892141426	0.101924707134342	0.00138530126962798	0.00013915360066204	30866	C2CD4C	0.402348571642702	-0.0270167043906364	0.0579499404494241	0.289775125894824	1	NBGMM (HL)
-13.8840896091278	0.06469889914242	-0.213823463842344	-0.0930386472595707	0.0613980134199081	0.586042172221226	6.33300951285681e-06	-0.000179941812373703	0.147144763610804	0.0186110523001969	0.23364049883289	0.0396081835514006	0.411580060378164	0.28690793038377	3.35194630408786e-05	0.000177671879427586	0	0.000508251047983732	0.360096351273143	0.0188251524687104	0.881414476760759	0.041090658276969	0.850143533243161	0.31116717482223	2918	AL590101.1	0.402348571642702	0.06469889914242	0.00235046459505479	0.0010008482159588	1	NBGMM (HL)
-13.1777332499792	-0.0545339276611202	0.253800761325494	0.017710320459713	0.0450223075095758	0.0249858293546207	-7.27669646528146e-05	0.000448512535668734	0.109082698434372	0.0157298670277861	0.153868334989063	0.0125111234942115	0.222048519273257	0.166543490942026	2.3391574783189e-05	0.000125252150921293	0	0.000526491290149858	0.0990519712601281	0.156902625460402	0.839323504796501	0.880744218045489	0.00186569005524069	0.000342442957579019	6138	AC090644.1	0.402348571642702	-0.0545339276611202	0.0756185414897482	1.82375694142401	1	NBGMM (HL)
-12.4989765146937	-0.0444416370598082	-0.270621313545625	0.00290618054907535	-0.208348813981443	-0.00763844322364729	-1.03301583141233e-06	-1.26574515549474e-05	0.0771930054385011	0.0128576314340471	0.129108048067227	0.0133794539093937	0.189224981635839	0.138748332502713	1.66698447888297e-05	9.10966737648271e-05	0	0.000547360185299404	0.036074740276975	0.828042981468488	0.270868806490428	0.956096634500598	0.950587412914697	0.889493400882586	32696	NLRP2	0.402348571642702	-0.0444416370598082	0.13238974520442	1.87249247258227	1	NBGMM (HL)
-12.1452028560561	0.026469411801192	-0.0742785960274634	-0.01442700950377	0.360440495200865	0.0313587260681005	-4.57149269230541e-05	0.000368493444975638	0.0652439984876241	0.00765930656673325	0.0877070528870237	0.0107639170872345	0.121869841737232	0.0982883880749981	1.18221326473972e-05	6.86313003303573e-05	0	0.000548561240834308	0.397054085201134	0.180143863401912	0.00310058595673491	0.74969001860913	0.000110230573952961	7.90977471696282e-08	3179	EXOC8	0.402348571642702	0.026469411801192	0.0174539843055519	0.135328588486436	1	NBGMM (HL)
-13.6759512274822	0.0609018406052283	0.155519360036947	-0.00423452399616192	0.227570431403688	0.0964541315352436	-2.08972177390587e-05	9.83229643709723e-05	0.136994749900094	0.0176754112512642	0.211905658453313	0.0242453999311623	0.318704337799808	0.238653276039707	3.12434650670753e-05	0.000168844004288881	0	0.00056985947101304	0.463004517466902	0.861352554619206	0.47519704016331	0.686094993501587	0.503590634414106	0.560344280890602	494	CDC42-AS1	0.402489633785877	0.0609018406052283	1e-04	4.36746717054821	1	NBGMM (HL)
-11.5103209974381	-0.0233316873686513	0.0513895399146055	0.00791760203826509	-0.0917824801818617	0.0392074995207325	-5.66803041496129e-06	8.93238811923658e-05	0.0467058953858116	0.00684778549996216	0.0703786836800763	0.00707681949357973	0.104929403673794	0.07633754424332	8.54081903093263e-06	5.01367051422024e-05	0	0.000656360839258751	0.465276408671043	0.263222071642649	0.381733369651365	0.607526762230402	0.506920654184707	0.0748134190862897	29591	METTL2A	0.447028614452299	-0.0233316873686513	0.0176025265005239	0.0821065759317799	1	NBGMM (HL)
-13.2923541729263	0.0494750906445953	-0.0737957376240729	-0.0169112226364722	0.292028516925209	0.254873475223712	1.74731688494256e-05	-7.75907322581145e-05	0.111243312425841	0.0146058380388385	0.174024709335948	0.0218932424350578	0.262919828781496	0.199328067269727	2.01404519672042e-05	0.000120678191860416	0	0.000705712045447963	0.671527003796505	0.439853696104883	0.266691830797527	0.201015664694516	0.385632034161131	0.520252840404507	27184	FBXL19-AS1	0.452897105853379	0.0494750906445953	0.0117776845586425	1.61079839165053	1	NBGMM (HL)
