gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	3.63874533578263e-24	0.105550093116256	6.93908735533749e-20	0.105550093116256
USP9Y	1.10592599841055e-22	0.0996726562796965	1.00110430069692e-18	0.0996726562796965
NLGN4Y	1.574888779282e-22	0.105545218292252	1.00110430069692e-18	0.105545218292252
UTY	8.15316259905441e-18	0.0827900000654912	3.88702026909919e-14	0.0827900000654912
LINC01515	2.65372979485111e-08	-0.171650201386821	0.000101213254375621	-0.171650201386821
PCMTD1	3.84928438029456e-05	-0.00978934318706021	0.122343088553695	-0.00978934318706021
AL354949.1	0.000106954039687369	-0.0945713289658295	0.251280756975143	-0.0945713289658295
DDX11-AS1	0.000115049243962699	0.0300858336851017	0.251280756975143	0.0300858336851017
EFCAB13	0.000119384707128102	-0.0419635808269833	0.251280756975143	-0.0419635808269833
OR2L3	0.000145920912276695	0.0316877899220683	0.251280756975143	0.0316877899220683
AC006538.1	0.000167667309687086	0.0433896592479264	0.251280756975143	0.0433896592479264
AC006157.1	0.000171933174718678	0.0952142750675714	0.251280756975143	0.0952142750675714
SLC38A8	0.000175944199423829	0.0331303781898993	0.251280756975143	0.0331303781898993
KDM5D	0.00018447459872323	0.0281946182525358	0.251280756975143	0.0281946182525358
CBX7	0.000260762709358815	-0.0150869435857058	0.331516324498174	-0.0150869435857058
SUPT20H	0.00028522317915936	0.0115723969372421	0.339950376660562	0.0115723969372421
AL035409.1	0.000358055999712529	0.0766537551560014	0.401654583206937	0.0766537551560014
AC108452.1	0.000407786798983049	-0.0467700282451186	0.402348571642702	-0.0467700282451186
AC090125.1	0.000431634075600653	0.0597764271614798	0.402348571642702	0.0597764271614798
KCNJ9	0.000438561910077888	0.0174318384143336	0.402348571642702	0.0174318384143336
SPTLC1	0.000477570075178054	-0.0135264934466187	0.402348571642702	-0.0135264934466187
C2CD4C	0.000500613709070466	-0.0270167043906364	0.402348571642702	-0.0270167043906364
AL590101.1	0.000508251047983732	0.06469889914242	0.402348571642702	0.06469889914242
AC090644.1	0.000526491290149858	-0.0545339276611202	0.402348571642702	-0.0545339276611202
NLRP2	0.000547360185299404	-0.0444416370598082	0.402348571642702	-0.0444416370598082
EXOC8	0.000548561240834308	0.026469411801192	0.402348571642702	0.026469411801192
CDC42-AS1	0.00056985947101304	0.0609018406052283	0.402489633785877	0.0609018406052283
METTL2A	0.000656360839258751	-0.0233316873686513	0.447028614452299	-0.0233316873686513
FBXL19-AS1	0.000705712045447963	0.0494750906445953	0.452897105853379	0.0494750906445953
NFXL1	0.000712475782674429	0.0126196652132342	0.452897105853379	0.0126196652132342
RPL7	0.000740150427899527	0.0382697843074581	0.455311892259483	0.0382697843074581
MAN2A2	0.000768716572854516	-0.0144460090264834	0.458107032635488	-0.0144460090264834
ZNF670	0.000833695282288622	0.0168417188777125	0.479001044101663	0.0168417188777125
AC093206.1	0.000867374270467867	0.0308523161055956	0.479001044101663	0.0308523161055956
ATXN3	0.000894049215671196	0.0103419006825052	0.479001044101663	0.0103419006825052
MKS1	0.000904249480212894	0.0245121886355373	0.479001044101663	0.0245121886355373
ADGRG7	0.0010194094156845	0.0909100422708558	0.519536783879251	0.0909100422708558
ZNF517	0.00103925427737549	-0.0345814762131759	0.519536783879251	-0.0345814762131759
TENT4B	0.0010987639989835	0.011179455310118	0.519536783879251	0.011179455310118
PLOD1	0.00112755084655862	0.0168179318762993	0.519536783879251	0.0168179318762993
SDHAF2	0.00121118704141857	0.0153248617643096	0.519536783879251	0.0153248617643096
AC007292.1	0.00123555288176881	0.0447769289887231	0.519536783879251	0.0447769289887231
FKBP5	0.00126671301668254	-0.0230472539392605	0.519536783879251	-0.0230472539392605
AC024075.2	0.00127383696353969	-0.0330255079531669	0.519536783879251	-0.0330255079531669
AP002518.2	0.00128073754451284	-0.0431001437124566	0.519536783879251	-0.0431001437124566
TMSB10	0.00132860597572481	0.0503149261945222	0.519536783879251	0.0503149261945222
SLC66A1	0.001389831820953	-0.0269285139363177	0.519536783879251	-0.0269285139363177
ZBTB46	0.00139597906882041	-0.0161890205482076	0.519536783879251	-0.0161890205482076
IDI2-AS1	0.00141420668180258	-0.0183384776274226	0.519536783879251	-0.0183384776274226
SLIRP	0.00142135368425462	0.0193160824883726	0.519536783879251	0.0193160824883726
PYROXD2	0.00147342072480683	0.0333967124203029	0.519536783879251	0.0333967124203029
TSC22D3	0.00151304082922813	0.0205595318738042	0.519536783879251	0.0205595318738042
TONSL	0.00151572162373022	0.0319208433178153	0.519536783879251	0.0319208433178153
AC007319.1	0.0015340298506206	0.0403389827588302	0.519536783879251	0.0403389827588302
PDC	0.00157662648531021	-0.0633035857463834	0.519536783879251	-0.0633035857463834
CORO7	0.00159068003945297	-0.017882282187478	0.519536783879251	-0.017882282187478
ZNF680	0.00164250177988167	-0.0121991268853273	0.519536783879251	-0.0121991268853273
PARPBP	0.00167886456629682	-0.0293452488992987	0.519536783879251	-0.0293452488992987
SPINK8	0.00169488277538183	-0.0578378532220963	0.519536783879251	-0.0578378532220963
AC092802.1	0.00169567298907429	-0.0431419219784535	0.519536783879251	-0.0431419219784535
ZNF641	0.00170836988030852	-0.0116348206325312	0.519536783879251	-0.0116348206325312
AC017002.6	0.00173691349642921	0.0742011105085432	0.519536783879251	0.0742011105085432
CHRNA2	0.00175212245071428	0.0128133041266727	0.519536783879251	0.0128133041266727
SLC39A4	0.00175774130302794	0.0772325298966426	0.519536783879251	0.0772325298966426
ADGRA2	0.00177083853970379	-0.0187536278266347	0.519536783879251	-0.0187536278266347
FUZ	0.00186133815598894	0.02899404145412	0.525152140088861	0.02899404145412
AL035696.4	0.00188555307653809	0.0713156330715202	0.525152140088861	0.0713156330715202
CHIC1	0.00192910077302955	-0.00952818603895709	0.525152140088861	-0.00952818603895709
KCNN3	0.00194103987348652	-0.0149712810891348	0.525152140088861	-0.0149712810891348
GABRG3-AS1	0.00195179407488098	-0.0317463349310897	0.525152140088861	-0.0317463349310897
BTBD3	0.00197436902461531	-0.0129329368294113	0.525152140088861	-0.0129329368294113
BRI3	0.00198274536373351	-0.0129972878467149	0.525152140088861	-0.0129972878467149
HSPB1	0.00222457693150561	0.0530039296881534	0.581132631285097	0.0530039296881534
FAHD2A	0.00225924661542263	0.0122391894842633	0.582213958866344	0.0122391894842633
PER3	0.00233837599563838	0.00924252343688027	0.593850857018558	0.00924252343688027
AC092118.2	0.00236668406572682	0.0414778620253608	0.593850857018558	0.0414778620253608
VWA5B1	0.00245464237010473	0.0282608668401048	0.603410404524818	0.0282608668401048
AKT2	0.00249684216080256	0.00963516231734912	0.603410404524818	0.00963516231734912
AC091563.1	0.00249970749645834	0.0182771633843353	0.603410404524818	0.0182771633843353
GALNT2	0.00259636783679961	-0.00851671494157273	0.608070975680004	-0.00851671494157273
BABAM2	0.00260526823620358	-0.00701430104187906	0.608070975680004	-0.00701430104187906
APOL6	0.00263019236008886	0.0556675312068972	0.608070975680004	0.0556675312068972
DYNLL1	0.00269177748011967	0.0236218916140865	0.608070975680004	0.0236218916140865
WAC	0.00272573805648318	-0.00637026192907564	0.608070975680004	-0.00637026192907564
REEP1	0.00274620132906989	0.00644355880708528	0.608070975680004	0.00644355880708528
SND1-IT1	0.00276265771570675	0.0254898509973961	0.608070975680004	0.0254898509973961
USP46	0.00277488125160165	-0.0127589276211635	0.608070975680004	-0.0127589276211635
ZNF318	0.00280599086837128	0.00849061912597511	0.608070975680004	0.00849061912597511
NMNAT3	0.00297142451783578	-0.0190904840501621	0.618761561859469	-0.0190904840501621
RPL21	0.00297610677372035	0.0307455520399866	0.618761561859469	0.0307455520399866
NPC2	0.00297882850870324	0.0274982949810035	0.618761561859469	0.0274982949810035
AC012360.1	0.003001360432705	0.0663472022788253	0.618761561859469	0.0663472022788253
AC105230.1	0.00301755769548666	-0.0471833008192662	0.618761561859469	-0.0471833008192662
RRP12	0.00309973436325007	0.0154420050827092	0.628850364969988	0.0154420050827092
CDC6	0.0031810346945013	0.0618136212277079	0.634884409336638	0.0618136212277079
MAPK14	0.00321945198152466	-0.00745157143070016	0.634884409336638	-0.00745157143070016
AL022069.1	0.0032293543631701	-0.0381081996062577	0.634884409336638	-0.0381081996062577
WASHC1	0.00337799281537719	0.017513788336582	0.652725841958306	0.017513788336582
FRMD8	0.00341513431258533	-0.0242901102108988	0.652725841958306	-0.0242901102108988
DIRC3	0.00344439609153959	-0.0107262869439713	0.652725841958306	-0.0107262869439713
HNRNPK	0.00345701678226476	0.012644322326071	0.652725841958306	0.012644322326071
AC084036.1	0.00352695202131928	-0.043092215000696	0.656538815594059	-0.043092215000696
FAM153B	0.00359610273359069	-0.0138425609845042	0.656538815594059	-0.0138425609845042
WDR91	0.00363957389436134	-0.0156435127766289	0.656538815594059	-0.0156435127766289
LGALS1	0.00365322450197067	0.0451388919154215	0.656538815594059	0.0451388919154215
NRBF2	0.0036836945513987	-0.0217990619992535	0.656538815594059	-0.0217990619992535
BICRA-AS1	0.0037272195694865	-0.0611167529863851	0.656538815594059	-0.0611167529863851
PPP1R3D	0.00377902186814108	-0.0525893021699854	0.656538815594059	-0.0525893021699854
NDUFS5	0.003787591702287	0.0257339918505648	0.656538815594059	0.0257339918505648
FAM218A	0.00379355679484565	-0.0365587355838318	0.656538815594059	-0.0365587355838318
AC022915.2	0.00383874822688777	-0.034308495081028	0.656538815594059	-0.034308495081028
ZNF471	0.00386164197863645	0.0123633241526406	0.656538815594059	0.0123633241526406
AL160254.1	0.0038903453677047	-0.0398765867054029	0.656538815594059	-0.0398765867054029
AC104135.1	0.00408657646353386	0.0522720251913929	0.675417628910398	0.0522720251913929
AC011824.1	0.00408817779064109	-0.0749097919351611	0.675417628910398	-0.0749097919351611
TTC3-AS1	0.00418775864270742	-0.0458279557340671	0.675417628910398	-0.0458279557340671
TRMT5	0.00419932994917554	-0.0254939632322834	0.675417628910398	-0.0254939632322834
PIK3AP1	0.0042065220117994	0.0766803040273478	0.675417628910398	0.0766803040273478
ANKRD53	0.00424668973959833	-0.0436910703848403	0.675417628910398	-0.0436910703848403
SLC35C1	0.00425013715098311	-0.0353211431614422	0.675417628910398	-0.0353211431614422
HMGN5	0.00441987555474476	-0.0169144590756985	0.681869808778851	-0.0169144590756985
AC073176.2	0.00449106583560308	0.0660207580245748	0.681869808778851	0.0660207580245748
AL021395.1	0.00451255989819926	0.0672414664877071	0.681869808778851	0.0672414664877071
COQ10A	0.00451803243046947	-0.0296717058826159	0.681869808778851	-0.0296717058826159
AL132780.1	0.00452050553586011	0.0345484652266442	0.681869808778851	0.0345484652266442
DNAJB14	0.00454990080450538	-0.00638271192324075	0.681869808778851	-0.00638271192324075
AC004594.1	0.0045629971862287	-0.0912509986824727	0.681869808778851	-0.0912509986824727
MTMR1	0.00459786245955591	-0.00916222572995205	0.681869808778851	-0.00916222572995205
RPS14	0.00461254354129375	0.0229631749988538	0.681869808778851	0.0229631749988538
AC093639.1	0.00477997892575398	0.0656053486879683	0.685585060628283	0.0656053486879683
NDC1	0.00480780590329807	-0.0192045739122077	0.685585060628283	-0.0192045739122077
AC021086.1	0.00484837251672892	-0.0338375666420994	0.685585060628283	-0.0338375666420994
RUFY4	0.004881054533628	0.0440825735593436	0.685585060628283	0.0440825735593436
GATD3A	0.00496270335162804	-0.0429997819823848	0.685585060628283	-0.0429997819823848
DFFA	0.00501658899711475	0.0122405474803833	0.685585060628283	0.0122405474803833
AC012085.2	0.00505198263935913	-0.0317540601519113	0.685585060628283	-0.0317540601519113
ITFG1-AS1	0.00505217442732149	-0.072762042052906	0.685585060628283	-0.072762042052906
ENDOG	0.00505785611140988	-0.0256161984315332	0.685585060628283	-0.0256161984315332
SOX11	0.00507593535774275	0.0352773629181654	0.685585060628283	0.0352773629181654
AC016493.1	0.00510088435886133	-0.0719948441914436	0.685585060628283	-0.0719948441914436
HOMER2	0.00510842586392726	-0.0112277465791053	0.685585060628283	-0.0112277465791053
AC069277.1	0.00513064095430597	-0.0858226314832571	0.685585060628283	-0.0858226314832571
NRXN2	0.00515083956156155	0.00727980590650453	0.685585060628283	0.00727980590650453
BBS5	0.00527490496962384	-0.0118335146817451	0.685585060628283	-0.0118335146817451
E2F5	0.00533102827533361	0.0293375095764547	0.685585060628283	0.0293375095764547
GPER1	0.00533662736152086	0.0632207087243885	0.685585060628283	0.0632207087243885
LINC01341	0.00534723748930376	0.0212323105980976	0.685585060628283	0.0212323105980976
YPEL4	0.00539318362186647	-0.0177026679187055	0.685585060628283	-0.0177026679187055
