gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	2.1241454983875e-28	0.108385766511574	4.06455241116448e-24	0.108385766511574
NLGN4Y	2.62878334577046e-25	0.106473566344863	2.17340167693028e-21	0.106473566344863
USP9Y	3.40747584572294e-25	0.110780393408413	2.17340167693028e-21	0.110780393408413
UTY	1.43273759328401e-19	0.0898770535871602	6.85385846187239e-16	0.0898770535871602
LINC01515	1.64450598139566e-07	-0.186348339314114	0.000629352439080119	-0.186348339314114
PCDH11Y	1.6274404693332e-05	0.0288687341029659	0.0519017889678179	0.0288687341029659
KISS1R	3.30303090959727e-05	-0.0550102561988767	0.0885872839212785	-0.0550102561988767
LINC00622	3.70367531418985e-05	0.052444826062192	0.0885872839212785	0.052444826062192
KDM5D	6.98048870571595e-05	0.0328410211374003	0.148412945982083	0.0328410211374003
TTTY10	0.000103578926261763	0.0307327440790404	0.189849043528273	0.0307327440790404
AC018541.1	0.000111422697085784	0.0893981232233194	0.189849043528273	0.0893981232233194
AC114763.1	0.000119058715565157	0.040332548946971	0.189849043528273	0.040332548946971
SACS	0.000129725096095855	-0.0106220424098817	0.190945362599553	-0.0106220424098817
TMEM200A	0.000251299655329612	0.0237073052594479	0.331670378390469	0.0237073052594479
GOLGA6L4	0.000259997683608938	0.0250017491059505	0.331670378390469	0.0250017491059505
ENPP1	0.00031239249800892	-0.0304463280777282	0.373601903087543	-0.0304463280777282
ERICH1	0.000406015131475735	-0.0137609048294968	0.457005855340482	-0.0137609048294968
AC073571.1	0.000455788748066263	-0.060911347693247	0.477037548273445	-0.060911347693247
C4orf48	0.000473671984175357	0.0381523621364892	0.477037548273445	0.0381523621364892
AC114811.2	0.000541039056126756	-0.0503579420698726	0.498682473083485	-0.0503579420698726
THSD4-AS1	0.00054728674861527	-0.0364212775757533	0.498682473083485	-0.0364212775757533
LINC00486	0.00060533968380419	0.0415910248791795	0.51143316067736	0.0415910248791795
TNKS	0.000634562088728778	-0.00686809952550878	0.51143316067736	-0.00686809952550878
AC007406.5	0.000641463070617018	0.0292663157502699	0.51143316067736	0.0292663157502699
AC009501.3	0.000800925638921617	-0.0472487194297321	0.613028484030605	-0.0472487194297321
FMO5	0.00103325853827446	-0.0376639701541192	0.731109666432477	-0.0376639701541192
CYB5R4	0.00105718316288531	-0.011005981535441	0.731109666432477	-0.011005981535441
FAM135B	0.00107699932194876	-0.00970797515313756	0.731109666432477	-0.00970797515313756
POU3F1	0.00113750665459914	-0.0325665626675871	0.731109666432477	-0.0325665626675871
PAPPA-AS1	0.00114710835562514	0.0346236970810518	0.731109666432477	0.0346236970810518
OPRL1	0.00122693965692377	-0.0347496946731983	0.731109666432477	-0.0347496946731983
AC004951.1	0.00126370548580288	0.0184658856224614	0.731109666432477	0.0184658856224614
FHL1	0.00131151528331906	-0.00956467630739865	0.731109666432477	-0.00956467630739865
MAP2K4	0.00133223285867534	-0.00739403400671273	0.731109666432477	-0.00739403400671273
