logFC_(Intercept)	logFC_bmi_lv	logFC_msex	logFC_pmi	logFC_ADdiag3typeslateAD	logFC_ADdiag3typesnonAD	logFC_total_counts	logFC_nFeaturess_RNA	se_(Intercept)	se_bmi_lv	se_msex	se_pmi	se_ADdiag3typeslateAD	se_ADdiag3typesnonAD	se_total_counts	se_nFeaturess_RNA	p_(Intercept)	p_bmi_lv	p_msex	p_pmi	p_ADdiag3typeslateAD	p_ADdiag3typesnonAD	p_total_counts	p_nFeaturess_RNA	gene_id	gene	FDR	log2FC	overdispersion_Subject	overdispersion_Cell	convergence	algorithm
-10.641776242094	0.111346948073356	5.59505395185047	0.00326659748211884	-0.360960361730684	-0.0408159676732032	5.12312931576318e-06	-4.2334329615434e-05	0.0620526664989795	0.0100906596934004	0.132792776162728	0.00742783287820186	0.16502801718298	0.116965380201012	2.91071057582657e-06	1.62052726497741e-05	0	2.60047708073363e-28	0	0.66009790358651	0.0287230269473277	0.727121081516655	0.0783915731665235	0.00899142603975505	36514	TTTY14	4.91958254133187e-24	0.111346948073356	0.502826127972162	0.131217553292301	1	NBGMM (LN)
-11.1185771895185	0.117959805186113	5.67198659460446	0.000585911164047579	-0.269649688288361	0.0431639594572779	-7.58054712375835e-06	1.53847893848842e-05	0.0713085687160333	0.0110112717726027	0.15627196785012	0.00679940991640371	0.176135313524038	0.122428292743418	3.04019541319258e-06	1.75120793185869e-05	0	8.87916749702018e-27	1.89754867739105e-288	0.931330575694069	0.125788303825252	0.724414406502159	0.0126511697609636	0.379659189584409	36493	USP9Y	8.39880453543139e-23	0.117959805186113	0.519380062771847	0.0909555524996306	1	NBGMM (LN)
-11.2745534140362	0.109299348534051	5.56722688359136	-0.00315390174326537	-0.150519767781395	0.0299633972597787	5.64281566316772e-07	-2.54624272801652e-05	0.07226779781917	0.0110270454651264	0.156590649853816	0.00757318786437083	0.172216917386148	0.118439822429187	3.67217305967092e-06	2.08555316224486e-05	0	3.69424186425449e-23	7.53652494659597e-277	0.677076143602399	0.382111353869539	0.800280464903173	0.877874507092636	0.222125541812106	36501	NLGN4Y	2.32958891959888e-19	0.109299348534051	0.483118864047721	0.179162667252981	1	NBGMM (LN)
-11.3999392446504	0.0886448338856015	5.18167016273849	-0.00398415362758282	-0.129177264579861	0.0236361064411714	-2.02113310533007e-06	3.16163665910039e-05	0.0663628236339665	0.00972248373065971	0.137610060401496	0.00685157399618803	0.150185333033939	0.101035830529488	3.41460755403206e-06	2.05427702111305e-05	0	7.68707420081622e-20	2.73722371998316e-310	0.560907122462303	0.389723426271571	0.815033216993884	0.553912279350535	0.12379189889437	36496	UTY	3.63560174327603e-16	0.0886448338856015	0.360128776045191	0.0807013959193952	1	NBGMM (LN)
-10.5604490953447	0.0530913089320483	4.7938176297397	-0.00185449176673943	-0.000618705465764009	-0.0102813871853234	8.00946231914258e-06	1.17102528847164e-05	0.0465671390082614	0.00757759695593077	0.0932062109540175	0.00573480514062989	0.119683377508887	0.0813308724467779	5.3064841408603e-06	2.80100373503843e-05	0	2.44612662842745e-12	0	0.746411372080758	0.995875339162666	0.899403964934042	0.131203564417445	0.675893417676118	36460	PCDH11Y	9.25516471131811e-09	0.0530913089320483	0.239128351557224	0.820144450692507	1	NBGMM (LN+HL)
-13.5513551153267	-0.168599598323891	0.0853664088608367	0.0880795076384778	-0.384369671235934	-0.250670712401562	-3.46309105199752e-05	0.000137229633318094	0.137788829734584	0.0348153519529206	0.265021812143098	0.0303570252604575	0.389632175487125	0.296069119166067	2.54302608493311e-05	0.000130700091139759	0	1.28099691140321e-06	0.747368696915449	0.00371435493369444	0.323890924377154	0.397183093513253	0.173261243776872	0.293737328206638	18098	LINC01515	0.00403898326165433	-0.168599598323891	1.69959387200495	1.60011623358063	1	NBGMM (LN+HL)
-10.0592242336332	-0.013859350551911	-0.00565354087141685	0.00428429676532882	-0.0147797116575913	0.0428580591067596	-1.79346276927388e-05	0.000153540073535171	0.0198767152623682	0.00307084801673888	0.0310965852860981	0.00321236797351657	0.0472316033484376	0.0341137204289424	3.37121338129974e-06	2.12012009473424e-05	0	6.38568226920459e-06	0.855735099675385	0.18230611409348	0.754341469040581	0.208996681672446	1.03805748164223e-07	4.41965725656665e-13	26307	LINC01578	0.0172577624526875	-0.013859350551911	0.0213602477832664	0.0717336855909737	1	NBGMM (LN+HL)
-11.8085022720551	0.0335938402236348	4.52134540215478	0.00329345423240779	0.0844665738240335	-0.026888015344757	1.77591921464328e-06	-4.58565800293961e-05	0.0695764939790438	0.00797192231289878	0.136494315683483	0.00620391065403095	0.120981572637563	0.0753081858684513	5.88217458460391e-06	3.33453990776031e-05	0	2.50865034589736e-05	1.30684745118439e-240	0.595510634880245	0.485066392673747	0.721062053141969	0.762716539937528	0.169069567129287	36519	TTTY10	0.0593233090546079	0.0335938402236348	0.157369825579023	0.49428113310762	1	NBGMM (LN+HL)
-14.7678829388888	0.082449750658782	1.02028408930373	-0.0961223233750361	-0.130288000571728	-0.104910504765406	-4.29473547725498e-05	0.000407580017913753	0.176257684224436	0.0205294552165915	0.235607141645826	0.0352775981786926	0.377166871028341	0.233800629842361	2.61489982672529e-05	0.000167158305959511	0	5.91519789443159e-05	1.48807391621279e-05	0.00643519171955916	0.729764653120011	0.653635240885033	0.100505233964018	0.0147570297255663	17948	AL358394.1	0.124337459740952	0.082449750658782	0.464090634797268	5.29405191381422	1	NBGMM (HL)
-14.0579595035265	0.0572247602237716	-0.250847294143355	0.0120241290468192	0.257685896691907	0.160875843673955	-4.31104529820873e-06	9.42751338766649e-05	0.130157326469303	0.0150344912247635	0.179691491011493	0.0180776767557758	0.266542564817182	0.201668243711283	2.00999950498552e-05	0.000133762158206868	0	0.00014110008533353	0.162717892621201	0.505962964435087	0.33365800930425	0.425029966266321	0.830172825393614	0.480936733713934	14707	AC004908.3	0.265051151823522	0.0572247602237716	0.00950700063279545	0.00512605137547651	1	NBGMM (LN)
-14.4234799827605	-0.12336217430677	0.721726389357971	-0.109071558753259	-0.345258710918931	-0.0770840615789236	9.69514150916203e-05	-0.000632984115687471	0.149895461537251	0.0325980514974184	0.261252539788341	0.037664712526298	0.373979353859796	0.266515457375941	2.65265712007869e-05	0.000159002720851283	0	0.000154115798184731	0.0057349634582916	0.00378126667859293	0.355901635443343	0.77240596192109	0.000257303034529323	6.86363301258853e-05	35606	TIMP1	0.265051151823522	-0.12336217430677	0.663603057562391	21.4320185618314	1	NBGMM (HL)
-14.4001110696288	-0.100492556888512	0.15823210199279	-0.00715438667521331	-0.242906224730294	0.0621715625307637	6.74617936177808e-05	-0.000364296243902877	0.15466036994243	0.0272874317958912	0.236836144211917	0.0277762524457047	0.356336580898322	0.253507691468337	2.58876065907302e-05	0.000166843076399178	0	0.000230739126104938	0.504064711213859	0.796737192005591	0.495443616427317	0.806266525134866	0.00916199876744992	0.029001484032804	35579	MIR222HG	0.344950133514418	-0.100492556888512	0.00456709634727506	9.30468667588678	1	NBGMM (HL)
-13.8878523947702	-0.0579550368116951	-0.107507890726672	-0.0105561405066164	-0.216845119411402	0.355137125609345	-4.32202320744524e-05	0.000410268355754446	0.121028727187852	0.0158136709141392	0.150206161633136	0.0174766311266103	0.250960714097145	0.166093461786487	1.80869501946335e-05	0.000119260665858591	0	0.000247464940154399	0.474154651021941	0.545833929853334	0.387554920579779	0.0325024263831338	0.0168676050923174	0.000581503988668256	14646	HTR5A-AS1	0.344950133514418	-0.0579550368116951	0.0782671987461264	0.680814061220714	1	NBGMM (LN+HL)
-13.8151277410126	-0.0619584916816319	-0.0407434520159033	-0.0277735561616395	-0.482334027353549	-0.030080547911059	-5.21166229104297e-05	0.000385875751359264	0.115559605938121	0.0169428610153329	0.158833783675165	0.0193380011282347	0.255803332204186	0.168440521884707	1.95887010591231e-05	0.00012184926321253	0	0.000255275497896281	0.797552207908932	0.150940747334088	0.0593534830316701	0.858265450727041	0.00780142750148528	0.00154111036828004	5562	AC069155.1	0.344950133514418	-0.0619584916816319	0.257192328570948	0.261947808748921	1	NBGMM (LN)
-14.3874076378468	0.0696098415961824	-0.258785615119675	-0.0342064482454798	-0.33858582381105	0.0125286698458412	8.08917855230538e-06	-0.000187993831267418	0.146156558457538	0.0193661646117116	0.239595027978838	0.0324089099276089	0.398122444975031	0.258608911548834	3.01592413889667e-05	0.000179136834619812	0	0.000325133576821835	0.280099463065265	0.291213017129141	0.395071331537516	0.961360483697509	0.788533379785013	0.293974445493414	24370	AL390816.2	0.386112980854342	0.0696098415961824	1e-04	0.00412601228593673	1	NBGMM (LN)
-11.6630075705403	-0.0240843457697015	0.0373202857358024	-0.00696141072298937	-0.248209787954138	0.0290219400838919	-1.99572156158391e-05	0.000113812184669734	0.0422749456116207	0.00673982557568129	0.0669618187760435	0.00751331351632548	0.105562487402742	0.0724558455101371	7.90690486575637e-06	4.82064075452289e-05	0	0.000352325304505709	0.577297337744696	0.354163676260832	0.0187076049464664	0.688753993148918	0.011602009230939	0.0182289357025419	1712	LRIG2-DT	0.386112980854342	-0.0240843457697015	0.0657584403747705	0.556345720980524	1	NBGMM (LN+HL)
-10.9815255814629	0.0360907697863851	-0.0711482412821955	-0.00419223362429141	-0.190321606316327	0.135317157304406	-5.37534439375452e-05	0.000413063867868768	0.0515395701493485	0.0101016937336357	0.100557188478144	0.00825940335813055	0.155994989160813	0.11156270905889	6.32219735300281e-06	3.81443225730981e-05	0	0.000353259519190275	0.479230913907795	0.611754232333298	0.222446116064297	0.225158638944626	1.85813624281778e-17	2.50952032747022e-27	7903	C4orf48	0.386112980854342	0.0360907697863851	0.512909124340854	0.159368091404292	1	NBGMM (LN)
-14.6244124007879	0.0817763829999395	0.727357355942738	-0.0245062959033426	0.302103446016121	0.582816208823634	-2.14088905578876e-05	0.000158654342513924	0.182072825371533	0.0229549438389836	0.271849706084891	0.0336319141660911	0.45420320449808	0.308806447585283	3.66191243724223e-05	0.000213236710255436	0	0.000367376765798613	0.00745986591462087	0.466208478089172	0.505968377818653	0.0591174615850907	0.558791905266104	0.45685879973772	28447	MYOCD	0.386112980854342	0.0817763829999395	0.00539975630029942	30.0392982785549	1	NBGMM (HL)
-9.21320202067043	-0.00994520555678876	-0.0243253539883193	-0.00249670788264135	-0.0623802416094161	-0.00529378156649063	6.17701946136159e-07	4.78050530841093e-06	0.0158279213989732	0.0028293048317806	0.0288270826636314	0.00306810508930256	0.0435531309106919	0.0317626563846776	3.32757445154528e-06	1.90117285136809e-05	0	0.000439637490896874	0.398760592924982	0.415781205679807	0.15206394576778	0.867632198463782	0.852733912235069	0.801465963673272	20352	GAB2	0.417557171213577	-0.00994520555678876	0.0252364757224743	0.493175346855256	1	NBGMM (LN+HL)
-14.4432050833833	0.0670144458569503	-0.0309985389372183	0.0119235090456889	0.0995273296788119	-0.0092795935439713	-7.82185066523091e-05	0.000369658793645577	0.158392463448446	0.0190707873188856	0.228871784362748	0.0227949041787693	0.351897953776663	0.253214607277069	3.66609461925994e-05	0.000204901397056851	0	0.000441439022321151	0.892263501029992	0.600920091805915	0.777307087747448	0.970766348971737	0.0328784167751294	0.071218551413188	28227	AC233723.1	0.417557171213577	0.0670144458569503	1e-04	3.69078389372902	1	NBGMM (HL)
-8.84527316595551	0.0408043962939062	0.120343927858515	0.0223851312264525	-0.00977691121123487	0.0157409019364279	-1.18386135341695e-05	9.51753881332801e-05	0.0554846094451594	0.0117308956922681	0.112547258102888	0.00790355027247215	0.169361056546425	0.124833510080897	2.89477509877249e-06	1.75680447117308e-05	0	0.000504472963524413	0.284945938501318	0.00462161898918391	0.953965120134392	0.899656595422448	4.32026823472487e-05	6.04284191777606e-08	3818	LINC00486	0.454458072569278	0.0408043962939062	0.75862301730693	0.0372814097258725	1	NBGMM (LN)
-13.1842540640163	0.0355950410783234	-0.121497488026068	-0.0205929318522456	-0.209710763111971	-0.0485994764925461	-3.43340575565177e-05	0.000241749743845772	0.0853314511759443	0.0104502006686538	0.117431749126318	0.0147805593977444	0.188618772797072	0.126931578761691	1.507722310424e-05	9.47667344043528e-05	0	0.000658838889123698	0.300845408481027	0.163545892570763	0.266214093642895	0.701809245787926	0.0227734731798429	0.0107414962008885	19084	TRIM68	0.566541550201914	0.0355950410783234	0.0151397238552232	0.400965834028319	1	NBGMM (LN+HL)
-14.2041949803115	-0.0752196869628759	0.177332810556995	-0.0200774020366535	-0.659301825147542	-0.0877045056765099	-1.80590668889162e-05	0.000154126244770703	0.144776748491251	0.0223536565290312	0.201776411160886	0.024897245362855	0.33911040429907	0.209461387108719	2.46701221746222e-05	0.000156923085241266	0	0.000765482169672744	0.379478280691161	0.420006149375285	0.0518701373537473	0.675424847213057	0.464155270690238	0.32601265749499	14323	TMEM140	0.629625725472564	-0.0752196869628759	0.000996054922224261	7.48103063717198	1	NBGMM (HL)
-14.6117477398934	0.0714905358663427	0.39753594987746	0.0140348649817391	-1.133884566644	-0.316383241620496	-3.79815354631586e-05	0.000225985329721319	0.162333791005715	0.0214424354139504	0.236266023545227	0.0233696062065425	0.472626802025864	0.241773056204001	2.98371528432583e-05	0.000176887958886813	0	0.000855857588262938	0.0924568655871216	0.548132679607411	0.0164348931732822	0.190671254306065	0.203031839275406	0.201403915982127	5570	IGFBP2	0.674629743948261	0.0714905358663427	0.567696416612886	0.957909746727247	1	NBGMM (LN+HL)
-14.3021730221471	-0.0827750604589593	0.00838347832579902	0.037632464335928	-1.33334179543068	0.0664802587640809	-3.23649732369794e-05	0.000208235018623508	0.161183759936431	0.0251262999071114	0.231754498594837	0.0228816908809346	0.486671305257681	0.243779566974431	3.23051527899202e-05	0.00018728946416397	0	0.000986463067073649	0.971143648053904	0.100041184953065	0.00614920503526686	0.785078881011783	0.3164152082614	0.266209014733674	9714	EGFLAM	0.746476332115972	-0.0827750604589593	0.000296880563416139	33.4715449360892	1	NBGMM (HL)
-11.8363752461528	-0.0206087421946156	0.116314936827735	0.00905697856730285	0.0228863004177152	0.123133726902918	-1.5317654254182e-05	0.000156592755874497	0.0443354628604367	0.00635605512882711	0.0636130975423635	0.0063302465328442	0.097760386680306	0.0697994416005654	7.39575576070609e-06	4.76117373685896e-05	0	0.00118536106222237	0.0674783454986738	0.15250285863751	0.814902629790158	0.0777138615540021	0.0383456052366288	0.00100560894048556	27960	MTHFSD	0.862486945197031	-0.0206087421946156	0.0245134571377637	0.224214554545758	1	NBGMM (LN+HL)
-13.8162776640455	0.0514878057000449	0.0559160038922856	-0.00216509869804061	0.0235494220677086	-0.261091978752652	2.27937721852822e-05	-0.000173636778878483	0.113437459894273	0.0160480000754423	0.181966611200148	0.0215529890414952	0.261484084159694	0.198178747843772	2.1153916117598e-05	0.000132211947225932	0	0.00133493006752218	0.758624805042381	0.919983357918659	0.928239032577986	0.187685485213017	0.281247925902503	0.18907467234159	2966	AC011700.1	0.868380597477595	0.0514878057000449	0.0156736436714385	4.93140525915528	1	NBGMM (HL)
-13.5208168567723	0.041756092468894	-0.215418762668862	0.019730159942743	-0.307858335919664	-0.00491438359791163	-3.60472006851788e-05	0.000229835449878829	0.101501822157852	0.0130915850656509	0.146089322321187	0.0135722769631458	0.240903645961493	0.157456898415567	1.93763873993325e-05	0.00011794261659745	0	0.00142500989724603	0.140328497183659	0.14602661830482	0.201273611919034	0.97510128598763	0.0628335546470827	0.0513305800451439	3344	ZNF695	0.868380597477595	0.041756092468894	0.0692852822289699	3.5541534946526	1	NBGMM (HL)
-13.9986200894086	-0.0538280643078885	0.0758276673738923	-0.010416723332918	-0.168135723166437	0.10012664444987	-0.000103477127766607	0.000660502957111053	0.130082876437519	0.0169604798094029	0.159761777753426	0.0184959263277429	0.256797288206906	0.17254601048116	2.47173639702367e-05	0.000146572550740839	0	0.00150491146103632	0.635051010352433	0.573305416447571	0.512634498162457	0.561719382380689	2.83395775096543e-05	6.59612923444415e-06	25263	AC104002.3	0.868380597477595	-0.0538280643078885	0.011461221366204	0.452611950621551	1	NBGMM (LN+HL)
-13.1296331419666	-0.0395767690550215	0.0820265316214585	-0.046028607317953	-0.220330229180351	0.0239036282425608	-4.14483614313934e-05	0.000195976903351035	0.0820661015998873	0.0125269654350848	0.121060447393169	0.0168849679488915	0.192064401984329	0.13040242635585	1.65894094705313e-05	9.83944529748231e-05	0	0.00158134432494742	0.49804644600629	0.00641048739434413	0.25131199350799	0.854557439029666	0.012472604216703	0.0463987718099991	11743	AL662884.3	0.868380597477595	-0.0395767690550215	0.0197113506110625	0.46962254581183	1	NBGMM (LN+HL)
-11.2331624176683	0.0243200198675341	-0.0176200048229238	-0.00249235331705632	-0.492336628386315	-0.177494766382251	-4.71572971270809e-06	4.52331869943747e-05	0.0443387927960835	0.00771310005225294	0.081515212853973	0.00900232775052319	0.127458704618142	0.0880472472480134	9.89777685806761e-06	5.52460965813621e-05	0	0.0016155764304653	0.828866126002684	0.781890264298397	0.000112133879874553	0.0438100527311632	0.633758575280275	0.412924462337515	9511	LINC02112	0.868380597477595	0.0243200198675341	0.20057342571046	4.15150906052036	1	NBGMM (HL)
-10.8226026072137	-0.0183354422065717	-0.0105455393420939	0.000271524621612006	-0.210935583062366	0.0385048351307356	-1.26133094921467e-06	-4.30194152158216e-06	0.0330780561519667	0.00582758497996501	0.0596331389035422	0.00626101269070448	0.0923274790122945	0.065383284579302	7.00962108786048e-06	3.98884412467548e-05	0	0.00165339480105098	0.859633870360394	0.965408564984447	0.0223336076895981	0.55592200818439	0.857197462413801	0.914115214199155	12335	UFL1-AS1	0.868380597477595	-0.0183354422065717	0.0997911327501405	1.76608949632966	1	NBGMM (HL)
-13.2768376627642	-0.0471731940166946	0.143630721416066	-0.0123273038720404	-0.020499042489374	0.224599214685515	-9.60769999949481e-06	-3.93089919493133e-05	0.0874903620227628	0.0150578145302431	0.143461165542309	0.0170652280631216	0.224226488097574	0.158722219214537	1.83493967772932e-05	0.000108467669587597	0	0.00173144534637234	0.316738878427721	0.470070805373943	0.9271579600842	0.157055058685518	0.600558455478617	0.717051014478287	11830	SCUBE3	0.868380597477595	-0.0471731940166946	0.00209933638612922	3.88241331525402	1	NBGMM (HL)
-12.3149955402902	-0.0311190711700104	0.194137253077947	0.000936246782350785	-0.337778985000641	0.172235145199029	-5.46243724938954e-05	0.000309752723545217	0.0618191655027631	0.00994225092086932	0.100549505447528	0.00979850464046889	0.163353486045531	0.109196786874225	1.1690049890004e-05	6.84495757240387e-05	0	0.00174816730532407	0.0535123823448277	0.923878004875891	0.0386607649351876	0.114728506421035	2.97231586398629e-06	6.0318815182651e-06	3923	SLC3A1	0.868380597477595	-0.0311190711700104	0.286673494944317	0.374125453670857	1	NBGMM (LN)
-13.6599309231218	0.0483450769570134	0.102065074751787	0.0220751339766076	-0.141279401736303	-0.117830600656835	2.76456904439794e-05	-0.000105247699901356	0.108841506595882	0.015461949072331	0.170500699087695	0.0168806423787752	0.264803497828722	0.182762897370935	1.87033047339141e-05	0.000120300104850869	0	0.00176772409439788	0.549426526189099	0.190968692642637	0.59366990799894	0.519109697665673	0.139376210466307	0.381641264246103	4954	AC092652.1	0.868380597477595	0.0483450769570134	0.0805230778778624	10.4518537859692	1	NBGMM (HL)
-11.5125949220538	0.0273572443808413	-0.00196867092541751	-0.00736802669692693	-0.0862074474211611	0.223880692645605	-5.45038599026873e-05	0.000420907903007115	0.0511845769921257	0.00877599023162702	0.092847156381117	0.00861623777392687	0.145557548959531	0.102770910231508	7.54641639931955e-06	4.55487481734916e-05	0	0.00182526319675051	0.983083440491511	0.392477686897789	0.553678642757384	0.0293729827386612	5.10469993816475e-13	2.44609305980341e-20	35066	RPS19BP1	0.868380597477595	0.0273572443808413	0.381891117617098	0.165575823708942	1	NBGMM (LN)
-13.1118462126618	0.0335602051996323	-0.0392027974298673	-0.0145729991244268	-0.0517706268744756	0.030018471090072	-4.13548181700616e-05	0.000229354511205598	0.0823219330092833	0.0107686656102046	0.119518702643304	0.0146534136205584	0.188189877297481	0.131265458241241	1.65986869474346e-05	9.95069447692251e-05	0	0.00183031346591524	0.742907468594475	0.319973552047805	0.783241078690133	0.819113577846019	0.0127222449983889	0.0211716374438929	16166	TONSL	0.868380597477595	0.0335602051996323	1e-04	1.58031601313104	1	NBGMM (LN+HL)
-12.6727667902418	-0.0342749624752373	-0.0151021894174686	0.00547992885386409	-0.604606279912345	0.141255028224213	5.62429466558005e-06	-2.79477759400486e-05	0.0678278498542872	0.0110061261965802	0.109317604576498	0.0111164657769137	0.188527255048983	0.117368661697802	1.23140626320287e-05	7.63635214681046e-05	0	0.00184462352659355	0.890122142524261	0.622043655022524	0.00134128546548715	0.228776815678107	0.647859705302591	0.714377514055461	12003	AL109615.3	0.868380597477595	-0.0342749624752373	0.150136078580903	2.41545473104962	1	NBGMM (HL)
-10.8462182228245	0.0227662835899189	0.0340512679420469	-0.0133532615186724	0.13482500567517	0.186741486489115	-5.8752902567964e-05	0.000421791281516045	0.040897466944858	0.0073335497702456	0.0762147017890152	0.00791365739667789	0.118481115320825	0.0841973071243526	6.01716288602393e-06	3.55921398856902e-05	0	0.00190664341589428	0.65503331173979	0.0915323880151966	0.255143403696497	0.0265614255189225	1.60340949343289e-22	2.13435808052094e-32	31172	TRAPPC5	0.868380597477595	0.0227662835899189	0.291133152008354	0.101367356866937	1	NBGMM (LN)
