gene	p_bmi_lv	logFC_bmi_lv	FDR	log2FC
TTTY14	1.74402819741143e-29	0.121096392128998	3.08326745020367e-25	0.121096392128998
USP9Y	2.30726550796149e-27	0.111812743889269	2.03950734576256e-23	0.111812743889269
UTY	4.46851371392866e-24	0.105748718877179	2.63329513161816e-20	0.105748718877179
NLGN4Y	2.66496975116531e-22	0.10082724845368	1.17785000577129e-18	0.10082724845368
PCDH11Y	2.48314568065028e-16	0.0757011094181338	8.77990649764325e-13	0.0757011094181338
LINC01515	1.01348572420345e-06	-0.172803092778578	0.00298623568636547	-0.172803092778578
TBL1Y	2.85690309884135e-06	0.0424413555864257	0.0072153128406309	0.0424413555864257
UBE3A	3.17932858226258e-05	-0.00798049297221555	0.0702591875072753	-0.00798049297221555
ZFHX2-AS1	7.33515445536598e-05	-0.0164398853550815	0.144086884018239	-0.0164398853550815
LINC00621	8.51045217067355e-05	-0.0256035880636768	0.150456283925338	-0.0256035880636768
PCNX4	0.000186322857596415	-0.0081537347453393	0.299454709040638	-0.0081537347453393
AC097639.1	0.000223068779017066	0.0585043085820542	0.328636078686892	0.0585043085820542
SOCS4	0.000285136625349918	0.014674949630553	0.383262038609062	0.014674949630553
C4orf48	0.000312431133324157	0.0352329822380811	0.383262038609062	0.0352329822380811
BBS7	0.000325933478422191	-0.00945438829428203	0.383262038609062	-0.00945438829428203
SMAP1	0.0003481388777854	-0.00584619389048628	0.383262038609062	-0.00584619389048628
AL133453.1	0.0003948169809305	-0.0353416585516042	0.383262038609062	-0.0353416585516042
RPL13A	0.000432395744155688	0.0309118948618512	0.383262038609062	0.0309118948618512
TUBE1	0.000439043255340708	-0.00924792021569863	0.383262038609062	-0.00924792021569863
PDZK1	0.000439632307658863	-0.0540795981551086	0.383262038609062	-0.0540795981551086
AL157912.1	0.000464098527943102	-0.0452038514520449	0.383262038609062	-0.0452038514520449
AC002383.1	0.00048204413053608	0.0410130090897606	0.383262038609062	0.0410130090897606
G0S2	0.000498615695910879	0.0493561142811084	0.383262038609062	0.0493561142811084
AP001783.1	0.000594447000550185	-0.0333866174792169	0.43788452178028	-0.0333866174792169
MSC-AS1	0.000750356189678852	-0.0765440133293862	0.530621883093297	-0.0765440133293862
AC069155.1	0.000877348392609974	-0.0459410940863121	0.56220269360961	-0.0459410940863121
CHMP6	0.000884472055856428	0.0183531464166982	0.56220269360961	0.0183531464166982
AC018832.1	0.000890416619778782	-0.0669776877295771	0.56220269360961	-0.0669776877295771
RPL35	0.00106959091297557	0.0258602052487008	0.593100339126815	0.0258602052487008
CCDC85B	0.00107556447023436	0.0297553649325002	0.593100339126815	0.0297553649325002
AP000766.1	0.00112422716674052	0.0172005620443896	0.593100339126815	0.0172005620443896
AC009812.1	0.00115646157931184	-0.0399225276939821	0.593100339126815	-0.0399225276939821
AC004982.1	0.00118313653745448	-0.0438716132266379	0.593100339126815	-0.0438716132266379
HAUS2	0.00129518622141649	-0.0145472111520929	0.593100339126815	-0.0145472111520929
PET100	0.0013518771661141	0.0332178152310151	0.593100339126815	0.0332178152310151
AC005856.1	0.00145611682538093	-0.0629904099705557	0.593100339126815	-0.0629904099705557
LINC01550	0.00146809196750792	-0.0426131214051491	0.593100339126815	-0.0426131214051491
ASCC1	0.00148897911211709	-0.00697120285914892	0.593100339126815	-0.00697120285914892
CASP2	0.00151839300787164	-0.0186133360800411	0.593100339126815	-0.0186133360800411
BEND3	0.00155048885397137	0.0262264332801674	0.593100339126815	0.0262264332801674
AL031289.1	0.00155124366286588	-0.0492902605703671	0.593100339126815	-0.0492902605703671
RECQL	0.00156127019547756	-0.0145542559818041	0.593100339126815	-0.0145542559818041
RPS28	0.00159046741314022	0.0255757166431329	0.593100339126815	0.0255757166431329
AL121757.2	0.00161434324972027	0.0410068451491364	0.593100339126815	0.0410068451491364
RPL31	0.00167874787217519	0.0260739831013323	0.593100339126815	0.0260739831013323
FBXO34	0.00169260313456345	0.00759188824833098	0.593100339126815	0.00759188824833098
AC008945.2	0.00173429475760588	0.0336703514731026	0.593100339126815	0.0336703514731026
GADD45GIP1	0.0017582815036851	0.0276336767278035	0.593100339126815	0.0276336767278035
TRMT12	0.00176467795263447	0.0142499972128958	0.593100339126815	0.0142499972128958
AC004949.1	0.00179329481773979	0.0383022034021446	0.593100339126815	0.0383022034021446
NDUFB10	0.00184764169042225	0.0265362165981887	0.593100339126815	0.0265362165981887
EFCAB13	0.00190473022436735	-0.0256504405362543	0.593100339126815	-0.0256504405362543
UBB	0.00190938378991974	0.0270862451949335	0.593100339126815	0.0270862451949335
ERICH3-AS1	0.00192840491824819	-0.0488231407541359	0.593100339126815	-0.0488231407541359
AC008892.1	0.0019336916773706	-0.0289877779501456	0.593100339126815	-0.0289877779501456
TLCD5	0.00206553194723019	-0.0149623439642923	0.593100339126815	-0.0149623439642923
SUN1	0.00209661312272136	-0.00656197503020297	0.593100339126815	-0.00656197503020297
RPL21	0.00209769061027478	0.030007770516169	0.593100339126815	0.030007770516169
CITED2	0.00210075571774513	0.0190721075008134	0.593100339126815	0.0190721075008134
LINC00486	0.00210215473397091	0.0360872621175746	0.593100339126815	0.0360872621175746
LINC02281	0.00217828524317608	-0.0473032104006432	0.593100339126815	-0.0473032104006432
RPS4Y1	0.00219707351503341	0.0242502886663671	0.593100339126815	0.0242502886663671
YBX3	0.00220280426279985	-0.0442951092553533	0.593100339126815	-0.0442951092553533
AC023790.2	0.00224674856682157	-0.0283243461369283	0.593100339126815	-0.0283243461369283
SPRYD3	0.00230072569311651	0.0176845928422714	0.593100339126815	0.0176845928422714
STEAP2-AS1	0.00233018762045097	-0.0282441011536797	0.593100339126815	-0.0282441011536797
AL157886.1	0.00233254871782855	0.0303000116940097	0.593100339126815	0.0303000116940097
TTTY10	0.00238402506410444	0.0220729969327339	0.593100339126815	0.0220729969327339
CDKN1B	0.00242390840561587	0.0151521666031106	0.593100339126815	0.0151521666031106
CALM2	0.00244995712060368	0.0182560191260694	0.593100339126815	0.0182560191260694
SEMA3F	0.00252509487672561	-0.0149635176357176	0.593100339126815	-0.0149635176357176
ATP5MPL	0.00260230107946722	0.0195919894247473	0.593100339126815	0.0195919894247473
RPL23A	0.00261507661736483	0.0267555487892312	0.593100339126815	0.0267555487892312
MIER2	0.00263246212119442	0.0136264193932379	0.593100339126815	0.0136264193932379
AP002433.2	0.00264846366358193	0.025655640277326	0.593100339126815	0.025655640277326
